step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99
1	-3727.308382645583606	-3734.163870596542893	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672484467090298	-1	7	6	9	11	11	13	14	13	17	26	30	38	37	40	45	41	39	46	46	51	44	44	46	46	47	46	47	49	50	47	49	51	53	52	55	52	50	53	52	54	51	53	56	58	53	54	55	56	59	55	55	69	59	69	59	64	65	60	62	60	60	61	62	65	63	66	61	69	67	65	65	66	68	68	65	71	71	74	72	74	77	76	80	75	82	79	82	82	86	86	89	92	93	97	97	95	97	98	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	3	3	3	5	5	7	7	7	8	7	7	8	8	9	8	8	8	8	8	8	8	9	9	8	9	9	9	9	10	9	9	9	9	9	9	9	10	10	9	9	10	10	10	10	10	12	10	12	10	11	11	10	11	10	10	11	11	11	11	11	11	12	12	11	11	11	12	12	11	12	12	13	12	13	13	13	14	13	14	14	14	14	15	15	15	16	16	17	17	16	17	17
500	-1060.691649325909566	-1067.547137276868852	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.296109331785930	-4	1	3	8	5	11	11	14	15	14	20	28	35	37	25	39	40	32	47	39	48	38	44	42	43	44	43	44	34	52	49	44	51	43	52	49	50	47	48	51	53	48	37	50	56	50	52	56	54	56	51	53	67	61	69	60	65	62	61	55	53	62	60	62	64	59	65	63	64	61	63	67	62	68	70	63	72	69	72	74	76	74	78	78	74	83	79	82	81	86	88	91	90	92	99	93	95	95	92	0	1	1	1	1	4	5	4	5	7	8	15	8	11	11	8	12	0	32	13	17	15	13	11	15	15	18	12	15	16	15	13	34	17	11	29	19	14	26	22	22	15	0	28	16	32	24	22	16	24	11	21	15	26	22	43	43	43	15	34	22	15	50	47	19	42	61	43	20	26	61	24	46	50	43	16	46	73	62	50	70	48	67	42	15	13	46	13	50	87	62	73	73	78	99	53	0	0	53	1	1	2	1	2	1	1	1	2	1	1	1	3	3	2	4	2	1	1	2	1	3	2	4	2	3	3	3	2	3	4	2	2	1	4	3	1	3	1	2	2	3	1	2	4	1	2	4	3	1	7	1	9	3	12	8	5	6	6	1	3	9	1	2	3	1	3	12	3	3	2	6	2	1	11	3	2	2	2	5	3	2	4	4	11	10	4	13	4	1	5	7	5	6	1	5	1	1	4
1000	-920.123886593836232	-926.979374544795633	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.391970815274662	-1	3	4	10	8	10	11	12	13	17	28	25	34	37	35	42	42	37	44	42	47	44	43	42	46	45	47	44	47	50	46	50	51	55	49	56	49	52	52	55	50	50	37	56	57	55	55	56	49	61	52	54	66	62	69	59	57	60	61	59	58	54	54	60	63	62	67	63	68	61	64	64	66	67	71	65	68	71	73	73	73	77	77	81	77	84	69	74	83	86	88	87	84	95	95	94	95	96	99	0	1	1	1	2	3	5	4	4	7	8	4	12	8	12	4	15	0	14	15	16	12	11	11	11	15	18	12	20	16	14	15	17	33	24	29	19	19	20	17	28	12	0	42	16	42	35	19	15	42	12	31	34	39	13	43	43	43	42	25	63	16	22	47	34	51	61	43	66	22	50	24	62	61	43	42	46	87	53	50	76	67	80	67	16	46	42	76	80	86	87	73	62	87	86	86	0	0	25	1	1	1	2	1	2	1	1	1	1	3	2	2	5	2	5	1	1	2	2	1	2	2	3	4	2	2	2	1	1	2	2	2	1	2	2	1	1	2	3	2	4	1	1	2	1	1	1	2	2	5	1	2	1	7	7	2	4	2	3	1	2	2	1	2	1	2	11	2	3	1	5	3	2	10	2	3	1	1	2	2	2	1	2	8	4	3	2	3	1	2	4	4	4	2	2	1	1	8
1500	-852.266280121955219	-859.121768072914620	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.582891877553638	-4	1	8	4	9	12	14	16	14	13	26	30	37	37	39	42	42	40	46	44	50	42	42	40	38	45	49	46	46	52	46	47	52	50	50	53	48	50	54	44	55	51	37	48	60	46	53	54	54	53	57	53	70	52	66	59	57	61	58	57	59	57	61	62	64	63	64	63	68	66	67	64	66	66	67	66	68	69	72	71	72	77	77	74	76	81	73	83	84	86	80	84	92	86	96	99	95	92	99	0	1	1	1	4	3	10	5	5	5	5	11	12	11	12	25	13	0	13	15	31	25	12	11	12	16	18	40	17	19	15	22	32	32	24	29	19	22	20	12	40	22	0	25	37	17	35	19	13	42	47	31	66	17	19	43	43	43	44	50	50	46	60	24	46	34	61	43	66	33	63	51	46	61	43	39	62	62	65	74	76	63	80	80	76	73	65	70	83	91	87	86	92	77	86	92	0	0	73	1	1	2	1	1	1	1	2	1	1	2	1	2	2	2	1	2	1	2	2	1	1	2	2	2	1	2	1	1	2	2	1	2	1	2	1	1	2	2	2	2	2	1	2	2	2	1	2	4	1	1	1	2	1	3	6	3	2	1	1	1	1	1	3	3	1	1	9	1	3	1	2	4	2	6	2	3	1	2	1	1	3	1	1	3	3	3	3	2	1	2	1	2	3	2	2	1	1	6
2000	-860.451591342662823	-867.307079293622223	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.519425357172807	-6	8	-2	4	11	10	14	15	15	19	23	29	35	35	38	32	42	40	44	44	45	43	42	47	42	48	47	48	48	50	46	45	47	51	51	57	50	50	44	51	44	47	37	53	57	55	45	55	55	58	52	53	69	56	68	57	64	63	60	62	56	58	61	52	65	60	64	63	65	60	61	60	65	70	67	58	69	72	67	72	68	72	74	81	77	80	75	79	83	82	86	85	93	89	99	91	95	96	96	0	1	1	1	4	3	4	5	5	7	8	11	12	1	16	11	15	0	13	23	11	15	16	47	13	23	18	17	21	14	16	22	32	22	24	29	19	19	12	28	12	22	0	34	17	16	11	17	20	34	47	31	66	39	41	43	43	43	13	50	21	46	50	47	61	22	63	43	70	21	61	47	62	71	43	34	46	46	76	61	79	61	50	74	79	77	73	85	74	78	90	86	92	92	93	86	0	0	94	1	2	1	2	1	1	2	1	1	1	2	2	2	7	1	2	1	1	2	1	5	1	2	1	2	2	2	1	1	2	2	1	1	2	1	2	2	1	2	1	3	1	1	1	2	5	2	2	2	1	1	2	1	1	4	5	4	3	3	1	3	1	1	1	2	3	1	8	1	2	2	2	2	2	6	1	2	3	1	3	1	2	2	2	3	2	2	1	3	2	1	1	2	2	1	2	1	1	1
2500	-803.382646817607679	-810.238134768567079	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613059953537076	-2	3	7	6	6	11	14	16	11	10	24	30	37	37	40	46	40	37	44	47	46	43	44	44	46	45	44	49	49	48	45	47	49	54	41	51	49	53	51	49	55	48	40	50	58	55	51	54	51	55	55	54	66	61	70	56	57	61	59	63	57	60	60	63	65	57	65	62	71	66	62	65	64	67	66	64	70	66	70	68	73	67	78	74	76	84	80	81	82	78	86	88	93	90	96	93	94	97	98	0	1	1	1	1	4	10	5	5	5	8	11	12	11	13	17	12	0	15	17	17	13	15	14	17	12	18	26	12	19	17	22	32	22	11	17	19	37	20	26	40	22	0	25	50	33	24	37	12	35	24	31	32	15	54	43	43	43	44	61	16	46	61	47	52	22	61	43	53	42	61	47	62	71	43	66	73	62	76	61	79	60	67	80	81	77	62	85	83	78	90	86	92	77	93	86	0	0	95	1	1	1	2	2	1	1	2	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	2	4	2	1	2	1	1	1	1	1	4	2	2	1	1	1	2	1	1	1	1	1	2	1	4	4	2	2	1	4	2	4	4	2	2	2	2	2	1	1	2	2	2	5	1	2	1	2	1	1	5	1	1	1	1	2	1	1	2	1	2	2	3	2	1	2	1	1	2	4	1	1	1	1	1
3000	-763.324795893106966	-770.180283844066366	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740154994913009	-2	9	1	5	6	12	10	12	12	16	24	30	39	35	37	46	43	37	46	45	49	42	41	45	43	47	46	47	49	49	45	49	49	49	44	52	53	46	44	53	53	49	48	45	55	52	53	54	57	58	52	53	67	53	68	57	62	58	61	60	59	58	60	60	66	57	54	60	69	66	64	64	63	62	68	68	68	72	70	67	74	75	78	72	76	79	77	82	82	84	87	85	91	91	89	96	92	97	95	0	4	1	1	1	3	5	5	5	7	8	11	15	11	12	17	13	0	17	39	31	13	13	17	13	17	18	22	20	19	22	22	22	22	14	29	19	15	13	16	28	22	0	25	26	34	24	19	54	67	35	31	66	39	16	43	58	43	54	33	67	46	34	47	32	32	34	56	70	66	61	64	62	67	43	61	73	73	76	74	79	74	84	80	81	77	62	85	83	87	90	87	92	78	86	92	0	0	95	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	3	2	1	2	1	3	2	2	1	1	2	1	1	1	1	2	1	1	1	1	5	2	1	1	1	1	1	2	1	2	1	2	3	1	1	1	1	1	1	2	2	2	1	1	2
3500	-807.449895318941117	-814.305383269900517	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.668849508430010	-4	8	6	4	10	12	6	13	15	16	25	29	37	37	39	41	42	40	43	46	43	43	45	48	45	46	49	48	48	48	45	49	41	56	47	54	45	52	51	52	51	50	50	58	59	49	53	51	49	59	54	57	57	56	65	59	65	56	48	60	58	61	59	64	64	58	52	60	67	64	63	64	62	65	69	67	71	64	72	67	70	75	75	82	75	79	78	83	75	84	84	86	94	91	96	96	95	96	99	0	4	1	1	4	3	1	5	4	7	10	11	12	11	12	12	12	0	15	12	15	12	33	14	15	16	18	16	15	19	15	16	11	42	14	29	19	15	20	15	20	20	0	25	26	22	33	19	12	67	24	21	33	40	39	58	58	43	22	63	67	34	61	51	53	33	13	43	66	53	61	47	46	67	68	66	73	73	81	74	76	74	80	80	81	73	62	85	61	87	87	86	86	92	93	92	0	0	93	1	1	1	2	1	1	1	1	1	2	2	1	2	1	2	2	1	1	1	2	1	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	3	1	2	2	1	1	2	2	1	2	2	2	2	1	2	3	1	2	1	2	1	2	1	2	1	1	1	1	2	2	2	2	1	1	2	2	2	1	3	1	1	1	1	1	1	2	2	2	2	3	1	3	2	1	2	2	2	1	2	1	1	1
4000	-785.494390806376373	-792.349878757335773	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647057796059579	-1	8	6	8	5	10	10	12	16	15	19	30	38	33	40	45	36	34	42	44	49	41	44	43	48	48	40	42	42	50	42	51	45	54	54	54	52	49	52	53	53	49	51	47	54	55	48	55	58	57	51	52	66	55	69	56	64	61	55	62	61	58	61	59	64	61	55	61	68	68	60	65	66	64	69	58	70	70	76	65	73	73	71	74	74	80	81	78	78	78	84	83	92	93	94	96	93	98	100	0	1	1	1	1	5	5	5	5	7	8	11	14	11	13	17	12	0	17	13	28	12	12	11	44	28	18	12	12	13	13	33	22	16	47	29	19	19	42	26	20	22	0	15	12	32	24	37	42	67	24	31	66	42	49	43	58	43	32	50	67	34	50	51	46	42	42	43	33	66	67	51	62	67	68	33	73	73	85	60	76	61	80	80	70	73	78	85	80	78	90	86	92	92	92	93	0	0	95	1	2	2	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	2	4	1	1	1	3	1	1	1	2	1	2	1	2	2	1	1	1	2	2	1	1	3	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	2	1	1	2	2	2	1	1	3	2	1	3	2	1	1	3	1	1	1	1	2	2	1	2	2	2	2	1	3	1	1	1	2	2	2	1	1	1	1
4500	-797.453085702341582	-804.308573653300982	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591577556906939	-3	8	0	7	8	2	13	10	14	18	25	30	36	33	42	42	41	32	42	45	49	44	46	43	45	46	44	48	50	49	47	47	52	41	51	54	54	52	52	46	54	53	53	51	57	51	53	57	58	54	50	54	66	60	70	59	58	63	56	62	59	59	63	62	60	53	57	62	61	63	65	65	63	65	65	56	62	73	74	71	69	77	75	77	77	77	77	83	81	80	82	88	88	90	93	94	87	97	97	0	4	1	6	1	3	5	4	5	7	5	11	12	12	13	13	13	0	13	12	31	34	17	14	15	13	18	12	12	16	12	34	32	13	24	29	19	14	32	16	40	34	0	25	34	34	51	38	20	32	24	31	32	39	34	43	43	43	16	67	67	46	50	35	42	15	50	57	76	66	61	64	62	67	57	66	46	62	81	67	76	80	80	80	79	77	78	81	83	87	90	77	78	86	94	94	0	0	95	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	2	1	1	1	3	1	1	1	2	1	2	3	3	2	1	2	1	1	1	1	2	2	2	1	1	2	2	1	1	2	1	1	1	2	2	1	1	4	1	4	2	1	2	2	1	1	2	2	3	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	2	1	2	2	1	1	3	2	3	1	1	1	1	1
