step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64
1	-7483.635366980217441	-7482.173284895698998	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.607910644716009	4	5	7	16	19	20	21	22	23	24	22	24	24	24	25	25	26	25	26	27	29	28	28	28	27	31	29	33	29	31	30	30	31	30	31	31	31	31	31	32	33	33	32	32	32	33	32	32	33	35	33	32	34	33	34	36	34	37	34	35	37	37	38	38	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	6	8	8	9	9	10	10	9	10	10	10	11	11	11	11	11	12	13	12	12	12	12	14	13	15	13	14	13	13	14	13	14	14	14	14	14	14	15	15	14	14	14	15	14	14	15	16	15	14	15	15	15	16	15	17	15	16	17	17	17	17
500	-876.440685435304204	-874.036907715907546	-2.403777719396712	0.000010011967815	0.000034695431782	3.465395856447137	0.185429973261007	4	5	8	15	16	19	21	22	20	25	19	25	24	24	26	23	27	25	26	28	30	27	28	28	25	31	30	32	30	31	31	30	31	30	31	31	31	30	32	33	34	34	32	33	32	33	32	32	34	35	34	32	34	34	34	37	35	38	35	36	37	37	39	39	0	1	2	0	4	5	6	6	5	6	5	7	8	11	10	9	10	8	13	11	15	16	9	10	14	15	11	11	6	19	11	10	15	9	24	9	19	9	6	8	9	5	25	0	11	9	4	5	25	11	8	6	11	25	9	11	9	9	9	8	9	11	9	9	1	1	2	1	1	2	2	1	3	3	2	2	1	3	1	1	1	2	2	3	2	2	3	2	1	3	5	9	5	3	5	4	3	5	1	5	3	8	9	6	9	11	5	1	9	8	12	8	8	14	8	6	10	6	12	12	8	9	10	8	12	14	16	16
1000	-540.564375249209661	-539.084009326146543	-1.480365923063117	0.000010039389664	0.000010540217358	1.049886269136242	0.374301617111252	3	5	7	16	19	20	22	22	23	24	23	24	24	25	24	23	26	25	26	24	28	28	28	28	25	31	30	33	27	32	31	29	32	30	31	31	31	32	30	31	31	34	32	32	32	34	32	31	34	35	34	33	35	34	35	36	34	37	34	35	36	38	38	38	0	1	2	0	4	4	6	6	8	8	6	7	8	9	6	6	12	9	25	11	15	16	17	8	10	15	20	24	10	25	15	18	26	22	10	29	19	15	8	10	29	40	19	0	27	34	29	29	43	8	10	39	34	40	21	51	48	43	29	52	29	36	24	36	1	1	1	1	2	2	2	1	1	1	2	2	1	1	2	2	1	1	1	1	3	1	1	3	1	4	4	2	2	3	3	2	1	1	2	2	2	6	4	5	1	2	3	1	1	2	4	2	1	7	5	3	3	2	3	1	2	3	4	1	4	4	9	4
1500	-453.437880457431902	-452.044142273373438	-1.393738184058440	0.000010122129634	0.000007947820062	0.785192479204259	0.653140739095566	4	6	8	17	19	20	22	22	23	23	23	24	24	23	25	25	25	26	27	26	29	28	28	29	26	30	30	34	29	31	28	31	31	31	30	30	31	31	32	32	33	32	33	33	32	33	32	33	32	36	33	32	34	32	34	36	34	36	34	35	35	36	38	39	0	1	2	0	4	5	6	6	6	8	6	7	9	8	13	9	11	9	25	11	15	16	17	18	14	21	20	35	13	19	15	18	26	22	18	29	19	26	24	35	29	36	37	0	27	34	36	36	30	42	40	18	34	30	38	51	36	43	42	51	41	48	36	63	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	3	2	2	2	1	1	2	2	2	2	2	2	1	2	2	1	2	1	2	1	2	1	2	1	2	2	1	2	1	3	1	2	2	1	1	1	2	2	1	2	1	2	3	1
2000	-424.913479390718237	-423.540006272422204	-1.373473118296026	0.000010215857549	0.000007100714203	0.695067855977620	0.567956221795773	3	6	7	16	18	20	21	22	23	24	22	25	24	23	25	25	25	26	26	27	30	28	28	28	28	30	29	33	29	32	31	30	32	30	31	31	31	32	30	30	33	33	32	32	32	33	33	33	33	36	33	32	34	33	35	37	34	37	35	36	38	37	37	39	0	1	2	0	4	5	6	6	8	8	6	7	8	8	8	6	6	10	6	6	15	16	17	13	19	15	20	52	13	40	26	24	26	22	18	29	25	26	14	6	40	29	19	0	20	34	40	36	19	59	24	6	46	37	38	52	29	49	42	51	62	48	48	62	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	3	2	1	3	3	2	2	1	2	1	2	1	1	2	1	1	1	1	1	2	1	2	1	4	4	2	1	3	1	2	2	2	2	2	1	3	6	1	1	1	2	3	2	1	2	1	3	2	1
2500	-436.954773232543118	-435.539932012505233	-1.414841220037913	0.000010207172835	0.000008770706458	0.859268927797967	0.565725656701070	3	5	7	15	17	20	21	22	22	24	22	24	25	24	26	24	26	25	26	26	28	28	29	28	27	31	30	33	29	30	29	30	31	30	30	31	30	32	28	32	34	32	32	32	31	33	32	32	34	36	34	32	34	32	34	36	34	36	34	35	36	34	39	38	0	1	2	0	4	5	6	6	6	9	6	7	8	8	9	8	10	8	18	11	15	16	17	10	19	21	20	35	18	19	15	18	15	22	39	29	25	26	9	35	29	29	37	0	27	34	36	36	43	59	14	8	34	30	26	60	36	51	42	52	62	36	61	62	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	3	3	1	1	1	2	1	2	1	2	2	1	1	1	2	1	1	1	1	4	5	3	2	2	1	1	1	1	1	1	2	3	3
3000	-397.651110969886872	-396.256031056119696	-1.395079913767157	0.000010053158236	0.000007944920376	0.790290990073792	0.714043692103975	4	6	8	16	19	20	22	22	23	24	22	24	25	24	26	25	27	25	27	27	29	28	28	28	28	29	29	33	29	31	31	29	31	29	31	32	32	31	31	32	33	32	32	33	33	33	33	31	33	36	33	32	35	34	34	36	33	36	33	35	38	36	38	39	0	1	2	0	4	5	6	6	8	6	6	7	8	6	10	6	10	8	10	14	15	16	17	14	19	15	20	40	9	19	26	14	26	22	13	48	25	26	14	13	29	29	19	0	27	34	36	29	37	59	52	35	46	30	38	52	36	37	42	51	62	36	62	62	1	1	1	1	2	1	1	1	1	2	1	2	2	3	1	3	1	1	2	2	2	2	1	2	1	2	2	1	2	2	1	3	1	1	2	1	2	1	3	3	2	1	2	1	3	2	1	1	1	2	1	1	1	2	1	2	1	2	1	2	1	2	1	1
3500	-421.595385622995764	-420.130859525448386	-1.464526097547364	0.000010262807183	0.000010332299378	1.006771265807376	0.678129643173714	4	5	7	16	19	20	21	21	23	24	22	23	24	24	26	25	26	25	24	27	29	27	28	29	28	29	30	34	29	32	30	30	31	29	29	31	30	31	30	32	33	32	33	33	32	33	32	32	32	35	33	31	34	33	35	36	34	37	33	35	38	36	38	38	0	1	2	0	4	5	6	6	8	9	5	7	9	8	18	6	13	8	6	13	15	16	17	10	19	15	20	40	18	25	26	9	21	22	10	29	19	26	13	35	39	39	25	0	27	34	36	29	37	59	40	24	46	25	38	52	36	49	42	52	62	36	62	62	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	2	1	1	2	2	1	1	1	2	2	1	4	1	1	2	1	2	1	4	2	2	1	2	1	1	2	1	2	1	1	1	2	1	2	2	3	2	3	1	2	2	2	2	1
4000	-409.880012357353905	-408.398218654027630	-1.481793703326277	0.000010450092695	0.000011011410009	1.053714098988090	0.616816799731359	4	5	7	17	19	20	22	22	23	24	23	23	23	24	25	25	26	26	25	27	29	28	28	27	27	29	29	32	30	30	30	30	32	30	31	31	30	32	31	32	32	32	30	32	32	33	33	32	32	35	34	30	35	33	34	36	35	36	33	35	37	35	38	37	0	1	2	0	4	5	6	6	6	8	8	7	6	6	13	5	10	10	8	11	15	16	17	13	19	15	20	39	18	19	26	10	26	22	32	29	25	26	10	6	29	29	19	0	27	34	36	29	25	59	28	24	46	30	38	60	48	49	42	51	62	40	62	62	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	2	2	1	1	2	2	1	1	2	2	1	2	1	1	1	1	2	1	3	4	1	1	2	1	1	2	1	2	2	1	1	2	1	2	1	1	2	2	1	1	1	2	2	2
4500	-409.239612497342819	-407.876945961927106	-1.362666535415737	0.000012082115872	0.000007425653226	0.614598742877667	0.657217807857690	3	5	7	15	19	20	21	21	23	25	23	24	25	23	25	25	27	24	27	27	29	28	29	29	28	30	29	33	28	31	31	28	32	30	31	30	31	32	30	31	32	31	31	32	33	33	33	32	34	36	32	30	35	34	35	37	34	36	33	35	37	34	39	38	0	1	2	0	4	5	6	6	7	14	8	7	14	8	14	9	10	8	13	9	15	16	17	13	19	21	20	35	10	25	15	6	26	22	39	29	19	26	9	14	29	29	19	0	27	34	48	36	43	59	52	18	34	30	38	60	36	49	42	51	62	48	64	62	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	1	2	3	4	1	1	1	1	2	1	3	3	2	2	3	1	2	2	1	2	1	2	1	3	2	2	2	1	3	1	1	2	1	1	1	2
