step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69
1	-389.391895354433530	-387.929813269914632	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.080029569991992	3	2	4	3	4	5	5	6	6	8	7	10	11	9	8	10	9	11	10	10	12	11	12	11	14	11	13	14	15	14	15	16	16	17	19	18	18	19	20	20	21	23	22	22	23	23	24	23	24	25	23	24	24	26	25	25	26	26	26	26	26	26	26	27	27	30	31	34	37	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	3	3	4	5	4	3	4	4	5	4	4	5	5	5	5	6	5	6	6	7	6	7	7	7	8	9	8	8	9	9	9	10	11	10	10	11	11	11	11	11	12	11	11	11	12	12	12	12	12	12	12	12	12	12	13	13	14	15	16	18
500	-355.737079969262084	-353.792630740768061	-1.944449228494042	0.000009985416635	0.000001474240546	0.147639362432275	0.186709753086277	4	2	4	4	4	6	5	7	6	8	7	11	10	9	8	10	9	10	8	9	11	11	12	11	14	12	13	13	16	13	14	16	16	17	17	18	15	20	21	20	21	22	23	22	24	23	24	23	24	26	23	24	24	24	25	25	26	26	27	26	26	27	27	24	26	30	31	35	36	2	0	2	2	2	1	3	7	4	8	2	17	15	10	5	19	7	4	3	8	3	18	13	9	19	15	24	12	24	6	13	13	23	28	23	13	22	20	7	36	40	3	29	33	8	29	26	18	34	10	38	41	37	33	34	51	25	13	49	52	26	56	13	44	24	65	52	38	2	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	1	2	4	2	1	3	1	1	2	3	2	2	1	3	5	2	3	2	1	3	4	2	5	10	1	1	10	4	3	7	5	8	7	4	7	2	2	4	5	3	1	7	8	2	1	6	1	9	2	9	2	4	9	18
1000	-312.589601515512186	-310.599975115252960	-1.989626400259210	0.000009927728731	0.000001392434262	0.140257081915929	0.331987037413954	3	1	3	4	5	6	6	6	7	8	7	9	11	10	9	10	10	11	11	11	12	11	12	12	14	11	14	14	15	14	16	16	16	17	19	19	18	18	20	21	21	23	22	22	23	23	24	20	24	25	24	25	24	26	26	25	25	25	25	26	26	26	25	27	27	30	30	35	37	2	0	2	1	2	3	5	4	3	6	4	8	15	9	6	9	15	10	9	15	14	4	26	13	26	15	17	23	20	18	23	25	28	24	13	22	28	17	32	11	28	23	41	41	29	41	9	27	45	29	23	34	39	56	49	49	39	44	49	47	37	29	35	46	57	64	52	16	12	1	1	1	1	1	1	1	1	2	1	1	2	1	3	1	1	1	1	3	1	1	4	1	1	1	1	3	1	2	1	2	1	1	2	4	3	2	3	1	6	3	5	1	1	3	2	8	3	1	5	4	4	2	1	2	1	2	2	1	1	5	5	4	3	1	1	3	11	14
1500	-261.289601602642676	-259.476313261368603	-1.813288341274073	0.000009899217334	0.000001717499710	0.173498535480441	0.620834260471830	4	1	5	3	4	5	6	6	7	8	8	10	10	10	7	9	9	11	10	8	13	10	12	11	15	10	14	14	15	13	15	16	17	17	19	18	17	19	20	20	22	22	23	23	23	24	24	24	24	25	20	25	25	27	25	26	27	25	26	27	27	25	27	28	28	30	30	34	37	2	0	4	2	4	5	1	3	6	7	1	15	10	11	7	8	15	9	15	7	17	10	14	16	28	20	12	18	22	26	14	27	25	30	27	25	21	36	25	36	40	38	33	51	51	40	44	41	31	42	37	44	40	52	49	58	59	47	47	29	40	38	48	57	23	55	49	55	68	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	2	1	2	1	1	1	4	1	2	2	1	1	3	1	2	1	2	1	1	1	1	1	1	5	3	3	1	1	5	2	3	5	2
2000	-172.324130791783176	-170.808640471413980	-1.515490320369184	0.000009922636481	0.000002821068803	0.284306374519944	0.973775546000053	4	2	3	4	5	5	5	6	7	8	8	10	9	8	7	10	9	11	9	10	12	12	13	11	14	11	14	14	15	14	15	16	16	17	20	18	17	19	19	20	22	24	22	21	24	23	24	23	25	24	23	22	22	27	26	24	26	26	26	25	25	27	27	27	27	30	32	34	36	3	0	2	3	3	3	4	4	7	9	15	14	15	8	5	11	15	13	11	14	13	26	18	19	22	19	24	21	21	12	25	27	30	33	36	37	33	37	37	34	40	38	40	38	52	44	52	36	56	53	44	40	40	59	51	53	47	61	42	47	51	61	47	56	59	64	66	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-178.432226916009455	-177.048871669817458	-1.383355246191984	0.000009956939357	0.000007396975646	0.742896524819430	0.950791086869883	3	1	5	3	4	5	6	6	6	8	7	8	10	8	9	11	8	12	10	9	12	11	12	11	14	10	13	13	14	13	15	16	17	17	18	18	18	19	20	20	21	23	22	22	23	23	23	22	24	26	23	24	24	25	25	25	24	27	26	27	26	26	26	28	27	30	31	34	36	2	0	5	2	4	5	3	5	5	8	7	9	10	6	3	10	9	19	12	11	22	17	19	8	18	10	22	16	24	21	27	29	32	31	32	34	27	33	38	36	38	44	39	39	43	38	38	38	47	53	39	48	43	46	51	51	44	63	53	56	46	53	53	50	53	64	56	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
3000	-207.715664656973644	-205.515345207293649	-2.200319449680003	0.000009963356164	0.000001123808387	0.112794159787160	0.834163486571311	4	2	5	3	4	4	4	6	6	8	7	9	11	9	8	8	9	12	10	10	12	11	12	11	13	12	14	14	14	14	16	16	16	18	18	18	17	20	20	19	21	24	22	22	22	24	23	22	23	25	24	24	24	25	26	24	27	26	26	27	26	26	26	28	28	29	32	34	38	2	0	1	2	4	4	4	1	3	8	3	8	10	11	8	5	5	13	15	10	19	1	12	10	26	12	25	21	18	26	30	27	30	32	31	31	32	36	35	32	34	48	39	35	38	48	41	39	38	49	44	43	43	53	49	48	59	42	44	43	41	56	56	57	58	60	64	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	3	2	2	1	1	1	1	2	2	1	2
3500	-238.228493135220305	-236.598474932908175	-1.630018202312136	0.000009905510048	0.000002255604495	0.227712100071825	0.827501614576144	3	1	4	3	4	5	6	5	6	8	6	10	9	10	8	10	9	11	10	10	12	11	12	12	13	11	13	15	15	13	14	16	15	17	19	17	18	19	18	20	21	23	21	22	23	24	24	22	25	25	24	23	22	27	24	25	25	25	26	26	26	26	27	25	27	29	32	34	37	2	0	4	2	4	3	5	4	5	6	6	10	11	7	1	10	10	16	10	10	12	20	11	12	22	16	22	25	21	13	18	20	30	29	32	30	32	37	32	37	34	38	35	41	29	44	41	39	42	44	36	33	35	42	42	42	45	42	41	58	52	42	46	44	64	61	63	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1
4000	-199.446553318899788	-198.012084324025722	-1.434468994874072	0.000010234849267	0.000003609593273	0.352676739903148	0.906474535550046	3	1	5	3	4	6	5	7	7	9	8	10	12	9	8	10	9	10	10	9	12	11	12	11	14	11	13	13	16	13	15	16	17	18	20	18	17	19	20	21	22	22	23	23	23	24	24	22	25	25	24	24	23	25	25	24	26	26	26	26	26	23	25	28	27	31	31	34	36	2	0	4	2	1	3	5	7	3	8	8	15	19	3	3	20	8	6	11	8	20	17	11	19	30	17	12	13	28	23	27	28	31	32	29	33	23	36	36	38	35	38	42	35	42	43	43	35	48	62	45	48	41	43	44	39	44	56	51	52	55	41	39	57	62	59	57	66	68	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1
4500	-183.503784886520634	-181.905941959957573	-1.597842926563070	0.000009713476030	0.000002340580076	0.240962150781716	0.953561358728767	4	2	5	3	4	5	5	7	7	8	7	9	10	8	7	10	9	11	11	9	12	11	12	11	15	8	14	14	14	14	16	17	17	17	20	18	19	20	20	21	21	23	23	22	23	23	25	22	24	25	23	25	24	26	25	24	26	27	26	25	24	27	26	27	26	31	29	34	36	2	0	1	2	2	2	1	7	3	6	5	7	14	8	7	26	15	15	10	11	22	14	17	17	28	8	23	21	23	21	29	30	25	27	37	29	31	34	36	37	38	35	35	38	41	48	46	35	48	44	44	51	43	53	51	48	53	56	49	61	45	47	56	47	56	67	54	66	68	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
