step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-811.261719997971682	-820.312563378423079	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.964056901825779	-1	3	1	4	4	4	5	4	5	14	5	8	6	7	6	7	9	8	7	9	10	10	9	8	10	10	10	11	9	10	14	13	16	11	11	11	11	11	10	11	12	12	15	12	11	15	20	12	11	11	12	13	12	13	14	15	12	13	14	13	13	13	16	12	13	13	14	21	15	15	17	13	13	14	14	18	14	15	15	16	16	16	19	21	23	29	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-270.011432758075330	-279.062276138526670	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995130256012469	-1	2	1	5	4	4	5	3	6	13	5	9	7	8	7	5	8	9	8	10	8	9	10	8	5	10	11	12	10	11	13	11	17	12	9	9	12	12	11	8	12	12	15	9	10	14	18	13	9	11	12	12	13	12	11	15	12	13	15	10	14	12	13	10	13	13	15	20	16	16	15	12	14	15	8	17	13	14	14	16	16	17	19	19	22	25	27	0	1	1	8	8	2	5	2	11	45	8	17	9	13	4	6	25	9	15	13	13	15	22	4	3	16	20	64	17	26	34	44	56	29	15	7	39	27	17	9	39	45	77	13	40	27	46	32	9	44	36	49	38	4	75	78	39	34	49	19	23	26	72	35	54	27	78	83	43	58	64	39	50	50	5	30	20	63	72	79	50	74	81	81	68	85	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-274.795220811595470	-283.846064192046811	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991593229090775	-1	3	2	4	5	4	6	4	6	13	3	8	6	6	7	7	8	9	8	8	9	9	9	9	11	10	10	10	9	11	15	12	13	8	12	6	12	12	10	12	11	12	15	11	11	13	17	12	10	12	12	14	11	13	15	16	9	13	14	13	13	14	15	13	13	11	13	20	15	14	16	13	14	15	14	19	13	15	16	17	12	15	17	20	17	24	23	0	3	1	2	2	2	8	3	1	66	1	14	8	6	36	7	36	20	9	13	12	15	20	19	24	23	7	16	19	17	41	18	37	14	27	6	21	39	23	17	22	20	77	24	57	35	63	57	29	53	45	66	27	53	77	62	3	22	30	25	50	15	50	5	50	12	53	83	60	39	46	40	37	45	23	46	41	61	82	56	11	33	82	76	31	87	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-261.160255662475492	-270.211099042926833	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978409364704085	0	2	2	4	3	5	5	5	3	13	1	8	5	8	7	8	9	6	8	10	10	7	10	8	10	10	11	9	9	11	13	13	12	12	10	12	11	12	9	12	13	12	13	12	11	15	20	12	10	12	12	14	12	13	15	15	12	11	13	11	13	12	17	13	14	10	14	20	16	14	17	14	12	12	14	18	14	15	16	14	14	16	18	20	20	26	25	0	11	1	3	11	4	4	5	1	42	1	18	2	15	7	8	19	3	15	16	12	7	28	15	16	29	17	16	14	14	27	23	29	37	39	20	66	49	8	60	45	26	48	23	20	66	78	60	7	25	35	58	25	49	32	36	35	26	33	22	50	12	44	38	38	17	33	65	61	48	41	6	21	49	26	75	53	61	81	31	40	64	72	76	76	87	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-274.692574508065491	-283.743417888516831	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996516943055632	-1	4	1	1	5	5	5	3	6	15	1	7	7	5	6	8	8	6	7	7	10	9	4	7	7	10	8	8	9	11	14	11	16	12	10	11	12	12	11	12	9	12	16	12	10	12	17	12	12	12	9	14	12	13	14	16	9	13	12	11	12	14	16	8	8	13	14	21	16	10	14	13	14	14	14	18	14	14	13	16	17	16	19	22	23	27	25	0	4	1	1	11	11	8	4	6	72	1	5	7	4	2	7	18	11	14	7	64	12	8	7	15	15	19	14	25	41	40	12	74	70	65	29	39	14	13	65	5	57	72	60	29	70	58	35	29	21	24	61	36	26	44	58	16	59	22	26	12	46	74	13	6	42	49	80	58	17	61	50	42	72	22	69	48	37	40	79	79	67	62	33	84	87	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-278.530633398672251	-287.581476779123591	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978949875759637	0	3	2	5	4	4	5	5	5	15	6	8	5	6	6	7	8	7	7	8	10	7	6	9	10	10	11	10	8	9	14	12	15	11	8	7	9	10	10	9	11	13	16	8	11	14	17	12	9	11	13	13	13	14	12	15	8	13	14	13	13	12	13	11	12	13	15	12	13	16	17	11	14	13	14	16	14	15	16	14	17	17	16	19	20	29	26	0	1	1	5	2	2	2	2	3	66	1	16	2	5	5	23	16	15	9	8	29	11	8	13	40	40	26	30	23	17	32	25	69	38	13	7	18	44	14	20	26	34	59	14	13	74	75	21	14	49	62	62	20	69	18	59	11	45	32	34	21	72	64	26	35	16	74	11	25	54	46	21	62	55	34	55	34	36	59	63	78	33	66	59	67	87	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-241.181386697315702	-250.232230077767042	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994832726403820	-1	3	1	5	2	5	5	3	4	12	6	8	3	8	6	8	9	7	8	10	10	11	10	8	9	10	10	11	10	11	14	14	13	11	10	11	11	12	10	11	12	12	15	12	11	13	20	13	12	12	12	14	12	13	14	13	11	13	15	13	13	14	16	12	13	13	14	20	13	13	14	13	13	15	15	18	13	16	15	16	9	17	18	21	22	28	24	0	1	1	8	3	8	8	3	3	45	3	5	3	18	5	11	12	15	11	24	25	35	24	6	11	14	81	16	16	23	49	30	64	39	14	39	81	27	24	24	23	4	52	29	23	26	76	50	36	40	13	51	26	27	64	42	27	20	73	49	38	38	43	40	64	50	22	83	40	41	53	45	45	48	61	78	49	71	73	73	11	46	63	47	68	87	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-273.559098676243195	-282.609942056694535	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990473002275001	0	4	1	4	4	1	5	5	3	14	6	6	6	7	6	7	8	8	5	9	10	10	9	5	7	11	10	10	4	9	15	12	13	12	10	11	9	9	9	10	13	11	12	11	12	14	21	12	12	12	8	13	13	13	15	14	13	14	14	14	13	14	16	12	12	13	13	20	11	12	17	11	13	14	14	16	11	15	15	17	17	16	18	20	19	28	22	0	9	1	6	3	1	3	5	6	67	19	8	8	2	5	12	15	12	4	13	38	17	14	4	29	14	20	23	6	13	33	23	40	37	25	21	18	18	51	38	50	15	20	20	42	61	84	42	21	19	4	43	26	77	26	26	37	66	32	65	77	61	10	72	30	45	28	82	30	38	75	39	43	21	45	48	23	70	36	55	34	33	67	83	71	87	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-260.528213082423406	-269.579056462874746	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996058508895967	0	4	1	4	3	3	4	5	2	15	2	9	6	8	7	8	8	8	7	9	10	8	9	9	10	11	8	10	10	9	14	12	12	12	10	11	11	11	9	10	13	12	14	13	11	15	13	13	11	10	13	11	12	12	13	15	11	11	14	14	13	12	17	11	14	12	11	21	14	15	12	14	13	15	15	17	14	15	15	17	16	16	16	21	22	29	26	0	9	1	11	3	9	3	6	3	69	3	14	7	15	2	13	5	19	4	18	18	2	22	13	8	24	8	27	12	17	51	52	64	28	39	23	18	18	14	20	50	20	48	58	20	59	21	20	35	19	58	39	38	35	67	25	39	12	28	33	20	29	31	39	67	49	28	74	30	61	40	32	67	60	42	56	62	55	52	64	43	65	52	82	68	87	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-286.003967331406443	-295.054810711857783	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983995605357278	0	3	1	4	5	5	6	2	5	13	5	7	4	7	6	8	9	7	8	9	11	9	7	9	10	11	11	12	9	8	13	14	16	11	12	10	10	9	11	11	12	13	15	10	9	11	19	12	12	12	12	13	11	13	12	15	13	13	12	9	14	13	14	12	9	13	14	21	16	12	15	9	12	13	11	19	15	15	15	17	15	17	18	22	23	24	25	0	1	1	3	4	13	11	3	13	37	13	5	8	9	6	18	23	15	6	16	44	11	13	12	72	29	60	27	7	18	51	66	34	72	44	4	65	13	12	29	60	64	28	16	4	65	24	20	5	29	39	37	60	64	26	46	28	29	18	23	51	75	58	9	14	72	53	82	70	40	73	16	27	48	45	77	34	10	66	64	57	10	62	82	76	84	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
