step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99
1	-7097.766755223768996	-7104.622243174728283	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.565958572421348	1	2	2	1	5	3	3	4	4	4	5	6	5	6	7	8	8	7	8	9	8	10	10	10	10	10	11	10	12	11	10	12	13	12	12	12	11	13	13	13	13	16	14	14	15	13	15	15	16	15	17	16	16	17	17	19	18	20	18	20	19	22	21	21	22	22	21	23	22	23	23	24	26	24	23	25	25	24	25	25	25	26	26	25	25	25	26	28	28	29	27	29	31	31	32	35	38	38	41	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	3	2	3	3	4	4	3	4	4	4	5	5	5	5	5	5	5	6	5	5	6	6	6	6	6	5	6	6	6	6	8	7	7	7	6	7	7	8	7	8	8	8	8	8	9	9	10	9	10	9	11	10	10	11	11	10	11	11	11	11	12	13	12	11	12	12	12	12	12	12	13	13	12	12	12	13	14	14	14	13	14	15	15	16	17	19	19	20
500	-795.082433838173415	-801.937921789132815	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.318597477370601	-1	2	3	1	4	3	3	5	4	3	6	6	5	6	7	9	7	8	8	9	8	10	10	10	10	10	11	10	13	11	9	13	13	12	11	12	12	10	14	14	13	16	13	15	15	14	16	14	16	15	17	15	17	17	17	18	18	20	18	18	18	22	20	21	20	22	21	24	22	22	23	24	26	24	23	24	25	24	26	26	25	26	26	25	25	24	26	29	28	29	28	30	32	31	32	36	39	39	41	0	1	1	1	10	1	4	7	4	0	5	10	5	13	10	12	10	15	5	11	17	19	17	18	15	15	23	14	15	21	18	0	16	23	21	24	25	17	31	34	30	28	19	23	26	21	46	38	13	43	19	34	21	28	46	49	34	30	19	19	40	44	60	47	57	58	57	62	63	65	61	23	54	57	63	38	67	42	15	53	64	64	52	30	75	62	30	71	23	38	73	64	65	35	60	90	60	0	0	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	2	1	2	2	1	2	2	2	1	1	1	1	2	2	1	1	2	1	2	4	2	2	2	3	1	2	4	1	4	1	5	5	2	2	4	4	6	5	1	3	2	3	1	1	2	1	2	1	3	7	5	3	2	10	2	5	10	4	1	3	6	6	1	1	9	4	10	10	1	4	8	13	9	4	15	1	1
1000	-607.285437363208985	-614.140925314168385	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.485079488746689	-1	2	1	1	6	3	3	5	5	4	5	6	5	6	5	8	7	7	8	10	9	9	11	10	10	9	11	9	12	11	11	13	13	12	12	13	12	13	14	12	12	16	14	14	13	13	16	15	17	15	17	15	16	16	17	19	17	20	18	20	18	22	20	20	22	23	20	23	21	23	23	23	26	23	23	25	25	24	25	26	26	25	26	25	25	24	25	28	29	29	28	29	31	31	32	36	39	38	41	0	1	1	1	10	3	4	7	7	0	10	10	10	13	10	12	13	15	14	16	17	15	17	18	18	16	13	17	22	17	24	0	16	21	21	25	25	35	31	17	21	40	35	41	16	27	35	35	43	14	43	38	38	34	52	59	40	54	43	61	55	67	47	47	60	34	55	58	61	65	64	57	58	67	69	58	68	63	57	75	71	65	58	58	75	50	57	66	80	81	74	66	69	53	80	89	69	0	0	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	1	3	1	2	2	1	1	2	2	2	1	1	1	2	2	2	1	1	1	2	1	2	2	2	5	2	1	2	2	1	1	4	2	2	1	1	2	2	2	2	5	1	1	2	1	1	3	3	1	1	2	1	2	6	2	2	1	3	3	1	4	4	2	2	2	2	3	6	7	3	2	11	1	1
1500	-589.562794774509939	-596.418282725469339	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.541153085270311	0	2	1	2	6	3	3	4	5	4	5	6	5	7	8	8	8	7	9	9	8	10	11	10	11	10	11	10	13	12	9	12	13	11	10	13	12	13	12	12	13	16	13	14	15	14	15	16	16	15	16	16	15	17	17	19	17	20	18	21	19	22	21	20	23	23	22	24	21	23	22	24	27	24	23	26	24	23	25	25	25	26	26	24	25	24	26	27	28	29	26	29	30	31	33	35	39	39	42	0	1	1	1	10	3	4	7	7	0	10	10	10	13	18	5	5	5	14	12	5	5	21	18	18	5	5	21	22	35	18	0	26	35	17	31	25	34	24	35	17	38	26	34	26	41	30	38	43	14	43	30	30	44	35	59	35	50	51	53	47	47	57	48	63	55	58	58	64	61	61	66	83	58	63	86	53	63	57	75	71	64	74	67	75	62	68	65	75	82	74	88	75	81	89	95	66	0	0	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	2	1	2	2	2	2	1	1	1	2	1	2	1	1	2	1	1	1	2	1	2	1	2	2	1	1	2	1	5	2	2	2	2	3	1	3	3	1	3	2	3	2	2	1	3	1	2	1	2	1	1	1	3	1	2	4	1	4	2	2	2	1	1	1	1	2	2	3	1	1	1	3	3	3	1	9	1	1
2000	-555.923893682931293	-562.779381633890694	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.512327126382267	0	2	1	2	5	2	1	4	5	4	5	6	6	7	7	7	8	7	8	9	9	9	11	10	11	10	11	10	13	12	9	12	14	12	11	11	12	13	13	13	13	16	14	14	13	12	15	15	16	15	18	17	14	17	17	19	17	19	18	20	19	23	22	21	22	22	20	23	22	24	23	24	27	25	24	25	23	24	26	26	25	27	26	23	26	24	26	28	29	30	26	29	32	31	32	34	39	39	38	0	1	1	7	10	3	1	7	4	0	10	5	5	13	13	12	13	10	14	16	17	15	5	18	18	16	19	17	22	17	18	0	26	35	13	18	25	46	31	21	21	23	17	21	20	21	40	30	35	19	49	43	35	48	47	51	44	53	50	61	57	67	60	60	57	64	58	58	60	65	60	65	67	84	63	86	67	63	72	75	71	81	68	67	75	68	77	81	80	57	84	88	89	82	89	95	75	0	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	2	2	1	1	2	1	3	3	1	1	2	2	3	2	3	2	2	2	1	2	3	3	1	1	2	1	2	1	2	2	1	1	1	2	2	1	3	1	1	3	1	1	1	1	3	2	2	1	2	2	1	2	1	1	2	1	1	1	2	1	2	6	2	1	2	2	1	1	7	1	1
2500	-573.812597796569321	-580.668085747528721	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.560385904266078	0	2	2	2	5	3	1	4	5	3	6	6	5	5	7	7	9	8	8	9	7	9	11	11	10	9	12	11	10	11	10	12	11	10	12	13	11	13	14	13	14	15	14	14	12	13	15	14	16	15	16	17	16	17	16	19	18	19	19	20	20	21	20	21	22	22	20	23	22	23	21	24	23	25	24	26	26	24	25	26	25	26	27	22	25	23	26	29	28	29	27	29	31	31	32	35	39	38	41	0	1	1	7	10	3	1	4	4	0	10	5	10	10	13	5	21	15	14	16	13	15	21	25	18	10	10	17	22	21	18	0	26	17	17	24	25	21	31	17	27	44	27	17	19	23	38	23	43	20	43	23	23	35	30	51	30	47	51	53	57	58	57	47	61	55	47	84	63	66	60	64	62	58	69	86	68	63	72	75	66	81	73	58	75	62	62	81	80	82	84	60	75	90	89	95	96	0	0	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	3	5	1	1	2	1	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	2	1	1	2	1	2	3	2	3	2	2	2	1	2	1	1	1	3	1	3	3	1	2	1	1	1	1	3	1	2	1	2	1	2	2	1	2	2	1	2	3	2	1	2	2	5	4	1	2	2	3	1	1
3000	-541.182644483363333	-548.038132434322733	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.546496800485920	0	3	2	1	6	4	2	5	4	3	5	6	5	5	7	8	7	8	7	10	9	11	10	9	9	10	11	10	13	11	10	12	13	11	12	13	11	13	14	13	13	16	15	14	15	12	14	15	16	16	18	17	15	17	17	19	18	20	18	20	19	21	19	22	22	22	22	23	21	23	24	24	25	23	24	26	25	24	26	25	25	26	26	26	26	25	27	28	27	29	26	29	31	31	33	35	39	36	42	0	1	1	1	13	3	4	2	4	0	10	10	10	10	13	13	5	15	14	16	19	5	17	18	19	19	21	21	22	17	24	0	26	17	17	24	25	23	31	17	46	47	27	21	26	34	35	38	27	43	50	53	47	40	38	51	38	55	49	57	57	58	55	57	57	60	62	62	63	66	55	66	62	67	63	58	68	63	72	75	64	60	62	74	75	68	77	82	80	82	74	81	89	88	89	95	95	0	0	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	2	2	2	2	1	2	2	2	1	1	2	2	2	1	1	1	2	1	1	2	1	2	2	1	2	1	2	1	1	1	1	2	3	1	1	2	1	1	4	1	3	1	2	3	1	3	1	1	2	3	2	2	1	1	2	1	2	1	2	2	3	2	3	1	3	1	1
3500	-565.587124591304701	-572.442612542264101	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.717425625600621	-1	2	1	1	5	4	3	5	4	3	6	6	5	6	8	8	8	7	8	8	7	10	11	9	9	10	10	11	12	11	10	13	12	13	13	11	11	14	13	12	13	16	14	13	16	12	14	15	15	15	16	16	16	17	17	18	19	19	17	20	18	20	21	21	22	23	22	23	23	21	23	24	27	23	24	25	26	24	26	26	26	26	24	25	26	26	25	27	28	28	28	28	32	31	33	35	38	39	41	0	1	1	1	10	3	4	7	7	0	10	10	10	10	5	5	21	13	14	5	13	15	19	18	18	20	19	21	22	21	24	0	16	23	17	24	25	30	31	17	17	30	30	13	13	30	21	41	43	27	43	35	44	50	23	51	61	35	49	45	53	42	60	57	64	60	58	58	65	61	64	60	67	62	69	68	83	69	72	75	65	69	62	74	69	76	67	82	75	82	74	88	80	88	89	95	96	0	0	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	2	1	1	2	2	2	2	3	1	4	5	1	3	1	1	2	1	2	2	1	2	1	1	3	1	2	1	2	1	1	1	1	1	2	1	2	1	2	3	1	1	1	1	1	2	2	2	1	2	2	2	1	2	1	2	1	2	1	4	2	3	1	1	1	1
4000	-517.915395950160928	-524.770883901120328	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670978356977479	0	2	2	1	5	3	3	4	5	4	5	7	5	5	6	7	8	7	6	9	8	11	11	10	10	10	10	10	12	10	9	12	13	12	11	12	12	13	13	13	12	16	14	14	15	13	15	16	16	15	16	15	16	17	17	19	19	20	18	21	19	22	21	21	23	22	22	22	23	23	24	24	26	24	23	24	26	23	26	26	25	26	25	25	25	26	26	27	27	30	26	28	31	32	32	35	38	38	40	0	1	1	1	10	1	4	4	7	0	10	5	10	10	10	13	13	15	14	16	5	15	30	18	18	20	10	17	27	21	18	0	20	30	17	31	25	23	31	21	17	41	27	17	16	21	35	44	43	43	43	38	47	34	40	59	53	47	43	61	53	61	57	61	64	40	47	58	63	60	66	66	83	68	63	62	67	63	66	75	65	71	62	74	69	76	67	81	80	92	58	71	89	92	93	95	96	0	0	1	2	1	1	1	3	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	3	1	1	1	1	1	2	1	1	1	1	1	2	3	2	2	2	3	4	2	1	1	1	1	1	1	1	3	2	1	2	2	2	1	2	2	1	1	1	4	3	1	1	2	1	1	1	1	1	2	2	1	2	2	1	1	2	1	1	1	2	1	1	1	2	2	2	2	1	2	2	1	1
4500	-558.775338107162383	-565.630826058121784	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649954288059627	0	2	2	2	4	4	3	4	5	2	4	6	3	6	8	9	9	7	9	9	7	10	11	9	10	10	11	10	12	11	10	12	14	13	13	12	9	14	14	14	11	16	13	14	15	14	12	16	15	16	16	16	16	16	17	20	18	20	17	20	19	22	20	21	22	21	22	23	23	23	23	25	26	23	23	24	26	25	26	26	25	26	27	26	25	26	27	26	28	30	27	28	31	31	33	36	36	38	41	0	1	1	1	10	2	4	4	4	0	10	10	10	10	5	12	21	10	5	12	12	15	21	18	18	5	12	17	22	17	24	0	10	17	17	24	18	30	31	30	17	40	19	30	20	41	21	44	43	49	43	44	40	44	38	51	40	53	51	52	55	38	57	57	61	57	58	58	63	61	65	66	62	62	63	62	68	63	72	75	71	65	73	74	75	76	77	81	80	81	57	88	89	92	93	95	95	0	0	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	3	1	1	1	2	2	1	2	2	3	1	1	1	1	1	5	3	2	2	1	2	2	2	1	1	2	1	2	2	2	1	1	1	2	1	1	1	2	1	1	2	1	2	1	3	1	2	1	1	1	2	2	2	1	2	2	1	1	2	1	2	1	2	2	2	1	2	1	1	1	1	2	2	5	1	2	2	1	1	1	1	1
