step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114
1	-2272.707053791299586	-2271.244971706780689	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.904014616184501	-1	3	5	3	7	6	5	7	8	8	8	10	9	10	10	9	11	10	11	11	12	12	13	11	12	12	11	12	11	13	11	13	13	13	15	13	12	13	14	14	15	14	14	14	14	14	15	15	16	15	17	16	14	15	15	17	17	16	16	15	16	17	16	18	17	17	18	17	16	17	17	18	17	16	16	19	17	18	18	18	17	18	19	19	18	19	18	19	19	18	20	21	20	21	19	21	22	21	20	20	21	20	21	20	22	23	21	21	22	23	25	25	25	29	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	4	4	3	4	5	5	5	6	5	6	6	5	6	6	6	6	7	7	7	6	7	7	6	7	6	7	6	7	7	7	8	7	7	7	8	8	8	8	8	8	8	8	8	8	9	8	9	9	8	8	8	9	9	9	9	8	9	9	9	10	9	9	10	9	9	9	9	10	9	9	9	10	9	10	10	10	9	10	10	10	10	10	10	10	10	10	11	11	11	11	10	11	12	11	11	11	11	11	11	11	12	12	11	11	12	12	13	13	13	15
500	-600.382200272717000	-598.072184012913340	-2.310016259803616	0.000010000710889	0.000031894139801	3.189187264414205	0.447509877746998	0	3	5	4	8	6	6	7	9	8	8	10	9	10	10	10	10	11	12	12	11	12	13	11	12	13	11	12	11	13	11	11	12	13	14	13	12	13	15	14	15	12	15	14	14	13	16	16	16	15	17	16	14	15	16	14	17	15	15	14	16	17	16	18	16	16	18	18	16	18	17	17	15	16	16	20	17	17	18	19	17	18	19	18	19	18	19	20	19	17	20	20	21	22	20	21	21	21	20	21	22	20	21	21	22	23	22	20	21	23	25	26	26	28	0	1	2	1	2	4	2	3	8	3	7	8	8	11	5	2	11	7	10	1	10	5	24	11	14	32	13	14	11	31	5	5	15	18	26	28	14	24	14	37	23	32	14	19	26	29	18	40	38	46	53	44	12	24	73	37	11	19	20	14	46	54	32	28	56	9	73	75	18	47	41	27	12	23	53	60	56	52	40	37	19	61	72	38	72	41	45	31	69	61	86	53	14	38	71	26	81	80	66	7	76	59	61	40	97	103	57	85	95	104	44	58	25	94	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	4	1	4	1	7	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	3	1	1	1	4	1	1	1	1	1	1	1	1	1	2	2	1	1	4	1	1	2	3	1	4	3	1	3	2	1	3	1	1	3	2	2	2	4	1	1	2	5	3	1	1	3	1	2	2	6	1	1	1	2	5	4	1	4	2	1	2	11	1	3	2	4	1	1	2	1	1	1	6	8	6	3
1000	-494.503429478554892	-492.324336053318405	-2.179093425236489	0.000009996489478	0.000028185764823	2.819566297223004	0.403342286861129	0	3	5	3	5	5	4	7	9	7	7	8	9	8	10	7	8	10	11	10	12	12	13	11	12	12	11	12	10	14	9	13	14	14	15	13	10	14	15	13	15	14	13	14	14	15	14	16	17	14	16	15	14	15	15	18	16	16	16	15	16	17	15	19	16	17	17	16	16	18	17	19	16	16	16	19	17	18	18	17	17	16	19	19	18	20	19	19	20	17	21	21	20	21	19	22	22	21	19	20	21	19	21	20	22	24	21	20	21	22	25	25	26	28	0	1	4	1	4	2	4	5	14	7	5	8	2	4	14	1	8	5	10	7	4	8	24	9	15	18	37	14	5	27	6	29	17	12	33	19	5	18	22	25	19	28	29	19	8	36	36	39	39	13	40	16	43	2	18	51	24	30	36	17	41	63	2	2	32	45	5	16	53	23	48	24	28	52	4	77	39	68	68	1	57	42	47	81	42	50	54	10	70	41	79	77	39	49	38	89	76	100	39	24	71	1	80	81	103	93	48	67	64	78	78	33	67	98	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	1	2	3	3	4	2	1	2	1	1	1	2	2	2	2	2	4	3	1	1	2	2	2	1	2	1	1	1	3	1	1	1	1	3	2	4	1	6	3	1	1	1	1	3	1	1	4	9	2	1	6	3	1	2	1	5	2	1	7	2	1	1	1	10	1	1	2	1	2	3	2	7	1	1	1	2	2	2	3	1	2	1	1	4	1	9	2	2	1	2	3	2	1	2	3	5	9	2
1500	-720.316996414421510	-716.716136756239166	-3.600859658182302	0.000009972164411	0.000080083132227	8.030667057482527	0.564770976555964	-1	2	5	3	7	5	6	8	8	8	9	10	9	11	9	8	10	10	11	12	12	13	12	10	12	13	11	11	10	12	11	14	13	13	14	14	13	13	13	14	14	15	14	14	15	14	15	15	16	15	17	15	15	15	16	16	18	16	15	15	16	18	16	18	15	18	18	17	15	16	15	19	17	17	16	20	18	18	16	16	16	17	19	20	18	19	18	20	19	17	20	20	20	21	17	22	23	20	19	20	21	21	22	21	21	23	21	21	22	22	25	24	24	27	0	1	2	2	2	4	3	6	3	6	9	15	5	24	10	4	5	1	12	29	5	19	24	6	12	31	17	11	4	27	16	11	30	4	19	30	11	18	2	22	3	44	4	29	31	14	37	28	33	37	54	34	13	46	22	52	51	60	39	11	65	41	34	4	43	52	73	47	44	33	25	31	34	47	11	73	45	51	9	19	38	35	48	62	55	48	75	21	54	63	75	73	89	89	41	87	94	64	69	58	89	29	72	45	58	72	71	61	98	52	96	48	2	104	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	4	2	3	1	1	3	1	1	3	1	2	1	1	3	1	1	4	1	5	2	2	2	2	4	1	5	1	3	2	2	1	1	2	1	1	1	1	3	1	1	1	1	1	1	3	1	2	2	9	1	1	1	1	1	1	1	3	1	1	4	1	1	1	4	4	2	1	2	1	1	3	1	4	2	1	2	2	1	1	1	2	1	1	2	3	1	5	3	2	2	2	2	3	1	5	1	3	5	2
2000	-665.849426523002194	-662.778362313989987	-3.071064209012232	0.000010161761384	0.000058436689395	5.750645698969048	0.659528723645057	-1	4	6	3	7	6	5	7	8	8	9	11	8	10	10	9	11	10	11	9	12	12	13	11	12	12	10	13	12	14	12	12	13	12	15	12	12	13	13	15	15	15	14	14	14	14	15	15	16	16	16	16	13	16	16	16	18	14	16	15	17	17	16	18	17	16	18	18	15	17	17	17	18	16	16	20	17	18	18	18	17	19	19	19	19	19	18	18	18	18	20	21	21	21	19	21	22	21	21	19	21	21	21	19	22	23	20	19	22	23	26	25	25	29	0	4	4	1	2	2	2	3	8	6	7	9	7	10	13	5	11	13	5	2	9	27	17	8	15	13	13	25	27	21	16	13	19	18	46	15	19	26	8	31	15	53	1	38	17	37	36	30	41	46	44	44	12	30	28	43	53	37	35	34	36	53	48	21	31	26	65	20	16	63	54	37	48	31	37	53	54	50	49	49	35	87	63	88	63	77	55	23	63	66	65	108	107	81	70	89	90	108	104	44	91	28	79	73	73	84	35	59	59	93	99	35	108	109	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	3	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	1	2	1	3	1	2	1	1	1	1	1	1	1	1	1	2	1	4	1	1	2	2	2	1	3	3	2	1	3	3	1	1	2	3	2	3	3	1	1	1	1	1	1	1	1	2	1	2	3	1	1	1	1	1	1	1	1	2	1	1	3	1	5	1	1	2	2	2	1	2	1	3	8	4	3
2500	-874.174764527956540	-870.699986239909776	-3.474778288046713	0.000010292235637	0.000076640044778	7.446394299812685	0.652292376985206	0	3	6	4	8	6	6	7	8	8	8	8	7	10	11	10	12	11	10	12	12	11	13	11	11	12	11	11	11	14	12	12	14	13	14	12	12	13	15	14	15	14	14	14	13	13	16	16	17	16	17	16	14	15	15	16	16	17	15	15	15	18	15	18	17	15	19	17	17	16	18	19	17	16	16	19	16	18	18	17	17	19	17	19	18	20	17	19	19	18	20	21	21	20	19	21	21	22	20	19	21	21	18	21	23	23	20	21	20	23	23	25	26	28	0	1	2	2	6	1	4	3	3	7	8	8	3	11	11	11	15	7	12	8	5	5	26	13	3	5	16	12	12	9	25	7	25	26	38	14	28	18	37	17	31	38	28	27	14	29	23	53	63	40	38	53	14	46	14	42	19	33	15	20	17	77	19	19	77	31	77	60	56	55	58	22	77	38	4	81	35	73	56	29	40	52	60	69	50	81	39	55	60	52	71	76	72	64	49	94	82	95	79	11	70	53	35	68	81	88	66	79	71	108	62	59	111	110	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	4	2	1	1	2	1	2	1	1	1	2	1	3	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	2	1	1	4	1	1	1	1	1	1	1	3	1	1	6	1	1	1	1	3	1	2	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	2	1	4	2	6	2	2	2	2	2	2	1	1	3	4	1	2
3000	-806.454635015802296	-804.872560057882993	-1.582074957919325	0.000010513150132	0.000013758019546	1.308648632688338	0.567084855189654	-1	3	5	3	7	6	5	7	9	8	9	10	9	10	11	9	11	8	12	12	13	12	13	12	13	10	12	11	12	13	11	14	12	13	15	12	12	14	13	15	14	15	14	15	14	14	14	15	16	14	17	17	15	14	16	18	17	16	16	15	15	18	16	18	18	18	18	18	16	16	15	16	17	15	14	19	17	17	18	18	17	18	18	20	18	20	16	18	19	17	21	19	20	21	16	21	23	21	20	19	22	20	21	20	22	24	20	21	22	22	24	25	25	29	0	1	2	1	3	4	2	4	10	5	18	4	5	18	8	8	18	7	14	17	10	11	20	10	15	10	9	10	12	7	10	19	26	17	31	15	31	27	10	43	2	25	21	29	20	22	25	30	23	31	60	36	23	27	45	42	37	50	31	30	46	58	13	71	38	51	87	8	37	30	39	7	31	18	2	45	46	71	81	75	35	15	16	52	46	59	43	45	73	32	37	80	53	57	7	89	56	76	34	44	86	33	74	63	76	81	65	36	66	64	110	108	108	106	1	1	1	2	1	1	1	2	1	1	1	4	1	1	3	1	1	2	1	1	2	1	1	2	1	1	1	2	1	3	1	1	2	1	3	1	1	1	2	1	3	1	1	1	1	2	1	1	2	1	1	3	1	1	1	1	3	1	2	1	1	1	2	2	2	1	1	6	3	2	1	6	3	4	5	2	2	1	1	2	2	4	3	2	2	2	2	1	2	2	5	1	3	2	4	1	2	1	3	2	1	5	3	2	2	3	1	3	2	1	1	3	2	2
3500	-801.288968235979269	-796.916587868917304	-4.372380367061966	0.000010222063225	0.000125185692093	12.246616885753966	0.524573566908313	0	4	5	2	8	6	6	7	9	8	8	11	10	10	11	10	10	8	11	10	13	11	14	11	11	12	11	13	10	12	12	14	12	13	14	14	12	14	12	14	16	14	14	13	14	14	15	16	16	15	17	16	14	15	15	17	17	17	14	15	15	18	16	18	17	18	19	17	16	17	18	18	17	16	17	18	17	17	16	19	17	16	19	19	19	17	19	18	20	18	21	22	20	19	19	21	22	22	20	21	22	20	21	20	23	22	18	22	22	24	26	26	25	29	0	4	1	1	6	2	2	2	10	3	7	5	5	10	9	5	10	1	5	10	27	7	9	17	10	27	18	25	11	16	14	14	14	9	20	27	17	10	14	39	25	12	31	7	26	19	22	60	39	30	17	55	39	21	39	21	22	55	15	44	37	42	11	54	19	48	77	17	37	69	82	39	25	27	22	52	82	69	40	81	45	35	15	64	66	34	36	29	58	77	48	104	40	58	56	36	107	41	52	22	103	24	81	74	104	89	52	67	80	82	106	10	107	99	1	1	3	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	3	2	1	1	1	1	1	1	1	1	2	1	2	3	1	1	2	2	1	2	2	1	3	1	1	2	1	2	1	2	1	1	1	1	3	2	1	2	1	1	2	4	3	3	1	1	4	2	1	1	5	5	3	3	1	1	1	2	2	2	2	3	1	1	3	2	3	1	1	3	1	3	1	1	2	1	2	1	4	1	6	2	2	1	1	1	2	1	4	2	7	5	4
4000	-778.138878176547792	-775.624943930811810	-2.513934245735988	0.000011227510050	0.000042697528619	3.802938356671944	0.561559677877878	-1	4	5	3	7	6	6	8	8	8	8	11	10	10	9	9	11	11	10	11	13	13	13	10	12	12	11	12	11	13	12	14	13	13	15	13	13	13	13	15	14	13	15	13	15	13	15	15	16	16	17	16	14	15	15	17	16	16	16	14	16	17	16	17	18	17	18	17	15	17	17	19	16	16	16	19	18	18	19	16	16	17	19	20	19	20	17	17	18	17	20	21	20	21	19	20	22	22	19	18	21	19	21	20	21	23	21	21	23	23	24	25	24	29	0	4	4	1	7	2	3	3	5	7	6	15	11	9	7	2	10	2	2	9	24	14	17	10	29	12	13	5	9	29	18	8	18	18	42	25	28	18	8	21	42	27	12	18	46	18	21	31	40	33	30	32	27	20	31	28	34	69	32	7	12	35	2	7	74	47	5	47	46	54	47	16	2	32	29	82	35	49	100	30	46	54	61	67	67	61	73	24	80	38	79	99	33	99	20	58	84	54	51	62	64	24	74	73	85	102	75	85	108	85	69	61	14	101	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	5	3	1	2	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	2	1	1	2	1	2	2	2	2	1	1	1	4	3	1	4	5	1	1	5	1	1	1	1	5	4	1	3	1	2	1	1	2	2	1	2	1	1	2	1	5	1	2	1	1	4	1	4	3	2	3	2	1	3	4	2	2	1	2	3	1	1	2	4	4	4	4
4500	-686.060817657633493	-683.687987460520617	-2.372830197112870	0.000013416131219	0.000045254317108	3.373127198130110	0.664531128260034	-1	4	5	3	7	7	5	6	9	8	9	10	9	10	10	10	11	9	11	11	11	12	13	12	13	11	11	11	12	14	11	10	12	12	14	14	13	14	14	14	15	15	13	14	14	12	16	15	16	15	17	16	14	16	15	17	16	16	14	14	16	18	17	18	18	16	19	16	15	18	17	18	16	17	17	20	17	18	18	19	16	17	19	20	19	19	18	18	19	18	19	19	20	21	18	21	22	20	21	21	20	21	21	20	19	23	22	20	22	23	24	24	25	29	0	1	2	1	7	7	2	3	8	3	8	10	6	10	2	7	14	5	15	4	11	12	26	19	28	13	16	6	14	34	18	5	11	17	11	18	26	13	27	46	24	43	4	16	28	11	27	25	36	43	48	59	37	30	40	59	22	45	43	46	36	61	31	55	42	59	43	43	16	27	48	55	4	59	33	64	58	58	61	14	38	52	53	74	65	23	58	42	87	74	15	88	88	62	41	85	68	87	74	69	90	11	65	62	81	78	98	62	83	107	56	75	46	96	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	3	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	2	1	3	1	1	2	2	5	2	1	2	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2	1	2	3	1	2	7	2	2	1	1	1	1	5	1	1	3	1	1	2	1	2	1	1	3	1	1	2	1	1	3	1	2	3	1	3	1	1	2	2	1	1	1	1	4	2	7	4
