step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
1	-481.177799124838998	-488.033287075798398	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.086475888837416	4	9	8	10	11	14	14	12	15	13	17	15	13	14	16	15	16	19	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	4	5	5	4	6	5	7	6	5	5	6	6	6	8	8	9
500	-153.062370250236569	-159.917858201195941	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.142501234175752	4	8	9	10	11	14	14	12	15	11	18	16	12	14	16	15	16	20	20	20	0	1	2	0	2	2	10	3	3	2	2	13	3	1	14	13	14	3	9	9	1	2	1	1	1	3	2	2	3	2	3	3	2	6	2	2	2	6	4	3
1000	-146.193433449416375	-153.048921400375747	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.309689054112488	5	7	8	11	12	14	14	12	15	13	17	14	13	14	17	15	17	19	20	20	0	1	2	0	1	2	2	3	3	2	5	8	3	1	14	13	14	8	18	8	1	1	1	1	4	3	4	2	5	3	2	1	2	5	2	1	2	4	1	4
1500	-134.033082231952619	-140.888570182911991	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616325762321450	3	8	9	10	11	14	12	12	16	11	18	16	14	14	15	15	16	19	18	21	0	1	2	0	2	2	10	3	8	2	6	13	8	1	14	13	14	9	9	18	1	2	1	1	1	3	1	2	2	2	2	1	1	6	1	1	2	2	1	2
2000	-145.674841579279672	-152.530329530239044	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724235576686038	3	8	9	11	11	15	14	12	16	11	16	16	12	14	16	16	16	17	20	21	0	1	2	0	3	10	10	3	3	2	2	13	3	2	14	13	14	9	18	18	1	2	1	1	1	2	2	2	3	1	4	2	2	3	1	2	1	1	2	2
2500	-130.464291896918354	-137.319779847877726	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.692471828698828	5	7	9	11	9	14	13	11	14	14	18	13	14	14	16	16	15	19	21	21	0	1	2	0	2	2	5	3	8	7	6	3	12	1	14	13	14	9	18	18	1	1	1	1	1	3	2	1	1	1	2	2	1	4	2	1	1	2	1	1
3000	-129.609021931309286	-136.464509882268658	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.555748172202010	5	7	9	10	11	14	15	12	16	13	17	15	13	14	15	16	16	19	21	21	0	1	2	0	2	10	10	3	10	2	10	13	3	1	14	13	14	9	9	18	1	1	2	1	2	1	1	1	2	3	2	1	2	5	1	1	1	2	2	1
3500	-121.690335240177802	-128.545823191137174	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.678457890549403	5	8	9	10	11	14	13	11	15	12	17	15	13	14	16	15	16	19	19	22	0	1	2	0	2	10	5	3	3	5	7	13	3	1	14	13	14	9	9	9	1	1	1	1	2	1	1	1	3	1	2	1	2	4	1	1	1	2	2	4
4000	-139.117458033171630	-145.972945984131002	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.475739480269237	5	7	9	11	10	14	14	13	15	12	17	15	13	13	16	14	15	19	19	22	0	1	2	0	2	10	2	3	3	2	10	13	3	1	14	13	14	9	9	9	1	1	2	1	1	1	4	3	2	2	2	1	2	5	2	1	1	2	3	4
4500	-129.619697736611386	-136.475185687570757	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.567300657975589	4	7	9	10	10	14	12	11	16	13	18	15	13	14	16	16	16	19	21	20	0	1	2	0	2	5	5	3	12	2	7	3	3	1	14	13	14	9	18	9	1	2	1	1	1	2	1	1	1	2	2	3	2	4	1	1	1	2	1	2
