step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58
5000	-302.896610585472445	-300.762236429120833	-2.134374156351619	0.000009467061620	0.000025536059254	2.697358512884402	0.723648703699943	0	1	2	2	4	3	3	4	4	4	5	5	5	8	6	6	7	6	7	8	6	8	8	8	9	9	10	9	10	10	10	11	12	12	11	13	12	13	14	15	13	13	14	13	14	17	15	17	13	15	16	16	16	16	18	17	18	18	0	1	2	2	6	2	4	7	7	7	7	7	10	18	11	12	21	4	16	17	11	12	19	17	24	24	24	0	25	24	21	25	28	27	31	37	25	33	38	44	31	33	44	35	34	39	43	53	31	44	43	47	43	50	50	53	54	56	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	3	1	1	1	2	1	1	1	1	2	1	1	2	3	2	2	2	1	1	2	1	1	2	3	1	1	1	1	3	1	1	2	1	1	1	2	1	2	1	2	1
5500	-295.907786338324854	-294.370919345902792	-1.536866992422086	0.000013917986967	0.000016649420678	1.196252066944316	0.758884386775741	0	1	2	2	3	3	3	4	4	4	4	5	5	8	6	6	7	4	7	8	6	8	8	7	9	8	9	9	11	9	10	11	12	11	12	13	12	13	14	15	13	14	14	13	14	17	15	17	15	15	16	16	16	17	18	17	17	18	0	1	2	2	2	2	4	7	7	4	7	11	10	11	12	12	21	7	16	21	12	16	19	21	24	24	24	0	25	24	20	25	28	27	31	37	25	33	33	44	35	38	44	35	30	39	43	53	44	44	40	47	43	50	54	53	50	56	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	2	2	2	2	2	1	2	1	2	2	1	1	1	1	2	3	1	1	1	2	1	1	1	2	1	1	2	1
6000	-290.118463992683814	-288.580642089761284	-1.537821902922508	0.000016148849534	0.000019356942854	1.198657700816962	0.623259860083760	0	1	2	2	4	2	3	4	4	4	3	5	5	8	6	6	7	5	7	8	6	8	8	7	8	9	10	9	11	9	10	10	12	12	12	12	12	13	14	15	13	13	14	13	15	17	15	17	15	14	16	16	16	17	17	17	16	18	0	1	2	2	2	2	4	7	7	4	4	11	10	12	12	18	16	4	16	17	11	16	19	21	24	24	24	0	32	24	20	25	28	30	31	25	32	33	33	44	35	33	44	31	27	39	43	53	44	44	43	47	43	50	57	53	50	56	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	3	1	1	2	1	1	1	1	2	2	1	1	2	1	2	3	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	1	2	2	1	1	2	1
6500	-276.339242699829754	-274.914902694178124	-1.424340005651611	0.000045687828300	0.000016673837897	0.364951421803347	0.632752123296817	0	1	2	2	5	3	3	4	4	4	4	5	5	8	6	6	7	6	7	8	5	8	8	8	9	8	10	9	11	10	11	11	11	12	12	13	11	13	14	15	13	14	13	13	15	17	14	14	14	15	15	16	16	16	17	17	18	18	0	1	2	2	1	2	4	4	6	4	7	7	10	12	12	7	21	12	16	17	7	18	19	21	24	21	24	0	25	24	27	25	28	27	12	37	25	33	38	44	31	38	35	35	30	39	43	43	41	44	43	47	48	50	50	53	54	56	1	1	1	1	4	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	2	2	2	4	2	2	2	1	2	2	1	1	1	4	2	1	1	1	2	2	2	2	1	1	1	2	1
7000	-289.513143880650830	-288.057103838805574	-1.456040041845249	0.000081374561745	0.000026872522991	0.330232475784458	0.601487466275176	-1	1	2	2	2	3	3	4	4	4	5	5	5	7	6	6	6	5	7	8	7	8	7	8	9	9	10	9	11	10	11	11	12	11	12	12	11	13	14	14	13	14	14	13	14	17	15	17	12	15	15	16	16	17	18	17	17	18	0	1	2	2	1	2	4	2	4	7	7	2	5	11	12	18	12	8	2	17	6	21	12	17	21	24	21	0	25	24	21	27	28	27	20	32	25	33	33	44	35	33	31	35	34	33	43	51	31	40	35	47	51	50	54	53	50	48	1	2	1	1	3	2	1	2	2	1	2	3	2	1	1	1	1	1	3	2	3	1	2	2	2	1	3	1	1	2	3	1	2	1	3	1	2	1	2	1	1	2	3	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1
7500	-272.496203343245895	-270.938672851496563	-1.557530491749350	0.000088606030241	0.000023050397213	0.260144790940676	0.672564735480285	0	1	2	2	5	2	3	4	4	4	5	5	5	8	5	6	7	6	7	5	7	8	8	9	9	9	10	9	11	8	12	10	12	12	12	13	12	12	13	15	13	14	14	13	15	17	15	15	15	14	16	16	16	17	16	17	18	16	0	1	2	2	1	2	4	7	7	4	7	4	10	18	4	11	16	12	11	7	20	19	19	30	30	18	24	0	25	21	27	25	28	24	18	32	32	28	38	44	17	33	41	35	34	38	43	43	44	31	43	47	48	55	50	53	54	48	1	1	1	1	3	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	1	1	1	1	3	1	1	2	1	1	1	2	2	3	2	2	2	1	2	3	1	1	1	2	3	1	1	2	2	1	1	1	1	2	1	1	1
8000	-316.972610010047276	-315.314338485790472	-1.658271524256824	0.000129641129373	0.000028167397568	0.217272077961624	0.619068446199272	0	1	2	2	5	3	3	4	3	4	4	5	5	8	6	5	7	4	7	8	7	8	8	8	8	9	10	9	11	10	12	11	11	12	12	13	9	13	14	15	13	14	14	13	15	17	14	15	14	15	16	16	16	17	18	17	18	18	0	1	2	2	6	2	4	4	4	4	4	11	18	8	7	7	10	7	11	10	11	19	19	17	21	24	26	0	37	24	14	25	28	32	24	37	25	33	33	44	34	38	44	27	30	39	31	43	35	30	43	47	50	50	31	48	56	56	1	1	1	1	1	2	1	2	1	2	2	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2	1	2	2	2	1	1	1	1	3	2	2	1	1	4	1	2	1	2	3	2	1	1
8500	-309.418872598305029	-307.907710059931048	-1.511162538374005	0.000097715336221	0.000028054571150	0.287105097671601	0.648031298722333	-1	1	2	2	5	3	3	4	4	4	4	5	5	6	6	5	7	6	7	8	7	8	8	9	9	9	8	9	10	10	12	11	11	12	12	13	11	13	14	14	13	14	14	12	15	17	13	17	15	14	15	16	16	17	18	17	16	18	0	1	1	1	6	1	4	6	7	4	4	11	10	12	12	10	3	12	18	21	12	14	19	27	27	17	21	0	25	25	21	25	28	30	20	29	25	33	38	35	44	33	31	17	30	42	17	43	44	44	43	47	44	50	40	53	50	48	1	2	1	1	1	3	1	1	1	2	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	2	2	2	3	2	2	1	1	1	2	2	4	2	2	2	3	2	2	1	2	2	2	4	1	2	1
9000	-288.078621495586788	-286.526572900912981	-1.552048594673801	0.000110623359277	0.000029096464074	0.263022785282405	0.648934635683214	-1	1	2	2	5	3	3	4	4	4	5	3	5	7	6	6	7	5	7	8	6	8	8	9	9	8	9	9	11	10	11	11	12	12	12	13	10	13	13	15	11	14	13	14	15	15	14	17	14	15	13	16	15	17	17	17	18	18	0	1	2	2	6	2	4	7	12	7	7	4	10	11	12	11	21	7	18	21	18	11	16	26	26	18	20	0	25	27	21	37	28	30	17	37	25	33	33	30	20	33	31	35	34	39	35	53	34	44	35	47	43	50	40	40	50	56	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	2	1	1	1	3	1	1	2	1	2	1	2	2	4	2	1	1	1	2	1	2	1	1	2	2	1	2	1	1	1	2	1	2	2	2	2	1
9500	-287.497432789761149	-286.082605890510251	-1.414826899250909	0.000091968700711	0.000034749879858	0.377844631807936	0.636755425440439	0	1	2	2	5	3	3	4	3	4	4	5	5	8	4	5	6	4	7	8	7	8	8	8	9	7	10	9	11	10	12	11	11	12	12	12	12	13	14	15	13	13	14	14	15	15	15	17	15	15	16	16	16	17	18	17	18	18	0	1	2	2	6	2	4	7	4	7	7	10	10	15	7	18	18	7	11	21	17	9	12	17	24	17	20	0	24	12	30	30	28	24	30	25	25	33	33	44	31	33	30	35	34	33	31	43	44	44	43	47	43	50	54	51	54	53	1	1	1	1	2	2	1	1	1	1	1	1	1	3	1	1	2	1	2	1	1	3	3	1	1	1	2	1	2	3	2	1	1	2	1	2	2	2	2	1	1	2	2	1	3	2	2	3	1	1	2	1	2	2	1	1	1	2
