step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42
1	-3060.384176134483823	-3067.239664085443110	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670081891237518	0	6	10	11	12	15	15	20	33	22	28	31	26	26	28	27	26	29	28	31	31	31	32	35	32	30	34	38	31	34	35	34	40	49	40	43	42	41	45	48	47	55	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	4	6	4	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	5	6	7	5	6	6	6	7	8	7	7	7	7	8	8	8	9
500	-358.355362192388213	-365.210850143347614	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.372399033952695	-1	6	4	2	12	13	14	20	25	22	29	28	21	15	23	24	20	27	23	30	19	31	27	32	27	29	34	36	33	28	35	28	40	47	39	43	44	42	46	42	45	56	0	3	1	0	0	4	4	7	5	6	6	5	5	0	5	8	5	8	14	17	6	13	5	15	15	13	20	22	9	21	14	17	20	20	7	9	21	0	30	12	20	36	1	1	1	1	1	2	2	1	3	2	3	2	2	1	2	1	1	2	2	1	2	2	2	2	1	2	1	2	2	2	3	1	2	4	3	4	6	1	2	2	2	3
1000	-320.060736381898437	-326.916224332857837	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.698612196288902	-2	5	11	9	2	16	14	20	28	21	29	30	21	22	26	26	22	25	29	27	28	33	31	33	34	29	35	39	25	35	33	31	40	41	32	38	40	36	42	43	45	50	0	1	2	0	0	4	4	6	17	6	4	9	5	0	5	8	5	8	14	5	10	26	15	12	9	15	9	12	17	21	19	20	27	15	21	32	35	0	30	9	24	36	1	1	1	1	1	2	1	1	1	1	3	1	2	1	5	1	2	2	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	2	2	3
1500	-320.716416182880721	-327.571904133840121	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.679885120321918	0	7	9	11	11	15	14	20	28	16	24	23	27	25	28	27	19	27	28	31	33	30	30	34	30	26	20	39	31	35	36	32	41	48	40	43	44	42	45	49	44	57	0	1	1	0	0	4	4	7	27	7	6	17	5	0	17	8	5	8	14	15	11	13	17	22	17	12	5	20	27	21	19	12	20	24	30	25	35	0	21	33	33	13	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	2	1	1	2	1	2	1	2	1	2	1	3	1	2	2	1	2	1	1	1	1	2	2	1	5
2000	-321.875477238743997	-328.730965189703397	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.735209563902348	-4	2	7	8	13	13	16	20	31	19	22	29	25	23	23	28	27	29	28	27	33	32	31	27	34	32	31	36	32	27	35	33	39	45	33	38	40	41	42	44	45	48	0	1	2	0	0	4	6	7	5	7	6	5	5	0	5	8	5	8	14	5	11	13	15	5	9	20	5	20	24	6	19	15	28	25	30	32	35	0	21	27	33	24	1	1	1	1	1	1	1	1	3	1	1	3	2	1	2	1	3	1	1	2	2	1	1	2	1	1	3	2	1	2	2	2	1	2	1	1	2	1	2	2	1	2
2500	-312.179487222951138	-319.034975173910539	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.696529139513630	0	4	11	12	15	15	16	22	26	20	19	29	27	21	23	26	19	25	22	28	33	32	34	32	31	31	30	39	31	33	36	35	36	48	37	42	41	41	45	50	42	56	0	1	2	0	0	4	4	7	5	4	4	17	15	0	5	8	5	8	14	17	11	27	17	17	9	9	17	24	15	11	19	24	23	36	21	32	35	0	30	28	9	36	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	2	2	1	2	2	1	1	1	1	2	1	1	2	2	2	2
3000	-322.698451245036097	-329.553939195995497	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600446761006446	1	4	10	8	12	16	16	20	20	23	19	26	24	21	18	27	26	29	24	27	26	31	34	24	32	29	29	36	30	32	33	29	38	44	39	45	43	39	42	46	47	50	0	1	2	0	0	4	4	7	5	6	4	9	9	0	5	8	5	8	14	15	6	17	17	5	9	13	24	15	20	21	14	9	20	17	30	33	35	0	30	33	27	36	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	2	3	1	1	1	2	1	1	1	2	1	1	3	1	1	2	2	2	2	1	1	1	1	2	1	2	1
3500	-291.871169189189004	-298.726657140148404	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.825770800380338	-2	2	10	12	11	15	15	20	28	18	24	24	27	22	26	26	23	31	27	28	29	32	30	34	29	31	32	33	29	34	27	34	38	47	38	40	42	38	43	46	49	49	0	1	2	0	0	4	4	7	17	7	6	5	12	0	17	8	5	8	14	17	11	9	15	12	15	17	20	27	15	21	14	12	20	24	30	32	35	0	30	33	40	36	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	2
4000	-307.066385311287775	-313.921873262247175	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.701671739223226	-4	0	11	9	13	17	14	19	30	22	27	28	24	22	22	28	24	29	30	28	24	28	31	34	29	30	30	38	32	31	37	36	39	42	37	42	40	42	44	49	44	49	0	1	2	0	0	4	4	7	12	7	10	13	5	0	5	8	15	8	14	17	6	13	17	12	12	5	12	24	12	21	19	25	20	25	30	32	35	0	21	33	33	36	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1
4500	-316.241205081286239	-323.096693032245639	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.751072412717808	0	7	11	12	12	16	16	21	20	21	26	30	21	18	27	23	24	30	26	30	29	32	32	34	30	31	28	31	33	36	33	34	36	49	39	44	43	40	45	46	41	53	0	1	2	0	0	4	4	7	5	6	6	15	5	0	17	8	5	8	14	15	10	15	25	20	9	13	5	15	25	21	14	9	28	25	30	32	21	0	30	20	33	36	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	3	1	1	1	2	1	1	2	2	2	2	1	1	2	3	1	1	4	1	2	2	1	1	2	1	1
