step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86
1	-735.846394457659585	-744.897237838110982	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.586740764431434	-1	0	2	3	5	3	4	4	5	6	7	7	5	6	9	6	7	6	6	7	6	8	8	9	8	7	8	8	10	8	9	13	9	8	9	10	9	11	11	10	9	10	9	9	10	9	10	10	9	11	11	13	11	10	10	10	10	11	12	14	11	11	12	16	13	18	12	11	12	13	17	13	13	15	13	14	17	14	14	18	14	18	16	17	18	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-259.737270531945853	-268.788113912397193	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991301553035076	0	1	3	4	6	3	5	4	5	7	7	8	4	6	9	6	8	6	6	8	6	5	7	8	8	6	5	6	11	8	9	11	8	9	9	10	9	11	12	10	8	11	10	9	7	10	10	7	8	12	5	13	10	9	9	10	7	11	8	12	10	7	10	16	13	17	11	10	11	14	12	12	13	15	13	13	17	12	14	19	15	18	15	10	19	13	0	1	2	2	27	2	8	3	13	9	16	26	6	27	20	4	62	7	8	19	9	8	27	5	4	27	4	13	63	51	51	41	45	21	11	49	41	36	55	20	16	55	37	20	51	24	25	22	14	84	3	12	55	11	21	25	7	47	23	56	31	7	20	81	23	74	35	51	31	31	40	55	67	69	17	40	64	58	72	52	86	81	39	25	66	34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-265.402454907981451	-274.453298288432791	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.966228044475642	-2	0	2	3	4	4	4	4	5	5	7	7	4	2	6	7	6	7	7	5	3	7	8	7	8	7	7	7	11	9	8	14	8	5	3	11	9	11	11	8	8	11	9	10	9	10	11	10	8	11	11	13	10	10	9	11	9	9	12	15	12	11	12	15	10	17	12	10	11	9	17	13	11	16	13	15	18	12	14	19	13	18	16	15	18	18	0	1	2	14	35	35	14	4	35	6	9	35	21	2	8	20	13	4	10	35	14	7	3	6	18	2	15	8	13	26	9	81	18	13	14	46	49	5	57	11	19	58	25	41	49	58	18	43	28	27	57	63	41	23	41	41	24	19	58	61	69	11	42	32	43	60	45	11	34	17	38	53	48	64	54	81	60	46	52	85	29	83	51	56	83	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-247.400709954654417	-256.451553335105757	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999437054264135	-1	1	1	2	5	3	4	3	6	6	6	7	5	6	9	4	7	6	5	7	6	9	8	10	8	7	9	8	10	8	9	11	9	9	8	9	9	12	10	10	9	9	9	8	11	7	7	10	4	12	11	10	11	10	10	9	11	11	12	14	11	12	12	16	11	16	13	7	10	14	15	12	13	15	13	11	16	15	15	18	13	17	13	17	19	15	0	1	1	3	49	4	8	3	5	16	49	5	49	1	44	8	11	4	6	13	7	30	21	15	47	6	25	14	25	8	20	15	20	46	16	21	46	76	23	30	26	12	21	11	20	13	11	46	2	29	39	37	54	68	34	28	54	15	57	50	56	42	56	55	15	60	54	5	31	48	70	58	22	73	76	43	70	63	62	66	42	73	72	55	66	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-261.210363788731399	-270.261207169182740	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990657778587156	-3	0	3	4	5	2	3	4	6	6	6	8	4	4	10	7	7	7	6	6	7	8	8	8	5	6	9	8	9	7	9	14	8	7	9	9	9	11	11	10	10	5	9	8	10	7	10	10	7	9	11	13	10	10	9	5	10	11	13	12	12	9	12	15	13	19	12	11	11	13	15	14	12	16	13	11	17	14	11	10	13	17	16	15	12	14	0	1	2	7	3	2	2	7	8	5	56	9	6	7	46	26	26	56	3	13	6	11	46	49	6	8	11	11	16	26	34	38	18	10	25	22	11	57	40	9	5	6	49	34	35	10	24	50	25	34	50	63	44	28	44	14	21	80	58	53	51	18	54	68	18	74	41	22	80	69	65	63	16	15	39	55	32	85	62	25	61	84	52	60	57	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-253.335069468202278	-262.385912848653618	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999214845159554	-1	0	1	3	5	4	4	4	3	6	8	7	6	6	9	5	8	7	7	7	6	9	8	10	8	6	9	9	11	9	9	11	8	9	8	11	8	8	10	10	9	8	10	9	10	7	10	10	9	9	8	14	11	7	11	10	11	11	12	14	12	8	12	16	14	17	12	10	13	14	18	12	8	13	12	13	17	14	13	18	13	18	16	17	13	14	0	1	1	2	9	2	9	2	1	16	18	10	9	7	42	9	26	5	6	10	5	20	5	41	18	16	35	19	39	13	11	51	14	21	18	42	18	8	37	35	38	12	33	13	37	10	17	73	42	8	16	85	50	5	50	42	47	62	44	13	33	26	68	86	29	64	43	31	10	68	86	55	21	34	29	58	70	47	36	79	24	64	60	65	59	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-260.527341653668998	-269.578185034120338	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999879486938698	-1	0	3	2	5	3	4	4	6	5	5	8	5	6	10	5	6	7	6	8	7	9	6	7	8	7	8	8	8	9	8	14	10	6	6	9	6	10	11	9	9	11	8	9	9	10	9	11	9	11	9	12	12	9	11	10	7	12	11	14	11	9	13	15	13	18	12	12	8	11	18	13	12	11	12	14	17	15	14	18	11	17	17	16	17	16	0	1	4	1	8	4	6	4	11	2	8	8	3	5	35	4	16	23	5	14	2	25	5	2	18	19	35	18	19	23	7	75	30	7	10	5	11	40	20	17	37	56	34	27	7	47	28	30	18	46	31	19	40	24	47	14	17	46	46	81	51	12	42	72	44	85	42	33	57	47	82	61	33	17	44	70	81	65	75	82	30	64	84	76	48	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-262.997729364514555	-272.048572744965895	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983997119696648	-2	1	3	4	4	2	4	5	5	6	3	6	5	7	8	7	7	6	7	7	5	6	6	10	9	6	4	7	11	7	8	13	6	8	3	10	9	10	10	9	8	9	7	8	11	5	10	9	7	10	11	12	12	11	8	7	10	9	13	14	11	9	10	16	12	19	13	11	13	12	16	12	13	14	13	15	15	14	12	13	14	16	13	17	18	17	0	1	2	2	3	1	6	35	6	27	2	13	4	27	13	33	27	4	10	46	11	5	8	56	30	7	3	12	38	8	22	40	5	33	2	42	49	19	25	17	33	44	10	56	15	4	31	16	26	19	57	39	68	30	10	18	40	14	52	32	24	10	15	78	38	67	79	36	31	25	69	37	50	53	57	80	68	79	36	42	73	83	48	74	71	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-258.584926325278957	-267.635769705730297	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987804571691343	0	1	3	3	5	4	5	2	5	6	8	8	6	4	10	6	7	5	5	7	6	7	6	4	9	8	8	9	9	7	9	11	10	7	8	9	6	11	9	9	10	10	9	9	11	10	8	10	6	8	10	12	10	11	9	8	9	12	13	15	11	10	12	15	13	16	13	11	13	13	13	12	14	15	11	11	18	14	14	18	13	12	15	18	17	17	0	1	2	2	4	3	4	1	8	18	18	6	5	3	36	5	10	6	6	9	5	23	1	4	27	21	19	34	23	9	37	28	11	10	16	17	4	42	35	21	11	47	20	6	62	12	21	30	1	17	12	56	43	41	37	49	22	33	75	65	44	13	38	61	26	54	76	55	75	76	15	43	63	78	40	56	63	63	38	86	75	68	69	86	74	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-245.248880212259564	-254.299723592710905	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999234221364954	-1	1	3	3	4	4	4	4	6	7	7	7	6	7	8	7	8	7	6	7	3	5	6	8	8	8	7	8	10	9	8	13	9	8	10	10	10	12	11	11	9	7	8	10	11	10	10	11	10	11	11	12	10	11	9	10	10	11	11	15	11	12	13	15	13	17	13	10	12	13	16	11	13	15	13	14	14	13	15	16	12	16	13	17	12	15	0	1	2	2	3	21	3	4	5	13	13	9	6	6	20	19	13	23	8	7	2	8	22	27	10	19	8	4	30	16	12	85	24	42	13	30	28	33	41	68	16	21	42	10	56	9	5	33	31	28	30	20	17	35	20	25	24	31	57	63	26	16	58	67	44	60	48	30	33	56	78	41	37	52	56	83	48	68	77	60	35	74	54	64	57	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
