step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95
1	-648.244252932354016	-657.295096312805413	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.868427555198344	4	4	9	6	3	2	18	6	10	8	6	10	10	12	6	9	14	11	22	15	8	6	11	12	20	16	8	6	9	10	13	9	8	21	16	17	12	18	12	13	23	17	20	12	17	11	16	14	11	18	18	15	12	18	16	15	21	16	24	26	14	27	19	19	20	17	26	25	27	25	22	18	21	20	17	21	24	25	19	24	20	28	22	24	27	27	38	31	25	26	35	37	33	46	40	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-477.272083708797084	-486.322927089248424	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994805349800302	-1	-1	6	6	5	-4	14	9	12	6	7	3	5	11	2	9	6	11	22	16	9	3	14	11	17	19	2	4	6	9	14	8	0	22	13	13	7	16	9	14	23	21	21	11	12	11	17	16	12	19	19	15	8	17	9	11	21	17	27	27	11	30	15	16	15	9	27	27	21	24	24	14	23	22	18	24	28	12	11	24	18	20	17	21	26	25	37	30	28	26	31	38	30	42	37	6	6	27	27	27	0	46	28	8	15	2	33	1	33	6	28	27	37	7	16	6	6	22	37	66	64	6	1	12	15	21	17	6	25	28	8	28	18	17	28	83	47	79	22	5	12	1	11	10	64	30	37	15	37	3	37	48	36	38	31	10	58	78	66	16	11	81	69	45	83	58	29	52	52	7	25	25	29	4	54	14	11	53	35	75	56	77	73	80	57	85	85	50	92	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-481.084611313122366	-490.135454693573706	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990055899151811	5	0	3	6	4	-6	16	-1	12	11	3	7	4	12	0	6	12	3	17	13	7	8	14	11	11	16	8	10	9	14	7	10	8	19	14	12	9	18	8	11	23	20	22	13	14	12	12	16	8	20	15	8	13	15	18	9	18	17	22	27	14	28	18	19	21	18	24	18	28	22	23	19	25	20	12	19	28	26	12	25	20	25	22	15	24	26	41	30	26	27	33	38	33	26	32	8	6	6	8	15	0	25	6	11	49	15	6	15	16	6	18	31	8	53	49	5	1	29	5	22	21	16	31	1	1	11	13	1	25	4	13	5	20	12	39	56	29	79	21	12	11	21	40	13	7	52	15	28	17	14	18	36	17	53	72	21	94	4	75	14	30	26	45	70	39	76	84	50	51	1	19	85	72	37	55	84	33	47	39	48	72	91	38	81	71	86	95	78	84	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-491.404782325577571	-500.455625706028911	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989098607889615	0	0	11	0	1	-3	18	6	12	9	7	5	7	12	3	11	15	9	18	11	5	5	3	13	16	19	8	8	6	12	11	9	10	15	17	17	6	12	7	13	20	19	11	4	19	8	8	8	12	20	15	14	14	11	15	16	14	6	18	27	15	26	20	17	20	4	20	23	26	23	22	19	16	20	19	17	27	22	15	26	12	27	18	22	25	28	37	27	17	24	36	25	27	42	32	6	6	39	6	6	0	43	15	12	37	4	15	5	39	6	5	28	44	53	39	1	5	6	23	54	76	4	12	5	58	2	1	66	23	27	15	4	48	1	27	76	54	46	1	39	4	44	23	18	34	10	2	12	66	9	29	28	15	1	50	43	57	34	52	30	2	27	57	55	38	24	47	33	32	24	33	42	36	28	7	13	41	52	28	35	81	86	78	34	76	88	61	83	68	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-500.956871376119125	-510.007714756570465	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982947028124133	1	3	1	7	-1	-5	22	6	12	4	3	11	12	9	8	7	11	5	24	6	9	7	8	9	19	16	7	3	0	9	11	10	3	21	15	18	12	22	13	12	13	12	14	10	8	10	15	16	11	10	19	19	12	8	16	10	25	14	18	16	8	25	18	17	11	13	29	25	27	21	22	20	18	13	17	22	18	27	21	23	22	21	22	23	29	22	39	22	28	23	22	33	22	42	39	6	3	6	10	6	0	36	10	11	5	5	1	14	33	28	6	11	5	52	1	1	2	33	29	8	9	2	29	6	2	1	23	6	15	33	30	21	25	28	45	27	15	61	16	28	8	4	9	2	8	65	61	20	1	42	8	51	27	4	10	3	27	54	31	33	3	63	91	37	75	41	66	8	16	8	37	45	81	58	74	40	51	20	36	86	55	92	3	70	60	66	85	32	89	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-490.497281458176417	-499.548124838627757	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984885756093797	5	-3	12	9	6	-5	20	4	8	0	6	10	3	10	8	9	12	14	23	14	8	1	5	14	21	12	4	5	-2	3	13	4	9	13	14	16	7	21	8	16	23	12	16	8	16	14	14	14	9	16	21	17	12	21	14	10	19	12	18	20	14	21	20	20	16	19	21	24	21	27	23	16	22	21	15	22	21	24	14	17	18	29	20	23	23	24	35	29	21	18	15	31	29	40	29	22	6	37	28	29	0	33	2	1	6	29	13	29	28	22	1	37	49	36	56	32	2	2	9	55	30	29	8	6	6	8	2	22	39	44	26	30	56	23	53	72	9	21	22	14	11	14	56	22	39	17	28	27	12	44	9	12	21	23	43	30	40	24	65	18	26	49	18	75	80	64	34	43	24	58	53	75	89	11	12	33	45	20	45	36	67	95	35	59	17	26	89	35	71	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-481.714152545271304	-490.764995925722644	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993669955021179	5	-3	12	3	3	-8	19	5	7	8	-4	9	8	8	7	12	14	12	20	15	0	4	13	8	20	17	-1	8	9	13	12	11	9	20	15	11	9	10	11	7	18	17	19	8	13	13	17	17	4	17	12	14	13	19	16	10	16	18	20	27	15	27	21	15	22	11	24	27	24	28	23	6	20	14	16	20	24	17	17	17	19	24	23	24	29	23	39	29	21	26	33	31	23	40	33	21	6	22	2	2	0	64	27	27	49	6	2	4	27	5	1	13	44	41	9	2	21	5	2	16	44	6	2	22	8	15	5	5	42	9	1	8	21	49	49	66	45	57	49	28	29	66	35	2	14	49	5	49	46	44	72	31	13	29	13	45	84	52	13	58	4	42	82	64	54	58	11	39	14	51	53	89	74	49	61	46	73	80	78	7	42	88	69	75	35	50	68	73	93	90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-491.321965872819021	-500.372809253270361	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996094876980318	6	8	12	4	4	-5	13	9	12	3	7	5	3	12	5	9	16	8	23	12	4	-2	12	12	13	14	7	5	0	13	12	2	8	23	15	19	9	11	7	8	14	19	21	10	16	11	10	16	6	12	20	16	9	19	10	13	14	17	25	27	10	20	22	20	13	19	29	24	25	20	8	16	22	19	12	19	22	21	13	28	18	27	14	20	30	27	36	19	27	21	27	30	34	41	39	32	29	10	29	22	0	15	6	71	6	32	29	29	39	22	32	37	5	42	2	32	6	18	71	61	44	6	29	22	1	18	22	29	54	11	50	12	32	12	29	4	75	41	22	55	49	71	79	29	21	83	40	13	7	2	5	47	5	42	45	5	41	52	14	21	50	42	78	17	56	28	38	24	20	10	46	81	14	32	34	83	7	32	3	77	17	80	25	48	45	66	72	59	91	19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-498.449969228699388	-507.500812609150728	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987403990029520	4	4	8	9	1	-2	20	3	12	6	7	6	8	10	1	3	10	7	25	17	9	0	6	13	18	15	8	7	10	12	14	10	2	16	18	14	9	19	9	11	16	18	16	16	14	15	14	15	12	20	16	12	12	18	14	14	17	11	25	11	16	12	8	10	11	17	27	21	14	26	19	11	23	17	13	21	23	25	18	20	19	22	24	21	23	24	37	31	23	26	33	36	29	21	33	22	22	16	1	6	0	14	22	17	22	16	15	15	6	6	6	8	6	94	75	23	6	6	18	63	4	5	1	13	11	11	23	6	1	26	63	2	44	28	16	5	52	17	2	39	10	58	23	63	58	21	3	63	36	62	18	62	18	54	15	23	16	1	33	27	14	76	32	2	28	69	8	38	18	18	57	46	34	28	33	14	46	61	28	7	51	91	67	21	38	35	95	70	61	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-491.643172726892487	-500.694016107343828	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972620324814574	8	0	9	5	-1	-5	14	1	13	9	8	4	3	12	3	9	13	11	23	17	7	10	12	11	21	14	6	6	9	5	6	6	12	19	16	15	10	12	15	17	26	7	18	14	13	1	18	10	5	19	17	12	10	20	19	17	20	15	25	26	13	26	19	13	18	18	24	27	30	21	15	21	24	13	13	23	20	24	22	14	20	25	15	20	24	21	22	32	22	20	30	40	30	43	44	2	6	31	8	6	0	53	5	32	8	8	5	8	13	2	49	3	21	26	14	46	31	27	13	10	42	5	5	15	6	5	13	4	75	30	10	27	28	32	74	7	46	18	31	46	6	17	31	46	71	14	2	46	51	48	18	53	31	74	84	16	57	14	5	31	37	43	66	19	51	74	14	2	30	16	44	35	44	33	32	27	25	10	7	56	35	56	41	20	51	54	41	20	92	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
