step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
1	-790.936480791729878	-789.474398707210980	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.912390919549280	0	2	3	4	4	6	4	5	5	7	8	8	6	7	9	9	8	9	10	11	12	11	12	11	14	13	12	14	15	15	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	3	3	4	4	4	3	4	5	5	4	5	5	6	6	6	6	6	7	7	6	7	8	8
500	-176.677375210476242	-174.924026554208808	-1.753348656267437	0.000010007748025	0.000017259898359	1.724653570065438	0.559378697747388	-1	1	4	3	4	6	2	5	5	7	7	7	6	7	9	9	8	9	10	11	13	11	11	9	14	13	13	13	16	16	0	1	2	2	7	4	2	2	5	5	7	7	2	3	9	7	8	14	9	13	16	24	13	10	22	16	22	23	27	28	1	1	2	1	2	2	1	2	1	2	2	2	2	2	2	3	2	1	3	2	2	1	2	1	2	3	1	1	1	1
1000	-165.210419431062576	-163.657937763844870	-1.552481667217705	0.000010003294279	0.000012358004104	1.235393437311586	0.643543683030792	0	2	4	4	4	7	3	5	6	8	7	9	5	7	9	9	7	10	8	12	13	11	11	10	13	12	12	15	15	14	0	1	2	2	7	4	2	3	5	5	7	11	2	3	9	11	3	14	9	23	16	24	8	19	24	16	22	20	25	23	1	2	1	1	1	2	1	1	1	2	2	1	1	2	2	1	2	1	2	1	2	1	3	1	2	2	1	1	1	2
1500	-182.203375482198737	-180.476590927355545	-1.726784554843186	0.000009930586419	0.000016486017043	1.660125227903131	0.600033128449030	0	2	3	4	4	6	3	5	6	8	8	8	6	4	8	9	8	9	11	12	12	9	10	11	13	14	12	14	15	16	0	1	2	2	7	4	2	3	5	5	7	7	2	2	9	11	13	14	15	23	11	10	17	22	24	21	15	20	27	28	1	1	1	1	1	2	1	1	1	4	3	2	2	1	1	1	1	3	2	2	4	1	1	1	1	2	2	1	3	1
2000	-172.279506196266652	-170.140647270914229	-2.138858925352417	0.000009976831825	0.000027032479759	2.709525451895896	0.727597458510738	0	2	3	4	5	7	4	3	6	8	8	8	5	7	9	9	9	9	11	11	12	11	10	10	14	14	12	15	15	16	0	1	2	2	7	4	3	2	5	5	7	7	3	3	9	11	13	14	9	23	11	24	3	15	24	21	24	23	27	23	1	1	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	2	2	1	2	1	3	1	3	1	1	2	2	4
2500	-174.774579552656149	-173.193660968436035	-1.580918584220121	0.000010045147389	0.000013116996822	1.305804316729611	0.503649243113187	0	1	3	4	5	6	4	5	6	7	7	9	6	7	9	10	8	9	8	11	12	11	11	12	14	14	13	15	15	15	0	1	2	3	7	4	3	2	5	5	7	10	2	8	19	11	2	14	9	13	16	15	3	19	22	16	22	20	27	23	1	1	2	1	1	1	1	3	1	2	2	1	2	1	1	1	2	1	1	2	2	2	5	3	2	2	1	2	1	3
3000	-174.524806870223301	-172.579506951271611	-1.945299918951686	0.000009861959686	0.000021707362839	2.201120622021752	0.510372434819292	0	2	4	3	5	7	4	5	6	8	8	9	6	7	9	9	8	9	10	11	13	10	13	11	14	14	12	14	16	16	0	1	2	2	7	4	2	2	5	5	7	10	8	2	9	11	3	17	9	17	11	9	13	22	24	11	22	20	27	20	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	2	3	2	3	1	2	2	2	2	3	2
3500	-166.298149867664108	-164.323013088814804	-1.975136778849295	0.000009704129174	0.000022100155720	2.277397108318913	0.725747602204952	1	2	3	4	5	7	4	5	6	7	7	9	6	7	10	10	8	8	10	11	11	10	13	9	14	14	12	15	15	16	0	1	2	3	7	4	3	2	5	5	5	7	3	13	9	11	2	14	9	17	11	24	20	10	22	21	22	23	25	23	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	1	3	1	2	1	1	1	2	1	1	1	1	2
4000	-173.993974227037029	-172.007135622151253	-1.986838604885784	0.000010003867720	0.000023083986394	2.307506160624587	0.752182612915617	0	1	2	3	4	7	3	5	6	7	8	7	5	7	10	9	6	9	9	11	11	11	13	12	14	12	13	15	16	15	0	1	2	2	7	4	3	2	5	5	12	7	3	8	19	11	3	14	9	17	16	9	20	19	24	11	22	23	22	20	1	1	1	1	1	2	1	2	2	1	1	2	2	1	1	1	3	1	2	2	1	3	2	2	1	2	1	1	2	3
4500	-158.508714573116436	-156.259074234806320	-2.249640338310116	0.000009506741180	0.000028676908423	3.016481450541125	0.674510931072718	0	2	3	4	5	7	4	5	6	7	8	9	6	8	9	10	9	10	10	10	11	12	12	10	13	12	13	14	16	15	0	1	2	2	7	4	2	3	5	5	7	7	8	8	9	11	8	14	9	14	16	24	20	9	24	16	19	23	27	28	1	1	1	2	1	2	1	1	1	1	2	2	1	2	1	1	2	1	2	1	1	1	1	2	2	1	2	1	2	1
