step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39
19000	-242.411196584426278	-248.350393803511508	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.823867004709208	1	0	2	2	3	4	7	6	6	7	7	8	8	8	9	9	8	9	11	9	11	11	13	12	16	12	13	15	15	17	19	20	22	23	24	27	25	26	29	2	0	1	2	2	3	4	6	5	5	5	6	9	7	10	10	5	14	9	14	10	16	24	11	29	20	7	27	27	25	28	0	32	33	33	34	35	35	36	1	1	1	1	2	1	3	1	2	2	2	3	1	1	1	1	2	1	3	1	2	1	1	3	1	2	2	1	1	1	2	1	2	1	1	2	1	1	1
19500	-231.800259262627776	-237.739456481713006	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.901267326553164	1	0	2	3	3	4	5	6	5	7	7	7	7	7	9	8	9	8	10	9	11	11	11	11	15	13	14	16	13	17	17	21	22	24	23	26	27	25	30	2	0	1	2	2	3	2	6	5	9	5	6	9	9	7	10	7	14	13	18	15	19	20	18	29	23	29	25	22	27	27	0	32	33	33	34	35	35	36	1	1	1	1	2	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
20000	-232.397924060208481	-238.337121279293711	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.746944210733273	1	0	2	3	4	4	6	6	6	8	7	8	8	5	10	8	9	7	12	10	11	12	14	11	17	13	15	16	14	17	18	20	22	23	23	27	27	26	29	2	0	1	2	2	3	4	6	5	18	5	8	9	5	16	5	10	14	13	14	10	21	26	14	29	20	29	29	22	27	28	0	32	33	33	34	35	35	36	1	1	1	2	3	1	2	1	1	1	1	2	1	1	1	2	1	2	1	3	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1
20500	-228.302499258849934	-234.241696477935164	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.793905672204665	2	-1	0	4	3	2	7	5	6	6	7	8	8	8	8	9	9	8	12	10	11	11	13	12	16	11	14	15	15	17	18	21	22	24	25	26	27	26	29	3	0	2	1	2	3	1	6	5	5	5	8	5	10	9	15	15	10	13	14	15	16	26	18	27	20	22	27	27	29	28	0	32	33	34	34	35	35	34	1	1	1	1	2	1	3	1	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2
21000	-218.549089367476313	-224.488286586561543	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.800402181707559	2	0	1	1	3	3	6	5	5	7	7	8	9	7	9	9	7	8	10	9	11	11	13	12	15	10	15	16	13	18	18	21	22	23	24	27	26	26	29	3	0	2	2	2	3	9	6	5	5	5	8	9	9	17	10	7	14	10	18	16	16	26	18	29	20	29	25	22	27	28	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
21500	-242.007903202507038	-247.947100421592268	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.731787500469676	2	0	1	2	3	3	6	6	6	7	7	6	6	5	10	9	8	8	10	9	10	12	14	11	16	13	14	15	16	16	16	21	24	23	25	26	26	27	28	3	0	2	2	2	3	5	6	5	7	5	6	5	5	10	5	7	14	13	18	10	15	26	18	16	20	22	22	27	27	22	0	32	32	33	33	35	35	36	1	1	1	1	1	1	2	2	1	1	2	2	1	2	2	3	1	2	2	1	1	1	1	1	3	2	1	2	1	1	2	1	2	1	1	1	1	1	1
22000	-217.924859343290052	-223.864056562375282	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.822570147559524	2	0	1	3	4	3	6	7	5	7	7	6	8	6	8	9	9	8	11	9	12	12	13	11	16	11	14	16	13	17	19	20	22	23	23	26	25	27	29	3	0	2	2	2	3	5	12	5	7	5	6	9	9	10	10	15	14	13	14	10	16	26	20	29	20	29	29	22	27	28	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1
22500	-255.186147571203747	-261.125344790288977	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.658671657425442	2	0	1	3	3	3	5	5	7	7	7	7	8	6	8	8	10	8	11	10	12	11	14	8	13	11	13	16	16	17	18	20	23	24	25	26	26	27	29	3	0	2	2	2	3	5	6	5	5	7	8	9	5	7	10	15	9	9	24	17	16	26	14	16	9	22	25	27	27	25	0	32	33	33	33	35	35	34	1	1	1	1	2	1	1	1	2	2	1	1	1	2	2	1	1	1	2	1	1	1	1	2	2	1	2	2	2	2	2	1	2	1	2	1	1	2	2
23000	-243.399566275794712	-249.338763494879942	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.684368580586935	1	0	2	2	3	4	6	6	7	7	6	6	8	6	9	9	9	8	10	10	11	10	13	10	15	12	14	16	16	17	17	19	21	23	24	26	26	26	28	2	0	2	2	2	1	5	6	14	5	5	6	9	5	10	10	7	14	13	14	15	17	20	14	16	14	22	25	22	29	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	2	1	2	4	2	1	2	1	2	1	1	1	2	2	1	2	1
23500	-243.927162104044157	-249.866359323129387	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.845247676378319	1	0	2	2	3	4	5	7	6	8	6	6	8	7	8	9	9	9	10	10	11	11	13	11	16	11	13	15	15	18	18	20	22	23	25	25	26	27	30	2	0	1	2	2	3	5	6	5	7	5	6	5	5	5	7	11	14	13	18	15	15	26	18	27	20	22	27	27	25	25	0	32	33	33	34	35	37	36	1	1	1	1	2	1	1	1	2	2	2	1	3	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	2
24000	-249.317242774462443	-255.256439993547673	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.810622270968605	2	-1	1	3	3	4	7	7	6	7	7	6	7	7	10	9	8	9	11	9	10	11	10	12	16	12	13	14	15	17	18	20	22	23	24	25	26	26	30	3	0	2	2	2	3	5	12	5	5	5	6	9	9	17	7	13	17	13	14	17	16	11	11	27	18	22	22	22	27	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	2	1	1	2	3	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	3	1	1	1	1	1	1	1	2	1
24500	-269.976698010650011	-275.915895229735213	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.699343194956043	2	-2	0	2	3	3	6	4	7	7	5	8	9	7	9	8	9	8	11	10	10	11	13	11	16	12	14	15	15	16	18	20	22	23	23	26	25	27	28	3	0	2	2	2	3	3	6	7	7	5	6	7	4	10	10	7	14	13	18	10	5	20	14	28	18	22	27	27	27	25	0	32	33	33	34	35	35	36	1	1	1	1	4	1	2	1	1	1	1	2	2	3	1	1	1	1	1	1	2	3	2	2	1	2	2	1	1	1	2	1	1	1	1	1	2	2	2
25000	-265.240178310088368	-271.179375529173569	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.614712092883865	2	0	1	4	3	3	5	5	7	8	7	8	8	8	10	8	9	8	11	10	12	11	13	10	17	12	15	14	16	17	17	20	23	24	24	26	26	27	28	3	0	2	1	2	3	2	6	7	7	5	8	4	7	17	7	11	5	10	14	15	16	26	9	29	10	19	22	22	29	28	0	32	33	32	34	35	35	36	1	1	1	1	2	1	2	1	1	2	2	1	2	1	1	1	1	3	2	1	2	2	1	2	1	2	2	2	2	1	2	1	2	1	2	1	1	2	1
25500	-233.939925481144229	-239.879122700229459	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.775967775693616	2	0	1	4	3	4	5	6	5	7	8	5	8	7	9	9	9	8	11	9	12	11	10	10	15	13	15	16	16	17	18	19	21	24	24	26	26	26	29	3	0	2	2	2	3	2	12	5	9	9	6	9	7	10	10	10	14	11	18	15	16	20	14	22	23	22	22	22	22	29	0	32	33	33	34	35	35	34	1	1	1	2	2	1	3	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	3	2	3	1	1	1	1	2	1	1	1	2
26000	-218.366232946441158	-224.305430165526388	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.794282171140019	1	-1	0	1	3	3	5	6	6	7	7	7	7	5	9	9	9	8	11	9	11	11	14	10	17	12	14	16	15	17	18	20	23	24	25	26	26	26	29	3	0	2	2	2	3	5	6	7	7	7	6	9	5	10	10	9	14	13	18	17	16	26	20	29	20	22	29	22	27	29	0	32	33	33	34	35	35	34	1	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	2
26500	-252.994768667916759	-258.933965887001989	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.623696131888048	2	-1	0	3	4	3	5	6	6	5	7	7	9	6	8	8	9	9	11	9	9	10	13	11	14	10	14	16	14	17	17	20	23	22	23	26	27	26	30	3	0	2	2	4	3	4	6	5	4	7	8	9	4	4	10	7	14	13	5	10	16	26	14	22	20	22	29	22	25	25	0	32	32	34	34	35	35	36	1	1	1	2	1	1	1	1	1	1	1	1	2	2	3	2	2	1	1	2	2	1	2	3	2	1	2	1	2	1	2	1	2	2	1	3	2	2	2
27000	-216.045596701949620	-221.984793921034850	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.774880345689370	2	0	1	4	2	3	5	6	6	7	7	5	9	7	9	9	10	9	11	9	11	12	14	10	15	12	12	16	16	18	18	20	23	22	24	26	26	26	29	3	0	2	1	2	3	5	12	7	7	7	6	9	9	10	10	10	14	13	14	10	16	26	14	22	20	17	25	22	29	25	0	32	32	33	34	35	35	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	3	1	2	1	2	1	1	2	1	1	2
27500	-236.258131965390135	-242.197329184475365	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.742226384060308	2	0	1	4	4	3	6	6	5	7	7	7	8	7	10	6	8	8	9	9	11	11	12	10	16	12	14	13	13	17	19	20	22	24	24	26	26	26	29	3	0	2	1	2	3	4	6	5	9	9	6	9	9	19	5	7	14	9	14	10	16	20	18	27	20	29	22	22	27	27	0	32	33	33	34	33	33	36	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	2	1	2	2	2	1	1	2	1	1	1	1	3	1	2	1	1	1	2	2	2
28000	-227.897675556759509	-233.836872775844739	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.842617135406283	2	0	1	2	4	3	5	4	6	7	7	7	8	8	9	8	9	7	11	9	10	12	14	12	15	12	13	16	14	17	17	21	22	23	25	25	26	27	29	3	0	2	2	2	3	2	6	5	7	7	8	9	18	13	9	10	9	9	14	15	15	26	14	27	20	22	29	22	25	25	0	32	33	33	34	35	35	36	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	3	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
28500	-216.060954927357045	-222.000152146442275	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.908119923797457	2	0	1	2	3	3	6	6	5	7	7	7	8	7	9	9	9	8	10	6	11	11	10	11	15	12	14	16	13	17	18	21	22	23	24	25	26	26	27	3	0	2	2	4	3	5	6	5	5	5	8	9	20	10	10	10	14	13	9	15	15	14	18	29	23	22	25	22	28	28	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
29000	-208.546592060853868	-214.485789279939098	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.874995401294415	2	0	1	3	2	3	6	4	7	7	8	7	7	7	10	8	9	8	11	9	11	10	10	11	16	13	15	16	14	16	19	20	22	24	24	26	26	26	30	3	0	2	2	2	3	5	6	7	5	10	8	7	7	17	7	10	14	13	14	10	16	20	18	27	23	29	29	22	27	28	0	32	33	33	34	35	35	36	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
29500	-242.457234317343392	-248.396431536428622	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.684932995629446	2	-1	1	3	4	3	6	7	6	7	7	8	9	7	9	9	10	9	10	10	11	10	11	11	16	12	13	16	14	17	18	20	23	24	24	26	27	26	29	3	0	2	2	4	3	5	6	5	9	7	8	11	9	9	5	18	9	14	14	15	10	20	20	29	20	22	29	22	27	28	0	32	33	33	34	38	35	34	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	3	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	3
30000	-272.093504534309773	-278.032701753394974	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.764097405283631	2	0	1	2	3	2	7	4	6	5	8	6	8	7	8	9	8	9	12	9	11	12	13	11	15	12	14	16	15	16	18	20	22	24	23	26	27	27	30	3	0	2	2	2	3	5	6	10	5	14	6	9	5	10	17	14	5	13	9	15	17	26	14	21	5	22	29	27	27	28	0	32	33	33	34	35	35	36	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	2	2	1	1	3	1	2	3	2	1	1	1	1	1	1	1	1	1	1	2	2	2
30500	-234.077067791086051	-240.016265010171281	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.699318105826304	2	0	1	3	3	3	6	6	5	7	8	7	8	7	9	8	8	8	11	9	10	12	14	12	14	13	14	16	16	17	18	20	22	24	23	26	25	27	29	3	0	2	2	2	3	1	6	5	4	9	6	9	7	17	7	10	14	13	18	7	16	26	18	22	20	22	25	22	29	25	0	32	33	33	34	35	35	34	1	1	1	1	2	1	2	2	1	3	2	2	2	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	3
31000	-231.447972829555397	-237.387170048640627	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.720403804025041	2	0	1	2	4	4	5	7	6	7	7	8	8	7	9	8	10	8	11	9	11	12	13	11	16	12	15	15	14	18	19	19	23	24	24	26	25	26	29	3	0	2	2	2	3	2	6	7	5	7	8	7	9	7	5	16	14	13	18	15	16	26	18	29	20	29	22	22	25	30	0	32	33	33	34	35	33	36	1	1	1	1	2	1	2	2	1	2	1	1	1	1	3	2	1	1	2	1	1	2	1	2	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1
31500	-230.016744302311224	-235.955941521396454	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.652564958146980	2	0	1	3	3	4	5	6	6	7	6	6	8	7	10	9	9	6	11	10	10	12	14	10	16	12	14	16	15	16	18	20	22	24	24	27	26	26	29	3	0	2	2	2	3	5	6	7	7	5	6	9	18	10	11	10	7	9	14	7	16	20	14	29	20	22	27	22	27	28	0	32	33	33	34	35	33	36	1	1	1	1	2	2	1	1	1	1	2	1	2	1	2	2	1	1	3	2	3	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1
32000	-242.469569476917570	-248.408766696002800	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.734918399103346	1	-1	2	4	3	3	5	6	7	7	7	7	9	7	9	9	9	9	11	9	11	12	13	12	16	12	14	15	16	15	19	20	22	24	25	26	27	27	30	2	0	1	2	2	3	5	4	7	7	4	6	9	7	10	4	10	14	13	14	17	16	26	18	30	18	22	22	30	22	30	0	32	33	33	34	35	35	36	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2
32500	-247.193308011758717	-253.132505230843947	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.768778999315181	1	0	2	2	3	3	4	5	5	7	6	7	9	7	9	9	9	8	11	10	11	10	12	11	16	12	13	16	14	15	19	20	22	23	23	26	25	26	30	2	0	1	2	2	3	2	6	5	5	7	8	9	5	4	10	10	5	13	7	15	16	18	20	29	20	22	27	27	27	25	0	32	33	33	34	35	33	36	1	1	1	2	2	1	3	1	1	1	1	2	2	2	2	1	1	2	1	2	2	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2
33000	-235.815498336813164	-241.754695555898394	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.761742324573068	1	0	2	2	3	4	5	6	7	7	7	7	8	7	10	8	9	9	11	9	12	12	13	10	14	12	14	15	14	16	19	21	22	24	24	27	27	27	29	2	0	1	2	2	3	2	6	5	5	5	8	9	7	9	5	9	14	9	7	17	16	26	20	22	14	22	29	22	29	27	0	32	33	33	34	35	35	36	1	1	1	1	2	1	3	1	2	3	2	1	1	1	2	2	1	1	2	2	1	2	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1
33500	-251.509412383294631	-257.448609602379861	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.513612706303080	2	0	1	4	2	3	5	5	6	8	8	7	8	7	10	9	10	8	12	9	11	12	13	12	14	12	15	15	15	18	17	20	22	23	24	27	26	26	30	3	0	2	2	2	3	2	6	7	7	5	6	5	5	10	7	10	7	9	14	16	7	26	20	16	20	22	25	22	27	25	0	32	33	33	34	35	35	36	1	1	1	2	1	1	2	2	1	1	2	2	3	2	1	3	1	2	2	1	1	3	1	2	3	1	1	1	2	1	1	1	1	1	1	2	2	1	2
34000	-228.548243012616922	-234.487440231702152	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.669467724326896	1	0	2	2	3	4	5	6	6	6	8	6	8	7	9	9	9	9	11	9	11	11	13	10	13	12	14	15	15	16	19	20	23	24	25	26	27	27	30	2	0	1	2	2	3	5	6	7	5	7	6	7	10	13	13	13	14	13	14	15	16	26	20	22	20	25	25	25	27	28	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	1	2
34500	-247.235365331139946	-253.174562550225176	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.686960978068779	1	-1	1	3	4	3	6	5	6	8	7	8	8	8	9	8	10	9	11	7	12	11	12	12	16	10	13	16	14	16	19	20	23	23	25	27	26	26	28	2	0	2	1	4	3	5	6	5	9	9	6	7	20	10	7	10	14	7	5	16	16	20	18	29	20	22	29	22	27	28	0	32	32	32	34	33	35	33	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	3	1	2	2	1	1	1	1	1	1	1	1	3	1	3	2	3	1	3
35000	-241.402826902739406	-247.342024121824636	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.648362103251797	2	-1	1	4	3	3	7	5	6	6	7	7	9	8	8	8	10	9	10	9	12	11	12	12	15	11	15	16	14	17	19	20	21	23	24	26	26	27	28	3	0	2	1	1	3	2	6	5	5	5	8	9	7	7	5	13	14	13	14	7	16	26	14	22	20	22	25	22	27	27	0	32	33	32	34	35	35	36	1	1	1	1	1	1	3	1	1	2	2	1	2	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1
35500	-214.154242572672302	-220.093439791757532	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.868677845700404	2	-1	1	3	3	3	6	6	6	7	8	8	9	7	9	8	9	8	12	9	11	11	14	11	16	12	14	16	15	17	19	21	23	24	24	27	25	27	29	3	0	2	2	2	3	4	6	5	9	9	8	7	7	16	7	10	7	13	14	15	16	26	14	29	20	22	27	27	29	28	0	32	33	33	34	35	35	36	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	1
36000	-246.562585833078600	-252.501783052163830	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.686490210729761	2	0	1	3	2	3	4	5	5	6	6	7	8	7	8	8	9	9	12	9	11	11	13	11	17	11	13	13	15	16	18	21	22	23	23	26	27	25	29	3	0	2	2	2	3	5	6	7	9	5	6	9	7	10	10	10	14	15	14	15	15	26	13	28	20	22	22	22	27	29	0	32	33	32	34	35	35	36	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	1	2	1	2	1	1	2	2	1	1	1	4	2	1	1	1	1	1	1	2	1	2
36500	-236.699601193467572	-242.638798412552802	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.806960992254691	0	-1	1	3	3	3	7	7	6	6	7	8	9	8	10	9	8	7	11	10	11	12	11	10	17	12	13	16	15	18	19	20	22	24	24	26	27	27	29	2	0	1	2	2	3	10	6	5	5	4	8	7	18	10	11	18	5	13	14	10	16	20	14	29	23	22	27	27	27	28	0	32	33	33	34	35	35	34	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	3	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	3
37000	-236.597414355491765	-242.536611574576995	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.752569938042875	1	0	2	3	2	3	5	6	6	7	6	8	8	8	9	8	10	9	11	9	12	12	11	11	17	13	14	15	16	17	18	20	22	24	23	26	26	26	29	2	0	1	2	2	3	4	6	7	7	7	6	9	9	16	10	9	7	13	14	15	16	18	20	22	23	22	22	16	29	25	0	32	33	33	34	35	35	34	1	1	1	1	1	1	2	2	1	1	1	3	1	1	1	1	3	3	1	1	1	2	1	1	2	1	2	2	3	1	1	1	1	1	1	1	1	1	3
37500	-201.788534682219108	-207.727731901304338	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.900867705903916	1	0	2	3	3	3	6	7	5	8	7	8	8	7	7	8	10	9	12	9	11	12	11	12	16	12	14	16	15	17	18	20	22	24	25	26	27	26	29	2	0	1	2	2	3	5	6	5	15	7	8	7	9	7	15	10	14	13	14	17	16	20	14	29	23	22	27	27	29	28	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
38000	-214.765256307314900	-220.704453526400130	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.829252677404334	2	0	1	2	3	3	5	6	6	7	7	8	9	7	8	9	9	8	12	9	11	12	11	10	17	12	14	14	15	17	16	20	22	24	25	26	26	27	28	3	0	2	2	2	3	5	6	5	5	7	8	9	5	7	10	7	14	13	18	16	16	20	14	29	23	22	22	27	27	28	0	32	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
38500	-248.556949081174508	-254.496146300259738	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.652767438468000	2	-1	1	3	4	3	6	5	6	7	6	7	9	8	8	9	10	9	11	8	11	10	13	10	16	12	13	14	15	18	17	21	22	24	24	26	25	26	30	3	0	2	1	4	3	2	6	5	7	5	8	7	9	10	10	15	14	13	7	17	16	14	18	27	7	22	22	27	25	29	0	32	33	33	34	35	35	36	1	1	1	1	1	1	4	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	5	2	2	1	1	2	1	1	1	1	2	1	1	1
39000	-220.578003923542894	-226.517201142628124	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.824350242156957	2	0	1	2	3	3	5	6	6	6	7	8	9	7	9	8	9	8	10	10	11	11	13	11	16	11	13	16	15	16	18	19	22	23	24	26	26	27	27	3	0	2	2	2	3	5	6	7	5	7	6	9	9	10	10	10	14	14	18	10	16	26	18	29	20	22	27	27	27	28	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
39500	-228.008963813086126	-233.948161032171356	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.826928091085503	2	0	1	3	3	3	4	6	6	6	7	5	7	6	8	8	8	8	10	10	10	12	13	11	15	12	14	16	16	18	18	21	23	24	24	26	27	26	30	3	0	2	2	2	3	2	12	5	4	10	6	9	7	10	5	10	14	9	18	10	21	26	18	22	19	22	25	25	27	28	0	32	33	33	34	35	35	36	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	4	1	1	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2
40000	-208.634174702845769	-214.573371921930999	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.788901492696853	2	-1	0	4	3	2	5	5	6	7	8	7	9	7	9	8	10	8	11	9	11	12	13	11	16	12	14	14	16	16	17	21	23	24	24	26	26	26	28	3	0	2	5	2	3	2	6	7	9	10	8	9	7	10	10	10	14	13	14	15	16	26	14	27	20	22	22	27	27	28	0	32	33	33	34	35	35	36	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1
40500	-237.953790591446904	-243.892987810532134	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.714953388373483	2	0	1	4	4	2	6	6	4	7	7	7	7	7	8	9	10	8	12	10	11	12	13	12	16	12	14	15	15	17	18	20	22	24	24	26	27	27	29	3	0	2	2	2	3	9	6	1	7	7	8	5	5	10	10	7	14	13	15	16	10	26	20	22	20	22	22	22	27	25	0	32	33	33	34	35	35	36	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1	1	2	1	3	1	1	2	1	1	2	1	1	2	1	3	1	1	1	1	1	1	2	2	1
