step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39
5000	-227.761700932104986	-233.700898151190216	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.807964832051061	1	0	2	2	2	3	7	6	5	8	7	8	7	7	10	8	10	8	10	9	12	10	11	11	16	12	14	14	15	17	17	20	22	23	24	27	26	26	28	2	0	1	2	2	3	9	6	5	11	9	8	9	9	7	5	13	14	13	14	17	5	20	18	29	20	22	22	28	29	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	3	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1
5500	-235.288707215256949	-241.227904434342179	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.810205099206387	1	0	2	2	3	4	6	6	7	8	7	7	7	8	9	5	9	8	11	10	10	12	13	12	16	12	15	14	15	17	18	18	22	23	25	26	26	27	28	2	0	1	2	2	3	5	6	5	7	7	8	5	7	10	5	16	7	13	14	10	16	26	18	29	20	22	22	22	29	27	0	32	33	33	34	35	35	34	1	1	1	2	1	1	2	2	2	1	1	1	2	1	1	1	2	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2
6000	-213.871641168121158	-219.810838387206388	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.719837438724244	1	0	2	3	4	4	6	6	6	7	7	7	9	8	10	8	9	7	11	10	11	11	13	11	16	12	14	16	14	17	18	21	22	24	24	26	26	26	29	2	0	1	1	2	3	5	6	5	7	5	8	9	18	10	10	10	7	13	14	15	16	26	14	27	20	22	27	22	25	22	0	32	33	33	34	35	35	36	1	1	1	1	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	3	1	1	1	1	1	1	1	1
6500	-223.837931485895723	-229.777128704980953	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.798921618329471	1	0	2	3	4	3	5	5	6	8	7	6	7	7	10	8	10	8	11	9	11	11	12	11	16	11	13	13	15	17	18	20	22	24	24	27	26	26	29	2	0	1	2	2	3	2	6	5	7	7	8	7	7	16	7	10	14	13	18	15	16	26	18	22	20	22	22	27	27	29	0	32	33	33	34	35	35	36	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	2	2	1	1	2	2	3	2	1	1	1	1	2	1	1	1
7000	-216.966505843064681	-222.905703062149911	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.757123039951274	1	0	2	2	3	3	7	6	5	8	7	7	7	7	9	9	7	8	12	10	11	11	14	11	15	12	14	16	13	17	18	21	22	24	24	26	27	26	29	2	0	1	2	4	3	9	6	5	7	5	6	5	5	17	10	5	14	13	18	15	16	26	18	29	20	22	25	22	25	27	0	32	32	33	34	35	35	36	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2
7500	-237.232054102459131	-243.171251321544361	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.802389742635101	0	-1	1	4	3	4	7	7	6	8	7	8	8	5	10	9	9	6	12	8	11	11	13	10	15	12	15	16	14	18	18	17	22	23	25	27	26	27	29	2	0	1	5	2	3	9	6	14	7	5	6	9	5	10	7	10	14	13	18	10	16	20	14	22	20	22	25	22	27	25	0	32	33	33	34	35	35	36	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	1	1	1	2	1	2	1	2	3	2	2	2	1	1	1	2	1	2	1	2	2	1	1	1
8000	-226.130541776370592	-232.069738995455822	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.726199187662596	1	0	2	3	3	3	7	5	5	7	7	7	8	6	9	9	8	9	10	9	9	11	13	11	15	11	14	16	15	18	18	20	22	24	25	26	27	27	30	2	0	2	2	2	3	5	6	5	4	4	8	7	4	11	7	14	14	13	7	17	16	26	18	27	20	22	27	22	25	28	0	32	33	33	34	35	35	36	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	2
8500	-217.057928836262988	-222.997126055348218	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.735132550029391	2	0	1	3	3	3	4	5	6	6	6	7	8	7	9	8	8	8	11	9	12	11	14	12	13	13	15	16	15	17	17	20	22	23	24	26	26	27	28	3	0	2	2	2	1	5	6	7	7	5	6	7	7	10	10	11	14	13	14	15	15	26	18	22	20	25	25	25	27	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	3	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1
9000	-236.315663503723840	-242.254860722809070	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.873570045833864	1	0	2	2	3	4	6	6	7	8	8	8	8	8	10	8	9	7	11	9	11	11	11	11	16	13	12	14	15	15	18	19	22	23	24	26	26	27	28	2	0	1	2	2	3	3	6	5	7	9	8	9	18	9	7	7	7	7	18	17	16	20	18	29	24	22	27	27	28	25	0	32	33	33	34	35	35	36	1	1	1	2	2	1	2	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
9500	-218.121544124045272	-224.060741343130502	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.751264994832545	1	0	2	3	3	3	6	6	7	8	8	8	8	8	10	9	9	9	11	10	11	12	14	11	16	11	15	15	14	17	17	19	22	23	24	25	27	26	27	2	0	1	2	2	3	5	6	7	7	5	8	9	9	10	10	10	14	13	18	17	16	26	14	29	20	22	22	22	25	25	0	32	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1
