step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70
10000	-407.405764875344516	-414.261252826303917	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.652129790036199	-1	0	4	3	4	7	6	10	9	12	13	14	14	14	15	16	18	19	20	17	19	19	17	19	17	19	20	19	19	21	21	23	22	23	25	23	23	22	24	26	23	22	23	21	26	27	24	25	25	27	27	28	27	28	30	27	29	32	31	29	32	31	32	34	36	36	37	36	40	42	0	1	4	2	2	3	0	6	6	8	7	10	10	10	10	14	15	23	25	14	17	17	15	25	15	25	23	25	25	19	28	44	27	19	20	26	31	17	25	24	31	19	44	27	48	49	33	21	22	31	41	53	49	21	48	49	52	59	48	49	57	57	62	62	61	64	66	58	67	69	1	1	1	1	3	1	1	2	1	1	4	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	3	2	1	2	4	3	1	1	1	1	1	1	1	3	3	2	2	1	1	5	2	1	1	1	3	2	1	1	1	2	2	1	1	1	2	1
10500	-432.542524667298949	-439.398012618258349	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.634864820385444	0	1	4	3	4	7	9	10	9	12	13	14	15	13	15	16	18	18	17	17	17	19	19	19	18	20	19	19	21	21	21	22	23	21	25	23	23	23	24	26	23	23	23	21	24	26	24	24	22	24	26	28	26	28	28	28	30	31	31	33	32	32	32	34	34	35	38	38	41	43	0	1	4	2	4	3	0	6	3	8	7	10	10	8	10	14	21	21	15	14	15	17	15	19	15	25	18	19	24	19	19	44	27	25	20	26	19	30	25	41	19	25	44	27	17	37	27	21	17	28	41	39	17	50	53	53	52	52	52	52	52	57	57	62	57	64	66	60	67	66	1	1	1	1	1	2	1	2	2	1	2	1	2	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	1	2	2	1	2	1	3	2	4	1	3	1	3	2	1	1	2	1	2	2	3	3	1	2	4	2	1	1	1	1	1	2	2	1	1	1	2	1	2	4	2	4
11000	-400.558355536173110	-407.413843487132510	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620611863239978	1	2	3	4	4	7	8	10	10	12	12	15	15	14	16	17	17	19	19	17	19	20	18	19	18	21	20	19	21	20	22	23	22	21	26	23	24	22	24	24	24	22	24	22	23	24	24	24	25	27	28	27	28	28	29	25	30	32	31	31	31	32	31	34	35	36	38	38	39	42	0	1	2	3	3	3	0	6	6	8	7	10	8	10	10	14	15	23	13	14	17	23	13	25	15	24	23	13	28	19	25	44	27	25	16	26	31	30	30	31	24	19	44	27	21	19	27	21	22	46	41	49	52	31	48	15	52	59	53	49	57	63	57	62	57	64	66	60	67	67	1	1	1	1	1	2	1	1	1	2	2	2	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	4	1	1	1	2	1	3	2	1	1	1	2	2	3	3	2	2	1	1	4	2	4	2	1	2	2	1	1	1	1	2	1	1	3	1	2
11500	-407.878097360903894	-414.733585311863294	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.645303644564893	-1	0	4	2	4	8	8	10	10	12	12	14	14	15	16	16	17	18	18	17	15	19	19	19	16	20	20	19	21	21	21	23	22	22	25	22	23	23	23	25	23	22	24	22	25	27	25	23	26	26	26	26	27	29	28	27	30	31	31	31	33	32	31	34	35	36	37	38	41	43	0	1	4	2	4	4	0	6	6	8	7	10	10	13	13	13	15	15	25	14	13	15	18	15	21	15	18	15	28	28	28	44	27	24	20	26	28	24	28	22	24	25	32	27	48	31	33	22	48	26	41	48	49	50	48	52	56	53	53	53	57	57	57	62	61	64	66	59	66	67	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	3	1	2	2	2	3	2	2	1	1	1	4	2	2	2	3	1	1	1	1	3	1	1	3	2	2	2	2	1	1	2	1	1	2	3	3
12000	-429.225282740917294	-436.080770691876694	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636943658844083	0	1	5	4	4	6	7	10	10	12	13	14	15	13	15	16	17	18	19	17	18	19	18	18	19	21	19	20	21	21	22	23	23	23	26	23	24	23	24	24	24	23	24	22	25	27	25	25	26	26	27	28	26	29	28	27	27	30	31	33	32	31	30	34	36	35	36	37	39	43	0	1	4	2	2	4	0	3	3	8	7	10	12	8	10	14	13	13	24	16	17	23	15	15	24	19	15	24	25	24	25	44	27	28	20	26	42	19	30	28	31	24	44	27	42	30	33	21	22	38	41	56	48	42	49	49	49	53	58	49	63	57	57	63	61	62	66	60	67	69	1	1	1	1	2	1	1	3	2	2	3	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	2	3	1	1	2	2	1	1	3	1	1	1	2	1	3	3	1	1	1	1	2	1	1	1	3	1	4	1	2	3	1	2	1	1	2	2	2
12500	-399.171314335493093	-406.026802286452494	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622961888087344	-1	1	5	3	4	7	7	9	10	12	13	14	16	14	15	16	17	17	20	17	18	19	20	19	19	21	20	18	21	20	21	22	22	20	25	23	23	22	23	24	23	22	23	21	25	27	24	24	25	25	26	27	28	28	28	26	30	31	31	33	33	31	31	34	36	35	36	39	41	42	0	1	4	2	4	4	0	6	3	8	7	10	12	10	12	14	15	15	24	14	17	15	18	21	13	24	18	15	19	28	22	44	27	24	20	26	25	30	25	42	24	31	32	27	48	50	33	39	17	24	41	49	49	50	48	22	56	53	53	58	57	56	56	63	62	62	66	60	67	67	1	1	1	1	1	2	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	3	1	2	1	2	1	2	1	1	1	1	2	1	1	4	2	2	1	1	2	2	3	2	1	1	2	1	3	2	1	3	2	1	2	2	3
13000	-387.614939977798031	-394.470427928757431	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.619451115638459	-1	1	5	3	4	7	9	10	11	13	12	14	15	14	15	17	17	17	19	17	19	18	19	19	17	20	20	19	21	21	22	23	22	23	24	23	24	22	24	25	24	22	23	22	25	27	24	24	23	25	28	26	28	28	29	27	29	31	31	33	33	31	30	34	36	37	38	37	41	43	0	1	4	2	4	4	0	6	6	8	7	10	12	10	10	14	15	15	25	14	15	15	18	25	15	25	13	25	24	25	19	44	27	19	16	26	26	30	30	26	31	19	44	27	49	30	33	21	21	19	41	49	45	31	48	48	56	53	53	58	57	63	57	62	61	64	66	60	67	69	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	2	3	1	1	2	1	1	1	2	3	1	2	1	2	2	1	1	1	1	1	3	1	3	2	3	2	1	1	3	2	2	2	1	1	1	2	1	1	2	2	1	1	2	2	1
13500	-417.178363600386263	-424.033851551345663	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.642905083381255	0	1	3	2	4	6	9	9	9	11	12	15	15	15	14	16	17	18	19	17	18	18	19	20	18	20	20	20	20	21	21	22	23	22	25	23	24	22	24	25	23	21	23	21	26	27	24	24	25	26	27	28	27	28	28	28	30	31	30	30	32	31	32	34	35	36	37	38	41	43	0	1	4	2	4	4	0	6	6	8	7	10	10	10	10	14	15	13	25	16	17	17	10	19	13	25	18	23	19	26	19	44	27	25	20	24	26	30	30	24	25	25	44	27	49	28	32	17	23	24	41	45	49	30	48	45	56	49	53	49	56	52	57	62	62	64	66	60	67	69	1	1	1	1	2	2	1	1	2	1	2	3	2	2	2	1	2	2	1	1	1	1	3	1	2	2	1	1	1	1	2	1	2	1	3	2	2	1	2	2	2	2	1	1	1	4	1	3	2	3	2	1	1	3	2	1	1	2	1	2	2	2	1	2	2	1	1	4	2	1
14000	-399.277169841350371	-406.132657792309772	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.639495273946250	-1	1	4	3	4	7	7	9	11	11	12	14	16	13	14	17	17	18	18	18	18	20	20	19	17	20	19	19	21	20	20	20	22	23	26	24	24	22	24	26	23	23	24	23	23	28	24	25	26	27	27	27	28	28	29	26	30	31	31	32	33	30	31	34	35	36	38	38	41	43	0	1	4	2	4	3	0	6	6	8	7	10	12	10	10	14	15	15	25	14	17	19	18	19	15	19	18	25	19	19	24	27	27	31	16	26	26	24	30	45	31	31	32	32	24	36	33	45	48	40	41	56	49	50	48	45	56	53	49	48	57	56	57	57	57	64	66	60	67	69	1	1	1	1	1	1	1	1	2	1	3	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	3	4	2	3	1	2	1	2	2	2	2	2	2	1	2	1	1	2	1	1	1	2	2	2	1	2	3	1	2	1	2	2	1	1	2	2	1
14500	-425.099565095725495	-431.955053046684895	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.671079814463690	-1	1	2	3	4	7	8	10	10	12	12	15	14	14	15	16	16	18	20	18	19	18	20	20	18	21	20	18	20	21	21	21	23	22	25	23	23	22	22	25	23	21	23	22	24	26	24	24	25	26	28	27	27	28	29	27	29	31	30	31	32	32	30	34	35	36	37	39	41	42	0	1	2	3	3	4	0	6	6	8	7	10	10	10	13	12	10	17	22	14	17	15	18	25	15	22	22	17	28	21	24	27	17	28	16	26	28	30	30	24	31	17	44	32	17	24	44	21	21	24	41	50	45	53	53	48	56	52	49	53	57	63	57	62	61	64	66	59	67	69	1	1	1	1	1	2	1	2	2	1	2	1	1	2	1	1	2	1	1	2	2	2	1	1	2	1	1	2	1	1	1	1	3	2	4	1	2	1	1	3	1	3	1	1	3	3	1	2	2	2	2	1	2	1	1	1	1	3	3	1	1	1	1	1	2	1	1	4	2	1
15000	-442.878318250762675	-449.733806201722075	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.534016824126820	-1	2	1	3	3	7	8	9	11	12	12	13	15	13	16	15	18	16	19	16	19	20	19	19	17	20	20	18	21	21	20	22	23	20	26	24	24	21	24	25	23	23	24	23	24	27	24	24	26	27	26	27	27	27	28	27	30	31	29	33	32	31	31	34	36	36	37	38	40	43	0	3	1	3	3	3	0	6	6	8	7	10	12	8	10	14	15	13	25	14	17	15	18	25	15	25	18	25	24	25	19	27	27	24	16	24	25	22	42	30	30	24	32	27	17	42	33	21	45	40	30	48	40	30	48	22	56	49	49	45	62	56	57	62	61	64	66	60	67	69	1	1	1	1	1	2	1	1	2	2	2	1	2	2	1	2	1	1	1	1	1	2	2	2	1	1	3	1	1	2	1	2	2	1	6	2	4	1	1	2	1	2	1	2	3	2	1	2	1	2	2	2	1	4	2	3	1	3	1	4	1	2	1	2	2	2	1	2	3	1
15500	-418.580192281126983	-425.435680232086384	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.628751836911089	-1	2	1	4	4	8	9	10	11	11	13	12	14	14	15	17	16	18	19	18	19	20	20	18	18	20	20	19	20	21	20	22	22	21	25	24	23	22	25	24	23	22	24	22	26	27	24	25	24	27	27	27	27	27	29	27	31	31	30	32	33	32	30	33	35	35	37	38	41	43	0	3	1	3	3	2	0	6	6	8	7	10	10	12	10	14	15	15	15	16	17	15	18	15	17	28	18	15	25	24	24	27	27	19	20	19	38	28	30	29	31	22	32	27	49	36	44	21	30	19	41	49	21	31	48	48	63	49	49	53	63	63	56	62	61	64	66	60	67	69	1	1	1	1	1	3	1	1	3	1	2	1	1	1	1	2	1	1	2	1	1	3	1	2	1	1	1	2	2	2	1	1	1	1	3	3	1	2	2	2	2	1	1	1	1	2	1	3	2	2	2	1	3	3	2	2	1	3	2	2	1	1	1	1	2	1	1	3	2	1
16000	-432.022563050875362	-438.878051001834763	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572697541519266	-1	2	1	2	3	7	8	10	10	12	12	14	14	15	15	17	16	19	20	18	19	19	18	19	17	20	19	19	21	21	21	23	22	22	24	22	23	22	24	25	23	22	23	21	25	27	23	24	23	26	28	26	25	28	30	27	29	31	32	33	32	30	31	34	35	36	38	39	40	43	0	3	1	3	3	4	0	6	2	8	7	10	10	12	12	14	15	13	25	14	17	23	13	25	15	25	23	25	26	25	26	44	27	19	14	26	26	26	38	42	31	30	44	27	21	36	27	22	21	40	40	48	49	50	45	48	45	49	53	53	62	56	57	62	61	64	66	60	64	67	1	1	1	1	2	3	1	1	4	1	2	2	2	1	1	2	1	2	1	1	2	1	2	1	1	2	1	1	1	2	1	2	2	1	4	1	2	2	1	2	1	1	1	1	4	3	1	3	2	1	2	2	1	1	2	1	2	3	2	3	1	2	1	2	1	2	1	4	3	3
16500	-401.708668888143848	-408.564156839103248	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613230645981580	0	2	1	3	3	7	9	10	9	12	13	13	15	15	16	17	17	19	19	17	19	20	18	20	18	21	20	20	19	20	22	23	22	22	25	24	24	22	24	25	22	23	23	22	24	26	25	23	25	26	27	27	27	25	29	28	29	31	31	33	32	32	31	35	35	36	37	38	40	44	0	3	1	3	3	3	0	6	6	8	7	10	10	12	13	14	15	17	25	14	17	15	13	25	17	19	23	25	25	19	25	44	27	22	20	26	31	30	22	28	25	24	44	27	48	19	27	22	21	19	41	49	54	19	48	49	56	56	53	53	57	57	57	62	61	62	66	60	67	69	1	1	1	1	1	2	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	4	2	1	1	2	3	3	2	1	1	1	2	2	1	3	4	2	1	1	2	4	2	1	2	2	2	2	2	1	1	1	2	1	2	2	2
17000	-402.269865203682343	-409.125353154641743	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609753861580963	0	2	1	4	3	7	8	10	10	12	12	14	15	15	15	16	17	19	20	18	19	19	17	18	17	20	19	19	20	21	21	23	22	22	25	23	23	21	24	23	22	22	23	22	25	27	23	24	26	26	27	28	28	28	28	27	29	30	31	32	31	32	31	34	35	36	37	39	41	42	0	3	1	3	3	4	0	6	6	8	7	10	10	12	10	14	15	23	24	16	17	15	15	25	15	24	23	25	24	22	19	44	27	19	20	26	26	22	30	31	24	31	33	27	22	34	33	22	45	19	41	21	49	46	48	48	56	52	53	58	57	57	56	62	61	62	66	60	67	67	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	4	2	2	1	1	1	2	1	1	2	5	3	1	2	1	4	3	4	2	1	2	1	1	1	1	2	1	1	2	1	3	2	1	3	2	3
17500	-409.293321252245448	-416.148809203204848	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.633298664265599	0	2	1	3	4	7	8	10	10	12	13	13	15	15	15	17	17	17	19	18	19	18	19	18	17	21	21	20	20	21	21	22	23	22	25	23	23	22	22	25	23	22	23	23	24	28	25	23	26	25	25	27	28	28	29	26	29	31	32	33	31	31	31	34	35	36	38	38	41	44	0	3	1	3	3	3	0	6	6	8	7	10	12	10	10	14	10	15	24	14	22	13	18	25	15	19	22	24	24	25	25	27	27	15	16	26	19	28	30	31	19	31	32	32	17	26	33	21	45	24	41	56	49	45	45	45	56	53	49	58	57	57	57	62	61	64	66	58	67	69	1	1	1	1	2	3	1	2	2	2	2	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	2	3	3	1	2	1	1	2	1	1	1	1	3	3	1	3	1	3	1	1	1	2	2	1	2	2	3	2	1	1	1	1	2	1	1	4	2	2
18000	-408.426894598923639	-415.282382549883039	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.747301130111592	0	1	2	3	4	7	8	10	10	12	13	14	14	14	15	16	16	18	19	17	19	18	19	19	18	21	20	19	19	20	22	23	22	22	25	24	23	22	23	24	24	21	24	21	26	26	24	23	22	25	27	28	26	28	29	27	31	31	31	33	32	32	30	34	35	35	37	37	41	43	0	1	2	3	3	4	0	6	6	8	7	10	10	8	10	14	15	15	25	16	17	15	18	25	17	24	18	25	25	24	25	44	27	24	16	42	26	19	42	31	31	19	44	27	21	24	33	17	21	42	41	56	49	50	45	45	56	53	53	45	57	57	56	62	57	64	66	60	67	69	1	1	1	1	1	2	1	2	2	1	3	1	2	2	2	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	2	1	5	1	1	1	1	1	1	1	1	1	3	2	2	3	1	2	2	1	2	1	1	1	1	2	2	3	1	1	1	1	2	1	1	1	2	1
18500	-384.717059892331235	-391.572547843290636	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.689133306158736	1	2	5	3	4	8	8	10	10	12	11	13	14	15	16	17	17	18	19	17	19	16	19	16	18	19	20	20	19	20	21	23	23	22	25	23	23	22	25	24	23	23	23	22	26	27	22	24	25	27	26	27	27	28	28	26	29	31	30	32	32	31	31	33	35	36	37	38	41	43	0	1	4	2	4	4	0	6	6	8	7	10	10	12	13	14	15	22	24	14	17	10	18	13	15	25	18	25	25	22	24	44	44	25	20	26	26	30	28	30	25	30	44	27	48	36	27	21	48	34	41	56	49	30	48	49	56	53	53	54	57	57	57	62	61	64	66	60	67	69	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	2	1	2	1	1	2	2	1	1	2	3	2	2	1	2	2	3	1	1	1	1	2	1	2	1	2	1	1	1	4	2	1	2	2	1	2	2	1	1	1	2	2	1	3	2	1
19000	-412.334038111852578	-419.189526062811979	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.633159247942537	-1	0	4	2	4	6	8	10	9	12	12	14	14	14	15	16	17	18	20	17	18	19	19	18	17	19	19	20	20	20	19	22	22	22	23	23	23	22	25	26	23	23	24	22	25	27	23	24	26	26	27	27	27	29	29	28	30	31	31	33	31	32	32	34	33	35	36	39	40	43	0	1	4	2	4	2	0	6	3	8	7	10	10	10	13	14	15	15	25	16	15	15	18	25	15	25	15	25	25	25	25	27	27	28	20	31	26	30	24	39	19	19	44	27	22	34	33	19	21	30	41	49	19	28	45	49	56	53	53	58	57	57	57	62	57	64	66	60	67	69	1	1	1	1	2	2	1	1	1	1	3	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	2	3	1	1	2	2	1	3	2	2	1	3	1	1	2	1	2	3	2	1	2	4	3	2	1	2	4	2	1	1	2	2	1	1	1	1	1	2	1	1	3	2	1
19500	-405.861387456704051	-412.716875407663451	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659431356008076	0	2	4	3	4	6	9	10	10	12	12	15	14	13	14	16	18	19	19	17	16	18	20	20	17	20	20	19	20	20	22	21	23	22	25	22	22	22	23	25	23	22	23	23	25	28	24	23	25	25	27	27	28	28	29	26	30	31	30	31	32	31	31	33	35	36	37	36	41	43	0	1	4	2	4	3	0	6	6	8	7	10	10	8	10	14	15	17	25	14	15	15	18	25	15	19	18	25	19	22	24	27	27	19	16	19	26	17	42	31	19	15	32	32	48	36	33	17	48	38	41	56	49	50	48	48	56	49	53	53	62	57	56	57	64	64	66	60	67	69	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	1	2	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	2	1	3	2	1	2	1	2	2	4	1	2	1	3	1	2	1	1	2	1	2	1	3	1	1	2	1	2	1	1	2	2	2	2	1	2	2	1
20000	-393.352187190622203	-400.207675141581603	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673050482731723	0	1	5	3	4	7	8	10	9	12	12	13	14	14	15	16	17	19	18	18	19	19	18	18	17	20	20	19	20	19	22	21	22	22	23	24	23	22	24	26	24	23	23	23	26	26	25	24	25	28	27	27	28	29	29	26	29	31	31	33	32	31	32	35	35	36	38	37	40	42	0	1	4	2	4	4	0	6	6	8	7	10	10	12	13	14	15	23	25	16	15	15	15	25	15	24	15	24	24	24	26	27	27	28	20	26	26	26	30	31	31	31	32	32	48	31	43	17	31	46	41	48	49	50	48	17	52	53	55	58	56	56	57	62	61	64	66	60	67	67	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	2	1	1	1	2	2	2	1	1	2	3	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	3	4	1	1	1	1	3	2	2	2	1	1	1	3	1	2
20500	-407.063919820617912	-413.919407771577312	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666880399475788	-2	1	4	3	3	7	8	10	9	12	12	14	14	14	15	17	17	18	18	18	18	20	20	20	19	20	20	17	20	20	21	23	22	22	25	23	24	21	24	24	23	22	24	22	25	26	24	23	24	27	26	27	28	29	28	28	31	31	32	30	33	32	32	35	35	37	38	37	41	43	0	1	4	2	2	4	0	9	3	8	7	10	10	8	13	14	15	15	28	14	17	15	15	19	19	19	18	15	19	19	19	44	27	22	20	26	26	21	31	31	25	31	32	27	17	22	27	21	22	45	41	45	17	50	45	52	56	46	58	53	57	53	57	62	61	64	66	60	67	67	1	2	1	1	1	2	1	1	2	1	2	1	1	2	1	2	1	2	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	4	2	2	1	1	2	2	1	1	1	4	4	2	2	2	1	3	1	5	1	1	1	2	2	1	1	1	3	1	1	1	1	1	3	2	2
21000	-410.879452726007628	-417.734940676967028	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.486041768706420	-1	0	4	2	4	8	9	10	10	12	13	14	16	15	15	16	18	18	19	17	19	19	20	19	17	20	20	18	21	20	21	22	22	22	23	24	23	22	24	26	23	23	24	21	25	27	25	24	25	27	28	26	26	28	29	28	30	31	28	32	32	32	31	34	35	36	37	38	39	43	0	1	4	2	4	3	0	6	3	8	7	10	12	12	10	14	15	15	25	14	17	17	13	25	15	24	18	25	19	19	19	44	27	30	20	26	26	30	22	39	31	31	32	27	21	36	32	17	21	19	41	45	21	29	48	53	53	21	45	49	57	57	57	57	61	64	66	60	67	67	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	1	1	2	1	1	1	1	3	2	1	1	1	1	1	1	1	1	2	2	3	2	1	1	2	1	2	1	1	1	2	1	2	3	3	4	3	1	4	2	2	1	2	5	2	4	1	1	1	2	2	1	1	3	2	3
21500	-404.596779053598254	-411.452267004557655	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608248183815327	-1	1	3	4	4	6	7	10	11	12	12	13	14	14	16	16	17	18	18	18	19	18	20	20	19	19	20	19	20	20	21	23	22	23	23	24	23	23	24	25	23	22	23	22	25	26	23	24	24	27	27	27	28	28	29	28	29	31	30	32	32	32	31	34	35	36	37	39	40	44	0	1	2	3	3	3	0	4	6	8	7	10	10	8	13	14	15	15	15	16	15	15	18	19	19	19	18	19	15	19	19	44	27	19	20	26	26	29	24	38	29	19	27	27	21	19	33	21	21	34	40	45	45	50	45	45	52	53	48	45	57	63	56	62	61	64	66	58	67	69	1	1	1	1	1	1	1	3	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	2	3	2	2	2	2	1	2	2	2	1	3	4	1	2	3	2	1	1	2	1	1	2	1	2	2	4	2	1	2	1	2	2	1	4	2	2
22000	-398.852036219260640	-405.707524170220040	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.692296050317606	0	1	5	3	4	8	7	10	9	12	11	13	13	14	15	16	17	18	17	18	19	19	19	20	18	19	19	19	21	20	21	23	23	23	25	23	24	21	24	25	23	22	24	21	25	28	24	24	24	26	25	27	27	28	29	28	30	32	30	31	32	31	32	34	35	36	37	38	40	44	0	1	4	2	4	4	0	6	3	8	7	10	10	12	13	14	15	15	15	14	15	17	18	19	19	25	18	19	22	25	25	44	27	31	20	26	36	24	30	49	31	31	33	27	49	24	27	21	19	21	41	45	49	50	48	45	56	60	52	49	57	57	57	63	61	64	66	53	67	69	1	1	1	1	1	3	1	1	2	1	2	1	1	1	1	2	1	2	2	2	2	1	1	2	1	1	1	1	1	1	2	1	2	2	3	2	1	1	2	1	1	1	1	1	1	3	2	2	3	2	1	1	1	1	2	1	1	1	2	4	1	1	1	1	2	1	1	4	2	2
22500	-401.331245730115029	-408.186733681074429	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.631009469539764	-1	0	2	3	3	7	8	10	10	12	12	15	16	14	14	16	16	16	18	18	18	19	19	20	17	20	20	18	20	20	21	22	23	22	25	22	23	23	24	25	24	22	22	21	25	26	24	23	24	28	28	27	27	28	29	28	30	30	32	31	32	31	31	34	35	36	37	37	41	43	0	1	2	3	3	4	0	3	6	8	7	8	10	10	10	14	15	15	25	16	17	15	18	25	15	19	18	25	19	25	24	44	44	24	14	26	26	30	30	19	26	30	44	27	48	40	27	21	21	24	41	48	49	46	45	52	56	49	53	53	57	57	57	63	61	64	66	58	67	69	1	1	1	1	1	2	1	3	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	2	1	1	1	1	4	2	2	2	2	4	1	1	1	1	1	1	2	2	3	4	2	2	1	1	2	1	1	3	2	3	1	1	1	2	1	1	1	3	2	2
