step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70
5000	-407.261163141422173	-414.116651092381574	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622820545845602	0	1	5	4	3	6	8	10	11	13	12	14	15	14	15	16	17	17	19	17	19	19	20	18	17	21	19	20	20	21	21	22	23	22	26	23	24	22	24	25	23	22	24	23	25	27	24	25	25	27	28	26	28	28	29	27	29	31	29	33	32	31	30	34	34	35	37	39	41	44	0	1	4	2	2	4	0	6	4	8	7	10	10	8	10	14	15	15	24	14	17	15	18	25	15	28	17	25	25	19	25	27	27	24	20	26	36	30	28	31	31	30	33	32	22	28	33	21	30	34	41	49	45	31	48	52	56	53	45	49	57	57	56	62	61	62	66	60	67	67	1	1	1	2	1	1	1	3	3	2	2	1	1	2	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	2	1	2	2	4	1	1	1	2	2	1	1	1	1	2	5	1	3	2	2	2	1	2	3	1	1	2	2	2	3	1	2	2	1	1	2	1	2	2	4
5500	-384.148149677595597	-391.003637628554998	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.679304115914426	0	1	4	2	3	7	8	10	9	12	12	14	15	14	15	17	16	19	20	17	17	20	18	18	17	20	20	19	20	20	21	23	22	22	25	24	23	22	24	25	24	23	23	21	25	28	24	24	25	28	26	27	27	29	29	27	30	30	32	32	32	32	30	34	36	36	38	38	41	44	0	1	4	2	4	3	0	3	3	8	7	10	12	8	10	14	15	23	25	14	17	17	15	25	15	24	23	25	25	24	19	44	27	25	20	26	26	30	19	31	31	31	44	27	21	52	33	22	48	31	41	21	49	46	48	45	56	53	58	45	57	57	52	62	61	62	66	58	67	67	1	1	1	1	1	1	1	3	2	2	2	1	1	2	2	2	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	2	4	2	2	1	1	2	2	1	1	1	4	1	1	2	1	3	1	5	2	1	2	1	1	2	1	3	1	1	2	1	2	2	1	3	2	3
6000	-410.211475019419595	-417.066962970378995	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602287821410042	1	2	4	3	4	6	9	9	10	11	12	13	14	13	15	15	18	17	19	16	17	19	20	20	17	20	20	20	21	20	21	23	22	23	23	24	23	21	24	25	23	22	22	22	25	26	24	23	26	28	27	27	27	28	29	27	30	31	30	32	32	31	31	35	34	36	38	37	40	43	0	1	4	2	4	3	0	6	6	8	7	10	8	8	10	14	15	15	25	16	15	25	18	13	15	19	18	25	28	25	15	44	27	28	20	26	31	30	30	42	31	22	27	27	21	36	33	22	17	46	41	21	45	36	52	45	52	49	49	52	57	52	57	57	61	62	66	60	67	67	1	1	1	1	1	1	1	2	2	1	2	1	3	2	2	1	2	1	1	1	2	1	2	3	1	1	1	3	1	2	3	1	2	2	4	2	1	1	2	1	1	1	1	1	3	1	2	1	2	1	2	5	1	1	1	2	2	2	2	2	1	2	1	3	1	2	1	3	1	2
6500	-413.446031975109577	-420.301519926068977	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.531803703171976	-1	1	5	2	4	8	8	11	10	12	12	14	14	14	15	16	17	17	19	18	18	20	19	20	16	20	20	19	20	20	21	23	22	22	25	22	24	20	25	25	24	23	24	22	25	27	25	24	25	26	26	27	28	29	29	26	31	30	32	31	32	31	32	34	33	36	37	38	40	42	0	1	4	2	4	4	0	3	6	8	7	8	10	10	13	14	15	15	13	14	17	15	18	25	12	25	18	25	19	25	19	27	27	25	16	19	26	19	30	19	24	31	44	27	28	50	27	21	22	37	41	24	49	46	45	48	52	53	53	52	57	52	62	62	61	64	66	60	67	69	1	1	2	1	1	2	1	4	1	1	2	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	2	2	1	2	1	2	1	3	5	1	2	1	2	2	1	2	1	1	3	1	2	2	2	1	1	4	2	2	3	1	2	1	2	2	1	2	1	1	1	1	1	3	2	1
7000	-409.644035767095374	-416.499523718054775	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.550742453506725	-1	0	4	3	4	8	7	10	11	12	12	14	15	15	16	17	16	17	20	17	18	19	19	20	18	20	20	19	20	21	20	23	22	22	25	24	22	22	23	25	24	23	23	21	23	26	24	23	25	27	28	28	28	28	29	27	30	30	31	32	32	32	31	33	35	35	38	38	40	44	0	1	4	2	4	4	0	6	6	8	7	10	10	10	12	14	10	15	25	14	12	15	18	13	17	25	21	17	28	25	17	44	27	24	20	26	26	24	30	42	24	31	44	27	15	25	33	17	45	19	41	48	49	26	48	22	52	17	56	53	57	52	57	57	62	64	64	60	67	69	1	1	1	1	1	3	1	1	2	1	3	2	2	2	1	1	3	1	1	1	2	2	2	3	1	2	1	2	1	2	1	1	1	1	3	2	1	1	1	1	2	1	1	1	3	3	1	3	1	4	2	2	2	4	3	4	1	8	2	2	1	3	1	2	2	1	2	3	2	2
7500	-433.422698306563802	-440.278186257523203	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578326473914292	0	1	5	2	4	7	7	10	9	12	13	14	14	14	15	16	17	18	19	17	17	19	19	18	19	21	20	20	20	20	21	23	22	22	23	23	23	22	24	26	23	22	24	22	26	24	24	25	25	27	27	27	28	28	29	26	31	32	32	33	33	32	31	34	35	35	37	37	40	44	0	1	4	2	4	3	0	6	3	8	7	10	10	8	10	14	15	15	17	14	15	15	18	15	15	24	13	17	19	22	19	44	27	25	14	28	26	30	38	19	22	25	32	27	17	19	27	17	25	30	25	48	48	30	48	17	52	53	50	45	63	63	56	62	61	62	66	60	67	67	1	1	2	1	1	1	1	1	2	1	3	1	1	2	2	1	2	1	1	2	1	2	1	2	2	2	3	1	1	1	1	1	1	2	4	1	1	1	1	3	2	1	1	2	3	1	2	4	3	4	3	1	2	4	2	4	2	2	2	2	1	1	2	1	1	1	1	2	2	4
8000	-399.367270944719792	-406.222758895679192	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616122705740544	-1	1	5	3	4	7	8	10	10	12	11	14	16	13	15	17	17	18	19	18	18	20	20	20	17	21	19	19	19	20	21	23	23	23	24	24	24	22	24	25	23	21	23	22	26	27	24	24	25	25	26	28	26	29	29	26	31	29	31	32	32	31	30	34	35	36	38	38	40	43	0	1	4	2	4	3	0	6	6	8	7	10	10	10	10	14	15	13	25	14	17	13	18	25	15	19	15	25	25	25	22	44	27	22	16	26	26	30	30	31	31	24	44	27	15	50	27	22	22	31	41	53	22	46	45	48	63	48	53	53	63	63	56	62	63	62	66	60	67	69	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	2	1	2	2	2	1	1	1	1	1	2	1	1	2	1	3	2	2	1	2	2	1	1	1	2	5	1	2	2	2	1	2	2	3	1	2	1	1	2	3	3	1	1	2	1	2	2	1	3	2	1
8500	-414.256091306975236	-421.111579257934636	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.453875268364176	0	1	4	2	3	8	9	9	8	12	11	14	15	14	15	16	17	18	18	17	19	19	19	19	17	20	21	19	19	19	21	22	22	21	24	23	23	23	24	26	23	22	23	21	25	27	24	24	25	28	28	28	28	28	29	28	29	31	31	32	32	31	30	34	35	36	38	38	41	42	0	1	4	2	4	4	0	3	3	8	7	10	10	10	12	14	15	13	25	14	17	17	18	25	15	19	18	25	25	13	24	44	27	25	16	26	26	30	24	19	31	24	44	23	17	45	27	21	17	25	41	48	45	40	48	49	56	53	53	53	57	57	56	62	64	64	64	60	67	67	1	1	1	1	1	2	1	2	3	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	4	2	2	2	3	3	1	2	1	1	3	1	2	2	4	4	2	2	2	1	3	2	1	1	1	2	1	1	1	3	1	2	3	4	1	2
9000	-394.696484716665793	-401.551972667625193	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.584406124814670	0	1	3	2	4	8	9	10	11	12	12	14	15	14	15	17	17	17	20	17	19	19	19	19	16	20	19	20	20	20	22	23	21	22	25	23	24	22	24	25	23	23	24	21	26	26	24	24	25	27	28	26	27	28	28	27	28	30	32	33	33	31	31	33	35	36	37	38	40	44	0	1	4	2	4	2	0	6	6	8	7	10	10	8	10	13	13	15	25	14	17	17	18	25	13	15	18	24	25	24	19	44	27	24	20	26	26	30	30	26	19	31	32	27	48	19	27	21	21	19	41	48	49	46	48	52	56	49	58	49	57	57	57	62	61	64	66	60	67	67	1	1	1	1	1	3	1	1	1	1	2	2	2	2	2	1	1	1	2	2	2	1	1	2	1	3	1	1	2	1	1	1	2	1	3	2	2	1	2	2	2	1	1	1	1	2	3	2	2	3	2	1	2	1	2	1	1	2	1	4	2	1	2	1	1	1	1	4	2	3
9500	-431.797755804753990	-438.653243755713390	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.529016197852540	0	2	5	3	4	7	8	11	10	13	12	15	15	14	15	16	18	16	19	16	19	18	19	19	17	21	21	20	20	20	21	23	20	22	26	24	23	22	25	24	23	21	23	22	26	26	23	24	25	25	27	27	28	28	30	27	31	31	32	32	30	31	31	33	35	35	37	39	40	42	0	1	4	2	4	3	0	4	4	8	7	10	10	8	10	14	15	13	25	14	17	15	18	25	15	19	23	22	17	24	25	33	22	24	16	26	26	30	25	24	31	19	27	23	15	28	33	22	17	34	41	19	45	50	45	21	52	52	56	52	52	56	56	62	61	64	66	60	67	67	1	1	1	1	1	1	1	4	4	1	2	1	1	2	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	1	3	1	1	2	4	2	1	1	3	2	1	1	1	2	5	3	1	2	3	1	2	4	1	2	2	3	2	2	2	2	1	3	1	2	2	1	1	4	2	3
