step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
1	-2775.151645068110156	-2782.007133019069443	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.750381316244420	0	0	2	3	2	3	4	4	4	3	4	5	6	6	5	7	5	5	6	7	7	7	7	8	7	9	8	9	9	9	9	11	12	10	12	11	12	12	11	12	12	14	13	14	16	18	18	18	20	19	19	20	20	21	21	22	22	23	25	25	27	25	25	26	26	27	27	26	27	28	30	28	28	29	31	29	32	35	38	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	3	3	3	4	3	3	3	4	4	4	4	4	4	5	4	5	5	5	5	6	6	5	6	6	6	6	6	6	6	7	7	7	8	9	9	9	10	10	10	10	10	11	11	11	11	12	13	13	14	13	13	13	13	14	14	13	14	14	15	14	14	15	16	15	16	18	19
500	-753.820069652961820	-760.675557603921220	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.279825372435598	0	1	3	4	3	2	5	5	4	4	4	5	7	6	5	8	5	5	7	6	8	8	8	6	8	8	9	8	9	8	10	12	13	11	12	12	12	12	12	9	11	15	13	14	15	17	18	18	19	19	20	17	20	21	22	22	22	23	26	23	26	25	25	26	27	25	27	26	27	28	31	28	28	29	31	29	31	35	39	0	0	6	1	2	1	2	3	6	6	2	9	20	2	6	6	10	0	3	9	12	15	6	5	3	17	17	15	19	15	25	26	20	25	40	41	41	26	31	19	26	41	15	29	30	29	44	45	35	48	48	37	0	51	43	35	51	52	45	46	45	45	49	52	52	35	43	52	36	52	45	52	35	37	48	52	52	6	43	1	1	1	2	1	1	2	1	1	1	2	1	1	3	1	3	1	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	4	2	2	1	1	3	1	1	2	2	3	2	3	5	2	1	3	1	1	2	1	1	5	4	1	2	7	4	7	7	4	6	5	7	7	5	8	8	8	8	7	10	8	5	8	16	13
1000	-566.495511077923538	-573.350999028882939	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.384757754120407	0	0	3	3	2	1	2	4	4	3	5	6	7	6	6	6	5	3	7	8	6	7	8	8	8	8	8	10	10	9	10	11	12	10	12	10	12	12	12	12	12	15	13	14	15	17	19	17	20	18	17	21	20	21	19	22	20	23	25	25	26	23	25	27	25	27	28	24	27	28	30	28	29	29	31	29	32	36	38	0	0	6	1	2	1	2	6	6	6	7	9	10	5	8	3	10	0	8	12	9	15	16	5	8	17	17	15	19	3	25	26	28	25	19	22	8	27	25	3	15	36	30	40	36	44	44	43	19	41	43	48	0	51	51	40	48	54	53	46	52	50	56	45	30	49	42	57	57	50	48	64	49	41	76	70	72	68	45	1	1	1	2	1	1	1	3	2	1	1	1	2	2	1	2	1	1	2	1	1	1	1	4	1	2	2	2	2	4	1	2	1	1	2	2	3	3	2	4	3	3	2	1	2	3	2	1	8	2	2	2	1	2	1	4	2	1	3	4	4	2	2	6	8	4	6	2	4	4	6	1	5	8	1	1	2	9	14
1500	-522.524542355743279	-529.380030306702679	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.469220754179867	-1	0	1	3	2	3	4	5	4	3	4	6	7	6	4	5	5	3	6	8	5	7	7	9	7	9	7	9	10	10	10	11	13	11	12	11	12	12	11	10	12	13	14	15	16	18	17	18	18	17	19	20	21	21	20	22	22	24	24	26	28	25	25	25	27	27	28	26	28	28	30	28	29	27	30	29	32	36	39	0	0	1	1	2	1	2	6	6	3	2	21	10	2	6	10	10	0	3	9	9	15	16	14	16	17	3	15	15	20	25	27	28	25	19	30	30	27	31	19	15	22	37	19	42	35	44	37	35	42	30	41	0	52	51	49	48	52	53	56	68	48	56	52	48	63	58	51	51	68	51	65	56	52	70	70	72	48	72	1	1	1	2	1	2	2	1	1	1	2	1	2	3	1	1	1	1	3	3	1	2	1	2	1	2	3	2	3	1	2	2	1	2	4	1	1	3	1	2	4	3	2	4	2	3	1	3	3	1	5	4	1	1	1	2	1	1	2	3	1	4	2	3	6	1	2	3	4	1	7	1	3	4	1	1	2	8	8
2000	-447.555385462609252	-454.410873413568652	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.513634399824240	1	0	3	3	3	2	3	4	3	3	3	5	7	5	5	8	5	5	7	8	8	7	8	9	6	9	9	10	9	9	10	11	12	10	12	10	12	12	12	12	12	13	12	14	17	19	18	19	19	19	19	20	20	21	21	22	22	22	24	26	26	25	26	23	27	27	27	25	27	27	30	29	28	30	32	28	33	36	39	0	0	6	1	2	1	2	6	6	6	2	9	17	5	3	3	10	0	8	9	12	15	8	7	8	17	17	22	16	22	25	17	28	25	19	22	22	32	34	29	22	26	22	19	37	44	29	37	47	45	45	45	0	37	48	46	52	52	53	56	68	58	56	57	68	63	64	64	68	68	64	68	63	65	70	70	72	77	78	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	3	3	2	2	2	1	1	2	2	2	1	2	3	2	3	1	1	1	2	2	2	3	2	4	5	3	1	1	1	1	1	4	1	2	1	1	2	2	1	2	2	1	1	1	2	1	2	1	5	2	1	2	2	1	2	2	1
2500	-430.840886911634243	-437.696374862593643	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532748003748711	0	0	3	3	3	2	5	4	4	4	4	5	7	7	5	6	5	6	6	7	8	7	7	9	7	8	8	9	7	8	10	10	13	10	12	11	10	12	11	12	12	12	14	14	16	18	18	17	20	19	16	20	19	21	21	22	22	22	26	24	27	26	26	26	27	28	27	25	28	28	30	29	28	29	31	30	33	35	38	0	0	6	1	2	1	2	6	6	6	2	9	10	5	10	10	10	0	8	9	12	15	16	5	16	17	17	15	19	22	25	27	28	25	29	22	30	27	34	19	22	28	37	40	22	44	29	43	46	48	42	48	0	50	50	46	52	48	53	46	68	58	60	57	68	63	64	57	64	68	67	65	63	68	70	70	72	65	78	1	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	2	2	1	1	3	1	2	1	2	1	1	1	2	2	1	3	3	1	2	1	2	2	3	2	1	6	1	8	1	1	1	2	2	1	1	1	2	1	3	4	3	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	3	4	1
3000	-443.148246194489275	-450.003734145448675	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572957017757416	0	0	3	4	2	4	2	1	5	4	4	6	7	5	4	7	6	5	6	7	8	7	7	9	8	10	8	9	9	9	9	11	12	10	12	11	11	12	10	12	13	14	13	15	16	17	19	18	20	18	18	20	21	21	20	22	20	21	25	25	27	25	26	23	26	27	27	26	25	27	30	28	28	29	31	30	33	36	38	0	0	8	1	2	8	2	1	6	3	7	9	10	2	8	3	10	0	8	9	12	19	3	7	16	17	19	22	6	3	25	27	28	25	8	22	30	27	31	30	37	37	22	29	41	44	44	45	46	43	45	48	0	48	48	49	50	51	53	56	68	50	56	57	64	60	64	64	64	65	68	65	63	68	70	65	74	77	78	1	1	1	2	1	1	1	1	1	1	2	1	2	3	2	2	1	1	2	1	2	1	2	3	1	2	1	1	2	3	1	2	2	2	5	2	1	2	1	2	2	2	3	3	2	1	2	1	2	3	1	1	1	1	1	1	1	2	3	2	1	4	2	1	2	1	2	2	1	1	2	1	1	2	2	2	2	1	1
3500	-402.813210219221048	-409.668698170180448	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.684266734631894	0	0	2	2	2	3	2	5	4	3	4	5	7	7	5	6	6	5	7	8	8	6	8	8	8	10	8	9	9	10	9	12	12	10	12	10	12	13	11	13	12	14	11	14	16	18	18	17	19	19	19	20	21	21	20	21	22	23	25	23	27	26	25	25	26	27	28	27	27	28	29	28	28	30	31	28	31	36	37	0	0	1	1	2	3	2	6	6	3	2	9	10	5	6	6	10	0	8	9	12	15	16	5	16	17	17	15	19	22	25	27	36	25	29	22	43	26	34	29	36	41	36	19	36	40	44	45	46	45	45	48	0	51	51	49	50	45	53	56	65	58	56	57	64	60	68	57	64	65	67	65	63	68	74	65	72	77	78	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	2	1	1	2	3	1	2	1	3	1	2	1	2	1	1	1	2	1	1	1	2	1	1	1	3	3	2	1	1	1	3	2	1	1	1	1	1	2	3	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1
4000	-438.891757168404126	-445.747245119363527	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.617981760426307	0	0	2	3	3	1	4	4	4	4	5	5	6	6	5	5	6	6	6	7	6	8	7	8	7	10	8	9	8	9	9	12	12	10	13	11	12	12	12	12	12	13	14	14	15	17	17	18	19	20	19	20	21	22	21	21	22	22	25	25	27	24	26	26	26	28	28	25	27	28	30	28	26	29	30	30	33	35	38	0	0	6	1	2	1	2	3	3	6	2	9	10	11	3	6	10	0	8	9	12	15	16	5	16	17	17	15	19	15	25	26	28	25	29	16	26	26	31	29	22	30	22	35	41	40	44	43	46	48	45	36	0	51	48	46	50	45	53	56	68	58	49	68	57	60	68	52	64	68	61	68	56	65	70	70	74	77	78	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	2	2	1	1	2	1	1	2	2	2	3	1	1	3	2	2	2	2	1	2	3	2	2	1	1	3	3	1	2	1	2	1	4	1	2	1	1	3	1	2	1	2	2	1	2	1	2	2	2	1	1	1	1	2
4500	-445.903741378811105	-452.759229329770506	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585324329734108	0	0	2	2	2	3	5	5	4	4	3	6	7	7	6	7	6	5	6	6	6	8	8	9	7	10	8	9	10	10	8	11	12	10	12	10	10	13	11	12	12	15	13	14	16	19	18	19	21	17	19	20	21	22	21	23	23	23	24	25	27	25	26	26	26	27	27	25	27	29	28	27	28	26	32	29	32	35	38	0	0	1	1	2	3	5	3	6	3	2	9	10	11	8	19	10	0	6	9	8	19	16	2	8	13	10	15	19	15	8	17	28	31	3	22	15	32	25	29	15	37	36	40	43	44	40	45	46	45	45	37	0	52	48	49	48	52	53	56	65	58	56	68	68	63	64	52	68	74	67	74	63	57	76	61	65	70	78	1	1	1	1	1	1	2	2	1	1	2	1	1	3	1	1	1	1	2	1	1	1	1	5	2	1	2	2	2	2	2	3	1	1	6	1	2	2	2	2	3	2	1	1	2	2	2	2	1	1	1	3	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	3	1	3	1	1	1	2	2	1	3	3	2
