step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34
1	-1536.413918736484675	-1534.951836651965777	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.876285851564372	0	2	5	4	3	5	4	4	6	6	5	9	7	7	8	8	7	8	8	8	9	10	8	9	11	9	13	11	11	11	11	11	14	16	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	2	2	3	3	3	5	4	4	4	4	4	4	4	4	5	5	4	5	6	5	7	6	6	6	6	6	7	8
500	-204.767365613423095	-203.113057009069735	-1.654308604353367	0.000009967676459	0.000014798240077	1.484622834464859	0.664699346516704	-1	2	6	4	3	6	4	4	6	6	4	10	7	7	6	9	7	8	8	8	9	9	8	9	11	10	13	12	11	10	11	12	13	16	0	1	8	2	1	8	5	5	4	7	5	21	3	10	5	10	11	15	0	5	6	13	10	17	19	19	16	21	22	23	26	21	30	32	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	3	1	1	2	1	2	1	2	2	1	1	1	2	2	2
1000	-198.371302716738597	-196.137903837896602	-2.233398878841994	0.000009948317095	0.000029553353004	2.970688682468208	0.865353706548070	0	2	5	3	3	5	5	5	6	6	6	8	7	8	7	8	7	9	7	7	10	9	9	9	12	9	13	12	11	12	10	10	13	15	0	1	5	2	1	5	5	5	2	7	8	6	6	10	11	10	11	15	0	8	12	13	10	17	19	19	16	32	22	23	26	12	23	28	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	2	1	2	1	1	1	1	2
1500	-220.078406091967480	-218.275408400590436	-1.802997691377030	0.000010044893781	0.000018542223868	1.845935285377866	0.615916755620518	-1	2	5	3	1	5	4	3	6	6	6	7	7	7	7	8	7	9	7	7	9	9	9	9	12	9	14	12	12	12	11	12	13	17	0	1	8	2	1	5	8	5	4	7	3	6	3	10	11	10	11	15	0	3	12	13	16	17	19	19	30	12	22	23	26	12	23	28	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	3	2	2	1	2	2	4
2000	-207.646336314056697	-205.980833950182955	-1.665502363873737	0.000010072079051	0.000015226243834	1.511727991480530	0.615293460878224	0	1	6	3	2	4	3	5	6	6	5	9	7	7	7	8	7	8	8	9	10	9	7	9	12	10	12	12	12	11	12	11	14	16	0	1	5	2	1	5	5	5	2	7	5	6	6	10	11	7	11	15	0	3	12	6	10	17	19	19	10	32	22	23	26	12	23	32	1	1	2	1	1	1	1	1	3	2	2	3	2	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	3	3
2500	-187.341091288521369	-185.214993209559054	-2.126098078962313	0.000010073127842	0.000026945186136	2.674957228694249	0.818848349990028	0	2	6	4	2	6	4	4	6	6	6	8	8	8	8	9	8	9	8	7	9	9	9	9	11	9	13	11	11	12	10	12	15	16	0	1	8	2	1	5	5	5	2	7	8	6	6	10	6	10	11	15	0	3	12	6	10	17	19	19	16	21	22	23	26	28	30	32	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2
3000	-201.684302415146647	-199.745589290634427	-1.938713124512232	0.000010009464390	0.000021864422658	2.184374888298400	0.675761388918675	0	2	4	5	3	5	5	5	6	6	5	8	7	7	7	9	7	8	8	9	10	9	8	9	11	10	13	11	11	11	12	10	14	16	0	1	5	2	1	5	5	3	2	7	3	6	6	10	5	10	11	15	0	7	12	13	10	17	19	19	16	32	22	23	26	12	30	28	1	1	1	2	2	1	1	1	3	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	2	2	2	1	2	3
3500	-201.231382088554028	-199.333246081008411	-1.898136007545622	0.000010115079039	0.000021058798543	2.081921304063648	0.879062107188430	0	2	5	4	2	5	4	4	6	6	6	8	7	7	7	9	8	9	7	6	9	10	9	10	12	10	13	12	11	11	11	11	15	17	0	1	5	2	1	5	5	5	2	7	3	6	6	10	11	10	11	15	0	8	12	6	10	17	19	19	16	32	22	23	26	12	23	28	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2	2
4000	-194.462123250178195	-192.341125078038942	-2.120998172139246	0.000010290262742	0.000027384303065	2.661185992062666	0.837366638444705	-1	1	5	5	3	5	5	4	6	6	5	8	7	7	6	8	7	8	8	7	10	10	9	9	11	10	12	10	12	12	11	12	15	16	0	1	5	2	1	5	8	5	2	7	8	6	6	10	11	10	11	15	0	3	12	13	16	17	19	19	16	12	22	23	26	28	30	28	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2
4500	-203.443372147935236	-201.676334753153725	-1.767037394781509	0.000011733541885	0.000020627484105	1.757992966431580	0.691032245871898	0	3	6	4	2	5	4	4	6	5	6	10	6	6	8	8	7	9	5	8	9	10	8	10	9	9	13	11	11	11	11	12	14	16	0	1	5	2	1	5	5	5	4	7	8	21	6	10	8	10	11	15	0	3	8	13	10	17	19	19	16	21	22	23	26	28	30	32	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	2	1	2	2	1	1	1	2	1	1	2	2
