step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97
1	-2985.068009111934316	-2991.923497062893603	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.959196741385530	1	2	3	4	4	5	5	7	7	6	6	7	8	7	7	7	8	8	10	8	10	10	10	10	10	10	11	12	12	12	12	12	14	13	13	12	13	14	14	13	14	14	14	14	17	16	15	14	15	15	14	15	15	15	16	15	15	17	17	15	16	20	18	16	17	16	18	18	17	18	19	18	19	19	20	19	19	18	20	21	20	20	20	21	22	20	21	21	22	22	22	22	23	25	25	24	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	3	4	3	3	3	4	4	5	4	5	5	5	5	5	5	5	6	6	6	6	6	7	6	6	6	6	7	7	6	7	7	7	7	8	8	7	7	7	7	7	7	7	7	8	7	7	8	8	7	8	10	9	8	8	8	9	9	8	9	9	9	9	9	10	9	9	9	10	10	10	10	10	10	11	10	10	10	11	11	11	11	11	12	12	12	14
500	-683.207107148910723	-690.062595099870123	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.413553248538418	1	3	4	3	4	4	6	7	7	7	6	6	8	8	7	5	7	7	11	9	9	10	10	10	11	9	11	13	12	12	11	13	13	14	13	12	14	14	12	14	14	12	14	13	17	16	13	13	14	13	15	15	15	14	16	14	15	17	17	16	17	21	19	15	17	16	18	18	18	17	20	16	20	19	20	19	20	19	17	18	20	20	21	22	22	20	21	21	22	20	22	22	22	24	25	25	28	0	1	1	1	4	4	16	2	6	16	5	3	3	1	16	4	4	5	13	1	17	11	2	14	22	17	11	24	24	13	20	27	13	14	26	23	11	27	18	39	36	23	47	36	56	54	19	26	48	36	33	40	33	13	22	31	43	64	40	52	53	37	70	23	36	54	57	50	58	33	49	40	80	56	51	34	69	59	19	72	72	56	56	52	59	47	70	56	72	79	56	46	78	79	9	14	94	1	1	1	1	1	1	1	2	1	2	2	1	2	3	2	1	2	2	2	4	1	2	3	1	1	1	2	2	1	2	1	1	3	4	2	1	3	2	3	1	2	1	1	1	1	1	1	3	1	1	1	1	1	3	3	1	1	1	2	1	1	3	2	2	2	1	2	3	1	1	3	2	1	3	2	1	1	1	2	1	2	2	3	3	2	2	4	2	4	2	5	4	1	3	7	9	3
1000	-595.111097544436461	-601.966585495395861	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.529829534782486	1	2	4	4	5	4	5	7	8	6	7	5	9	8	7	7	8	8	10	9	9	11	11	10	11	11	12	12	12	12	13	12	14	13	14	11	13	11	13	14	14	14	15	13	17	16	14	14	16	16	13	16	15	14	17	14	15	16	18	15	17	20	18	16	15	16	18	18	18	17	19	19	19	18	21	20	20	18	21	21	21	19	20	22	22	21	21	22	23	23	23	21	24	25	25	24	27	0	1	2	2	3	1	2	2	8	5	5	1	16	11	4	12	1	11	12	6	6	18	24	6	4	14	38	22	18	19	20	38	34	23	26	6	11	12	22	24	30	23	23	36	56	33	23	17	26	44	36	22	44	34	60	31	47	51	37	39	53	40	33	51	44	54	57	51	41	37	35	55	55	56	69	57	50	55	70	72	72	74	45	55	40	66	70	74	59	79	74	70	73	70	96	70	94	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	3	1	2	3	2	2	1	3	3	1	1	1	2	1	2	1	1	1	1	2	5	3	1	2	1	2	2	1	1	1	2	4	2	2	1	3	2	1	1	1	1	2	3	1	1	3	2	2	1	2	2	2	2	3	3	2	1	2	1	2	2	1	3	2	1	1	2	2	3	2	2	2	2	1	3	3	2	2	1	5	1
1500	-537.743674614121232	-544.599162565080633	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677685736098295	1	3	2	4	4	5	6	6	7	6	5	8	9	6	8	8	8	8	11	7	10	9	10	10	11	10	12	12	12	12	11	11	15	14	13	12	13	14	15	14	14	15	13	15	17	17	16	15	15	14	14	16	15	15	17	15	15	18	18	16	16	20	18	17	17	17	18	17	16	19	20	18	19	20	20	19	20	19	20	21	21	21	19	22	23	20	21	22	22	22	19	22	23	25	25	23	27	0	1	1	2	3	1	4	4	6	5	5	2	16	2	4	2	9	5	23	6	17	11	4	10	20	16	32	18	18	23	20	24	34	23	26	23	18	29	12	29	30	30	23	36	20	23	43	26	26	36	43	40	41	43	60	31	23	69	52	18	43	55	33	51	41	54	57	44	51	33	49	55	52	91	58	47	64	72	46	72	59	91	45	72	40	67	79	83	80	79	56	70	59	96	92	79	94	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	2	1	2	1	2	1	2	2	1	2	1	1	2	2	1	3	1	1	2	1	1	2	1	4	1	1	1	2	2	5	3	1	3	3	1	1	1	1	1	1	2	2	2	2	4	1	2	2	2	2	1	2	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	2	4	1	1	2	1	1	2	1	3	1	1	1	1
2000	-478.985842449910479	-485.841330400869879	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779188752160875	1	3	3	3	4	5	5	7	7	6	6	6	8	6	4	8	9	9	9	8	11	10	11	11	10	10	11	12	12	13	12	13	14	13	13	12	14	15	14	13	15	14	12	14	14	16	16	15	15	15	14	15	15	14	16	16	15	16	17	16	17	20	19	16	17	17	18	19	17	18	20	18	19	19	19	20	18	18	20	21	19	19	21	21	22	20	20	21	23	21	21	22	22	25	25	24	28	0	1	1	1	3	4	4	12	6	5	5	4	6	6	1	12	9	10	13	5	17	10	19	18	20	12	18	22	12	36	25	27	23	43	26	23	18	27	29	22	30	36	23	36	31	33	43	35	35	36	36	40	44	34	29	45	33	51	52	37	53	29	46	51	53	47	57	69	58	46	49	55	29	56	58	67	58	55	46	55	37	56	56	72	73	67	70	82	80	87	82	79	80	96	92	79	94	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	2	1	2	1	3	1	1	1	2	1	1	2	1	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	4	3	1	1	1	2	1	1	1	2	1	2	2	1	1	1	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2
2500	-475.783759486976692	-482.639247437936092	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.708670884394221	1	3	3	5	5	5	6	8	8	6	7	6	7	8	7	7	7	9	10	9	9	11	10	10	11	11	10	12	13	12	13	12	14	13	14	12	13	13	15	12	14	14	14	15	17	16	15	15	16	14	14	15	14	15	16	14	15	18	18	15	16	21	18	17	16	16	19	18	17	18	18	18	20	19	21	19	20	19	20	21	18	20	20	21	22	20	21	21	23	23	22	22	24	26	24	23	28	0	1	1	2	3	2	3	4	6	5	10	4	4	12	6	10	4	10	13	16	17	24	8	18	20	17	18	24	22	19	20	27	23	19	26	19	24	27	29	24	30	30	23	36	56	33	43	35	35	36	36	40	36	34	40	31	33	69	52	40	53	59	46	44	34	43	57	64	51	33	49	55	55	45	58	57	58	81	70	72	55	74	74	72	80	76	79	82	80	87	88	87	84	96	79	79	96	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	3	2	2	2	2	1	2	2	2	1	1	1	2	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	1	2	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
3000	-514.637771481702543	-521.493259432661944	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.628796037257019	1	3	4	4	5	5	5	7	8	7	6	7	8	7	8	5	7	8	11	7	10	11	10	10	10	10	11	12	12	12	12	12	14	13	13	12	12	14	14	14	14	13	12	13	18	16	15	14	14	15	15	13	15	14	15	14	16	18	16	15	16	20	18	16	17	16	18	19	17	18	19	18	18	18	20	19	19	17	19	21	19	20	20	20	22	20	21	22	22	22	23	22	23	26	25	24	28	0	1	1	1	3	2	4	16	17	5	5	2	8	16	2	1	4	10	13	4	14	18	8	18	20	17	24	22	18	23	25	27	34	13	26	23	5	27	22	37	30	30	23	36	56	33	43	35	21	36	44	24	44	43	52	25	23	69	52	29	23	39	46	36	44	34	57	69	51	46	49	55	29	56	58	57	69	39	70	73	40	74	74	59	81	76	79	82	72	87	74	70	85	96	92	92	96	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	2	3	1	3	2	2	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1	3	4	1	2	2	2	1	1	1	1	3	2	2	2	1	2	1	1	1	2	3	1	1	2	2	1	1	2	3	1	2	3	1	1	2	1	2
3500	-505.760005083579813	-512.615493034539213	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.707164647588421	1	3	3	5	4	5	5	8	7	7	7	6	7	7	7	6	8	8	9	8	10	10	10	10	10	10	11	13	11	11	12	12	13	13	12	12	14	15	14	13	15	15	14	13	18	16	15	14	15	14	15	15	16	15	17	15	15	16	18	15	16	21	19	14	18	15	18	18	17	18	19	18	18	19	21	19	19	18	20	20	20	20	20	20	22	20	21	22	22	23	22	23	22	26	25	25	28	0	1	1	2	3	1	2	10	4	5	5	3	16	4	2	1	9	1	13	2	17	11	19	11	20	17	18	18	16	18	20	18	23	23	26	30	22	18	29	18	30	50	23	36	56	54	34	35	26	36	64	40	43	23	40	31	34	64	52	22	50	73	46	44	53	34	57	50	58	46	49	37	52	45	69	57	58	52	70	55	72	56	56	55	72	76	79	83	84	87	82	70	72	96	92	92	96	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	4	1	2	1	2	1	2	2	1	1	2	1	1	2	2	1	2	1	1	2	3	2	2	2	1	2	1	1	1	1	1	3	1	1	1	1	3	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	3	2	2	1	2	2	1	2	1	2	1	3	2	2	1	1	1	1	1	1	1	3	2	1	1	1	2
4000	-488.800872818405878	-495.656360769365278	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643334761284617	1	2	3	4	4	4	6	7	8	6	6	7	8	7	8	7	7	8	10	9	9	10	10	10	10	10	11	12	12	11	12	12	14	13	14	13	11	15	14	13	14	15	14	14	17	15	15	14	16	14	15	16	15	14	15	15	15	17	17	15	16	20	17	17	16	16	18	19	18	18	19	17	19	19	21	19	19	19	20	21	20	20	21	20	21	20	21	22	22	23	20	22	23	24	24	22	28	0	1	1	2	3	1	6	6	6	5	5	3	4	6	14	11	6	10	13	13	17	5	13	18	8	17	18	22	18	23	20	27	19	23	26	30	18	27	29	22	30	23	23	36	56	33	34	26	35	36	44	60	44	34	40	31	33	41	29	40	41	52	46	36	41	54	43	64	58	46	26	55	72	56	64	57	64	72	70	81	55	56	74	72	72	76	79	82	80	87	56	79	85	96	92	79	94	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	2	2	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	2	1	1	1	5	1	2	2	2	2	1	1	1	1	3	2	1	2	2	1	1	1	1	1	2	1	2	2	2	1	3
4500	-499.339822822128269	-506.195310773087670	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.676945727388589	1	3	2	4	5	4	5	7	6	7	7	8	8	8	7	7	7	8	9	9	11	10	10	9	10	10	12	12	13	12	13	13	13	12	14	12	14	14	13	14	14	15	14	15	17	15	15	15	16	15	14	13	15	16	16	15	15	18	15	15	16	17	17	16	17	15	19	18	17	17	18	18	20	18	20	19	20	18	20	21	20	20	20	21	23	20	21	21	22	22	22	23	24	26	25	24	28	0	1	1	1	3	2	1	7	4	5	5	6	15	16	2	2	9	6	16	12	17	15	13	11	20	17	22	18	24	23	25	27	34	23	26	23	24	39	22	28	30	30	23	36	56	33	34	35	35	36	36	22	36	66	40	20	43	69	40	40	53	52	46	51	50	34	57	44	50	46	49	52	55	56	58	57	69	40	70	72	72	56	74	55	84	76	79	56	80	79	74	79	85	96	79	87	96	1	1	1	2	1	1	3	1	1	1	1	2	1	1	2	2	1	3	1	1	2	1	2	1	1	2	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	1	1	1	3	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	2	1	2	2	2	2	2	1	3	1	2	1	1	1	4	1	1	2	2	1	2	2	1	1
