step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95
1	-610.899286281829859	-617.754774232789259	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.254056594273943	1	1	2	4	4	5	4	7	6	7	7	8	9	9	10	9	12	9	9	10	10	9	11	12	13	11	13	13	12	14	13	15	15	17	18	19	17	19	19	18	20	19	20	21	21	21	20	22	22	22	21	22	22	22	22	23	23	25	24	22	24	25	23	25	24	25	25	24	25	25	26	26	26	27	28	28	28	28	30	31	31	31	31	32	33	36	38	40	41	41	42	44	45	44	49	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	4	4	4	5	4	6	4	4	5	5	4	5	6	6	5	6	6	6	7	6	7	7	8	9	9	8	9	9	9	10	9	10	10	10	10	10	11	11	11	10	11	11	11	11	11	11	12	12	11	12	12	11	12	12	12	12	12	12	12	13	13	13	13	14	14	14	14	15	15	15	15	15	16	16	18	19	20	20	20	21	22	22	22	24
500	-710.771849619289128	-717.627337570248528	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.197528987049717	1	2	3	5	5	5	3	6	6	6	7	7	9	10	10	9	12	8	9	10	9	8	11	11	12	12	14	13	13	14	13	14	15	15	17	19	17	19	19	18	20	16	20	21	21	19	21	22	23	22	21	22	23	22	23	23	24	25	23	22	24	25	22	26	24	25	26	24	25	25	26	25	26	27	28	26	28	28	31	32	32	32	31	32	34	35	38	40	42	40	41	43	43	45	49	0	1	1	3	3	2	2	5	3	2	5	9	9	10	4	5	0	0	0	16	4	4	0	21	5	2	31	14	14	11	24	13	10	8	12	0	4	1	25	0	37	28	31	39	34	29	0	38	35	8	30	37	4	8	26	51	34	43	0	4	54	17	1	57	11	0	1	27	23	7	50	17	10	4	74	5	30	44	1	25	27	3	45	7	37	0	63	70	80	52	0	70	65	7	55	1	1	1	1	1	2	1	1	3	2	1	1	2	1	3	2	1	1	1	1	2	2	1	1	5	5	1	2	2	4	2	4	4	4	5	1	8	5	3	1	2	1	6	2	3	2	1	1	3	11	5	5	11	7	5	1	6	2	1	8	1	6	10	1	10	1	12	4	5	14	2	9	9	13	1	11	8	5	15	13	10	11	6	14	12	1	8	7	6	10	1	7	10	21	12
1000	-812.446698502045365	-819.302186453004765	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.283957642897588	0	1	3	3	5	6	4	8	6	5	5	8	9	10	10	9	13	8	10	10	9	10	11	11	13	12	13	13	11	15	12	13	15	16	18	20	16	19	19	18	20	19	20	22	22	21	21	22	22	20	21	20	21	23	21	23	23	25	24	22	24	25	21	25	23	25	26	24	24	23	26	27	26	27	28	29	29	28	31	32	31	31	30	32	34	36	38	40	40	41	42	41	44	44	49	0	1	2	1	4	11	2	4	7	7	1	6	4	12	5	3	0	0	0	12	12	8	0	20	22	8	9	29	18	24	22	16	17	3	17	0	8	29	22	0	30	18	22	34	8	39	0	15	50	27	4	38	24	44	28	33	14	50	0	39	54	5	37	44	63	0	57	44	44	55	20	54	56	4	63	7	62	56	46	70	54	72	57	37	50	0	1	11	70	76	0	76	18	67	52	1	1	1	2	1	1	1	3	1	1	3	1	3	1	3	2	1	1	1	2	1	1	1	1	3	3	3	1	2	2	1	2	1	4	2	1	3	4	5	1	3	4	3	3	5	2	1	5	1	3	7	1	5	1	3	4	7	3	1	2	1	11	2	1	2	1	2	2	1	1	8	3	2	11	4	12	2	2	5	6	5	2	3	12	6	1	18	15	8	5	1	5	16	9	13
1500	-603.345743326627485	-610.201231277586885	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.248771449650084	1	2	2	5	3	5	5	7	7	7	7	9	9	9	9	9	11	9	9	11	11	9	11	12	13	11	13	13	11	15	12	14	15	16	17	20	16	17	19	18	20	20	20	20	21	20	21	23	21	23	21	21	22	22	22	23	23	25	25	22	24	25	22	25	24	26	25	24	26	26	26	27	27	27	26	28	29	29	30	31	30	31	30	32	33	36	38	41	41	42	42	43	45	44	50	0	1	1	3	1	1	1	4	2	1	6	8	3	7	9	10	0	0	0	16	15	2	0	16	7	5	22	13	12	19	5	2	7	13	10	0	28	31	31	0	13	40	1	12	1	12	0	37	7	5	23	4	28	32	46	45	22	45	0	32	50	52	5	48	41	0	45	1	63	45	28	69	64	64	54	46	49	38	53	31	78	72	67	49	49	0	53	5	72	50	0	76	73	34	68	1	1	1	2	1	3	2	1	2	3	2	2	2	1	1	2	1	1	1	1	1	3	1	1	4	3	2	3	1	3	4	4	5	3	5	1	2	4	4	1	5	1	10	4	9	5	1	4	8	12	4	6	3	4	1	1	8	3	1	4	1	2	8	1	1	1	2	10	3	2	6	1	1	1	2	3	4	8	4	10	1	2	3	4	6	1	7	16	7	11	1	10	9	19	8
2000	-733.497516781663194	-740.353004732622594	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.295145040464319	0	1	2	4	4	5	5	6	7	6	7	8	9	9	8	8	12	9	9	10	11	9	11	13	14	11	13	13	13	14	10	15	14	18	19	19	14	19	20	19	19	19	18	21	22	21	20	21	22	22	22	23	22	23	21	23	24	25	24	22	24	24	24	26	24	25	25	24	25	23	27	27	26	27	28	26	28	29	31	31	31	31	32	31	33	36	38	41	40	42	42	43	45	44	46	0	1	2	1	3	2	1	7	4	5	4	3	9	3	2	4	0	0	0	15	13	16	0	21	7	15	23	12	22	11	1	29	27	2	19	0	4	16	32	0	34	32	29	34	22	35	0	38	20	37	14	8	20	44	43	55	32	22	0	36	29	45	11	52	47	0	52	22	39	34	68	52	57	41	64	35	34	77	77	2	78	67	66	50	80	0	72	58	68	59	0	87	72	31	84	1	1	1	2	1	2	2	1	1	1	1	3	1	4	3	2	1	1	1	1	1	1	1	1	5	1	2	2	3	4	4	2	1	8	4	1	4	3	3	1	1	1	2	3	7	1	1	1	7	6	5	9	6	1	1	1	5	10	1	2	6	1	8	2	2	1	1	6	2	2	2	2	1	4	1	2	5	1	2	17	1	2	3	4	1	1	5	12	8	7	1	2	8	17	8
2500	-565.802912672449111	-572.658400623408511	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.342281467759035	1	2	3	5	4	5	5	6	6	8	7	8	9	10	11	9	13	9	9	10	11	9	11	12	12	11	13	13	12	14	14	15	15	18	19	20	16	20	19	19	20	19	19	19	19	19	21	22	21	22	20	23	21	22	22	22	22	25	24	22	25	25	22	25	24	26	25	24	25	25	26	27	27	27	28	28	28	28	30	31	31	32	31	32	34	37	36	39	42	41	40	45	45	43	49	0	1	2	2	1	5	1	5	1	4	1	9	7	7	14	11	0	0	0	12	16	5	0	7	2	11	16	9	22	29	13	12	26	14	17	0	14	13	29	0	32	37	22	14	32	24	0	35	20	14	29	33	40	45	36	13	14	39	0	32	60	63	5	27	25	0	60	52	51	41	40	61	63	64	13	32	49	30	42	39	72	79	72	57	63	0	80	63	85	66	0	94	54	7	85	1	1	1	1	1	1	1	1	2	2	3	1	3	2	1	1	1	1	1	1	1	2	1	2	6	2	1	3	2	1	3	4	2	6	3	1	2	4	4	1	2	2	7	3	2	4	1	1	5	5	5	6	1	1	1	7	6	3	1	4	2	2	10	6	6	1	1	1	2	2	4	1	3	1	7	4	2	8	10	5	3	1	2	5	6	1	2	9	4	8	1	1	9	14	6
3000	-548.427653809555295	-555.283141760514695	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.354836628452571	1	2	2	3	5	6	4	7	6	7	7	7	9	10	10	9	11	7	9	11	11	9	11	13	14	12	13	12	12	15	14	14	15	17	19	19	17	19	19	19	20	20	19	21	21	21	20	23	21	22	21	23	22	22	22	23	20	24	23	22	25	25	22	25	24	24	25	24	25	24	27	26	27	28	27	29	28	29	31	32	29	30	31	32	34	36	39	40	41	41	42	44	46	44	49	0	1	1	1	1	7	3	9	2	2	5	6	3	11	5	12	0	0	0	8	13	7	0	1	13	7	21	19	18	22	4	1	13	2	26	0	33	16	4	0	29	39	34	39	31	1	0	54	35	42	35	22	43	42	47	30	39	42	0	38	56	34	57	65	50	0	55	52	52	34	63	44	62	72	63	60	70	73	53	32	71	67	48	63	31	0	86	77	86	62	0	91	57	14	92	1	1	1	1	2	1	1	1	1	2	1	1	3	2	3	1	1	1	1	1	1	2	1	7	2	4	1	1	2	3	5	5	3	6	4	1	1	4	8	1	3	1	1	1	4	7	1	1	1	2	1	9	1	1	1	4	1	4	1	2	1	3	2	1	1	1	1	1	2	3	2	2	2	1	3	4	2	1	4	10	1	3	4	4	15	1	2	6	2	7	1	1	13	13	3
3500	-522.917579101580031	-529.773067052539432	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.369484196192111	1	2	3	3	4	4	3	7	6	6	7	8	9	9	9	9	10	10	8	11	11	9	10	11	14	11	13	12	11	14	13	16	15	17	18	18	17	18	20	18	20	19	19	20	20	20	20	22	23	22	21	23	23	21	22	23	23	25	25	21	22	24	23	25	24	25	25	25	26	26	27	26	26	27	27	28	28	28	31	30	30	30	31	33	34	35	39	40	40	41	42	44	43	45	47	0	1	1	1	4	4	1	7	3	1	5	11	12	9	8	9	0	0	0	8	23	5	0	2	5	13	26	22	8	21	2	8	27	5	12	0	20	7	31	0	31	33	20	2	43	20	0	36	51	43	41	51	25	26	44	18	51	8	0	36	46	49	61	57	42	0	60	35	68	61	54	65	62	49	41	46	44	62	78	63	37	58	54	51	1	0	58	64	87	48	0	89	66	78	93	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	3	1	5	5	1	1	2	2	1	5	3	1	5	6	1	3	7	3	1	4	2	5	5	1	4	1	3	1	3	1	1	5	4	1	6	2	7	1	1	1	1	1	1	2	1	2	3	1	2	2	1	1	1	4	3	4	2	2	3	5	3	6	6	16	1	9	5	1	10	1	2	8	11	2
4000	-543.990270154315795	-550.845758105275195	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.330510328418578	0	2	2	4	4	5	4	7	7	7	5	8	9	10	11	9	12	10	9	11	10	10	12	12	13	12	13	14	11	12	14	15	15	18	17	19	18	19	19	19	19	20	20	21	21	21	20	22	22	22	22	22	22	23	22	24	24	25	23	23	24	25	23	25	24	24	25	25	25	25	27	26	26	25	27	28	27	27	31	32	31	30	31	33	33	35	39	40	42	39	42	44	45	43	49	0	1	1	3	1	2	1	5	4	7	7	5	11	6	14	10	0	0	0	12	4	10	0	2	9	20	20	10	6	21	29	25	28	2	16	0	2	35	30	0	35	38	7	12	39	7	0	47	41	22	43	43	40	44	42	48	46	43	0	46	44	60	49	54	46	0	41	12	55	61	60	57	58	63	67	37	59	68	49	63	78	67	68	67	71	0	37	86	87	81	0	91	35	1	92	1	1	2	1	2	2	2	2	1	2	1	4	2	3	1	1	1	1	1	1	3	1	1	4	3	1	1	3	2	1	1	2	1	7	4	1	11	1	5	1	1	1	7	6	1	7	1	1	2	6	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	4	10	1	1	2	1	1	2	1	5	2	1	6	7	2	2	2	4	3	1	12	4	1	5	1	1	14	17	3
4500	-620.463463053920009	-627.318951004879409	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.338679162021357	1	2	2	4	5	4	5	8	6	7	6	8	10	10	11	8	12	8	10	11	9	9	12	13	12	9	14	13	11	14	12	14	15	16	18	19	17	19	18	19	20	19	19	20	21	22	20	22	22	21	20	22	23	21	23	22	23	24	24	20	22	25	21	26	25	26	25	24	25	25	27	25	27	27	27	28	28	29	31	30	31	32	31	32	33	36	38	40	41	42	40	45	44	44	49	0	1	1	3	6	2	1	7	3	7	4	4	6	10	11	9	0	0	0	19	6	6	0	7	7	5	17	10	18	12	21	2	30	24	10	0	24	2	28	0	35	4	33	12	14	33	0	39	40	34	42	44	27	39	32	41	60	33	0	39	39	24	38	49	51	0	41	13	40	44	68	56	62	40	63	65	49	12	39	60	63	75	67	72	62	0	80	41	86	82	0	94	25	58	92	1	1	1	1	1	1	2	2	2	1	1	3	2	2	3	1	1	1	1	1	3	3	1	5	4	2	1	3	1	3	2	5	1	1	5	1	3	8	4	1	1	7	2	5	7	3	1	2	1	2	1	1	5	2	5	2	1	4	1	1	3	5	1	2	2	1	2	6	3	2	2	2	1	3	3	2	4	10	7	5	4	3	3	5	5	1	4	10	2	5	1	1	16	15	2
