step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
1	-117.180964454839270	-123.120161673924486	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.784604912214498	0	2	5	4	3	3	5	5	5	6	6	8	9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	3	3	3	3	3	4	5
500	-56.995697936370874	-62.934895155456090	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.906460108593792	0	2	4	4	3	3	5	5	5	7	7	7	9	0	1	2	1	1	1	5	6	6	6	8	9	10	1	1	1	2	1	1	1	1	1	1	1	1	1
1000	-68.969257195184653	-74.908454414269869	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.928982278229409	0	1	6	4	4	4	5	6	6	6	6	8	9	0	1	4	1	2	2	5	4	6	6	4	9	10	1	1	1	1	1	1	1	1	1	1	1	1	2
1500	-58.610184762675431	-64.549381981760646	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.775681327044168	0	2	4	4	3	4	4	5	5	5	7	7	9	0	1	2	2	2	2	5	6	6	6	8	9	10	1	1	1	1	1	1	1	1	1	1	1	1	2
2000	-60.348256718113234	-66.287453937198450	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.741027819703499	0	2	5	5	3	3	5	5	5	7	6	8	9	0	1	2	2	2	2	5	6	6	6	6	9	10	1	1	1	1	1	1	1	1	1	2	1	2	1
2500	-59.390100934719953	-65.329298153805169	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.780595296403869	1	2	4	4	3	3	5	5	5	7	6	7	8	0	1	1	1	2	2	5	6	6	6	8	9	10	1	1	1	1	1	1	1	1	1	2	1	1	1
3000	-66.614185445044114	-72.553382664129330	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.651685435058652	1	2	4	3	3	4	4	5	5	7	7	9	9	0	1	2	1	2	4	5	6	6	6	8	9	10	1	1	1	1	1	1	1	1	1	2	2	2	1
3500	-74.247097236522734	-80.186294455607950	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.491006104812214	0	2	5	4	3	2	5	5	4	5	6	9	9	0	1	1	6	1	1	5	6	6	6	6	9	8	1	1	2	1	2	1	1	2	1	2	2	2	3
4000	-64.997101741784846	-70.936298960870062	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.691502483248841	1	3	6	5	3	3	5	5	5	6	7	7	10	0	1	4	2	1	1	5	6	6	6	8	9	10	1	1	1	2	1	1	2	1	1	2	1	1	2
4500	-66.798073171473689	-72.737270390558905	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.912030907754313	1	2	4	4	3	4	6	5	6	6	7	8	10	0	1	1	2	1	2	5	6	6	6	8	9	10	1	1	1	1	1	1	1	1	2	2	1	1	2
