step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54
1	-1742.844394299889700	-1749.699882250848987	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.323971628848358	-1	0	2	2	4	3	3	3	6	8	4	5	6	6	5	7	6	7	8	8	10	10	9	9	11	12	13	14	14	16	16	17	16	16	18	18	19	20	19	20	21	23	21	21	21	21	23	22	23	24	27	27	26	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	2	4	5	3	3	4	4	3	4	4	4	5	5	6	6	5	5	6	7	7	8	8	9	9	9	9	9	10	10	10	11	10	11	11	12	11	11	11	11	12	12	12	13	14	14	14	14
500	-954.133169314806537	-960.988657265765937	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.236989676732249	-1	0	2	2	4	2	3	4	7	8	3	5	7	6	5	6	7	7	8	7	11	11	10	9	12	13	12	14	14	13	16	18	17	13	19	15	18	18	20	18	21	23	21	22	20	22	22	22	23	25	27	28	24	27	0	1	1	2	11	1	6	1	14	14	6	6	2	4	1	11	11	15	14	2	20	18	17	1	17	22	24	24	27	14	27	28	36	15	0	20	36	34	20	34	33	28	13	30	38	6	30	38	20	24	30	30	30	30	1	1	2	1	1	2	1	2	1	1	1	2	2	2	4	1	2	1	1	4	2	2	2	5	3	1	2	3	1	5	3	2	1	3	1	4	3	3	11	3	2	7	5	7	1	13	3	2	9	10	4	9	6	9
1000	-838.972180742579553	-845.827668693538953	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.412392702933349	-2	0	2	2	5	2	4	4	5	8	4	5	6	6	5	8	6	8	6	9	9	10	9	7	11	11	12	13	15	17	16	17	16	15	18	19	19	19	16	21	21	24	22	21	21	22	23	22	23	24	28	27	26	27	0	1	1	2	11	2	6	1	3	13	6	6	4	4	4	11	11	14	4	13	24	15	17	14	23	20	19	26	22	34	27	33	26	13	0	33	34	32	8	33	33	48	14	22	38	19	40	38	34	35	49	32	38	48	1	1	1	1	1	1	1	4	2	1	1	2	2	2	1	2	1	1	2	2	1	3	2	1	1	2	2	2	3	1	1	1	2	3	1	2	2	2	3	3	2	2	11	5	2	14	1	2	4	4	4	7	6	3
1500	-680.510703553658345	-687.366191504617746	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.508966275975228	-2	0	3	2	5	1	3	4	7	8	3	6	6	6	4	7	6	7	8	8	10	10	9	8	8	10	12	14	14	17	17	18	17	16	19	18	20	21	19	20	21	23	21	21	22	21	23	19	24	24	27	28	25	27	0	1	4	2	11	2	6	4	3	14	6	7	1	4	4	11	11	4	13	14	24	13	25	13	17	13	13	13	10	34	27	30	34	28	0	33	34	32	28	36	36	48	39	28	38	20	41	32	48	43	48	45	42	48	1	2	1	1	1	1	1	1	2	1	1	1	3	2	1	2	2	3	1	1	1	2	1	1	2	2	2	5	3	1	3	1	1	1	1	1	2	1	3	1	2	2	2	4	1	9	1	1	3	2	5	3	1	4
2000	-315.793051685799753	-322.648539636759153	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.610033637637025	-1	1	1	3	5	3	4	4	5	7	4	6	6	6	4	7	6	8	8	9	10	9	8	9	11	12	13	13	14	15	16	18	17	16	16	18	19	20	19	20	20	22	22	20	22	21	24	23	21	22	27	25	26	28	0	1	1	2	11	1	6	2	3	2	6	11	3	2	2	11	11	14	9	14	24	9	17	13	23	20	24	26	24	26	29	34	22	30	0	33	33	32	35	33	36	38	46	39	32	39	33	38	33	44	49	48	52	53	1	1	1	1	1	2	1	1	3	3	1	1	2	2	2	2	1	1	1	2	1	3	1	2	2	2	2	1	2	2	1	1	4	1	1	1	1	2	2	1	1	1	1	1	2	1	2	3	2	1	3	1	1	1
2500	-302.473379570216537	-309.328867521175937	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.725183497057313	-1	0	2	2	5	2	4	3	6	8	4	5	6	6	4	6	6	5	9	8	10	8	10	8	12	11	11	14	15	17	17	18	15	16	17	18	19	20	19	21	22	22	21	22	20	21	23	22	23	24	28	26	27	28	0	1	1	2	11	1	6	1	3	13	6	6	4	2	2	11	11	4	13	14	24	9	17	14	23	20	24	20	27	34	27	34	26	33	0	33	34	32	35	36	40	32	35	39	32	39	41	38	38	44	49	48	52	53	1	1	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	2	2	3	2	1	2	1	2	1	1	2	2	1	1	1	1	2	2	2	1	1	1	1	3	1	3	1	1	1
3000	-281.331943461479682	-288.187431412439082	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.738358480467793	-1	1	2	2	5	2	4	3	6	8	4	5	5	7	4	7	7	7	8	8	11	10	9	9	10	12	12	14	14	15	17	17	16	16	18	17	20	19	19	20	20	22	21	22	20	22	24	22	24	24	28	25	26	28	0	1	1	2	11	1	6	4	3	15	6	7	4	4	4	11	11	13	9	13	22	19	17	18	23	20	24	26	27	14	29	34	30	30	0	33	34	32	35	36	36	38	39	39	38	43	41	38	48	44	49	48	52	53	1	1	2	1	1	2	1	1	2	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	3	2	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1
3500	-324.091654974646815	-330.947142925606215	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.693680707399319	-2	0	2	2	5	1	3	3	7	8	3	5	6	6	4	7	6	7	7	9	10	11	9	8	8	13	13	14	14	15	16	17	16	17	17	18	19	20	20	20	22	22	20	22	22	22	24	19	23	23	28	27	26	27	0	1	1	2	11	1	6	1	3	9	6	7	4	4	4	11	11	15	2	19	4	15	17	9	17	20	21	26	21	26	29	21	22	30	0	34	30	32	35	36	36	48	35	43	30	43	36	32	38	44	49	45	42	53	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	2	2	1	3	1	3	4	1	1	2	2	2	1	2	1	1	3	2	1	1	1	2	2	2	1	2	2	2	1	4	1	3	1	1	1	2	2	2	1
4000	-309.321777797896743	-316.177265748856144	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663974599221250	-1	1	2	3	4	0	3	2	5	6	5	4	7	6	4	7	6	7	7	8	11	9	9	9	11	10	13	15	14	14	13	16	16	17	19	18	19	19	20	19	21	23	21	21	21	22	22	22	23	23	27	27	26	28	0	1	1	2	7	1	6	1	3	2	5	7	1	2	4	11	11	10	14	13	22	13	17	10	23	20	13	20	10	26	21	30	30	30	0	33	34	32	35	33	36	48	39	39	32	43	41	45	45	44	49	42	42	53	1	1	1	1	1	1	1	2	1	2	1	1	3	2	1	1	1	1	1	1	1	1	2	2	1	1	4	3	3	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	4	1	1	1	1	2	2	2	2	1
4500	-275.211535283916817	-282.067023234876217	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.752418912682858	0	1	2	2	4	2	4	3	6	8	5	5	6	7	4	7	6	4	8	8	11	11	9	9	11	12	12	13	14	14	16	17	16	16	18	18	17	20	20	20	21	24	21	22	21	22	23	21	23	24	27	27	25	27	0	1	1	2	6	1	6	1	3	13	5	6	4	4	4	11	5	4	13	14	24	24	17	14	23	14	14	26	27	26	29	34	30	30	0	33	30	32	35	36	36	48	39	39	32	43	33	32	48	43	49	53	48	42	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2	2	1	1	2	2	1	1	2	1	2	2	1	1	2	1	2	1
