step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74
1	-1560.224247809277585	-1567.079735760236872	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.850242413078218	1	3	4	5	7	10	11	11	14	12	13	14	14	16	16	19	15	18	17	16	17	19	18	18	19	18	18	18	19	20	20	20	19	19	20	23	22	22	22	22	22	24	24	24	25	25	25	25	25	26	26	27	26	27	27	26	29	28	28	30	30	30	30	32	32	32	33	34	34	34	34	35	37	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	5	5	5	7	6	6	7	7	8	8	9	7	9	8	8	8	9	9	9	9	9	9	9	9	10	10	10	9	9	10	11	11	11	11	11	11	12	12	12	12	12	12	12	12	13	13	13	13	13	13	13	14	14	14	15	15	15	15	16	16	16	16	17	17	17	17	17	18	20
500	-447.660353319831586	-454.515841270790986	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.179654082653996	2	4	4	5	6	11	12	11	14	13	14	13	15	15	16	19	15	19	17	15	18	18	17	18	20	17	18	18	19	20	20	20	19	20	20	24	22	22	22	21	23	24	24	21	25	25	26	24	26	25	27	25	26	28	24	25	29	27	29	30	30	30	30	32	33	30	34	35	33	34	35	35	36	41	0	1	1	2	1	1	2	5	5	1	12	8	10	1	5	23	11	2	7	3	20	11	11	1	5	20	11	6	15	1	20	17	27	28	1	1	1	4	10	13	1	1	38	1	1	1	55	1	33	1	45	41	1	4	31	24	51	1	13	44	1	1	28	1	7	1	1	1	1	1	17	1	1	4	1	1	1	1	2	5	5	2	4	4	1	1	1	7	5	1	1	7	3	6	1	2	2	7	6	1	3	3	1	9	2	3	1	1	9	10	10	9	4	3	10	11	1	11	12	11	2	11	3	14	1	1	12	14	3	3	1	15	5	5	15	14	7	16	11	14	15	16	17	18	9	17	16	19
1000	-464.034875385278156	-470.890363336237556	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.142975423438581	2	3	3	5	8	9	11	11	11	12	14	14	14	16	17	18	14	19	18	15	18	20	19	19	19	19	19	18	19	20	19	20	20	20	21	24	23	22	23	22	22	24	24	25	26	26	25	25	26	26	27	27	25	26	28	25	29	28	29	30	29	29	30	33	33	33	33	35	35	34	32	34	37	39	0	1	1	1	1	1	2	4	5	5	9	9	9	1	10	11	1	15	1	13	12	26	1	1	12	14	5	11	19	15	17	21	7	5	1	1	1	20	7	20	1	29	14	1	1	14	25	1	14	1	16	17	1	9	45	15	43	1	56	35	1	1	58	1	62	1	1	1	1	1	4	1	29	69	1	1	1	1	2	3	4	3	2	3	1	1	1	8	1	3	5	2	7	1	2	1	8	9	2	2	5	3	1	2	3	1	3	6	10	12	11	4	5	3	11	4	4	12	12	5	3	11	5	13	5	6	12	11	1	4	2	14	2	4	14	16	2	16	2	15	15	16	15	18	13	17	12	2
1500	-497.655145303738720	-504.510633254698121	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.189010240263168	1	3	3	5	7	11	11	12	14	11	14	13	13	17	15	20	15	19	16	17	18	19	18	18	18	19	18	19	20	20	20	20	17	20	21	23	23	22	21	22	20	23	24	24	24	26	26	25	25	27	25	28	26	28	28	26	30	28	29	29	31	30	30	32	32	32	34	35	33	34	34	36	37	40	0	1	1	2	1	1	2	3	12	1	7	7	2	1	5	1	1	3	1	11	14	7	1	5	19	27	17	24	27	5	23	21	13	33	1	1	1	31	14	27	1	21	24	1	1	8	48	1	43	23	10	14	1	18	14	10	19	10	16	18	1	1	23	1	6	1	39	1	51	1	55	1	49	63	1	1	1	1	2	4	5	5	1	4	2	1	3	7	4	8	8	8	7	2	1	4	8	5	2	1	1	1	1	7	1	1	3	2	8	10	12	1	3	2	11	2	3	11	11	5	1	10	1	5	7	7	12	4	5	8	8	11	5	4	13	15	6	14	12	16	9	16	5	17	2	19	6	4
2000	-485.484902122937399	-492.340390073896799	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.185091570344541	2	3	4	4	7	10	12	10	15	12	14	14	15	16	16	17	14	17	17	17	17	20	18	18	20	16	16	19	20	19	19	19	17	20	18	23	22	21	20	23	22	24	22	24	25	26	25	25	25	27	26	28	26	27	27	27	28	28	29	30	30	31	30	33	31	32	34	34	33	34	34	35	36	39	0	1	1	1	1	1	1	5	3	6	3	2	6	4	1	1	1	13	1	8	11	6	26	14	8	7	12	24	10	10	12	33	8	14	1	1	1	12	30	11	1	21	19	28	33	1	36	1	17	51	18	33	1	6	43	29	48	16	58	41	1	1	49	1	36	1	31	1	48	1	29	1	52	68	1	1	1	1	2	3	5	1	5	1	6	5	2	7	7	8	6	1	8	4	2	5	1	2	5	2	2	1	5	4	3	2	3	2	8	9	10	3	1	3	10	3	3	1	4	9	1	9	6	1	4	5	11	8	2	4	2	6	1	4	14	14	3	15	4	15	7	17	6	16	8	17	4	3
2500	-440.800762160626562	-447.656250111585962	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.217448563016205	2	4	5	4	8	9	11	11	14	12	14	14	14	17	16	19	15	16	16	16	17	20	15	16	19	18	17	18	19	18	20	21	19	18	21	23	23	23	23	22	22	24	25	24	24	25	25	23	24	26	26	26	26	27	28	26	30	28	28	29	30	31	30	32	32	32	33	34	34	34	34	35	37	40	0	1	1	1	1	1	6	4	10	4	10	5	8	1	6	1	1	9	1	13	15	1	1	5	9	18	12	9	14	5	26	26	24	13	1	1	5	32	31	22	1	39	16	20	40	16	31	1	35	35	35	47	23	22	10	29	59	21	51	51	1	1	25	1	63	1	52	1	63	1	48	1	67	70	1	1	2	1	3	3	1	4	1	3	1	3	1	8	3	10	7	1	8	1	1	11	5	4	3	1	2	2	1	4	1	2	1	3	10	10	8	1	1	1	11	1	4	5	1	2	3	10	2	2	2	1	6	5	9	3	1	5	1	3	11	15	6	15	1	17	4	15	2	15	6	18	2	4
3000	-466.030285529960565	-472.885773480919966	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.211164291732356	1	3	5	5	7	10	12	11	14	12	14	15	14	16	16	17	14	18	17	16	17	19	17	19	18	19	18	18	20	19	21	19	18	18	19	24	21	21	22	20	21	24	24	24	23	25	26	25	24	27	27	28	26	27	28	26	29	28	29	30	30	30	30	32	33	32	33	34	34	35	34	35	36	40	0	1	1	1	1	4	6	4	10	5	10	8	2	1	7	6	1	20	12	8	13	1	1	20	3	15	11	10	11	15	40	14	23	2	1	1	13	6	40	16	1	40	32	16	18	23	8	1	26	16	41	42	33	25	50	14	34	51	52	55	1	1	58	1	54	1	48	14	29	1	55	1	42	71	1	1	2	3	3	2	1	3	1	2	1	2	5	8	1	5	5	1	1	3	2	9	7	1	6	2	2	3	3	1	1	1	1	8	11	10	3	6	2	1	11	2	3	4	3	6	7	12	2	6	3	2	6	5	1	5	6	1	1	1	13	14	1	15	4	18	5	10	4	16	3	18	6	3
3500	-484.964727546676500	-491.820215497635900	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.261613261608532	2	3	4	5	5	8	10	10	14	12	12	14	13	15	17	19	16	18	17	17	18	18	17	17	19	19	15	18	18	21	20	19	19	19	20	23	22	22	22	22	22	25	25	23	26	26	25	25	22	25	27	28	26	27	27	25	29	28	28	29	30	29	31	32	33	32	33	33	33	34	33	35	36	40	0	1	1	2	1	1	2	5	8	1	5	8	7	1	12	6	1	14	1	5	9	1	1	12	24	15	6	1	8	15	19	12	22	15	1	10	15	34	12	17	1	25	38	23	33	23	38	1	15	16	36	37	40	38	40	34	28	45	44	32	1	1	10	1	47	1	60	56	63	1	45	1	36	71	1	1	1	1	2	3	4	3	2	5	4	2	1	5	2	6	9	2	8	7	2	9	8	1	1	1	3	8	4	3	2	2	1	1	10	5	2	1	5	4	10	3	1	3	3	4	1	10	2	2	2	3	1	2	3	2	5	1	2	6	14	13	12	14	3	18	3	3	1	15	4	17	7	4
4000	-471.883023128464004	-478.738511079423404	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.244958366390277	1	3	3	5	6	10	11	10	13	11	12	14	15	15	16	19	15	16	16	16	17	19	18	18	19	19	18	18	17	20	19	20	20	18	20	23	23	22	22	21	22	23	24	23	26	25	24	23	25	26	26	27	26	27	27	26	28	28	28	30	30	31	30	32	32	32	34	34	33	33	35	35	37	40	0	1	1	1	1	4	4	2	6	1	6	8	8	8	5	8	1	8	1	8	7	1	12	15	34	18	18	17	14	10	24	20	15	2	1	32	16	28	25	27	1	20	20	25	38	15	38	1	37	47	20	35	34	40	42	26	48	39	34	44	1	26	58	1	39	1	42	36	62	1	10	1	35	50	1	1	1	2	2	2	3	4	1	4	1	2	2	3	5	4	7	4	9	3	3	8	2	2	1	2	2	2	1	5	1	2	2	5	12	1	2	1	1	2	10	5	3	2	1	4	1	10	2	1	5	5	4	4	2	3	3	2	4	5	10	5	1	15	5	18	6	4	1	16	10	19	9	7
4500	-478.307354585287158	-485.162842536246558	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.174614692730315	2	3	4	5	8	11	11	12	14	12	11	14	14	15	16	19	15	18	17	16	17	20	19	17	18	18	18	18	19	19	20	19	19	19	20	22	22	23	22	22	21	25	23	25	25	24	25	25	24	27	27	27	25	28	26	25	29	29	28	30	30	29	29	33	33	32	33	33	35	34	35	35	38	40	0	1	1	1	1	1	2	11	11	1	2	6	11	1	5	1	1	7	1	14	8	16	24	1	10	12	14	15	5	10	25	18	12	19	1	7	23	13	12	29	1	35	14	22	37	1	10	1	38	20	4	10	38	18	36	28	17	35	48	16	1	36	19	1	41	1	42	42	1	1	64	1	40	66	1	1	1	2	4	5	5	1	1	4	4	2	2	6	2	8	6	4	8	1	4	1	2	6	2	2	2	2	5	3	2	1	2	1	13	3	2	5	4	1	10	2	4	2	2	9	6	12	1	6	9	6	2	6	2	4	6	5	1	5	11	4	5	16	7	18	5	3	12	16	1	17	9	4
