step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39
1	-3231.702429353517346	-3230.240347268998448	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.429770912593442	1	0	1	3	3	3	6	6	6	7	7	7	8	7	9	8	9	8	11	9	11	11	13	11	16	12	14	15	15	17	18	20	23	23	24	26	26	26	29	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	3	3	3	4	4	4	4	4	5	4	5	4	6	5	6	6	7	6	8	6	7	8	8	9	9	10	12	12	12	13	13	13	15
500	-1645.449842036308610	-1641.032677559843705	-4.417164476464817	0.000009985050635	0.000125093883474	12.528117087051548	0.382770159139262	2	-2	1	4	3	4	6	5	6	6	6	7	8	7	10	8	9	9	11	9	12	9	11	11	15	12	14	16	16	18	17	20	23	22	24	26	26	25	28	3	0	2	2	2	1	5	6	5	5	5	8	9	9	10	10	10	14	13	14	10	16	20	18	27	20	22	22	27	27	27	0	0	4	4	4	4	6	4	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	3	1	1	1	1	2	4	6	2	4	2	1	1	7	8	12	10	10	11
1000	-438.651084533764447	-435.661737304833764	-2.989347228930665	0.000009998497274	0.000054371512736	5.437968451091262	0.524870587601256	2	-1	1	3	3	4	5	7	5	6	8	8	8	7	8	8	10	9	10	10	10	11	14	12	17	12	14	15	16	18	19	20	20	22	24	26	27	26	30	3	0	2	2	2	3	5	6	5	5	5	8	9	9	10	10	5	14	13	18	10	16	26	18	29	20	22	27	27	27	28	0	0	33	33	33	35	33	34	1	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	2	2	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	2	5	3	5	5
1500	-364.792595270519257	-362.190552432789445	-2.602042837729833	0.000009982726779	0.000040764803417	4.083533919860818	0.859196972780967	2	-1	1	0	3	3	5	6	6	6	6	8	8	8	8	8	10	9	12	10	11	11	13	11	15	12	14	16	16	17	18	20	21	22	23	27	26	27	29	3	0	2	2	2	3	5	6	5	7	5	8	9	9	10	10	10	14	13	18	10	16	26	18	27	20	22	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1
2000	-359.385115398005553	-356.846250318576153	-2.538865079429385	0.000009926700786	0.000038529085788	3.881358632467197	0.783028599737634	2	-1	0	3	4	2	6	5	6	7	6	7	8	8	9	9	10	9	12	10	11	11	14	11	13	12	15	16	15	18	18	21	22	24	24	26	27	26	29	3	0	2	2	2	3	5	6	5	5	5	8	9	9	10	10	15	14	13	14	15	16	26	14	22	20	25	25	25	25	28	0	0	33	33	34	35	35	36	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	2	1	2	1	2	1	1	1	1	1	2	2	1	1
2500	-358.049869910338145	-355.167439248283301	-2.882430662054869	0.000009960086333	0.000050233441439	5.043474499927453	0.866581714006769	2	-1	1	3	4	3	6	5	6	7	5	6	8	7	8	9	10	8	11	8	11	11	11	12	14	9	15	15	15	17	18	21	23	24	25	25	26	26	29	3	0	2	2	4	3	5	6	5	7	5	8	9	9	10	10	10	14	13	14	15	16	26	18	22	20	25	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2
3000	-347.538972236610618	-344.787384939354013	-2.751587297256631	0.000010213237993	0.000046801597060	4.582444577640327	0.854111070092388	2	0	1	2	3	3	5	6	6	6	7	8	9	7	9	8	8	8	11	9	11	11	13	11	13	12	14	14	15	16	15	21	20	24	24	25	26	26	29	3	0	2	2	2	3	5	6	5	7	5	8	9	9	10	10	10	14	13	18	15	16	26	18	22	20	25	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2
3500	-340.592833427545884	-337.757949380762625	-2.834884046783265	0.000010686098032	0.000052075733890	4.873222548971296	0.835650603152075	2	0	1	2	4	3	5	6	6	7	6	8	7	7	9	9	10	9	12	10	11	11	13	11	13	12	15	15	15	17	19	19	23	24	24	27	27	26	29	3	0	2	2	2	3	5	6	5	5	5	8	9	9	10	10	10	14	13	14	15	16	26	14	22	20	25	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1
4000	-352.437302497260475	-349.792669864357322	-2.644632632903141	0.000011128666951	0.000046992657450	4.222667248034043	0.750967371169958	2	-1	1	2	3	3	6	6	6	7	8	8	9	6	10	8	9	9	11	10	11	11	12	12	13	13	15	15	15	18	18	21	22	23	24	26	27	26	29	3	0	2	2	2	3	5	6	5	5	7	8	9	5	10	10	10	14	13	14	10	16	20	18	22	23	25	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	2	1	1	3	2	2	1	2	2	1	1	2	2	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1
4500	-329.056623478847598	-326.686881757542380	-2.369741721305228	0.000012868997521	0.000043291040481	3.363979238381094	0.871092807330756	2	0	1	2	4	3	6	5	7	7	8	8	9	7	9	9	8	8	11	9	11	10	11	10	13	13	15	16	15	18	18	18	22	24	24	26	26	27	29	3	0	2	2	2	3	5	6	5	5	7	8	9	5	10	10	10	14	13	14	15	16	20	18	22	23	25	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1
