step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
5000	-57.769477652351661	-55.463759343697191	-2.305718308654467	0.000010386462112	0.000032995317944	3.176761980142216	0.984960933918926	1	3	5	3	4	4	5	6	6	7	7	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	2	1
5500	-56.161829743533772	-54.652874092546298	-1.508955650987474	0.000012146573245	0.000013665910652	1.125083624532697	0.996802229089511	1	2	6	3	2	5	5	5	6	7	7	0	1	4	2	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
6000	-53.769930571146794	-51.941219181014624	-1.828711390132167	0.000016799966034	0.000032074444008	1.909196955695574	0.864060253889313	1	3	4	2	3	4	4	5	6	8	7	0	1	4	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	2	1
6500	-51.715084414725602	-50.289393153810181	-1.425691260915419	0.000025075298868	0.000022411824061	0.893780934727895	0.861693989723881	1	2	4	2	3	4	5	5	6	7	8	0	1	4	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	2
7000	-53.341300784354445	-51.900918827878186	-1.440381956476261	0.000031774360764	0.000029807232485	0.938090704850506	0.873166148894152	1	2	5	3	5	4	4	6	5	6	9	0	1	4	2	2	4	4	5	6	7	8	1	1	1	1	1	1	1	1	1	1	2
7500	-46.193988094890706	-44.833084400180859	-1.360903694709846	0.000036389445533	0.000020426221333	0.561322686661118	0.900432617380855	1	2	4	3	4	4	4	6	5	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	2	1
8000	-40.572047667458897	-39.210698552310888	-1.361349115148008	0.000062601958662	0.000034264181504	0.547334016968343	0.973632986998952	1	2	5	3	4	5	4	5	6	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
8500	-52.505692369713110	-51.083394538751413	-1.422297830961696	0.000070411671990	0.000025883072900	0.367596339758481	0.794384490574842	0	2	3	2	3	4	4	6	6	8	8	0	1	4	1	2	3	3	2	6	6	8	1	1	1	1	1	1	1	2	1	2	1
9000	-46.867107761300595	-45.418126327235022	-1.448981434065572	0.000089329681010	0.000030113831179	0.337108907576339	0.833019478588592	1	2	4	3	4	4	5	6	5	6	8	0	1	4	2	1	4	3	5	6	6	8	1	1	1	1	2	1	1	1	1	1	1
9500	-42.005730845620747	-40.258122242513828	-1.747608603106917	0.000072819772809	0.000013819618645	0.189778381771510	0.925346768933581	1	2	4	3	4	4	5	6	6	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
10000	-47.755738548999538	-46.297535572258312	-1.458202976741229	0.000090245481161	0.000029618941052	0.328204145741961	0.746559003571366	1	2	5	3	3	4	5	5	6	6	8	0	1	4	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	2	1	2
10500	-49.657915391383376	-48.297061329449363	-1.360854061934012	0.000074162016609	0.000041907500007	0.565080372982439	0.849480016407566	1	2	4	2	3	4	4	5	5	6	8	0	1	4	1	1	4	4	5	6	6	8	1	1	2	1	1	1	1	1	1	1	2
11000	-51.782604551550676	-50.115549064846604	-1.667055486704071	0.000146004269122	0.000031277487964	0.214223105615551	0.809044215375797	0	2	5	3	4	4	4	6	6	7	9	0	1	4	1	1	4	4	5	4	4	8	1	1	1	1	1	1	1	1	1	2	2
11500	-44.524130293269025	-42.983813347217961	-1.540316946051066	0.000120297905720	0.000032412533620	0.269435560208666	0.939336660030203	1	2	5	4	4	3	5	5	5	7	8	0	1	4	6	1	1	4	5	6	3	8	1	1	1	1	1	1	1	1	1	1	1
12000	-52.156324719294332	-50.790065297296536	-1.366259421997796	0.000098375368480	0.000049208099708	0.500207526223350	0.567215718296536	2	3	6	3	4	4	4	6	5	7	9	0	1	4	1	1	4	4	5	6	6	8	1	1	2	1	1	1	1	1	1	2	2
12500	-48.144816684195717	-46.120258666539463	-2.024558017656258	0.000105329473299	0.000014216518472	0.134971893682097	0.793826104355099	1	2	6	3	3	5	4	6	6	7	8	0	1	4	2	1	4	4	5	6	6	8	1	1	2	1	1	1	1	2	1	1	1
13000	-50.137000142133182	-48.705211122499193	-1.431789019633986	0.000112852161194	0.000040152529380	0.355797611275860	0.949209777479157	0	2	5	2	4	3	3	5	6	4	7	0	1	4	1	2	4	4	5	10	6	8	1	1	1	1	1	1	1	1	1	1	1
13500	-48.849321326222316	-47.487994380156955	-1.361326946065362	0.000060171146448	0.000032962419567	0.547811060828359	0.705555319413865	1	2	6	3	3	4	4	6	6	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	2	1	2	1
14000	-42.806286436634082	-41.365135670462671	-1.441150766171411	0.000039295254046	0.000036951219088	0.940348140884166	0.914548318431128	1	3	5	3	4	5	4	6	6	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
