step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
1	-1196.126794664676481	-1202.982282615635768	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.897874461945103	0	13	13	13	15	15	17	16	16	16	17	19	21	20	21	21	27	30	29	30	35	43	45	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	8	8	9	8	8	8	9	10	11	10	11	11	14	15	15	15	18	22	23
500	-204.301151806951367	-211.156639757910739	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.336924814676327	1	14	11	12	15	16	17	16	16	16	17	19	21	19	20	22	24	28	30	31	35	44	43	0	3	1	1	2	0	1	3	5	3	0	6	11	3	6	0	14	14	17	7	17	21	17	1	2	5	5	1	1	9	2	1	3	1	2	2	3	2	1	2	4	3	7	7	5	12
1000	-182.510428797631818	-189.365916748591189	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.293379897161821	0	13	12	13	15	15	16	15	17	17	17	18	21	20	22	21	27	30	28	31	34	42	46	0	3	1	1	3	0	4	4	5	3	0	6	11	10	12	0	4	19	17	3	17	21	20	1	1	8	6	2	1	1	1	1	1	1	1	2	1	3	1	7	1	1	11	5	5	7
1500	-170.932994044668789	-177.788481995628160	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.363035322490979	0	13	13	12	15	16	17	16	17	15	16	19	21	20	22	22	27	31	29	31	35	44	46	0	4	1	1	3	0	11	4	3	3	0	6	11	10	6	0	14	19	17	14	17	21	17	1	1	7	5	2	1	1	3	2	1	1	2	3	3	4	1	4	1	1	7	5	4	11
2000	-185.585927632090034	-192.441415583049405	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.415327636868480	0	13	14	11	16	16	17	13	13	16	17	20	21	21	20	20	28	30	30	30	36	41	45	0	4	1	1	9	0	3	4	4	3	0	6	11	3	6	0	10	17	17	14	18	21	17	1	2	7	5	2	1	2	1	1	1	1	2	2	4	2	1	5	1	1	4	4	2	9
2500	-163.305009289113428	-170.160497240072800	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.436848749830988	0	14	13	12	15	15	18	16	17	16	17	19	20	19	21	21	28	30	29	30	32	42	46	0	4	1	1	3	0	11	4	4	3	0	6	11	3	6	0	3	19	17	19	18	21	17	1	1	7	5	1	1	1	2	2	2	1	3	2	3	3	1	7	1	1	1	1	5	9
3000	-156.639726902457397	-163.495214853416769	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.505196015277814	-1	13	12	14	15	15	16	16	17	15	15	19	20	20	22	22	27	30	29	31	34	43	44	0	3	1	2	3	0	11	4	5	3	0	6	7	10	6	0	14	19	17	18	18	21	21	1	1	6	1	2	1	1	1	1	2	1	2	3	2	2	1	3	1	1	1	3	3	3
3500	-145.298282794116801	-152.153770745076173	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.612771721982675	0	13	11	13	14	16	18	15	17	15	17	19	21	20	20	21	26	30	29	28	35	43	45	0	3	1	3	3	0	11	3	5	3	0	6	7	10	6	0	14	17	20	17	18	21	22	1	1	5	1	1	1	1	2	2	2	1	2	2	3	2	1	2	2	1	2	3	4	1
4000	-145.923052666861508	-152.778540617820880	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.715528060713433	1	14	12	13	16	16	18	16	15	17	17	19	21	19	19	21	27	31	29	31	35	43	45	0	4	1	3	9	0	11	4	3	3	0	6	7	10	6	0	14	19	17	19	18	21	22	1	1	4	1	1	1	1	2	1	2	1	1	1	2	1	1	4	1	1	1	2	4	1
4500	-158.828158890285835	-165.683646841245206	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649860339870574	0	14	12	13	14	15	18	16	15	15	17	19	21	20	19	21	25	30	28	31	35	43	45	0	4	1	3	3	0	11	3	5	3	0	6	11	10	6	0	10	19	17	19	18	21	21	1	1	6	1	1	1	1	2	1	1	1	2	2	2	2	1	4	1	2	2	2	3	5
