step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67
10000	-357.773241110984145	-355.920746339862774	-1.852494771121345	0.000066446376141	0.000010961188337	0.164962921588687	0.680607505233097	0	0	1	2	4	3	6	5	6	6	8	5	9	7	7	9	7	9	9	9	10	10	10	10	11	11	11	13	11	13	15	11	12	14	12	13	14	14	14	17	15	18	16	16	14	16	18	17	17	16	17	16	17	17	17	17	18	18	19	18	20	19	21	21	21	23	24	0	0	1	1	3	3	5	5	6	12	15	3	9	10	6	14	12	17	10	17	16	19	15	19	19	19	15	22	12	12	23	19	19	25	20	0	17	25	35	46	24	45	35	30	15	34	39	32	37	13	38	30	30	46	31	0	37	34	49	56	57	46	59	60	61	62	61	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	2	1	2	1	2	5	2	1	1	1	2	1	3	2	2	1	3	2	1	2	4	1	3	2	2	4	2	2	3	1	1	1	2	2	2	1	1	1	1	2	1	2	2
10500	-361.568007370532030	-359.530500535119813	-2.037506835412219	0.000068956490464	0.000009177972769	0.133098026123462	0.661046308213948	0	1	1	3	4	4	6	5	7	5	8	7	8	7	9	9	7	9	9	10	9	9	11	10	13	11	11	12	11	12	15	12	13	14	12	14	15	16	14	16	15	16	16	13	14	16	18	17	14	15	18	16	18	18	17	17	19	19	18	19	21	19	22	22	20	22	25	0	0	1	3	1	3	5	5	1	6	9	6	12	10	6	10	5	12	14	11	17	10	18	19	24	9	11	22	9	11	23	24	26	25	15	0	20	34	27	34	24	20	18	23	13	25	31	32	35	39	38	27	42	38	18	0	52	34	49	56	57	46	59	60	52	62	65	1	1	1	1	2	2	1	1	3	1	1	2	1	2	2	2	2	1	1	2	1	1	1	1	2	2	1	2	1	2	2	1	1	1	2	1	2	1	1	1	2	2	3	1	3	2	2	2	1	1	1	3	2	1	3	1	2	3	2	1	2	1	2	2	2	1	2
11000	-371.590349897153999	-369.740690026569098	-1.849659870584876	0.000065869271514	0.000010904943363	0.165554333793191	0.582496534567808	-1	0	2	2	4	5	6	6	4	5	8	6	8	6	8	8	8	8	8	10	9	9	11	11	12	12	12	12	12	12	15	13	13	13	10	12	14	15	13	16	14	17	16	14	15	15	17	16	15	16	17	15	19	18	19	17	18	18	18	19	21	20	18	21	20	22	25	0	0	1	1	3	9	5	5	3	9	12	6	6	10	3	14	3	1	10	13	16	19	13	19	24	24	20	22	18	20	18	22	24	24	18	0	11	25	20	25	18	11	44	15	30	25	23	41	20	27	46	30	52	40	39	0	52	38	47	56	65	40	37	60	57	62	65	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	3	4	2	1	1	1	1	2	1	1	1	1	2	2	3	2	1	2	1	1	2	1	3	2	2	3	1	4	2	2	2	1	3	1	1	2	2	1	3	1	2	2	1	1	1	2	2	2	1	1	2
11500	-364.841093033670688	-362.785218397557799	-2.055874636112895	0.000086205035732	0.000011250979773	0.130514182577833	0.650924637377807	-1	0	1	2	3	4	7	5	5	6	10	6	9	6	9	10	9	10	9	10	9	8	11	11	12	12	11	13	12	10	13	12	13	13	13	13	16	15	11	16	13	18	14	15	15	15	17	17	16	15	17	16	19	17	18	17	17	17	18	19	20	21	22	21	20	23	25	0	0	1	1	3	3	8	5	1	9	12	9	9	9	5	10	6	17	22	10	10	10	15	19	22	19	17	22	20	15	23	24	32	25	15	0	18	34	17	34	19	52	31	31	17	34	11	46	20	39	38	13	42	46	37	0	52	34	49	56	57	46	59	60	57	62	65	1	1	1	1	2	1	1	2	3	1	2	1	2	1	2	2	3	1	1	2	1	2	1	1	2	2	1	2	1	1	2	1	1	1	2	1	3	2	1	2	2	1	1	1	2	1	2	1	2	2	1	2	1	1	1	1	1	2	1	1	2	3	2	1	1	1	2
12000	-334.178316278174577	-332.305656160763363	-1.872660117411226	0.000087656892535	0.000014100801278	0.160863576951420	0.634124653516472	-1	-1	2	1	3	4	7	5	6	5	9	7	9	7	8	9	9	10	10	10	11	8	11	10	12	12	11	12	11	13	14	12	13	14	12	11	15	14	14	16	15	17	16	15	13	15	17	17	17	16	17	15	19	17	18	18	17	18	19	20	20	20	21	22	21	22	24	0	0	1	1	1	3	5	5	6	6	6	9	5	10	9	14	12	15	10	11	16	10	15	14	24	24	11	22	13	20	45	24	32	25	12	0	17	25	11	38	28	52	31	35	11	25	13	24	37	39	34	30	42	40	27	0	52	38	49	56	57	38	47	60	61	62	61	1	1	2	1	2	1	2	1	1	1	2	1	3	1	1	1	1	2	3	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	3	1	4	3	1	1	1	1	1	1	3	1	1	2	1	1	1	3	2	2	1	1	2
12500	-371.196551821665651	-369.406980398541748	-1.789571423123899	0.000092309253298	0.000016529432536	0.179065824344484	0.570111117385726	0	0	2	2	4	4	6	6	6	6	9	7	9	5	9	8	8	9	10	10	10	9	11	9	13	12	11	12	12	13	14	12	13	13	13	13	16	14	15	16	14	18	16	15	14	14	18	17	16	13	17	17	19	18	18	17	18	18	18	19	21	21	21	22	22	23	23	0	0	1	1	3	3	5	5	3	14	17	3	3	6	3	10	12	14	24	11	16	12	17	10	24	19	17	24	9	17	18	19	24	26	17	0	13	28	11	25	19	23	30	9	17	34	37	30	35	11	28	39	30	34	31	0	37	38	49	56	57	54	59	56	61	58	61	1	1	1	1	1	2	1	1	2	1	1	3	3	1	3	1	1	1	1	1	1	1	2	2	2	1	2	2	3	2	2	1	2	1	2	1	3	2	4	2	2	3	1	4	2	1	1	3	1	2	2	1	3	2	2	1	1	2	1	1	1	2	2	4	1	2	1
13000	-341.647964063647635	-339.546382119369412	-2.101581944278196	0.000083615428877	0.000010404799035	0.124436353128716	0.659337403303111	0	-1	2	2	4	4	6	6	6	5	8	7	8	7	9	10	8	9	10	10	11	9	11	10	12	12	11	13	13	12	14	13	12	14	12	13	16	15	14	17	15	17	15	15	14	15	17	17	16	16	17	17	17	17	18	18	18	18	19	19	19	20	22	21	21	22	24	0	0	1	1	3	3	5	5	6	6	6	6	6	10	9	13	12	9	22	17	13	14	15	22	18	24	15	22	13	20	15	19	24	25	17	0	45	34	15	34	22	45	23	32	20	25	23	26	15	39	46	13	20	38	43	0	52	34	52	56	53	40	59	60	57	58	53	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	2	1	3	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	3	3	3	1	1	5	4	1	2	1	1	2	1	1	2	2	1	1	1	2	3
13500	-379.055194470200206	-377.083491539503882	-1.971702930696297	0.000109715652503	0.000015701193557	0.143108054310665	0.571841493705512	0	0	1	2	4	4	6	5	6	5	9	7	9	7	8	9	9	9	10	10	10	8	12	9	12	12	11	12	13	11	14	12	12	14	12	13	16	15	13	17	15	16	16	14	15	16	18	17	16	15	18	16	15	17	18	17	18	19	18	20	21	20	22	21	20	23	24	0	0	1	1	1	3	5	3	6	6	10	8	9	10	3	14	9	6	24	9	15	10	12	15	19	24	13	22	12	12	23	24	24	25	20	0	13	25	18	25	19	53	29	29	20	25	35	33	23	39	34	20	35	38	11	0	52	54	52	56	65	40	55	60	57	51	57	1	1	1	1	2	2	1	3	1	1	2	1	1	1	4	1	2	3	1	2	2	2	2	1	1	2	1	2	4	2	1	2	1	2	1	1	3	2	2	2	3	1	1	1	3	2	3	2	2	2	2	3	1	2	4	1	1	1	2	1	1	1	2	1	1	2	3
14000	-353.884307774292893	-352.097335748058583	-1.786972026234328	0.000078348527194	0.000014078933445	0.179696210621518	0.622024637089994	0	0	2	2	4	4	6	6	6	5	10	5	9	6	9	10	8	9	10	10	11	8	11	11	11	12	10	12	13	12	14	12	13	14	12	13	15	15	14	16	15	18	15	16	14	14	16	17	16	16	18	17	16	18	18	18	18	19	17	20	19	20	22	21	21	21	24	0	0	1	1	3	4	5	5	6	6	9	6	12	10	6	10	12	9	22	18	16	14	18	19	19	10	18	22	13	11	23	24	19	25	17	0	20	25	6	46	22	53	27	15	13	25	39	24	30	39	40	37	35	41	49	0	39	34	49	56	57	58	59	60	61	46	57	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	1	1	1	1	1	1	1	3	1	2	3	1	2	1	1	2	1	1	2	2	4	1	3	1	3	2	3	1	1	3	2	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	2	3	3
14500	-383.203920543990080	-381.408012858703330	-1.795907685286725	0.000073134063701	0.000012984684571	0.177546329492644	0.570243530912628	0	0	2	2	3	3	7	6	7	5	10	6	8	4	7	7	8	9	9	10	11	8	11	11	11	12	10	12	12	12	15	13	12	14	12	13	15	16	15	16	15	17	17	16	13	15	17	17	14	14	18	14	18	17	19	17	19	18	19	19	20	19	19	21	21	22	23	0	0	1	1	3	1	5	6	6	14	17	3	15	3	12	10	12	14	10	17	16	10	13	19	19	19	6	27	12	9	12	24	15	25	18	0	17	34	23	34	24	37	37	37	11	25	45	32	11	30	38	27	52	40	12	0	31	34	49	56	57	54	31	60	61	62	53	1	1	1	2	1	2	2	1	2	1	1	2	1	1	1	1	1	2	2	2	2	2	2	1	1	1	3	1	2	3	5	1	3	2	1	1	3	1	1	1	2	1	1	1	2	2	2	1	2	1	1	2	3	1	6	1	2	2	2	2	1	1	2	1	1	2	2
15000	-356.268143730016050	-354.764793589746262	-1.503350140269804	0.000098391493013	0.000028763139269	0.292333599054190	0.732099654466274	0	0	2	2	2	4	7	6	6	5	10	7	8	6	9	9	8	10	9	10	11	10	11	10	12	11	12	12	11	12	13	12	11	13	12	13	14	16	14	17	13	18	16	16	14	16	17	17	15	16	15	17	19	18	18	17	18	18	18	19	20	20	21	22	21	22	24	0	0	1	1	1	3	5	5	6	6	15	6	6	10	12	10	4	9	13	15	16	19	12	14	22	24	11	22	17	20	15	26	19	25	11	0	11	34	15	34	26	45	31	37	27	34	31	24	37	15	34	37	49	40	43	0	52	34	37	56	52	46	49	60	52	62	61	1	1	1	1	2	1	2	2	1	1	1	2	2	1	1	1	3	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	3	2	1	2	1	1	1	2	2	3	1	5	1	2	2	1	1	1	1	3	1	1	2	2	2	2	2	1	2
15500	-416.200180242711497	-413.951865602869930	-2.248314639841558	0.000139738985055	0.000015058288688	0.107760112051926	0.600535914313093	-1	0	1	2	2	4	6	5	5	6	10	6	9	6	8	8	8	8	10	11	10	9	10	10	12	11	12	12	11	13	14	11	13	13	11	13	16	15	14	16	16	17	15	15	14	15	17	17	14	16	16	16	19	18	18	17	18	18	17	18	20	20	20	21	22	21	24	0	0	1	1	3	4	5	5	6	6	17	9	15	3	14	10	12	12	10	17	14	10	13	10	24	21	17	22	16	17	21	19	26	22	15	0	27	25	30	34	24	37	11	45	9	25	45	31	27	11	46	27	42	34	45	0	20	25	49	56	57	51	30	60	52	46	31	1	1	1	2	1	1	2	2	1	1	2	1	1	2	1	2	1	2	2	2	2	1	1	2	1	1	2	2	1	2	2	1	2	2	1	1	3	2	1	1	2	1	3	1	4	2	3	2	1	3	1	1	1	2	2	1	3	2	2	1	1	2	3	2	2	3	5
16000	-384.571457493762694	-382.670950593891462	-1.900506899871218	0.000105437541890	0.000016394925188	0.155494190151196	0.643571897879467	0	0	1	2	4	4	6	6	6	4	9	6	9	7	8	8	8	9	8	10	11	8	11	10	11	13	12	12	12	13	13	12	11	12	11	13	13	14	13	16	15	17	15	16	14	16	18	17	15	15	17	16	18	18	19	16	18	18	19	18	20	20	20	21	19	22	23	0	0	1	1	1	3	5	5	6	1	14	3	10	6	6	12	9	9	6	11	19	6	15	16	13	24	11	22	15	20	23	22	19	25	18	0	12	25	23	22	24	45	31	43	23	24	43	45	31	15	34	30	13	46	46	0	52	51	49	56	52	54	47	56	52	62	53	1	1	1	1	3	2	1	1	1	2	1	2	2	2	2	2	1	2	2	1	2	2	1	1	1	2	1	2	2	2	1	2	2	1	1	1	2	2	1	4	2	1	1	1	2	3	2	2	1	3	2	2	4	1	1	1	1	1	2	1	3	1	1	2	1	1	2
16500	-369.090944836865503	-367.316301290183674	-1.774643546681808	0.000086539622942	0.000015814545010	0.182743400911053	0.666066573877053	0	-1	2	2	5	3	7	6	6	4	10	6	8	6	8	9	8	10	9	10	11	10	11	11	13	11	12	13	11	12	14	13	13	12	11	12	15	15	14	17	16	18	16	16	14	15	17	17	16	16	17	16	19	18	18	17	18	17	18	19	21	21	20	21	20	23	24	0	0	1	1	3	3	5	5	6	6	9	6	6	10	9	14	9	3	10	17	19	9	17	19	34	19	9	26	12	11	23	24	19	19	13	0	31	34	15	32	22	49	31	37	20	34	31	24	18	37	38	39	42	40	47	0	49	34	44	56	57	54	47	60	57	62	61	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	3	2	1	1	2	1	1	1	2	2	1	2	1	2	1	2	1	1	1	1	2	3	2	3	1	1	1	2	2	1	3	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	2	2
17000	-398.173781545846055	-396.566883842811478	-1.606897703034603	0.000081048420486	0.000019214129778	0.237069762278301	0.628640202614822	1	0	2	3	3	4	7	6	5	4	9	7	9	5	8	10	8	8	8	11	9	10	9	9	12	11	12	13	12	11	13	12	12	12	12	14	13	15	14	16	15	17	15	14	14	15	18	15	16	16	17	16	19	15	18	18	19	17	18	20	19	20	20	22	22	22	24	0	0	1	1	1	4	6	3	1	3	15	9	12	10	12	14	12	6	10	11	10	10	6	6	21	16	11	32	30	17	23	19	24	22	15	0	11	25	35	34	25	37	18	31	20	34	20	27	39	39	38	45	55	34	31	0	52	25	18	56	42	40	59	60	61	62	65	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	2	2	1	2	3	1	2	2	1	1	1	1	2	2	2	2	1	1	1	2	1	1	2	1	3	2	1	2	2	3	1	1	1	1	1	1	2	4	1	2	2	4	1	1	2	1	2	1	1	2
17500	-369.856463988105929	-368.166466271825300	-1.689997716280657	0.000069923572485	0.000014449829732	0.206651765901366	0.622105152427436	0	-2	1	2	2	3	6	5	7	5	9	5	8	7	8	10	8	8	10	10	11	10	11	8	12	12	10	13	12	12	14	12	12	14	12	13	15	15	13	17	15	18	17	16	14	15	14	18	16	14	17	16	19	17	18	17	19	17	17	18	21	20	20	21	22	20	24	0	0	1	3	1	3	5	5	7	6	17	6	12	10	5	13	9	12	24	11	9	24	9	10	24	19	17	22	15	17	23	24	24	25	20	0	45	34	27	38	26	52	15	18	17	34	20	28	47	17	34	45	42	25	31	0	52	34	49	56	57	40	59	60	61	38	57	1	1	1	1	1	1	3	2	1	2	1	1	2	1	3	1	1	1	2	1	3	1	2	1	2	1	1	2	2	2	2	1	2	1	1	1	1	1	2	1	1	1	4	5	3	1	2	3	1	3	2	1	1	2	2	1	2	2	1	1	1	2	2	2	1	2	3
18000	-354.200198030426805	-352.654871565234941	-1.545326465191876	0.000066086366265	0.000017622154737	0.266653407243923	0.608319552139900	0	0	2	2	3	4	7	5	5	6	9	6	8	7	8	9	9	10	9	10	11	10	10	10	13	13	11	12	12	12	13	12	12	12	13	13	14	16	14	16	15	16	15	15	14	15	17	18	15	16	17	17	18	17	18	17	19	18	19	18	19	20	21	21	21	23	25	0	0	1	1	1	3	5	5	6	6	1	6	12	10	6	10	6	13	14	17	16	19	13	19	34	28	11	22	12	27	23	24	19	24	12	0	27	34	18	25	24	35	31	31	30	25	45	38	45	39	34	37	42	34	43	0	52	25	15	56	42	51	59	60	61	54	65	1	1	1	1	2	1	1	1	1	2	4	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	3	1	2	2	2	2	3	2	1	1	1	1	2	1	1	2	3	2	2	3	1	1	1	2	5	1	2	2	1	2	2	3	2
18500	-360.912922920690733	-359.035939414669542	-1.876983506021177	0.000074694938486	0.000011951819384	0.160008423941837	0.618153163180675	0	0	1	3	4	4	5	5	6	6	9	5	8	7	9	9	8	9	8	11	11	10	11	10	12	13	12	13	10	12	14	12	12	12	12	13	15	15	14	16	14	17	15	14	13	15	18	16	16	15	17	17	18	17	19	17	19	19	18	19	21	20	20	21	21	22	24	0	0	1	3	3	3	5	5	4	6	17	3	9	6	6	9	6	13	6	11	16	19	15	19	19	16	17	22	15	9	23	19	19	24	17	0	27	34	30	34	24	27	30	11	17	25	23	32	44	39	25	15	42	46	31	0	52	38	49	56	52	46	49	60	52	62	61	1	1	1	1	1	2	1	1	1	2	1	2	1	2	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	3	2	2	2	1	3	1	2	2	1	2	2	2	1	3	2	2	4	2	1	1	2	4	1	1	3	1	1	2	1	1	1	2	2	2	2	1	2
19000	-354.451500092927517	-352.606618372256719	-1.844881720670789	0.000094023934427	0.000015660614392	0.166559871035208	0.710361276858096	0	1	2	2	3	4	6	5	5	6	10	6	8	7	9	10	9	9	9	11	11	8	11	10	12	12	11	11	11	13	14	13	12	13	13	13	13	15	15	16	15	16	16	16	14	15	15	16	16	16	18	17	19	17	17	17	17	17	18	19	21	20	22	22	19	22	25	0	0	1	1	1	1	5	5	3	9	13	3	12	10	12	22	9	9	22	17	22	6	17	19	19	24	11	22	6	20	23	19	19	25	17	0	11	28	30	34	19	37	23	31	27	28	23	26	35	39	40	42	42	46	31	0	42	43	49	56	65	34	49	60	52	62	61	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	1	2	2	1	1	2	2	1	2	1	2	2	1	2	2	1	2	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	2	1	1	2	2	2	1	1	2
19500	-344.531035383973688	-342.506143793425963	-2.024891590547741	0.000095812754023	0.000012927350153	0.134923062011493	0.621630274727631	0	0	1	2	3	4	7	5	6	5	9	6	8	7	8	9	7	10	8	10	11	10	12	11	12	13	11	13	12	12	14	13	12	13	13	14	15	15	14	16	15	18	17	15	15	15	16	17	15	16	17	14	18	17	17	18	18	19	19	19	20	19	21	22	21	22	24	0	0	1	1	3	1	5	5	6	6	17	6	6	10	9	9	12	12	10	9	16	19	13	19	24	22	11	22	20	18	20	22	19	19	7	0	27	25	30	38	28	27	47	23	27	25	44	32	30	37	38	20	35	24	23	0	37	40	49	56	53	46	59	60	61	62	61	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	2	2	1	2	1	2	2	1	2	2	2	2	2	1	2	1	1	1	1	2	1	2	2	2	1	2	1	1	1	2	3	2	3	1	2	2	2	1	1	2	1	1	1	1	2
20000	-344.894818905651562	-342.987839211367486	-1.906979694284083	0.000086814215870	0.000013394695642	0.154291500627532	0.766290626152405	-1	0	1	1	3	4	5	4	7	5	9	7	8	7	7	8	8	8	9	10	11	9	10	10	11	13	11	13	11	12	13	12	12	14	13	13	16	15	13	14	16	14	16	16	14	15	15	16	15	15	17	16	18	17	17	18	18	18	18	19	21	19	20	22	20	20	25	0	0	1	1	3	3	5	5	6	6	15	6	6	10	6	10	6	12	14	17	16	16	13	19	19	22	17	22	12	11	17	24	10	25	11	0	42	25	11	25	45	20	31	45	18	25	27	32	31	45	34	39	52	46	31	0	52	51	49	56	65	38	59	60	57	62	61	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	1	3	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2
20500	-342.036585334886411	-339.522441989645927	-2.514143345240487	0.000094749773906	0.000008087287082	0.085354157045822	0.749392831526239	0	-1	2	1	4	4	6	6	6	6	8	7	8	7	7	9	8	10	9	11	11	9	11	9	12	13	11	12	11	12	14	12	12	14	12	13	14	16	14	16	16	17	16	15	15	15	16	17	16	15	17	17	19	18	17	18	18	18	17	19	20	20	21	22	22	21	24	0	0	1	1	3	1	5	5	3	6	9	9	15	10	10	14	9	15	10	11	16	14	12	14	19	28	15	22	6	3	23	24	24	25	11	0	35	46	35	34	26	44	31	23	18	25	11	32	13	39	38	45	42	40	31	0	52	40	49	56	57	58	59	60	57	62	61	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	4	4	1	2	2	1	3	1	1	1	2	1	2	1	1	2	2	2	4	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2
21000	-331.353688162235073	-329.622049496268289	-1.731638665966761	0.000093879860701	0.000018229730896	0.194181486424839	0.634352727022610	0	0	1	2	3	4	6	6	6	5	10	6	8	7	8	9	9	9	8	10	10	9	11	10	12	12	10	11	12	13	14	13	12	14	11	11	14	16	14	16	14	18	16	16	14	15	15	15	16	15	18	16	18	17	19	17	18	18	19	18	20	20	21	21	22	22	25	0	0	1	1	3	3	5	5	6	6	12	6	12	10	6	10	15	12	10	6	18	19	16	22	24	28	17	16	23	27	23	26	24	25	27	0	35	25	13	25	24	45	41	23	35	25	13	32	37	39	34	45	52	46	44	0	52	34	49	56	57	51	49	60	61	58	65	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2	1	2	1	2	3	1	1	1	2	1	2	1	2	1	1	2	2	1	1	1	2	2	1	3	2
21500	-359.066748097824814	-356.899900970013618	-2.166847127811211	0.000096344437479	0.000011227406807	0.116534042860903	0.579247064762064	-1	0	1	3	4	4	5	5	6	6	9	6	8	7	8	8	8	8	9	10	10	9	11	10	12	12	12	12	13	12	15	12	12	12	13	13	14	15	13	17	15	18	16	16	14	16	17	17	16	16	17	17	19	17	18	16	17	19	18	18	20	21	21	21	21	22	24	0	0	1	3	3	1	6	5	5	6	17	5	9	10	12	14	12	9	6	11	16	14	18	14	22	24	20	22	23	18	27	19	22	19	23	0	27	34	23	25	19	45	11	15	11	25	27	32	41	35	41	45	42	41	9	0	6	38	49	56	55	58	59	60	61	58	65	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	3	1	2	2	2	1	1	1	1	1	2	3	1	3	3	3	2	3	2	1	2	1	2	1	1	6	1	6	2	1	1	1	1	1	1	1	2	2
22000	-354.554051358096956	-352.789240408090052	-1.764810950006914	0.000083487694115	0.000015465602783	0.185244100302534	0.622052058594561	0	0	1	1	3	4	6	5	3	4	9	6	7	5	7	8	9	10	9	10	10	10	11	10	12	11	12	13	13	11	14	13	13	13	11	14	15	16	13	16	15	17	15	14	14	16	17	16	16	15	18	16	17	17	17	17	18	18	19	18	20	20	21	21	22	22	24	0	0	1	1	3	9	5	5	3	9	15	9	6	10	6	10	15	12	10	17	16	19	12	10	16	19	11	22	24	11	23	26	26	25	11	0	30	34	11	28	45	27	27	23	17	25	43	33	27	39	46	20	45	28	27	0	52	34	49	56	57	46	49	60	61	62	61	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	3	2	1	2	2	2	1	1	2	1	1	1	1	2	2	2	2	1	2	1	1	2	2	1	2	2	1	1	3	2	2	2	1	1	2	2	1	1	2	2	2	2	1	2
22500	-353.050251022858788	-351.318433747900031	-1.731817274958776	0.000062406269985	0.000012115001382	0.194131156780334	0.719100232466373	0	0	1	2	4	4	7	6	6	6	10	5	9	7	8	9	9	10	9	11	11	10	11	11	12	12	12	11	11	12	14	11	11	14	13	13	15	15	14	16	16	17	15	15	12	15	18	16	17	14	18	15	18	17	18	17	18	16	17	19	20	21	22	22	21	23	25	0	0	1	3	1	1	5	5	5	6	17	1	9	12	6	14	10	9	14	17	14	19	15	19	19	33	17	22	13	17	23	19	14	25	11	0	31	25	20	25	34	52	23	13	11	25	31	32	52	45	34	30	42	46	31	0	52	34	37	56	57	46	59	60	61	62	61	1	1	1	1	2	2	2	1	1	2	1	2	2	1	2	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	2	2	1	2	1	3	1	2	2	2	1	1	1	2	1	1	2	1	2	1	1	1	1	3	2	2	1	1	3
23000	-379.162711114048761	-377.407749086432432	-1.754962027616341	0.000107155395235	0.000020125346858	0.187814592196833	0.596756011274357	1	-1	2	2	4	4	6	6	7	6	9	6	7	7	7	9	7	9	9	10	11	8	12	11	13	13	11	12	12	12	14	12	11	13	12	11	12	14	14	16	15	17	15	15	14	16	17	15	16	16	17	17	18	15	17	15	18	18	19	17	20	19	22	21	21	22	24	0	0	1	1	3	1	5	5	6	6	17	3	12	10	6	14	3	13	22	11	10	10	15	19	19	21	20	22	3	27	30	19	18	24	20	0	20	34	27	28	18	39	13	12	11	34	23	25	45	39	38	41	52	34	43	0	52	38	49	56	57	46	49	60	61	62	57	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	1	1	1	1	2	5	1	1	2	2	1	1	1	1	1	1	2	2	2	4	4	2	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	3
