step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67
5000	-367.265409631149680	-365.787378774526815	-1.478030856622853	0.000012514530722	0.000003893107474	0.311086972489326	0.663832843478164	-1	0	1	2	4	4	6	6	6	6	10	6	7	5	8	8	9	9	8	9	10	10	12	9	13	12	11	11	11	12	15	12	12	12	11	14	15	16	14	16	15	15	16	15	14	15	17	16	15	15	17	16	18	18	17	17	18	16	18	19	20	20	21	22	22	22	25	0	0	1	1	3	3	5	5	6	14	17	6	6	6	12	10	13	9	14	13	16	19	13	19	34	19	17	22	13	18	15	19	19	24	17	0	30	25	11	25	24	23	23	23	30	25	23	32	20	39	46	42	42	46	31	0	52	25	49	56	57	58	49	60	61	62	61	1	1	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	3	1	1	2	1	1	1	1	3	2	2	2	1	1	2	2	2	2	3	1	2	1	1	1	2	2	2	1	1	1	2	2	1	1	2	2	2	1	1	2	3	2	1	1	2
5500	-377.654856194796707	-376.293708083211584	-1.361148111585122	0.000018900801069	0.000011113161918	0.587973064087751	0.654093474285946	0	-1	2	2	4	4	6	6	6	6	9	6	9	5	9	8	6	9	7	10	10	8	12	10	13	12	12	11	12	11	11	12	13	12	13	12	16	14	12	16	14	14	17	15	13	15	16	17	14	16	18	16	18	17	18	17	18	19	18	19	20	21	22	21	22	23	24	0	0	1	1	3	3	5	5	6	14	17	6	12	3	9	10	6	12	10	11	16	19	18	19	34	24	20	22	18	17	18	24	24	24	39	0	27	25	30	25	24	30	23	13	20	34	23	32	20	15	40	42	42	38	47	0	42	46	37	56	57	25	49	60	61	62	61	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	2	2	1	2	1	1	1	3	2	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	2	2	2	4	1	1	2	2	1	1	1	2	1	1	1	3	4	1	2	1	2
6000	-377.508480167683842	-376.140135798113477	-1.368344369570390	0.000022519496347	0.000014955810398	0.664127215268353	0.540605553460344	0	0	1	1	3	2	6	5	4	5	9	6	8	4	6	9	7	9	9	11	11	10	11	10	12	12	10	13	13	12	14	11	12	11	13	12	12	15	14	16	15	15	15	16	15	15	17	16	16	15	17	17	19	17	16	15	19	18	19	19	20	19	22	21	21	20	23	0	0	1	1	3	1	5	5	6	14	17	9	9	6	9	10	12	9	12	17	16	19	13	10	34	24	17	22	23	11	23	19	19	19	27	0	11	25	37	25	19	20	31	23	23	34	23	24	23	39	40	42	42	38	31	0	42	25	49	56	57	58	49	60	61	62	61	1	1	1	1	1	1	2	1	1	1	1	2	3	1	1	2	1	2	2	2	1	1	1	3	1	1	2	2	1	2	1	1	1	1	2	1	2	2	1	2	2	1	1	3	3	2	3	3	2	1	1	1	2	1	1	1	2	3	1	2	1	1	2	1	1	1	2
6500	-367.871560752547282	-365.914085527667680	-1.957475224879618	0.000080209972404	0.000011665984559	0.145443069100678	0.678672249757351	0	0	1	3	3	2	5	6	7	6	7	5	8	6	7	8	8	8	9	11	9	9	12	10	12	12	10	12	12	12	14	12	13	13	12	13	15	15	13	16	15	15	16	15	14	15	18	16	16	15	17	17	19	17	18	15	18	19	17	20	20	18	21	20	21	23	24	0	0	1	3	1	1	5	5	6	6	12	6	3	12	12	14	11	9	14	27	10	12	15	21	19	24	17	22	18	13	30	24	24	13	20	0	39	34	9	38	23	45	31	30	20	25	31	32	37	39	38	42	42	46	23	0	42	38	49	56	57	40	45	56	61	62	61	1	1	1	1	2	2	1	2	2	2	1	1	4	1	2	1	1	1	2	1	1	2	2	1	2	1	1	1	2	3	1	1	1	3	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	3	1	1	2	1	2	1	1	3	2	1	3	2
7000	-380.812511127287110	-378.306237554926156	-2.506273572360961	0.000082411813356	0.000007079978739	0.085909755539444	0.602476061979171	0	-3	2	2	4	3	4	6	5	4	9	7	8	7	8	8	9	9	9	11	10	9	12	7	12	12	11	13	12	11	14	12	11	14	13	13	15	15	14	16	16	17	16	16	14	15	16	17	16	14	17	17	17	17	18	17	19	19	19	19	20	20	22	22	21	22	24	0	0	1	1	6	3	3	7	6	6	9	9	6	10	9	10	9	15	24	17	15	24	18	10	24	24	6	22	15	9	23	24	19	19	20	0	30	25	30	46	32	20	27	27	30	25	23	38	45	20	46	37	27	38	23	0	42	51	49	56	57	54	35	60	61	62	61	1	1	2	2	1	1	1	1	1	1	2	1	2	2	2	1	2	1	2	2	1	1	1	1	3	2	3	2	2	3	1	2	1	2	2	1	2	1	2	1	1	3	2	2	2	2	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	4	2	1	2	2
7500	-396.580076401907945	-395.021350716420500	-1.558725685487437	0.000080715363167	0.000020947800907	0.259526812302093	0.649610977840928	-1	0	1	2	2	4	5	5	7	5	9	6	9	6	8	9	8	10	9	10	11	10	11	10	11	13	11	12	13	13	14	13	12	13	13	13	15	16	14	16	15	17	17	13	13	15	17	18	16	16	18	16	18	18	18	16	18	18	19	18	19	20	21	21	22	22	22	0	0	1	3	3	3	5	5	6	6	7	5	6	10	1	14	6	17	10	11	20	15	18	11	15	28	11	19	15	19	44	21	24	21	13	0	27	41	20	34	24	52	49	18	17	34	45	41	13	30	38	30	42	38	31	0	52	22	31	56	57	40	59	60	57	62	52	1	1	1	1	1	1	1	2	1	1	1	2	2	1	5	2	2	1	3	1	1	1	1	1	2	1	1	1	3	3	1	1	1	1	1	1	2	1	1	2	2	1	1	2	3	2	2	2	4	2	1	2	1	1	3	1	1	5	1	1	1	2	1	2	3	1	4
8000	-356.555562018153864	-355.048847548847277	-1.506714469306614	0.000072174549834	0.000020934464287	0.290053271340122	0.712022310719453	-1	1	1	3	3	3	6	6	6	6	9	5	8	7	7	9	9	10	9	7	10	9	12	10	10	13	11	13	12	12	14	12	12	14	12	13	14	14	15	17	15	17	16	16	14	16	16	16	17	15	18	15	17	17	18	17	18	18	19	19	20	21	21	22	21	22	24	0	0	1	1	1	3	5	5	6	6	20	1	6	10	4	10	12	13	10	12	14	10	18	22	19	19	11	21	12	27	29	24	24	25	11	0	30	25	11	34	26	52	23	31	11	34	9	32	43	37	40	30	45	46	18	0	42	40	49	56	57	40	59	60	61	62	65	1	1	1	2	2	1	2	2	2	1	1	3	2	1	3	1	2	1	2	1	1	1	1	1	1	2	1	1	3	1	2	1	1	2	1	1	2	2	2	2	1	1	2	1	2	1	5	2	1	1	1	2	2	1	6	1	1	1	1	1	1	2	1	2	1	1	2
8500	-352.593811991153757	-351.010187309859930	-1.583624681293841	0.000095423684858	0.000023604201275	0.247362081127841	0.685780819446563	0	0	1	3	2	4	6	5	6	5	8	7	9	6	8	7	9	9	8	10	9	9	11	10	12	12	11	10	12	13	15	11	12	13	12	13	15	16	14	17	15	17	16	16	12	15	17	18	16	16	18	16	19	17	18	17	18	18	18	19	20	20	22	21	21	20	24	0	0	1	3	1	3	5	5	6	1	9	9	9	6	9	14	11	12	10	17	16	14	11	21	28	19	17	22	15	27	45	10	19	25	11	0	30	46	35	34	22	52	45	32	20	34	31	19	9	35	40	45	42	38	45	0	42	46	52	56	57	58	59	60	61	58	65	1	1	1	1	1	2	2	2	1	3	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	4	2	1	1	1	1	1	1	2	3	1	2	2	2	1	1	5	4	2	1	3	1	1	3	1	1	2	1	1	1	1	2	2	1	1	2
9000	-390.272035724545788	-388.524435289568942	-1.747600434976865	0.000110630544050	0.000020995529357	0.189780584896628	0.556672211142244	-1	0	2	1	4	4	6	5	7	5	10	6	8	6	8	9	9	9	7	11	11	9	11	9	13	12	12	12	11	12	13	11	13	13	13	13	14	15	14	16	16	15	15	16	14	15	14	17	16	15	17	15	18	16	18	16	19	19	19	19	21	19	22	22	21	21	24	0	0	1	1	3	3	3	5	12	6	15	6	3	10	12	19	5	12	6	11	16	14	17	19	32	24	20	22	17	11	32	10	32	19	18	0	15	25	20	25	24	45	27	17	30	32	23	28	31	34	34	35	42	25	11	0	43	38	55	56	17	46	59	60	57	41	37	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	3	2	2	1	1	1	1	1	1	2	1	2	1	1	1	3	2	4	2	1	3	1	2	2	2	1	2	4	1	2	1	2	2	1	2	1	2	2	3	1	2	2	1	1	6	2	2	2	1	2	4
9500	-366.142303718166943	-364.346542198316911	-1.795761519850009	0.000072919267772	0.000012949084582	0.177581110972328	0.625175891611115	0	1	1	2	3	4	7	6	6	5	9	6	9	6	7	7	8	8	9	10	11	9	11	10	12	12	11	12	11	13	14	13	11	13	12	14	16	16	14	16	14	17	17	15	15	16	17	16	15	15	17	15	18	18	18	16	18	17	18	18	20	20	21	21	22	23	23	0	0	1	1	3	3	9	5	4	6	9	6	18	10	12	10	9	12	14	18	10	14	18	19	22	24	11	24	15	9	20	19	22	25	17	0	45	25	35	25	26	49	31	31	13	25	45	24	23	30	34	20	42	46	35	0	45	34	23	56	53	54	49	60	57	58	57	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	3	2	1	2	1	1	1	3	4	2	2	1	1	2	1	1	2	1	2	1	1	2	1	3	2	1	3	2	1	3	3	1	1	2	1	2	2	2	1	2	1	3	2	2	3	2
