step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66
1	-1302.114919402291662	-1300.652837317772764	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.851498522732609	-1	3	5	6	5	5	6	6	8	8	8	9	11	12	14	12	12	14	13	13	14	13	14	14	14	15	16	14	14	15	17	16	17	16	16	17	17	19	17	18	18	20	19	18	19	20	19	20	21	20	20	22	22	23	23	25	26	32	34	36	39	40	46	46	47	48	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	3	4	4	5	5	5	5	6	7	8	7	7	8	7	7	8	7	8	8	8	8	9	8	8	8	9	9	9	9	9	9	9	10	9	10	10	11	10	10	10	11	10	11	11	11	11	12	12	12	12	13	14	17	18	19	20	21	24	24	24	25
500	-321.170869425063984	-319.708787340545086	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.267355557457002	-1	3	5	6	4	6	6	7	9	8	8	9	12	10	13	12	12	15	13	13	14	11	15	14	14	13	16	14	15	15	16	16	17	15	17	17	16	19	17	19	19	20	18	18	20	20	20	20	20	20	20	23	22	24	24	26	26	30	34	36	40	39	47	47	48	48	0	1	1	5	1	5	3	7	7	4	6	8	22	11	8	6	11	11	13	8	26	7	24	17	26	13	25	9	12	14	13	18	14	12	25	27	17	1	26	13	14	30	23	23	11	3	32	13	36	27	44	30	43	36	40	46	15	57	45	29	53	21	41	50	46	53	1	3	3	1	3	2	1	1	2	1	1	1	1	2	2	3	2	3	1	3	1	3	1	1	1	1	1	2	4	2	2	1	3	3	1	1	1	9	2	3	5	3	1	2	6	7	2	4	1	2	1	4	2	4	2	3	6	1	8	9	8	14	14	14	13	10
1000	-328.140317106874193	-326.678235022355295	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.287029163414927	-1	3	5	6	6	5	7	5	9	7	8	9	11	12	15	13	13	13	14	13	15	13	12	14	14	13	16	13	11	15	17	16	18	17	15	18	15	19	17	17	18	19	19	18	20	20	20	21	21	21	20	23	23	23	23	25	25	33	34	36	38	40	46	47	47	48	0	1	2	8	8	1	3	2	5	4	8	2	10	12	26	2	10	14	13	23	18	2	12	14	26	13	13	14	6	14	35	10	27	12	20	31	11	9	37	14	26	29	12	10	13	29	26	42	40	27	34	38	38	51	49	31	38	27	15	52	14	52	39	15	52	6	1	2	1	1	1	3	2	1	2	1	2	3	1	1	1	5	4	1	2	1	1	4	1	1	1	2	3	1	3	2	1	5	1	4	1	1	5	3	1	3	3	4	4	5	5	4	4	1	2	3	2	3	3	2	1	4	3	9	9	7	11	8	16	17	12	24
1500	-334.744070881528785	-333.281988797009888	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.264463646564242	-1	2	4	5	6	5	5	7	8	8	8	10	12	13	14	12	12	13	14	13	14	13	14	12	13	16	15	14	14	15	18	16	16	14	16	17	18	17	17	18	17	20	19	18	19	21	20	21	21	20	18	22	23	23	21	25	26	31	34	36	37	39	46	45	48	48	0	1	1	1	3	2	3	7	8	4	7	9	8	12	12	4	10	24	16	24	9	5	2	6	9	19	29	1	24	2	29	25	29	13	18	28	29	32	4	21	13	44	35	21	21	10	30	13	26	45	27	42	8	45	28	51	52	53	52	45	25	40	15	51	47	4	1	2	3	3	2	2	1	1	1	3	2	1	3	1	2	2	2	1	1	1	2	3	5	4	3	1	1	8	1	7	2	1	2	1	1	2	2	1	6	2	3	1	1	3	2	6	3	6	3	1	1	1	6	2	4	4	2	3	7	8	10	10	15	15	13	22
2000	-308.229774864990816	-306.767692780471918	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.332652650908217	0	2	3	6	5	6	7	4	9	8	9	9	11	12	15	11	13	15	14	13	14	13	14	13	15	15	15	13	14	13	17	16	17	15	15	16	18	20	17	19	17	21	20	18	19	20	18	20	22	21	20	22	22	24	24	25	25	31	34	37	38	41	45	46	47	47	0	1	1	8	1	2	5	3	6	4	6	4	5	9	29	12	13	30	9	4	16	13	6	7	12	17	22	16	13	16	14	29	18	22	13	12	27	33	34	35	36	45	40	21	33	23	23	9	45	26	29	33	50	46	43	52	44	50	46	52	56	54	55	51	38	42	1	1	2	1	2	2	1	1	2	1	2	2	3	2	1	1	1	1	3	3	1	1	4	4	4	2	1	1	1	2	3	1	1	2	2	4	2	2	1	3	1	1	1	2	1	2	2	5	2	2	3	3	1	2	2	2	6	4	6	7	7	9	11	15	14	13
2500	-307.438483907104910	-305.976401822586013	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.338446746448076	-1	3	5	6	5	5	7	7	7	9	8	9	11	12	14	12	12	14	12	14	13	14	15	14	14	14	16	14	14	16	17	16	18	17	16	16	17	19	17	16	19	20	19	18	20	21	19	20	21	19	20	22	23	23	23	25	27	32	34	37	38	37	46	47	47	49	0	1	2	3	2	2	6	6	5	9	6	6	4	12	12	1	8	10	13	9	7	7	4	16	12	10	14	21	4	13	40	19	23	9	25	17	23	15	4	15	31	20	22	17	19	37	34	44	51	19	38	27	48	52	45	55	31	48	57	47	53	55	55	58	49	50	1	2	2	1	1	1	1	1	1	1	1	2	4	1	3	6	2	3	1	4	2	3	3	1	1	3	2	1	3	3	1	2	2	6	1	2	1	2	5	1	2	4	4	3	3	2	1	1	1	3	1	3	2	1	2	1	6	6	5	9	8	7	13	7	15	14
3000	-297.957204978127322	-296.495122893608425	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.409499642996083	-1	3	5	6	5	5	6	6	8	8	8	9	12	13	14	12	11	15	14	11	15	13	15	15	14	15	17	14	15	14	18	17	16	17	15	17	17	19	17	18	18	19	17	18	19	21	20	19	22	19	19	23	21	23	24	25	27	33	34	33	40	40	45	46	46	48	0	1	1	2	1	2	6	3	7	8	2	9	17	7	4	20	12	30	6	12	13	7	20	12	13	20	30	10	17	22	26	26	14	25	13	26	29	32	18	33	28	25	13	37	27	27	35	43	36	33	14	42	18	53	49	39	26	57	55	54	41	59	41	62	37	58	1	2	3	2	4	2	1	1	1	1	3	1	1	3	4	1	1	1	5	1	2	3	2	3	1	2	1	5	2	1	1	1	2	1	1	1	1	1	1	1	3	3	2	1	2	1	2	2	2	1	3	2	4	1	1	3	7	3	4	4	11	3	12	4	15	6
3500	-292.350508390742789	-290.888426306223892	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.303608190027429	-1	3	6	6	5	5	6	4	8	8	8	10	11	12	13	12	12	13	14	11	14	13	14	13	14	16	16	15	14	14	17	16	16	16	16	16	17	18	17	17	18	21	19	18	20	19	18	20	21	20	20	22	21	23	23	25	25	32	34	36	39	40	47	45	47	48	0	1	6	8	2	2	6	1	8	5	5	10	11	12	14	5	13	17	7	12	16	5	17	2	18	25	12	12	14	6	28	29	17	16	29	23	33	17	21	11	27	21	27	35	34	38	25	47	39	46	9	27	51	30	17	48	52	53	41	27	52	58	52	62	31	58	1	2	1	2	1	1	1	2	2	1	1	1	2	1	1	3	1	1	4	1	2	4	1	4	1	1	2	3	1	5	2	2	2	2	1	1	1	3	2	4	1	4	2	1	2	1	2	1	2	1	5	2	1	5	6	2	1	5	5	10	8	4	13	2	14	6
4000	-299.016736644767946	-297.554654560249048	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.383977849897211	-2	2	5	7	5	3	6	6	6	8	8	9	11	13	14	12	12	14	12	12	15	14	14	14	14	16	15	14	13	15	17	16	17	17	14	18	17	18	18	19	15	20	19	18	18	21	18	21	18	20	19	22	23	23	24	25	27	33	35	36	39	39	45	46	48	48	0	1	6	2	6	1	6	5	6	8	8	7	4	10	17	12	13	10	5	13	17	2	10	11	10	28	14	17	11	28	13	16	15	41	19	41	3	15	32	30	14	34	4	17	30	47	30	50	29	40	28	51	37	48	46	52	55	46	18	15	54	58	52	63	57	58	1	2	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	4	2	1	2	7	4	3	3	1	2	1	2	1	3	2	2	1	1	2	4	2	1	2	1	1	5	3	2	2	2	1	2	1	2	1	3	1	2	1	2	6	10	10	8	3	12	1	10	7
4500	-300.323102208900139	-298.861020124381241	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.330451755189132	-1	4	5	7	6	5	7	7	9	8	9	9	11	12	15	13	12	13	12	14	14	12	14	14	15	15	16	15	15	15	17	17	17	16	17	16	17	16	17	18	18	20	18	19	20	21	20	20	20	19	20	22	22	24	23	25	26	32	33	37	38	41	45	46	47	49	0	1	1	2	1	1	3	6	4	2	1	8	10	6	17	12	8	7	13	18	3	11	4	9	18	24	9	20	8	18	15	26	15	21	26	24	23	26	12	14	14	28	38	23	20	26	43	35	27	26	29	36	49	43	42	52	15	56	38	41	49	60	46	63	42	59	1	2	4	1	4	2	1	1	1	2	5	1	2	3	1	2	2	3	1	1	4	2	4	2	1	1	3	1	2	1	1	2	1	1	1	1	2	1	4	3	4	2	1	4	3	2	1	2	3	2	2	3	1	3	1	1	6	4	8	9	8	1	14	1	11	9
