step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
1	-878.236679329909748	-876.774597245390851	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.355421512338420	0	1	1	2	6	6	5	7	7	10	9	12	10	12	13	12	13	15	14	14	17	16	17	18	19	20	19	20	22	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	4	4	5	5	6	5	6	7	6	7	8	7	7	9	8	9	9	10	10	10	10	11	12
500	-244.309834040486237	-242.566794807051821	-1.743039233434422	0.000009973415874	0.000016950681018	1.699586303539482	0.344925158178692	-1	1	1	2	6	6	5	7	7	10	8	12	10	12	14	13	13	16	15	15	15	17	17	18	19	21	18	21	23	22	0	1	1	1	2	4	2	5	7	8	7	9	7	11	13	13	13	16	17	17	16	13	19	13	27	24	16	24	26	17	1	1	1	1	2	3	2	1	1	2	1	4	3	2	3	2	1	2	1	1	2	3	1	7	1	2	3	2	1	5
1000	-189.152493731621746	-187.292543047624804	-1.859950683996955	0.000009977719617	0.000019821205160	1.986546617950767	0.801679919008473	0	1	1	2	6	6	4	7	7	9	8	12	10	12	14	12	14	15	13	15	17	16	17	18	19	19	18	20	22	23	0	1	1	1	7	4	2	5	7	8	5	5	11	11	13	13	16	13	16	19	18	16	19	20	27	24	22	26	26	28	1	1	1	1	1	2	1	1	1	1	1	3	1	2	2	2	1	2	1	1	2	1	2	2	1	1	1	1	2	2
1500	-199.965191864615974	-197.717544537658512	-2.247647326957461	0.000010027361573	0.000030190853125	3.010847161014428	0.725806636940445	0	2	2	1	5	5	4	8	7	9	10	12	10	12	12	12	12	14	14	15	16	16	16	17	19	19	17	20	22	23	0	1	1	1	7	4	2	7	5	8	7	8	7	11	13	13	13	15	17	19	13	18	19	20	27	24	15	26	26	28	1	1	1	1	1	2	1	2	1	1	3	2	3	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2
2000	-176.693757200361659	-173.783045444291190	-2.910711756070464	0.000010022433744	0.000051577866330	5.146241686185955	0.803798351122571	0	1	2	2	5	7	5	8	6	10	8	12	10	12	12	12	13	15	14	15	17	16	16	18	18	19	20	20	21	23	0	1	1	1	2	4	2	9	5	8	9	7	11	11	13	13	16	16	17	19	18	18	19	20	22	20	25	26	26	28	1	1	1	1	1	3	2	1	1	1	1	4	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2
2500	-175.240086234789402	-173.207328998038548	-2.032757236750845	0.000010090624435	0.000024487522166	2.426759842540307	0.795589592530527	0	1	2	3	7	5	5	7	8	8	9	10	10	12	13	13	13	15	14	15	16	16	17	18	17	19	19	21	22	24	0	1	1	1	7	4	2	7	5	8	5	9	11	11	13	13	13	13	17	19	18	18	19	20	22	24	25	26	26	28	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	2
3000	-189.341176710287584	-187.596422019544406	-1.744754690743191	0.000010096842909	0.000017202547954	1.703755135057477	0.687867804220015	0	2	2	2	7	7	4	7	7	10	8	11	10	11	14	13	12	15	14	15	17	16	17	16	18	19	20	20	23	23	0	1	1	1	7	4	2	7	7	8	7	9	11	11	13	13	13	16	17	19	18	18	20	20	22	24	25	26	26	28	1	1	1	1	2	3	1	2	2	2	2	3	1	2	2	2	1	2	2	1	1	1	1	1	1	2	1	1	2	2
3500	-180.247367599480810	-177.683202328047543	-2.564165271433279	0.000010265452156	0.000040668887269	3.961723911506696	0.752938276463278	-1	1	2	2	6	5	5	8	7	10	9	12	10	12	12	12	13	15	14	15	16	16	17	18	19	20	20	21	22	23	0	1	1	1	7	4	2	7	7	8	9	10	11	11	13	13	16	16	17	16	18	18	19	20	22	24	25	24	26	28	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1
4000	-183.926181939492238	-181.514420035612545	-2.411761903879692	0.000010904246504	0.000038049055524	3.489379620302388	0.837587368807165	0	2	2	2	5	7	6	7	7	10	9	13	11	11	13	13	12	15	13	14	16	17	17	18	19	20	20	19	22	22	0	1	1	1	2	4	5	7	5	8	5	14	11	11	13	13	13	16	17	19	13	16	18	20	18	24	25	24	26	28	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	2	1	2	2	1	1	1	1	1
4500	-182.963687383208054	-180.966950907163380	-1.996736476044675	0.000011308725168	0.000026383948542	2.333061255741947	0.657972468511234	0	1	2	2	5	5	6	7	7	10	9	12	10	12	13	11	12	15	14	15	17	16	17	17	18	19	20	20	21	24	0	1	1	1	2	4	5	5	7	8	9	5	11	11	13	13	13	13	17	19	15	18	19	20	18	24	25	26	26	28	1	1	1	2	2	2	1	1	1	2	1	4	1	1	2	1	1	3	2	1	1	1	2	2	1	1	1	1	1	2
