step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57
1	-6040.467743174735915	-6047.323231125695202	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.998576769890669	0	1	2	2	3	6	5	6	6	6	6	6	7	7	10	8	7	8	9	8	8	8	8	9	8	8	9	10	10	10	10	10	10	11	12	12	12	13	13	13	13	14	14	16	15	15	17	17	17	17	20	17	17	18	19	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	5	4	5	5	5	5	5	6	6	8	6	6	6	7	6	6	6	6	7	6	6	7	8	8	8	8	8	8	8	9	9	9	10	10	10	10	11	11	12	11	11	13	13	13	13	15	13	13	13	14	16	16
500	-334.428632908488282	-341.284120859447683	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.333642611931230	0	1	2	2	3	5	4	6	5	5	6	5	7	7	10	7	7	6	9	7	8	8	8	9	8	8	9	9	8	10	10	10	10	10	11	11	12	13	13	13	13	12	14	15	14	15	17	16	17	17	20	17	17	18	19	21	18	0	1	1	2	2	0	0	4	0	0	0	7	7	6	11	9	12	12	20	7	11	17	12	23	17	17	7	7	10	23	17	12	17	28	24	31	35	37	33	36	7	35	36	33	42	35	38	41	42	38	50	42	44	33	18	47	24	1	1	2	1	1	1	1	3	1	1	1	1	2	2	2	2	2	1	2	1	2	1	2	1	1	1	4	3	3	1	3	2	3	1	1	1	1	1	2	2	6	1	2	4	2	3	4	3	5	4	3	5	2	6	12	4	7
1000	-296.728510226287540	-303.583998177246940	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.404496435769776	0	1	2	2	3	6	3	6	6	4	5	5	7	7	9	8	7	8	9	8	8	8	8	7	8	7	9	9	9	10	10	7	10	9	12	11	12	13	13	13	13	13	14	16	15	15	17	17	17	17	20	17	15	16	19	21	21	0	1	2	2	1	0	0	1	0	0	0	7	7	11	10	11	12	17	7	17	9	24	13	12	17	12	13	18	9	34	12	12	26	18	30	24	30	37	23	31	33	37	31	42	42	42	39	46	37	54	52	45	41	42	54	45	46	1	1	1	1	3	1	1	5	1	1	1	2	3	2	4	2	2	1	3	1	1	1	1	2	1	2	2	1	3	1	2	2	3	1	2	4	2	1	3	2	2	1	2	1	2	2	2	2	4	1	1	2	2	2	3	4	4
1500	-244.547549685383217	-251.403037636342589	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.558554044901124	-1	1	1	2	3	5	5	6	6	6	6	6	6	7	10	8	7	8	9	8	8	8	7	9	8	8	9	9	10	10	10	10	10	11	12	12	11	13	13	11	13	14	14	16	15	15	17	17	17	17	20	16	16	18	19	21	21	0	1	1	3	2	0	0	4	0	0	0	7	7	6	11	9	12	17	13	13	10	17	12	20	23	13	20	13	16	24	24	7	24	26	37	31	17	37	37	31	37	37	40	46	42	41	52	45	53	42	45	37	45	52	54	55	55	1	2	2	1	1	1	1	3	1	1	1	1	1	2	2	2	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	3	1	2	1	2	1	2	2	1	1	3	3	1	1	2	1	2	1	2	3	3	1	2	1	2	2
2000	-237.057959792956780	-243.913447743916151	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.734476957663178	0	1	2	2	3	5	4	6	6	5	6	6	6	7	9	7	7	8	9	8	8	8	8	9	8	8	9	10	10	10	10	10	9	11	12	12	11	13	13	13	13	14	14	16	15	15	15	17	17	16	20	16	16	18	18	20	21	0	1	1	2	2	0	0	2	0	0	0	7	7	9	21	11	12	7	18	12	16	17	17	23	12	12	13	19	14	24	13	24	12	32	37	31	33	35	35	32	35	38	31	46	42	42	39	44	38	42	49	47	45	46	49	55	54	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	3	1	2	1	1	1	1	2	1	1	1	2	1	1	1	3	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	3	1	2	1	1	3	1	2	2
2500	-218.507131128643579	-225.362619079602950	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.727337051450243	0	1	1	2	2	6	5	5	6	5	6	6	7	7	9	8	7	8	9	8	8	8	8	9	8	8	9	9	8	10	10	9	10	10	11	12	12	13	12	13	13	14	14	16	15	13	17	17	16	17	17	15	17	18	19	21	19	0	1	1	2	2	0	0	4	0	0	0	7	7	6	6	9	12	12	13	13	14	12	12	26	17	12	13	18	14	32	22	26	23	32	30	31	35	37	35	31	35	39	36	42	42	37	52	42	46	45	45	42	42	50	54	55	54	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	2	2	1	2	2	1	2	1	1	2	1
3000	-250.523943853233305	-257.379431804192677	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.606281567094793	0	1	2	2	3	6	5	4	6	6	4	6	7	6	7	8	7	8	7	8	8	8	8	9	8	8	9	10	10	9	10	10	10	11	12	12	12	11	13	13	13	13	13	16	14	15	17	17	17	16	20	15	17	18	19	20	21	0	1	1	2	2	0	0	4	0	0	0	7	7	11	6	9	12	17	7	7	9	12	17	18	12	12	13	20	10	23	25	18	18	17	38	31	38	33	38	31	34	38	31	41	42	39	46	45	39	46	42	45	39	50	54	55	50	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	2	2	2	1	1	2	1	2	2	2	1	1	2	2	3	1	2	1	1	2	3	2	2	3	2	1	2	2	3	2	1	3	1	4	2	1	1	3
3500	-197.557191219391598	-204.412679170350970	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.768295238872003	0	1	2	2	2	6	5	4	6	6	6	6	7	7	9	8	7	8	9	7	8	8	8	9	8	8	9	8	10	10	10	7	10	10	12	12	12	11	13	13	13	14	13	16	15	15	17	17	16	17	19	16	17	18	19	21	21	0	1	1	2	2	0	0	4	0	0	0	7	7	6	21	14	12	32	28	7	14	17	17	18	32	12	13	13	15	18	22	12	18	18	38	31	38	33	35	31	38	41	31	46	42	42	52	44	45	42	50	46	49	50	50	55	54	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2
4000	-260.861151863573070	-267.716639814532471	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702067237205826	0	1	1	2	3	6	5	6	6	6	4	6	7	7	10	8	7	8	9	8	8	8	8	9	8	7	9	10	8	8	10	10	9	11	12	11	12	10	13	12	13	14	14	16	15	15	17	17	17	17	18	16	15	18	19	19	20	0	1	1	2	1	0	0	4	0	0	0	7	7	6	9	6	12	12	20	7	11	13	12	7	17	12	13	19	11	17	23	17	13	12	38	31	38	24	35	31	38	35	31	42	42	42	45	39	45	42	46	42	37	42	54	54	55	1	1	1	1	3	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	1	2	3	1	1	2	1	2	1	1	2	2	2	2	1	1	1	1	1	2	2	4	2	1	1	2	2	2	2	2	2	2	1	1	1	1
4500	-225.668686179095801	-232.524174130055172	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.679411449383936	0	1	2	2	3	6	5	5	6	6	6	6	7	7	8	8	7	7	9	8	7	8	7	8	8	8	9	8	10	10	9	8	9	8	10	11	12	13	12	12	13	14	11	16	15	15	17	17	17	17	20	16	17	18	19	21	21	0	1	2	2	2	0	0	5	0	0	0	7	7	11	9	14	12	12	13	13	11	23	12	17	18	23	13	13	11	24	32	12	17	18	33	31	35	35	35	31	37	41	31	45	42	42	52	44	39	42	50	46	38	50	54	55	54	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	2	2	2	3	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1	2	1
