step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104
1	-4245.629919347046780	-4252.485407298006066	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646389781201807	0	1	2	2	1	4	3	4	6	6	7	8	7	8	10	11	11	10	11	11	14	15	16	16	20	18	22	22	22	22	23	24	25	26	26	27	28	29	29	29	30	30	30	30	31	32	32	32	32	32	32	32	31	32	32	33	33	34	33	33	35	33	34	35	35	35	34	37	35	36	35	36	38	37	37	37	38	38	39	40	41	44	46	47	48	49	51	51	50	53	53	53	55	55	55	56	57	57	57	57	58	58	57	61	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	4	4	4	4	5	6	6	5	6	6	7	8	8	8	10	9	11	11	11	11	12	12	13	13	13	14	14	15	15	15	15	15	15	15	16	16	16	16	16	16	16	16	16	16	16	17	17	17	17	17	18	17	17	18	18	18	17	19	18	18	18	18	19	19	19	19	19	19	20	20	21	22	23	24	24	25	26	26	25	27	27	27	28	28	28	28	29	29	29	29	29	29	29	31
500	-1272.567897628082164	-1279.423385579041451	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.153252185807888	-1	2	3	2	1	5	2	5	6	6	6	8	7	8	9	11	11	9	12	12	13	15	15	14	17	18	22	21	22	22	21	21	24	26	27	26	29	30	29	29	30	30	30	29	31	33	31	31	32	32	33	32	32	33	33	34	33	34	32	34	35	34	34	36	35	35	34	37	34	37	36	37	39	37	38	38	39	38	40	39	42	44	47	47	48	49	52	51	50	53	54	53	56	55	55	57	58	58	58	57	59	59	58	61	0	1	1	1	1	5	5	5	8	2	4	9	9	7	11	13	9	12	18	6	20	17	1	1	12	0	11	17	24	21	0	20	14	33	26	25	34	25	22	36	22	6	32	21	29	36	27	12	24	38	34	29	30	2	10	24	3	31	29	31	15	27	31	32	57	25	33	32	16	32	17	32	32	2	32	32	32	32	32	12	32	32	32	13	0	0	0	23	0	18	1	25	15	44	28	27	15	16	36	0	15	85	24	24	1	2	2	1	1	2	1	2	1	3	2	1	1	2	2	3	2	1	1	3	1	3	8	8	7	1	7	5	4	5	1	4	7	1	4	4	1	9	7	2	10	12	5	7	4	5	5	12	12	1	4	6	5	15	16	16	14	9	5	10	15	8	6	11	1	9	7	9	13	9	13	10	11	15	14	16	13	13	17	16	19	18	21	19	1	1	1	17	1	20	30	24	27	19	21	23	30	23	20	1	33	7	22	29
1000	-1064.009060123959443	-1070.864548074918730	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.128554857318213	-1	0	2	2	1	5	3	4	4	5	7	8	6	9	10	11	11	10	10	11	15	14	14	16	19	17	22	19	21	22	22	21	26	25	26	26	28	30	29	29	30	30	30	31	32	29	33	31	33	33	31	31	31	32	32	34	32	35	33	34	35	32	33	36	35	36	34	36	35	36	36	36	39	38	38	38	39	39	40	40	42	45	46	47	48	47	51	52	50	53	54	53	55	54	56	56	57	57	57	58	58	58	57	62	0	1	1	2	1	5	2	3	3	8	4	1	7	6	3	15	11	11	11	13	13	16	4	6	16	0	1	7	15	2	0	23	1	12	17	20	31	29	28	36	3	29	32	7	25	12	34	20	32	45	39	26	38	23	32	32	29	31	53	32	32	32	24	32	23	55	53	55	16	44	30	32	32	18	32	32	32	32	32	71	32	32	23	70	0	0	0	45	0	41	16	30	30	63	48	41	15	32	41	0	23	81	68	27	1	1	1	1	1	4	1	1	1	1	3	5	2	3	4	1	1	1	1	4	5	2	5	5	4	1	11	8	7	11	1	3	13	6	9	7	3	7	5	1	14	4	4	15	6	11	3	11	9	1	1	6	1	8	5	11	5	6	1	8	10	4	9	9	9	2	1	2	9	4	8	8	10	13	14	15	13	12	13	4	16	16	19	8	1	1	1	9	1	12	20	14	21	12	14	14	24	19	15	1	30	7	15	21
1500	-903.776669519656934	-910.632157470616335	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.165285899903304	0	2	2	3	1	5	3	4	6	7	7	8	7	7	10	10	11	10	11	12	12	16	15	16	20	16	21	20	21	22	24	21	25	26	26	26	26	29	29	30	29	30	30	30	31	31	33	33	32	32	32	31	31	31	33	34	33	35	33	33	35	31	34	34	35	35	33	35	35	35	35	37	39	38	37	37	39	38	40	40	42	44	46	47	48	49	51	50	49	54	54	53	54	55	56	55	57	56	57	58	59	58	57	61	0	1	5	1	1	1	3	5	7	3	6	5	7	2	10	6	9	9	16	14	7	17	19	11	21	0	13	2	19	9	0	12	25	8	12	6	28	34	31	34	7	27	32	19	33	20	62	49	32	42	54	33	36	27	32	32	52	32	39	32	32	32	22	32	43	60	41	25	31	56	9	60	32	16	32	32	32	32	32	49	32	32	32	54	0	0	0	41	0	58	19	57	36	41	71	84	36	22	40	0	28	79	54	27	1	2	1	2	1	2	1	2	1	2	2	4	2	3	1	3	1	2	1	4	4	3	2	5	5	1	8	9	5	6	1	6	3	13	9	9	2	1	2	2	14	4	5	9	4	9	2	1	7	1	1	4	2	4	5	9	1	7	3	6	7	5	10	8	3	1	1	8	5	1	13	2	10	12	11	11	13	10	14	5	15	13	18	11	1	1	1	9	1	9	22	12	20	11	10	4	19	21	13	1	30	8	10	17
2000	-934.504911659656045	-941.360399610615445	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.183144725593144	-1	1	2	2	2	4	4	3	4	6	7	9	7	6	10	11	11	10	12	12	15	14	17	15	20	18	23	22	22	21	24	21	23	27	27	28	29	28	27	28	30	31	30	28	31	32	32	32	32	29	32	32	31	32	32	33	33	31	33	34	34	34	34	35	35	35	35	37	35	36	34	36	39	35	38	37	39	39	38	40	41	45	47	47	48	49	52	51	49	53	53	53	55	55	54	57	58	58	57	57	57	58	55	61	0	1	1	1	1	3	1	2	5	8	4	5	6	6	8	9	14	14	18	14	17	15	7	19	20	0	32	6	11	24	0	24	21	29	3	9	34	33	24	33	19	50	32	22	44	11	37	42	36	35	35	36	44	28	32	32	33	32	34	27	58	49	43	36	28	54	2	14	36	43	24	49	27	18	58	27	27	43	56	78	58	43	56	61	0	0	0	84	0	85	26	35	52	68	68	90	66	16	67	0	24	75	74	35	1	1	1	2	2	1	2	2	1	1	2	4	2	1	4	3	4	2	1	4	2	2	6	2	5	1	1	8	8	4	1	3	4	2	11	13	1	2	5	2	8	2	6	9	1	15	1	1	3	1	2	2	2	4	5	7	5	7	4	6	1	1	2	3	8	1	19	15	4	2	9	1	9	12	4	8	10	7	4	1	6	12	12	6	1	1	1	3	1	3	17	15	23	8	8	3	16	24	8	1	29	11	8	14
2500	-850.008328027407401	-856.863815978366802	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.191003067449330	-1	1	2	0	1	5	2	3	6	6	7	8	6	8	10	11	11	11	11	12	14	14	17	15	19	18	20	22	22	22	23	23	26	25	27	28	28	30	29	30	30	30	28	30	32	31	33	33	31	31	32	32	31	32	29	33	33	32	34	33	34	32	34	35	36	35	34	38	35	37	35	35	38	38	37	38	39	38	39	39	41	44	47	47	47	50	50	51	50	54	53	52	56	55	55	56	57	57	57	56	58	59	57	61	0	1	4	1	1	2	1	7	7	8	7	2	6	7	9	15	3	11	15	6	19	11	20	20	19	0	22	23	9	23	0	7	25	22	15	12	24	35	23	20	30	36	32	28	53	33	50	55	32	42	38	42	27	37	32	32	42	32	40	43	48	55	53	43	22	50	19	18	51	60	48	35	32	43	48	32	60	55	60	45	70	32	44	73	0	0	0	47	0	87	78	67	65	54	74	85	40	43	40	0	12	57	68	37	1	1	1	1	1	2	2	1	2	2	2	3	1	2	2	1	5	2	1	4	2	4	2	1	4	1	4	3	6	3	1	8	4	4	7	11	9	2	7	11	5	1	3	6	1	3	1	2	3	1	2	1	5	2	2	6	1	4	2	3	1	1	2	4	11	1	11	12	2	3	1	3	8	7	3	9	5	4	3	3	2	12	10	6	1	1	1	9	1	2	7	10	12	12	10	5	16	14	12	1	27	13	8	21
3000	-925.553531008486061	-932.409018959445461	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.230992742385946	-1	2	3	3	1	5	3	4	6	6	8	8	6	9	9	11	11	10	11	12	14	15	16	15	20	19	23	22	22	23	23	23	25	27	27	28	29	29	29	29	30	30	28	30	31	32	31	32	32	31	31	33	32	30	31	33	33	32	33	33	35	33	34	34	35	36	35	37	34	36	36	36	38	38	36	38	38	38	39	41	41	44	46	47	48	49	51	52	50	52	54	53	56	52	55	56	57	57	57	58	58	57	58	62	0	1	5	5	1	5	5	2	1	6	9	8	7	13	10	13	14	13	14	2	16	17	16	13	16	0	13	12	14	16	0	20	30	16	29	15	43	29	23	25	43	29	32	36	54	30	43	42	55	24	34	35	50	37	32	32	49	32	50	43	58	49	57	41	44	67	21	49	53	61	65	32	32	49	58	32	43	49	43	35	77	43	41	66	0	0	0	79	0	85	83	44	40	27	34	74	65	77	36	0	24	82	65	52	1	2	1	2	1	4	2	1	4	1	1	2	1	1	2	2	1	2	1	6	1	1	3	5	3	1	8	7	6	5	1	5	1	9	4	10	1	4	6	4	1	3	2	1	1	4	1	1	1	6	2	3	1	1	2	5	1	5	1	1	2	1	1	3	4	1	11	3	2	1	1	6	7	3	2	9	6	2	6	6	2	9	11	8	1	1	1	6	1	3	5	12	9	6	9	8	13	10	12	1	23	6	10	21
3500	-772.227189734769695	-779.082677685729095	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.295896223969903	-1	1	3	2	2	5	3	5	5	7	6	8	7	8	9	12	10	10	11	11	13	15	15	14	21	17	23	21	22	22	23	24	25	26	26	26	28	29	30	29	30	29	29	30	31	32	33	33	33	32	33	32	29	33	31	33	33	34	33	34	35	34	35	36	34	34	33	37	35	36	36	37	38	37	37	37	39	38	40	39	41	44	46	47	48	50	51	51	50	53	53	53	55	54	55	56	57	57	57	57	59	59	58	62	0	1	1	1	1	5	2	5	7	7	7	4	3	6	12	20	14	11	14	11	17	17	24	10	13	0	26	8	23	12	0	31	22	12	31	15	32	28	20	30	33	25	31	36	53	39	27	38	55	24	30	42	36	38	30	55	44	55	45	41	60	56	42	55	59	51	12	46	36	66	39	64	56	69	55	62	43	64	60	56	60	76	60	81	0	0	0	75	0	87	82	71	44	69	67	85	74	39	69	0	39	93	30	51	1	2	2	1	2	2	1	1	1	2	1	5	2	2	1	1	2	2	1	2	1	1	1	3	7	1	3	8	4	7	1	1	3	9	1	8	1	3	10	3	3	4	5	2	1	1	4	2	2	9	6	2	1	2	2	1	1	2	1	2	1	1	2	1	1	1	13	3	3	1	4	1	3	1	3	2	6	1	4	3	2	5	6	4	1	1	1	7	1	1	6	9	11	7	10	5	13	14	13	1	18	1	17	15
4000	-788.197977322246516	-795.053465273205916	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.277516008213555	0	2	2	2	1	3	4	4	5	6	8	8	7	5	9	12	11	8	11	10	15	15	16	16	19	18	22	22	23	21	23	24	25	26	24	27	27	30	29	29	30	30	30	30	31	31	32	32	32	33	33	32	30	32	30	32	33	32	33	33	35	34	35	35	35	35	34	38	35	37	35	34	39	37	37	35	38	38	38	39	41	45	44	48	49	49	51	48	51	54	53	52	55	56	55	56	57	57	57	57	59	58	56	61	0	1	1	1	1	1	4	2	5	2	7	9	14	6	7	9	20	14	7	2	13	17	16	20	9	0	18	19	28	23	0	31	22	27	5	28	30	27	24	32	23	33	31	34	28	37	35	42	37	37	37	42	28	32	31	55	46	31	26	58	43	55	47	49	57	52	53	57	56	61	51	35	55	76	49	55	60	64	43	68	77	79	81	32	0	0	0	53	0	91	73	51	36	36	63	89	39	52	34	0	63	83	27	51	1	1	1	1	1	1	1	2	3	2	2	2	1	1	3	3	1	1	4	5	4	2	2	2	5	1	8	4	1	2	1	1	5	3	12	2	3	5	7	3	6	2	4	2	6	2	4	1	2	3	3	1	4	4	3	1	1	3	6	1	1	2	1	2	1	2	3	3	1	1	1	3	4	1	2	2	2	2	3	1	1	5	2	12	1	1	1	10	1	1	7	9	18	15	12	2	9	14	19	1	17	7	21	14
4500	-834.620464572727315	-841.475952523686715	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.252158139628508	0	2	2	3	1	5	2	4	6	6	7	8	8	7	11	12	10	11	11	11	15	15	17	15	20	18	22	22	23	22	24	25	24	26	27	27	28	30	30	28	30	30	30	31	30	32	33	31	30	33	31	33	32	32	32	33	33	34	34	33	35	34	34	36	36	35	35	36	35	37	35	35	39	37	38	36	38	38	38	40	40	44	47	47	47	48	50	51	50	53	53	53	56	56	52	56	56	57	57	58	59	58	57	61	0	1	1	5	1	5	5	2	6	8	5	11	9	5	11	18	6	7	14	14	17	17	12	12	21	0	3	25	20	25	0	31	24	32	6	34	18	23	19	29	37	34	32	37	28	23	33	36	36	42	35	41	15	39	49	49	42	55	43	35	60	49	57	58	62	41	41	59	38	43	54	49	72	21	62	62	43	64	41	53	77	81	81	70	0	0	0	41	0	87	76	51	51	27	52	85	80	63	69	0	66	30	80	67	1	1	1	1	1	2	1	1	1	1	4	1	2	4	2	1	3	3	2	2	2	2	5	4	2	1	9	1	5	2	1	1	5	1	10	1	8	7	9	4	1	3	3	2	4	9	5	2	1	1	1	2	10	1	1	1	2	1	1	3	1	3	1	1	1	4	5	2	1	3	1	4	2	12	2	1	5	1	2	5	1	2	5	4	1	1	1	12	1	2	8	12	14	19	5	4	9	12	9	1	14	21	7	11
