step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74
1	-1401.680480788790874	-1400.218398704271976	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.810260277530748	1	3	4	5	7	10	11	11	14	12	13	14	14	16	16	19	15	18	17	16	17	19	18	18	19	18	18	18	19	20	20	20	19	19	20	23	22	22	22	22	22	24	24	24	25	25	25	25	25	26	26	27	26	27	27	26	29	28	28	30	30	30	30	32	32	32	33	34	34	34	34	35	37	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	5	5	5	7	6	6	7	7	8	8	9	7	9	8	8	8	9	9	9	9	9	9	9	9	10	10	10	9	9	10	11	11	11	11	11	11	12	12	12	12	12	12	12	12	13	13	13	13	13	13	13	14	14	14	15	15	15	15	16	16	16	16	17	17	17	17	17	18	20
500	-756.604707216283828	-754.385723889741030	-2.218983326542787	0.000009985670822	0.000029260771131	2.930275957775716	0.262352161675863	2	4	5	4	7	9	11	12	13	12	10	14	14	17	17	19	15	17	17	14	16	17	18	17	19	19	15	18	18	19	21	21	18	20	19	22	21	22	23	21	23	24	24	21	25	25	25	25	25	25	26	25	27	27	28	26	29	26	29	29	30	31	31	33	33	32	33	34	34	32	35	36	38	40	0	1	4	1	2	3	5	11	4	6	3	10	2	17	1	13	2	12	10	8	9	1	21	13	27	2	2	21	3	15	25	30	13	35	11	1	18	22	27	9	1	36	38	2	44	44	10	1	36	2	49	32	26	12	36	38	42	2	36	56	9	27	58	40	1	3	60	60	30	38	20	51	34	49	1	1	1	1	1	2	4	1	4	2	3	1	5	1	6	3	4	1	2	1	2	6	1	2	2	7	4	1	7	1	2	1	2	1	4	7	1	3	4	5	8	1	1	7	2	2	7	11	2	9	1	2	3	11	3	2	3	9	3	1	11	10	3	6	18	10	2	3	5	3	18	3	8	9
1000	-481.528271448799956	-479.139865428541498	-2.388406020258434	0.000010036562527	0.000034319305732	3.419428279353928	0.249182798587974	1	4	3	6	8	11	12	10	15	12	13	13	12	17	16	19	14	16	17	16	17	19	19	18	20	18	18	18	19	20	20	20	19	20	20	23	21	22	22	23	23	24	24	25	26	25	25	26	23	26	27	27	25	27	27	27	29	27	28	30	28	31	30	32	32	32	33	34	34	32	32	35	36	40	0	3	1	1	2	3	2	5	6	2	1	3	6	17	1	13	3	4	6	17	10	2	14	15	27	1	10	17	3	6	1	13	10	33	2	6	29	22	13	1	33	24	34	2	36	40	43	3	10	2	15	42	32	6	2	18	59	14	55	32	3	55	36	15	27	20	42	60	34	44	3	66	38	34	1	1	1	2	1	4	4	1	4	4	5	6	1	1	7	4	5	6	2	2	2	9	1	1	1	9	2	2	7	3	10	4	2	1	8	9	1	2	4	10	2	4	2	10	2	1	1	11	5	9	3	2	2	7	5	5	1	6	1	5	12	2	4	9	8	10	5	3	6	4	15	2	8	10
1500	-779.626925175253177	-777.521884814552209	-2.105040360700968	0.000010006395171	0.000026199305042	2.618256084820244	0.251078748591560	2	3	5	4	6	10	11	9	15	11	13	12	14	17	16	19	15	18	15	17	17	19	18	18	18	18	19	19	19	21	21	19	19	16	20	23	21	23	22	21	20	23	23	24	26	24	25	25	25	24	26	26	27	27	26	26	29	28	29	30	31	30	29	31	31	32	33	33	33	34	34	35	37	40	0	1	4	2	2	3	8	3	7	6	7	6	2	13	10	10	1	11	8	11	15	1	9	20	9	3	1	14	1	8	1	21	2	6	2	3	3	22	30	3	12	15	5	15	23	37	28	31	24	8	43	12	3	37	37	43	32	37	31	54	34	37	44	3	19	62	36	48	61	58	61	66	46	44	1	1	1	1	1	2	1	2	2	1	1	1	5	2	2	3	7	2	3	3	1	8	2	1	2	9	9	1	9	6	9	1	7	2	7	10	9	3	1	7	3	4	6	5	4	2	3	3	4	7	2	7	10	3	5	1	4	4	3	2	12	5	1	12	7	1	5	4	1	2	2	2	7	6
2000	-568.033872158276154	-565.570030391100090	-2.463841767176032	0.000009909873763	0.000036147793472	3.647654282732627	0.272791868252150	1	3	5	6	8	10	11	12	14	13	13	15	14	17	14	20	15	19	17	15	16	20	17	18	17	18	18	19	20	20	20	21	20	19	20	23	21	22	21	22	22	25	25	22	25	25	23	26	24	27	25	28	24	27	25	24	29	28	28	31	30	31	31	32	33	32	33	35	34	35	33	35	38	40	0	1	2	3	2	5	3	1	1	4	2	6	1	6	2	11	2	19	13	8	1	3	11	20	6	8	3	9	6	8	28	34	25	14	8	31	3	37	8	14	33	47	44	39	32	30	22	9	35	56	38	42	2	42	38	23	53	18	27	29	1	59	22	32	54	59	40	44	33	69	51	28	70	66	1	2	1	1	2	1	3	5	6	3	5	3	7	4	5	4	7	1	2	2	6	8	2	1	4	3	6	3	7	7	1	1	1	1	3	2	8	1	6	2	1	1	3	1	2	3	2	9	2	3	2	1	13	2	2	4	3	5	5	5	13	2	6	6	3	2	5	8	8	1	5	8	2	2
2500	-526.168228392793367	-523.604371488067272	-2.563856904726147	0.000009997614338	0.000039597947124	3.960739611184235	0.349534918921355	1	4	5	5	8	11	12	12	14	13	13	15	13	16	13	17	13	18	17	16	17	20	19	17	19	17	15	19	18	21	20	18	18	19	19	20	22	21	22	22	21	24	25	24	26	25	25	24	25	27	27	27	27	27	27	26	28	28	29	31	31	30	29	31	32	32	33	35	34	35	34	36	37	41	0	1	2	1	1	2	2	6	3	3	6	4	2	13	3	7	2	11	20	11	10	15	21	8	11	12	3	27	6	3	28	11	10	6	7	14	22	19	31	6	25	11	39	37	42	36	31	2	31	32	23	46	10	20	2	18	16	18	55	25	8	55	53	57	30	36	63	55	57	67	48	64	67	59	1	1	1	1	4	3	4	1	5	3	2	5	4	2	3	3	4	2	1	1	2	3	1	2	2	1	4	2	3	7	1	4	3	4	2	4	1	2	1	3	1	6	2	1	2	4	2	6	2	6	5	1	8	3	7	4	5	5	1	6	13	1	1	2	5	5	2	3	3	1	5	2	2	5
3000	-546.661074936619457	-544.562704531542522	-2.098370405076888	0.000010230767462	0.000026603925055	2.600384101556788	0.288211557835783	1	3	5	5	8	10	11	11	11	13	13	13	13	15	16	19	15	19	18	16	18	20	18	17	20	19	18	18	20	20	20	21	19	20	20	23	22	22	21	23	23	25	23	24	25	25	26	26	24	24	25	27	26	28	27	26	28	27	27	30	31	31	29	32	31	32	33	33	34	33	34	35	37	40	0	1	2	2	2	5	3	6	3	8	3	7	2	4	1	7	3	20	20	10	9	28	13	13	18	21	24	2	23	28	12	28	1	20	28	2	14	24	29	14	2	38	31	21	40	21	37	3	28	3	23	40	14	59	3	42	23	39	3	51	27	59	48	55	53	63	62	24	58	58	28	19	45	69	1	1	1	1	3	1	3	1	3	1	4	1	5	6	7	3	4	2	1	2	4	2	2	1	1	1	1	7	1	1	3	2	8	2	1	9	3	4	1	4	7	2	1	3	1	4	3	11	3	10	2	2	7	1	10	1	4	3	6	2	11	2	2	3	2	2	1	9	3	2	6	7	6	4
3500	-591.265883501684357	-589.293482026894594	-1.972401474789790	0.000010498708351	0.000023836006024	2.270375100254796	0.212897967434837	1	3	4	5	5	9	11	10	14	11	12	14	14	15	17	19	16	18	17	15	18	19	19	17	19	18	19	15	19	20	20	19	20	18	20	24	23	22	22	23	23	24	24	24	26	25	25	24	25	26	27	27	25	26	27	27	27	29	29	31	29	31	30	31	32	32	33	34	35	34	35	35	37	39	0	1	1	2	2	2	1	4	1	8	6	7	3	11	1	17	2	14	14	2	15	34	19	13	12	2	12	6	3	18	2	21	6	2	2	8	17	26	29	9	1	17	23	8	29	48	32	2	41	10	49	44	3	2	9	41	37	20	3	29	24	59	57	55	55	62	64	54	53	39	34	42	44	61	1	1	1	1	1	3	6	3	9	1	2	2	5	2	8	2	6	2	1	6	1	1	1	2	3	6	3	5	6	2	8	1	3	7	8	7	3	2	2	6	12	4	2	9	4	1	2	11	1	9	1	1	9	10	8	2	2	11	12	5	9	1	1	2	2	1	1	4	7	6	13	4	7	5
4000	-515.277826966418047	-512.717462549112952	-2.560364417305102	0.000010973560482	0.000043341173655	3.949599924990351	0.281318200753652	2	4	5	6	8	9	12	11	13	12	12	14	15	16	16	19	15	18	17	16	18	19	19	19	20	18	18	17	19	20	21	19	19	18	20	24	22	22	22	23	22	24	23	24	24	26	26	25	25	26	27	27	25	28	27	27	28	27	28	31	29	31	30	32	33	32	32	34	33	33	35	35	37	38	0	1	1	2	2	5	3	5	3	8	2	9	2	6	3	9	1	14	1	6	14	8	17	10	23	20	3	11	2	1	11	27	13	14	2	23	21	21	14	3	33	13	18	3	34	36	43	1	12	3	20	53	2	39	3	36	46	3	24	33	36	59	49	39	58	36	50	69	25	42	55	62	64	54	1	1	1	1	2	1	6	1	4	1	4	1	5	3	6	3	6	1	8	4	1	5	3	3	1	2	6	2	8	8	4	1	1	1	8	3	2	1	2	4	2	4	4	9	4	1	1	12	5	9	4	1	12	3	6	2	1	11	4	5	2	1	2	6	2	5	3	1	7	5	6	4	2	5
4500	-521.153427132046886	-519.449739125803717	-1.703688006243210	0.000012534678278	0.000020107553913	1.604153969326491	0.230200371600943	2	4	3	5	7	10	12	10	15	13	14	14	14	16	16	19	12	16	18	16	18	20	17	19	20	19	18	17	18	20	20	20	19	19	21	22	22	22	22	22	22	24	23	24	25	24	25	25	24	24	26	27	26	27	25	26	29	28	29	30	27	31	31	31	32	31	32	32	35	35	34	33	36	41	0	3	1	2	1	4	5	3	1	8	8	7	3	13	12	8	1	12	6	12	10	3	9	27	27	8	8	7	14	2	27	34	20	15	3	1	28	19	27	30	33	36	35	30	30	31	41	8	20	1	35	29	2	36	3	46	35	2	24	57	48	59	31	25	36	2	48	54	19	57	48	49	37	23	1	1	1	1	2	2	3	5	6	2	2	1	5	1	1	6	6	1	3	1	2	8	2	1	1	5	3	3	1	9	1	1	1	1	9	6	3	2	2	1	3	2	1	2	2	3	2	8	4	9	2	5	12	2	10	1	3	12	7	1	1	1	5	6	4	8	3	2	9	3	4	4	6	13
