step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115
1	-3613.132410182741751	-3611.670328098222853	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.989245466477526	0	0	3	2	3	2	5	5	4	3	4	4	6	5	5	6	8	9	7	5	7	8	8	9	8	8	8	8	10	9	10	9	9	10	10	9	11	9	10	10	11	9	11	11	11	11	11	11	11	12	12	12	12	11	12	13	13	12	12	12	13	12	12	14	14	13	14	13	15	14	14	14	14	15	14	15	15	15	16	16	17	15	15	18	15	17	17	17	18	16	18	18	17	20	19	19	21	22	27	29	29	30	30	31	32	33	32	32	33	33	33	34	35	36	36	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	3	3	2	2	2	2	3	3	3	3	4	5	4	3	4	4	4	5	4	4	4	4	5	5	5	5	5	5	5	5	6	5	5	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	7	6	6	7	7	7	7	7	8	7	7	7	7	8	7	8	8	8	8	8	9	8	8	9	8	9	9	9	9	8	9	9	9	10	10	10	11	11	14	15	15	15	15	16	16	17	16	16	17	17	17	17	18	18	18
500	-651.594175376232329	-646.293135135429111	-5.301040240803246	0.000009985637040	0.000190120420970	19.039388294126809	0.425293282717008	0	1	3	2	4	1	5	5	5	3	4	5	6	5	6	7	6	10	7	6	8	8	7	9	8	8	7	9	9	9	10	9	9	10	10	10	12	9	10	10	12	9	12	11	11	11	12	11	10	13	13	12	13	11	12	13	13	13	12	10	13	11	13	14	14	14	15	13	16	14	12	14	12	16	14	16	14	15	14	16	17	16	15	18	15	17	18	15	19	16	19	17	16	20	19	20	21	22	27	29	28	31	29	31	32	33	31	29	32	30	33	32	35	35	36	0	1	6	1	3	1	10	4	2	1	4	2	7	3	11	8	2	15	14	7	16	13	12	5	6	3	3	16	10	23	42	22	7	22	20	13	20	16	15	4	49	10	20	42	11	20	35	22	21	54	16	60	34	29	45	11	35	60	9	15	45	14	33	51	50	40	11	32	60	7	20	47	10	19	17	64	47	51	47	65	79	53	71	58	45	62	52	77	37	48	76	78	42	79	55	46	84	69	95	93	70	110	95	26	99	0	85	88	0	80	98	81	103	34	87	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	2	2	1	2	1	1	1	3	1	2	2	3	1	2	5	1	2	3	1	5	2	1	2	1	1	4	1	1	1	1	6	3	2	4	2	1	3	3	1	1	2	6	2	4	4	3	1	2	4	5	1	1	1	1	1	2	1	1	3	2	3	4	1	4	2	2	1	5	2	3	5	2	3	4	7	5	1	4	9	3	1	6	7	1	5	6	7	4	12	7
1000	-538.555191115777006	-535.173402361733906	-3.381788754043152	0.000009980621785	0.000070190233503	7.032651373168439	0.387934598275132	0	1	3	3	4	2	5	5	5	3	4	4	6	6	5	7	8	9	6	5	7	8	8	9	7	8	8	8	8	9	10	9	9	9	10	9	12	9	10	10	11	9	12	10	10	11	11	10	11	11	12	12	13	11	13	13	14	13	11	12	13	13	13	15	14	13	14	13	15	14	14	14	13	16	13	16	15	15	15	15	16	14	14	17	14	17	17	17	17	16	19	19	18	20	19	19	21	22	27	28	30	31	31	32	33	33	32	31	33	34	33	34	35	36	35	0	1	2	1	4	2	11	10	5	2	10	2	12	7	6	9	11	22	4	3	8	4	8	10	2	4	11	14	25	14	23	26	22	20	32	13	48	16	20	27	26	2	30	10	24	9	26	32	24	22	16	46	7	38	29	41	52	50	21	31	30	33	59	10	75	32	17	28	18	45	8	42	18	28	24	57	68	62	36	14	65	37	26	54	52	85	19	12	28	72	58	25	79	47	44	74	91	48	93	96	83	99	98	4	98	0	88	74	0	77	29	82	104	39	97	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	3	4	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	2	5	2	4	1	4	2	1	1	2	2	1	5	1	2	1	1	1	1	2	2	2	1	4	1	3	4	2	5	2	4	3	1	4	2	1	1	1	3	3	1	1	3	2	1	1	3	5	5	1	5	8	2	3	5	1	1	5	4	4	7	2	5	15	6	1	8	5	1	9	13	8	1	11	9
1500	-618.239301071956106	-616.173741008089564	-2.065560063866497	0.000009975584700	0.000025069374393	2.513073182885538	0.387259102509305	-1	0	3	3	4	1	5	6	3	3	4	5	7	5	5	5	5	8	8	5	7	8	8	9	7	9	8	8	10	10	11	8	9	10	10	9	11	10	10	10	11	9	11	12	11	12	11	11	10	12	11	12	13	12	9	13	11	13	11	11	13	13	12	14	14	13	13	13	15	14	14	15	15	15	14	15	15	15	17	16	18	16	15	18	13	17	17	17	18	16	19	19	17	20	18	19	21	21	27	29	28	30	30	32	33	34	32	33	33	32	34	35	36	36	36	0	1	6	6	1	2	10	3	2	6	2	6	17	4	5	2	9	3	25	9	16	14	17	6	5	20	15	21	23	21	7	14	28	11	33	17	19	55	26	13	33	27	33	28	35	19	42	30	1	38	23	29	44	26	5	15	26	51	23	3	30	22	16	22	24	52	21	63	65	33	46	8	50	34	20	61	63	35	76	26	15	53	70	46	36	36	20	83	9	35	82	11	76	84	50	64	78	67	96	8	46	101	86	84	92	0	31	94	0	98	78	35	99	64	106	1	1	1	1	3	1	1	1	1	1	2	2	2	1	1	3	1	2	1	1	1	2	2	4	1	2	1	1	1	1	3	3	1	4	1	2	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1	1	1	2	4	3	1	1	1	3	2	3	3	5	2	1	2	1	1	2	2	4	2	3	4	1	2	2	1	4	8	1	1	3	1	4	5	1	9	2	2	8	1	1	3	3	3	3	3	10	8	1	5	5	8	1	12	6	1	5	6	12	5	10	1
2000	-672.990817959725064	-670.910214342918948	-2.080603616806060	0.000009901187099	0.000025277550072	2.552981760558747	0.508492159223573	-1	1	2	2	4	3	5	5	5	3	5	3	6	5	5	7	8	9	7	6	8	5	9	9	7	8	8	8	11	8	10	10	8	11	10	8	11	9	10	10	12	9	11	10	11	12	11	11	11	12	12	12	13	12	13	14	12	12	12	13	14	12	13	13	14	14	13	12	15	15	15	15	14	14	14	15	15	14	16	14	18	15	14	17	16	16	18	17	18	15	18	19	16	21	18	19	20	22	27	30	26	31	30	31	31	33	32	30	33	33	32	33	33	36	36	0	1	1	2	10	2	1	10	3	1	12	2	8	12	2	20	20	17	22	1	12	12	2	27	8	4	14	16	18	10	18	4	9	21	26	11	23	22	17	23	44	17	7	5	39	25	2	39	13	38	17	9	37	34	14	50	22	25	13	48	24	19	3	47	52	67	62	31	51	74	51	78	48	47	10	55	62	62	56	51	23	66	52	37	58	78	57	69	78	78	65	82	60	85	11	61	30	95	97	101	95	99	59	91	51	0	92	70	0	100	97	75	104	96	107	1	2	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	3	2	1	3	1	1	3	2	1	1	3	1	4	1	1	1	1	1	2	1	1	1	1	3	2	1	3	5	1	2	2	2	4	1	1	4	1	2	1	2	2	3	2	5	1	1	1	1	2	2	1	3	1	2	1	5	1	1	1	1	1	4	1	2	3	2	1	4	1	2	1	3	2	2	3	6	2	8	1	3	3	3	2	9	7	8	1	6	8	1	1	5	8	1	7	2
2500	-697.766017860257421	-694.887196157091353	-2.878821703166026	0.000010043628066	0.000050523880924	5.030441249916680	0.460642110067014	-1	0	3	2	3	1	4	5	4	3	5	4	6	5	6	6	9	10	8	5	8	8	6	8	8	8	8	8	10	8	11	10	10	11	10	8	11	9	10	11	12	10	9	12	11	11	11	10	12	10	13	10	13	12	11	13	13	13	13	12	13	13	12	11	13	12	13	13	15	14	12	14	15	15	13	15	15	15	17	15	18	14	15	17	13	18	17	17	19	15	18	19	15	20	18	20	22	23	27	29	27	31	30	31	32	33	31	31	33	32	32	35	35	37	35	0	1	6	6	4	1	6	3	3	1	6	3	20	4	8	1	15	19	11	5	23	5	5	11	7	13	8	23	2	10	42	24	5	28	21	11	35	21	2	35	42	1	9	28	28	52	48	19	10	13	44	7	29	48	25	23	22	30	10	48	19	27	15	28	9	34	13	24	58	68	42	57	65	8	3	59	62	35	69	13	45	62	75	48	10	83	1	35	29	75	78	38	66	84	65	88	80	95	80	101	86	103	86	81	101	0	99	88	0	103	89	99	102	105	99	1	1	1	1	1	1	2	1	1	3	2	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	2	1	2	2	1	1	4	1	1	1	1	1	5	1	1	4	2	2	1	1	1	1	4	2	1	3	1	1	2	3	3	2	5	1	2	3	3	2	5	1	3	3	1	1	1	1	1	3	5	1	2	3	1	5	2	1	1	3	4	2	8	3	5	1	2	6	1	1	2	2	5	2	6	1	4	1	6	5	3	1	3	7	1	1	5	5	1	3	5
3000	-551.164388124708807	-548.177515256070819	-2.986872868637981	0.000009993060228	0.000054248859027	5.428653264485028	0.413993718813178	0	1	4	3	2	2	5	4	4	3	4	5	7	3	5	5	8	9	6	5	7	7	8	10	8	7	8	8	10	9	9	9	10	9	10	9	12	9	10	10	12	9	12	11	12	11	11	11	11	12	12	13	13	10	13	14	14	12	12	11	14	12	13	14	15	13	14	14	16	15	14	14	14	14	14	16	16	16	16	15	17	15	15	18	15	17	17	18	19	17	18	19	18	20	19	19	22	21	28	29	29	31	30	31	31	33	33	32	32	33	31	31	35	37	34	0	1	6	1	1	1	6	5	4	2	1	1	19	2	9	10	20	25	4	10	2	8	9	18	22	5	5	13	11	10	13	7	42	21	25	19	3	26	18	36	23	15	25	31	32	31	28	24	28	31	23	35	46	42	39	44	62	38	23	27	38	31	15	33	28	39	25	41	45	63	1	29	40	4	41	53	40	64	61	58	39	63	17	75	40	29	2	46	51	24	83	13	53	56	33	33	52	21	84	84	41	100	82	50	60	0	102	52	0	104	53	49	103	113	97	1	1	1	2	1	1	1	1	1	1	2	3	1	1	1	2	1	1	2	1	3	2	3	1	1	3	3	1	4	4	1	2	1	1	1	1	4	1	1	1	2	3	3	1	1	1	2	1	2	1	2	2	1	1	2	2	1	2	2	1	2	1	4	1	4	2	3	1	2	1	5	2	2	4	1	2	3	1	2	2	2	1	2	2	2	4	8	3	3	3	2	5	2	4	3	4	4	5	5	6	7	1	7	9	11	1	1	9	1	1	8	9	3	1	4
3500	-562.114999696265045	-560.011007973792289	-2.103991722472751	0.000010128049892	0.000026489342282	2.615443502290678	0.429289806716742	-1	1	3	3	3	2	4	4	5	3	4	5	6	4	5	6	8	8	7	5	7	8	8	7	7	8	8	8	10	9	10	10	9	10	10	9	11	10	9	10	10	9	9	11	11	10	11	11	12	12	11	12	13	10	13	14	12	12	12	11	14	13	13	13	15	13	15	13	16	14	14	14	14	15	14	15	16	16	16	16	17	15	16	18	15	17	18	16	19	16	16	18	17	20	19	20	21	22	27	29	29	31	30	31	32	33	32	31	33	34	33	35	36	36	37	0	1	6	2	6	1	4	6	10	1	2	5	5	3	14	10	10	12	11	8	15	20	11	15	6	4	11	4	23	17	43	33	25	11	17	3	41	15	11	21	5	7	9	26	54	9	31	36	27	24	15	25	47	42	45	46	29	60	60	41	55	19	51	27	17	42	58	11	32	35	41	39	2	58	28	40	41	54	22	65	76	52	54	32	4	76	80	48	65	56	31	52	78	67	74	76	84	74	84	65	57	101	100	91	37	0	100	84	0	111	98	89	110	107	110	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	2	2	1	5	2	2	3	1	1	1	1	1	2	1	2	1	2	5	2	3	3	2	1	1	3	1	1	2	2	3	3	1	1	1	2	1	1	1	1	1	3	1	3	3	2	1	3	3	3	2	2	4	1	3	3	2	2	3	1	1	2	4	4	5	1	2	2	2	1	4	3	1	2	2	3	1	2	4	8	7	1	1	6	11	1	2	5	1	1	6	6	1	1	2
4000	-586.143779370255061	-583.279944459875082	-2.863834910379997	0.000009857918468	0.000049058063524	4.976513417499647	0.387834467514936	0	1	4	2	3	2	4	5	4	4	4	4	6	5	6	5	8	8	6	5	8	8	8	9	7	9	9	8	10	8	10	9	9	10	9	10	11	10	10	10	11	10	11	11	10	11	11	10	11	13	13	12	13	11	11	14	13	10	12	12	12	13	12	12	14	13	14	13	13	14	14	14	14	14	13	14	15	14	16	14	17	15	15	17	15	18	18	17	17	17	16	18	17	19	19	19	22	22	25	30	29	31	30	31	32	33	33	33	33	33	32	34	35	35	37	0	1	1	1	2	2	6	4	4	1	4	4	10	10	10	1	25	16	1	4	7	19	7	21	20	2	8	9	3	19	11	19	21	5	2	13	30	23	22	26	40	18	33	45	10	11	13	33	8	38	23	34	39	11	21	55	41	5	32	48	38	5	42	11	10	46	61	5	29	47	55	12	60	22	1	54	49	63	40	60	69	29	54	70	28	23	20	33	3	59	40	70	53	84	24	93	94	70	41	20	68	101	101	81	61	0	99	101	0	102	56	97	107	108	113	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	2	2	2	1	2	1	1	4	2	2	4	1	3	2	1	3	4	2	1	1	1	1	1	1	1	1	2	5	2	1	4	1	2	1	1	3	3	2	1	3	1	1	1	4	1	4	3	1	1	5	1	2	2	5	1	3	5	1	2	1	3	1	2	3	2	3	4	3	7	3	6	2	2	2	2	2	4	1	2	5	6	11	9	1	1	6	11	1	4	3	1	1	8	6	1	1	1
4500	-603.741716781064952	-601.852145088517432	-1.889571692547540	0.000009366914625	0.000019300024501	2.060446291383421	0.434707110243267	0	1	4	2	3	1	5	4	3	4	4	4	7	6	6	5	9	9	7	5	8	8	8	10	7	7	9	7	10	10	10	9	9	10	8	8	10	10	8	10	11	6	12	11	12	11	11	12	11	12	12	11	12	11	12	13	11	13	12	12	11	12	12	13	14	14	13	13	15	15	13	15	14	13	14	15	15	15	17	17	18	14	15	18	16	17	15	16	17	16	17	18	17	20	20	19	21	23	28	29	28	30	30	29	32	33	33	32	32	32	33	34	36	36	36	0	1	1	1	2	1	9	1	4	4	5	9	20	10	3	8	8	25	20	9	11	42	12	21	16	8	14	7	28	39	36	23	16	5	4	15	22	26	11	23	27	10	25	18	21	8	39	13	35	24	19	38	34	20	33	37	18	57	30	22	2	30	14	43	28	53	41	36	41	64	52	62	36	24	14	53	66	51	27	70	48	38	54	52	37	88	17	73	36	66	70	71	77	93	57	40	92	84	55	53	68	99	99	56	75	0	92	102	0	102	70	99	110	106	106	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1	1	2	1	2	1	1	1	1	4	3	1	1	2	3	1	1	1	1	1	2	3	2	2	1	1	3	1	2	3	2	1	1	1	1	2	4	1	3	1	3	2	1	5	3	1	1	1	3	1	5	1	1	2	4	1	3	2	2	4	3	1	2	1	5	1	1	3	1	1	7	4	1	2	8	6	8	1	1	9	9	1	7	1	1	1	10	4	2	2	2
