step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
1	-299.002316624327648	-305.857804575287048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.032245024637604	2	6	10	10	12	12	16	15	17	20	21	22	24	25	30	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	5	5	7	7	8	9	10	10	11	12	14	15
500	-135.401108201370363	-142.256596152329735	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.043294763591843	3	7	10	11	11	12	16	14	18	20	22	22	24	25	29	31	0	1	2	2	2	5	4	2	5	8	10	9	4	10	9	9	1	2	2	1	3	1	3	4	3	4	1	2	8	2	6	7
1000	-123.700309543763893	-130.555797494723265	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.092467398571453	2	6	10	11	12	13	16	16	16	21	22	22	24	25	30	32	0	1	2	1	2	3	4	5	3	3	10	9	3	11	12	12	1	2	2	5	4	1	4	2	5	7	1	3	7	1	4	5
1500	-111.608722914757863	-118.464210865717234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.259246709454753	3	6	10	11	13	13	16	15	17	18	22	22	24	25	30	32	0	1	2	2	3	4	5	6	2	2	10	9	4	11	12	12	1	2	2	3	2	1	2	1	4	8	3	2	6	2	4	6
2000	-106.323292250418021	-113.178780201377393	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542014891086604	2	7	11	9	13	13	16	16	18	20	22	22	24	24	29	33	0	1	4	2	3	4	4	6	2	7	10	9	10	11	12	9	1	3	1	1	2	1	3	2	5	2	1	2	2	1	3	5
2500	-95.783263071559759	-102.638751022519131	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.410588204964918	3	6	10	10	12	13	16	14	17	19	21	23	24	26	30	32	0	1	2	2	4	3	4	2	8	3	10	9	10	11	12	12	1	1	2	2	1	2	3	5	2	4	1	2	3	2	4	5
3000	-100.578471393094603	-107.433959344053974	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552286025327948	2	4	10	11	11	13	16	16	17	20	22	23	24	25	30	32	0	1	2	3	3	3	4	6	3	4	10	9	10	11	12	15	1	1	2	1	1	1	2	1	2	3	2	3	2	2	3	1
3500	-91.717763587796185	-98.573251538755557	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620551170051330	2	6	10	11	13	12	16	15	18	19	21	22	24	25	30	32	0	1	2	3	4	3	4	6	3	3	10	9	10	10	12	15	1	2	2	1	1	1	2	1	4	3	1	2	2	4	3	1
4000	-100.265863682335834	-107.121351633295205	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.432159277996937	3	7	9	11	13	11	16	15	17	19	21	22	24	25	31	33	0	1	2	3	3	2	4	6	8	5	10	9	10	10	12	15	1	2	1	1	2	1	3	2	1	3	1	2	2	4	4	1
4500	-109.547698111388002	-116.403186062347373	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.495403483325920	2	6	9	9	10	13	16	15	18	20	22	22	25	25	28	33	0	1	2	2	2	3	3	6	3	6	10	9	10	11	12	15	1	2	2	1	1	2	3	1	4	4	1	3	4	2	3	4
5000	-109.808743717520230	-116.664231668479601	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.522481995723407	2	6	9	10	11	12	17	14	17	18	21	22	22	26	30	32	0	1	2	3	2	4	4	6	4	7	10	9	10	11	12	12	1	1	1	1	2	1	2	1	3	1	2	2	2	2	3	3
5500	-108.360832648634869	-115.216320599594241	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.359850695650010	1	6	9	10	13	12	16	16	16	19	22	23	23	25	31	33	0	1	2	3	2	3	4	6	6	7	10	9	7	11	12	15	1	3	1	1	2	2	3	3	2	1	2	3	3	2	3	1
6000	-100.226579304335473	-107.082067255294845	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.345451361436287	2	7	11	11	12	12	16	15	17	20	21	23	24	25	31	32	0	1	2	2	4	3	4	6	4	7	10	9	7	11	12	12	1	2	2	2	1	1	3	1	4	2	1	3	5	2	3	3
6500	-112.394797020383820	-119.250284971343191	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.342769381823865	2	4	9	11	13	12	14	15	17	20	22	23	24	25	30	32	0	1	2	2	4	3	4	6	3	3	10	4	10	11	9	15	1	1	1	4	1	2	1	2	3	5	1	6	3	1	6	1
7000	-94.167092311732645	-101.022580262692017	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.494986404303242	3	5	8	10	12	13	16	15	17	20	22	21	24	25	30	33	0	1	2	3	4	3	6	6	6	3	10	9	10	10	12	15	1	1	2	1	1	3	2	1	2	4	1	2	1	3	4	1
7500	-92.522907844509746	-99.378395795469118	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.321482214628791	3	6	10	9	11	13	16	15	18	20	22	21	23	26	30	32	0	1	2	2	4	3	4	6	7	3	10	9	10	11	12	15	1	1	2	2	1	2	5	1	1	4	1	1	2	2	5	1
8000	-121.277804931579198	-128.133292882538569	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.402180524617234	2	7	11	10	13	13	15	16	18	19	21	22	23	25	29	32	0	1	2	2	4	4	4	7	6	3	8	9	10	10	12	15	1	3	2	1	2	1	2	1	3	3	2	1	2	3	4	2
8500	-100.105188309768138	-106.960676260727510	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.475206247141868	2	6	11	10	12	12	17	15	18	20	21	22	25	24	30	33	0	1	2	2	3	4	3	6	8	3	10	9	10	11	12	15	1	3	3	1	1	1	4	2	2	4	1	2	3	2	5	2
9000	-105.275633826914259	-112.131121777873631	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.355996816937514	3	7	10	9	13	12	17	16	17	20	22	22	23	26	31	33	0	1	4	2	2	3	2	2	2	9	10	9	10	11	12	15	1	2	1	1	2	1	4	4	5	2	1	4	1	2	5	1
9500	-111.950606909733864	-118.806094860693236	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.425935785853727	3	5	11	9	11	13	17	15	15	19	21	22	25	25	30	32	0	1	4	2	2	4	8	6	5	6	10	9	5	10	12	15	1	2	1	2	3	2	1	1	2	2	1	2	7	4	4	1
10000	-98.750104599892552	-105.605592550851924	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.472281533304266	2	5	11	9	12	12	17	15	18	21	22	23	23	25	29	32	0	1	4	2	4	4	3	6	6	4	10	9	10	10	12	15	1	1	1	2	1	2	3	2	3	5	1	3	1	2	2	2
10500	-106.686167964445772	-113.541655915405144	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.449652694034390	2	7	10	8	12	13	14	16	17	20	22	22	22	24	29	31	0	1	4	2	2	5	2	6	8	2	10	9	10	11	12	15	1	2	1	1	2	1	5	1	1	6	1	3	1	1	4	1
11000	-109.957435442854489	-116.812923393813861	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.385951768648897	2	7	10	9	12	11	17	15	16	19	22	21	24	24	30	32	0	1	2	2	6	2	8	2	6	4	10	9	8	11	9	15	1	2	2	1	1	3	1	4	3	5	2	3	5	1	6	1
