step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
1	-5643.220010058327716	-5641.757927973809274	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.599499729687919	-1	1	3	2	3	3	5	5	4	5	4	4	6	6	7	6	7	8	7	9	10	10	9	9	10	9	10	9	9	11	10	11	12	10	10	10	11	12	11	12	11	13	13	11	12	12	15	12	13	13	13	15	14	14	15	15	15	16	15	14	15	17	14	16	15	18	16	16	18	18	18	17	17	19	18	20	18	19	18	19	19	19	18	19	20	20	20	19	20	21	20	21	21	21	20	20	21	22	21	21	24	23	24	24	24	26	25	26	26	29	28	29	30	31	33	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	5	4	5	6	6	5	5	6	5	6	5	5	6	6	6	7	6	6	6	6	7	6	7	6	7	7	6	7	7	8	7	7	7	7	8	8	8	8	8	8	9	8	8	8	9	8	9	8	10	9	9	10	10	10	9	9	10	10	11	10	10	10	10	10	10	10	10	11	11	11	10	11	11	11	11	11	11	11	11	11	12	11	11	13	12	13	13	13	14	13	14	14	15	15	15	16	16	17	19
500	-1906.733436989875599	-1904.194774546864210	-2.538662443011494	0.000010030792771	0.000038926679667	3.880718160091141	0.235490336266868	-1	2	3	1	3	3	6	6	4	6	4	3	6	4	7	5	5	6	5	9	11	9	9	8	10	8	11	9	8	11	7	8	13	10	11	10	10	12	9	9	11	14	13	11	12	9	15	13	13	10	13	16	13	13	15	13	14	17	15	11	15	18	15	15	15	18	17	16	19	18	17	18	17	19	18	21	18	19	18	20	19	19	19	18	20	20	20	19	21	22	21	22	22	22	21	17	22	23	22	22	24	24	24	25	24	27	26	27	27	30	29	30	30	31	34	36	0	1	1	1	0	1	5	14	2	4	4	0	3	1	5	14	4	12	6	2	14	17	17	19	31	0	15	16	1	29	19	14	21	22	16	9	2	17	26	9	40	30	31	31	32	7	29	34	37	17	45	28	39	40	25	29	30	31	29	50	39	54	44	35	40	60	39	17	50	50	32	31	39	1	68	60	50	16	57	39	60	44	50	37	60	32	25	65	50	79	37	79	53	50	17	9	17	32	40	68	50	56	19	50	40	84	60	56	96	96	50	96	84	46	96	84	1	1	2	1	1	3	2	1	1	2	2	1	2	2	3	1	2	2	2	2	3	2	2	2	2	1	2	2	4	1	1	2	1	1	2	2	4	4	1	2	1	2	2	3	3	1	5	2	2	2	1	5	2	2	2	3	2	5	6	1	4	4	2	3	4	5	8	8	6	5	6	9	5	11	1	9	7	8	3	8	6	3	7	5	6	7	5	2	8	4	8	3	5	9	14	6	12	12	6	4	10	9	11	13	8	6	9	9	8	9	15	12	11	17	14	13
1000	-1351.630171277095769	-1349.804587605997085	-1.825583671098682	0.000010034170015	0.000019079807578	1.901483386337026	0.232228136159497	-1	1	2	3	3	3	5	6	5	6	5	4	6	3	7	7	6	8	7	8	8	9	10	10	11	9	10	10	9	11	8	10	13	11	10	10	11	12	11	13	12	14	12	11	12	12	15	13	13	10	13	16	13	14	15	14	14	16	16	11	16	18	14	17	15	15	15	16	19	19	18	17	17	19	18	21	18	20	17	19	19	18	19	16	21	21	20	18	20	21	21	21	22	22	21	18	22	23	21	21	24	24	24	25	25	26	25	27	26	30	29	30	28	31	32	37	0	1	1	1	0	3	5	14	2	4	4	0	6	2	5	8	4	12	6	2	8	17	17	13	31	0	5	16	2	36	19	21	21	22	16	9	1	23	26	30	37	30	31	31	32	37	37	22	37	17	45	35	39	37	63	37	20	44	50	50	53	54	43	52	57	60	26	60	60	66	51	31	53	29	66	50	60	35	65	53	60	58	68	37	60	32	44	57	50	79	65	79	67	60	50	84	66	32	37	81	60	57	96	50	99	96	95	96	84	96	50	84	84	84	84	84	1	2	2	3	1	1	1	2	2	2	1	1	2	1	2	1	2	2	3	3	2	2	3	2	3	1	4	2	2	1	1	2	2	2	1	3	5	1	2	2	1	2	2	2	1	1	2	3	1	2	1	2	2	1	1	1	3	3	5	1	2	2	2	1	1	2	5	2	5	4	2	4	2	5	2	7	4	6	1	4	5	2	3	4	6	6	5	3	8	3	4	3	4	5	8	1	6	10	6	1	8	7	3	13	2	5	2	9	6	7	14	13	7	12	12	12
1500	-1194.300106569738091	-1192.447065671510927	-1.853040898227234	0.000010071338280	0.000019834371661	1.969387891551066	0.295820997550909	-1	1	1	3	4	2	6	6	4	5	5	4	6	5	8	6	7	8	6	8	9	8	9	10	11	9	9	10	9	11	8	12	12	10	11	11	10	12	11	12	11	14	12	11	11	12	15	13	13	10	14	14	14	15	16	14	14	17	16	12	16	17	13	15	14	16	16	16	18	18	18	16	17	19	18	21	19	20	18	20	19	19	19	16	21	21	19	19	21	21	21	21	21	20	19	20	22	19	21	21	25	22	23	25	24	26	26	27	27	30	29	30	31	32	34	37	0	1	1	1	0	3	5	14	2	4	4	0	6	1	5	14	11	12	6	9	14	17	17	19	31	0	7	16	9	9	19	45	21	22	16	29	20	23	26	37	20	37	44	31	21	29	57	22	29	4	45	35	39	42	63	29	6	25	50	50	53	54	25	35	30	60	53	60	60	66	51	31	61	9	66	60	70	52	65	67	69	72	70	15	68	51	31	57	50	79	57	57	53	69	50	84	70	45	57	81	68	84	102	50	92	84	85	84	84	84	60	84	84	84	84	84	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	1	2	3	3	2	1	2	2	2	1	1	1	1	1	1	2	1	2	1	2	1	3	2	2	1	2	2	1	2	3	6	2	4	2	2	1	1	2	2	3	1	1	3	1	3	3	1	8	1	7	1	4	1	2	1	1	1	4	4	4	5	2	9	1	2	3	3	2	6	2	3	7	4	1	5	2	1	12	1	4	2	9	5	9	12	13	7	12	11	12
2000	-1118.465306001172394	-1116.498135625775603	-1.967170375396720	0.000010036717137	0.000022652495613	2.256962640568267	0.319224557784176	-1	1	3	1	1	4	5	5	3	6	3	4	6	4	7	7	6	9	7	8	9	9	8	9	11	8	11	9	9	10	9	11	13	11	10	10	10	11	11	13	11	13	13	11	12	11	14	13	13	10	13	14	14	14	16	16	15	17	14	13	16	17	13	16	14	17	15	17	19	18	18	17	17	20	19	21	19	20	19	19	19	20	19	16	20	21	20	19	21	21	20	22	22	21	19	21	21	23	22	21	24	23	24	25	24	26	24	27	27	29	28	30	30	30	32	37	0	1	1	1	0	3	5	14	2	11	4	0	6	1	5	8	4	12	6	2	14	23	17	19	31	0	7	8	2	20	19	21	21	22	16	29	9	29	26	30	37	30	44	31	32	29	20	22	20	17	21	35	39	37	63	29	20	44	50	50	53	40	44	52	9	60	53	60	68	66	51	44	61	65	66	60	70	35	65	67	68	72	70	29	60	71	31	20	50	79	57	79	80	81	60	84	70	51	79	95	85	84	96	50	92	102	85	84	96	84	60	84	102	84	84	84	1	1	2	1	1	1	2	1	1	1	2	1	2	2	3	2	2	3	2	4	2	1	1	1	2	1	5	2	4	1	1	1	2	1	2	1	4	1	2	2	1	2	1	2	1	1	4	2	2	1	2	2	2	2	2	3	5	3	2	1	1	2	1	1	4	2	1	2	2	1	2	3	1	4	1	4	1	6	3	2	1	1	1	3	3	2	5	4	8	1	4	2	1	1	3	2	2	6	2	1	3	3	1	11	1	1	2	8	4	6	12	13	4	10	7	12
2500	-1121.736497306618503	-1119.602995010200857	-2.133502296417748	0.000010080039752	0.000027165661527	2.694995475666875	0.405775523663697	0	1	1	3	2	4	5	6	4	5	5	4	6	4	6	5	7	8	7	8	10	8	10	10	11	8	10	8	8	9	10	9	13	11	11	8	11	12	12	11	12	13	13	12	11	12	15	12	13	10	13	13	14	14	16	15	14	17	14	13	16	15	14	17	15	16	16	15	18	17	18	17	17	19	19	20	19	19	19	19	20	18	19	16	20	19	19	20	21	22	20	21	21	21	20	20	21	22	21	22	25	22	24	24	23	26	26	27	27	28	29	30	30	31	32	36	0	1	1	1	0	3	5	14	1	9	4	0	6	2	5	14	4	12	6	2	8	17	36	19	31	0	7	16	2	36	19	8	21	22	28	2	30	23	26	30	37	30	31	31	32	29	9	22	40	29	45	35	39	37	63	36	40	25	50	50	53	54	44	52	42	60	53	60	68	66	51	25	61	65	66	66	70	52	65	67	69	44	70	27	69	51	72	42	60	79	65	79	80	81	69	84	70	51	65	95	104	96	102	50	92	102	85	84	96	102	68	84	109	84	102	84	1	1	1	2	1	3	2	2	2	1	2	1	1	1	2	1	2	2	2	2	2	1	1	1	1	1	3	2	3	1	2	1	2	2	2	3	2	1	2	1	1	2	1	2	1	2	6	2	1	1	1	2	1	2	2	4	2	3	2	2	1	1	1	2	1	1	1	1	2	1	4	3	1	3	2	3	1	5	3	2	1	3	1	2	1	3	1	3	8	1	1	1	1	1	1	2	3	4	3	1	1	2	1	10	2	2	3	7	5	3	7	12	1	8	6	9
3000	-1040.783516991401029	-1039.108809487886447	-1.674707503514601	0.000010241646712	0.000015710770997	1.534008293686606	0.445796009284050	-1	2	3	1	4	3	5	5	5	5	4	4	6	4	8	6	8	7	7	8	9	9	7	10	11	9	9	9	8	10	9	11	12	11	10	10	11	11	12	12	12	12	13	11	12	12	14	12	13	10	14	14	14	14	16	15	15	17	15	11	15	16	14	15	14	18	16	16	17	17	18	17	18	19	19	20	19	20	18	19	19	19	18	16	21	20	19	18	21	20	20	21	20	22	21	21	22	22	21	22	25	23	24	23	24	26	25	26	23	30	26	30	30	32	34	35	0	1	2	1	0	1	5	14	2	4	4	0	6	2	7	14	23	12	6	9	8	23	4	19	31	0	5	16	4	29	19	21	21	22	16	9	9	23	26	29	30	30	44	31	32	2	37	22	29	29	45	35	39	49	63	36	42	44	50	50	53	42	43	52	37	68	53	60	60	68	51	25	61	88	66	75	70	64	65	67	68	72	70	29	69	51	58	37	60	79	79	79	80	69	81	84	77	71	65	95	104	96	96	60	92	103	104	84	84	106	69	84	108	109	109	109	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	2	1	2	1	3	2	1	1	3	2	3	2	1	1	2	2	2	3	3	3	1	2	1	1	1	1	1	4	2	2	3	2	1	2	1	1	2	2	2	3	3	1	1	1	1	1	1	1	1	2	3	1	3	3	1	1	1	1	1	2	2	2	1	2	1	3	2	3	1	3	8	1	2	2	1	2	1	3	1	3	4	1	1	2	2	9	2	1	1	5	4	2	5	12	2	7	8	7
3500	-1014.165241780633551	-1012.213940607732752	-1.951301172900756	0.000010463386798	0.000023191119717	2.216406615326041	0.558531191916648	0	2	3	2	3	4	5	6	4	6	4	4	6	5	7	6	6	8	7	7	8	9	9	9	11	10	8	9	9	11	9	11	12	11	10	11	11	12	11	9	11	13	13	11	12	11	15	13	13	11	13	13	14	14	16	13	15	17	15	12	15	18	13	14	15	17	16	15	17	17	16	17	17	20	18	20	18	19	17	19	19	19	19	17	20	21	20	19	20	19	20	21	21	21	19	19	22	22	22	22	22	22	23	24	24	26	26	26	26	28	28	30	30	28	34	37	0	1	1	1	0	3	5	14	1	4	4	0	6	9	5	14	2	12	6	2	14	4	17	19	31	0	15	16	20	40	19	21	21	22	28	29	40	17	26	20	40	30	44	31	32	17	54	22	30	23	45	35	39	37	63	15	30	25	50	50	53	54	25	52	30	60	53	60	60	68	51	44	61	88	66	66	70	64	65	67	69	72	70	56	69	71	72	65	68	79	79	65	80	81	69	84	77	71	79	95	85	96	96	60	92	102	104	84	84	106	107	84	114	84	109	108	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1	3	2	2	2	1	4	2	1	2	1	1	2	1	2	1	1	2	2	1	1	1	3	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	2	2	3	3	2	2	1	1	2	2	1	3	2	1	2	3	1	1	2	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	2	3	1	2	3	1	1	1	1	2	3	4	1	2	2	1	7	3	1	1	5	4	1	2	12	1	6	4	6
4000	-915.958764283243909	-914.226229130496904	-1.732535152747049	0.000011665167516	0.000019528399757	1.674077953106201	0.546709820771653	0	2	3	2	3	4	5	6	4	4	4	3	6	4	7	6	6	8	7	7	9	9	9	10	11	9	10	10	9	11	8	11	12	11	11	10	10	11	10	12	11	13	13	11	12	11	16	12	14	13	13	13	14	14	16	15	15	16	16	14	15	18	15	17	14	16	16	16	18	16	16	18	17	20	18	20	19	19	17	19	18	20	18	16	20	20	19	18	19	22	20	20	21	21	21	20	22	22	21	22	23	23	23	24	25	26	25	25	27	29	28	30	30	31	34	36	0	1	2	1	0	3	5	14	1	2	4	0	6	2	5	14	11	12	6	3	8	17	17	13	31	0	5	16	4	37	19	21	21	22	28	20	29	17	26	37	37	37	25	31	32	20	49	22	20	38	45	35	39	37	63	20	30	44	50	50	53	54	43	52	40	60	53	60	60	60	51	25	61	88	66	66	70	64	65	67	68	58	70	56	69	71	25	65	75	79	79	79	80	81	81	84	77	71	65	95	85	84	96	85	92	96	101	96	108	106	107	84	109	108	109	109	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	2	3	2	2	2	2	2	1	3	2	3	1	1	1	2	1	1	1	1	4	1	1	1	2	1	2	1	2	1	2	3	1	1	1	2	2	1	5	2	3	2	1	1	2	1	2	2	2	1	2	2	1	2	5	1	1	1	2	2	1	2	2	1	2	1	1	1	2	3	2	1	2	2	2	1	2	1	2	2	3	4	1	2	4	1	2	3	3	2	3	2	2	2	12	2	4	4	5
4500	-912.662990620213463	-911.120305762869975	-1.542684857343473	0.000015656403601	0.000018958077054	1.210883261390311	0.577324374939730	0	1	2	1	3	3	5	6	4	3	3	3	6	5	7	7	8	7	7	7	8	9	9	10	10	8	9	10	7	10	8	11	12	10	11	11	9	12	11	12	12	14	14	11	12	11	16	12	14	13	13	15	14	14	16	14	13	16	15	15	16	18	13	16	16	18	17	17	19	17	18	15	17	20	19	20	19	17	18	20	20	18	19	17	20	20	19	19	21	22	20	20	22	22	20	21	21	22	22	22	22	23	25	24	24	25	25	26	25	29	28	30	31	31	31	37	0	1	2	1	0	3	5	14	1	4	4	0	6	11	7	14	9	12	13	1	8	17	29	19	31	0	5	16	9	37	19	21	21	22	16	29	29	29	26	37	37	20	44	31	32	29	42	34	37	17	45	28	39	40	63	29	30	72	50	50	53	54	25	52	30	60	53	60	68	60	51	44	61	88	68	66	70	64	65	67	68	72	70	56	68	71	44	65	75	79	79	79	80	68	69	84	77	86	79	81	85	84	102	85	92	96	101	96	102	102	107	84	109	109	109	115	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	3	1	1	1	1	2	1	3	2	2	1	1	1	2	1	2	2	1	3	1	2	2	2	3	2	1	1	1	2	2	2	1	3	2	1	2	4	2	1	1	2	1	1	2	1	2	1	1	2	1	1	2	3	1	1	1	1	2	1	1	2	2	1	1	2	2	1	4	2	1	2	1	1	2	2	1	2	1	1	3	1	1	4	1	2	2	2	2	4	1	3	1	11	2	3	2	3
