step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
1	-1411.787294680644209	-1410.325212596125311	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.151724525152498	5	7	6	6	6	6	9	7	8	8	10	10	11	12	11	11	14	14	16	17	20	17	21	22	25	30	33	40	43	45	47	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	3	3	4	3	3	5	5	6	6	8	6	8	9	10	13	14	18	19	20	21
500	-591.977614264317140	-588.907698025086233	-3.069916239230879	0.000009980602489	0.000057350386669	5.746184835301790	0.182077634734460	4	8	7	6	5	6	9	7	8	9	11	10	11	13	12	11	14	15	17	17	19	14	22	23	25	27	33	41	44	46	48	0	4	4	1	1	1	2	4	6	9	10	6	6	8	8	8	8	9	18	17	12	9	22	17	22	0	17	26	26	17	26	1	1	1	1	1	1	1	1	1	1	2	2	3	3	2	2	5	3	1	2	5	3	5	3	7	1	11	8	16	20	16
1000	-535.704602069703924	-533.107854732176406	-2.596747337527501	0.000010018996322	0.000040741203281	4.066395671913975	0.255701216248718	4	6	6	5	6	6	10	8	9	8	10	10	10	13	12	10	14	14	16	17	20	17	21	22	26	30	30	39	44	46	48	0	4	4	1	1	1	2	4	6	6	10	1	6	8	8	8	8	9	18	17	13	12	22	17	22	0	12	27	27	17	27	1	1	1	1	1	1	2	2	2	1	1	4	2	2	3	2	3	2	1	1	5	5	2	4	6	1	8	4	10	18	14
1500	-422.187710055972843	-420.109813208898288	-2.077896847074564	0.000010005113445	0.000025470875070	2.545785733355359	0.334238434843369	4	7	7	5	7	6	9	8	7	9	8	10	11	10	11	9	15	14	17	18	21	17	21	21	24	30	30	40	44	44	47	0	4	4	1	1	1	2	4	6	6	6	6	6	8	8	8	16	13	18	17	13	13	22	17	22	0	17	27	27	27	27	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	3	2	1	2	5	3	2	4	2	1	8	6	6	9	11
2000	-397.769761126708488	-395.750483475596525	-2.019277651111973	0.000010090655272	0.000024132470055	2.391566197081752	0.480989840652240	4	8	7	6	6	6	10	7	8	8	9	10	11	12	12	11	14	12	16	18	20	18	21	22	25	30	32	37	43	45	46	0	4	4	1	1	1	2	4	6	6	10	6	9	16	16	8	16	6	18	17	13	13	22	17	21	0	21	27	28	27	27	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	2	3	1	2	6	4	1	4	2	1	5	3	2	6	10
2500	-408.039754060400867	-405.731006135187215	-2.308747925213678	0.000010067114352	0.000032068978241	3.185518423714142	0.394651122391556	4	8	7	5	7	5	10	7	8	7	10	8	10	12	12	11	14	13	15	17	21	17	21	21	24	30	34	41	43	45	47	0	4	4	1	1	1	2	4	6	6	10	6	12	16	8	8	16	12	18	17	13	6	22	16	22	0	21	27	27	27	27	1	3	2	1	1	1	1	1	1	1	2	2	2	1	3	2	2	2	1	2	5	6	2	4	2	1	6	4	5	6	7
3000	-305.444183346191664	-303.227019549823638	-2.217163796368036	0.000009868681119	0.000028867771785	2.925190452142207	0.532347092400937	4	8	7	6	6	6	10	7	8	7	10	10	11	13	11	11	14	14	16	17	20	18	22	22	25	30	34	40	40	45	48	0	4	4	1	1	1	2	4	5	6	10	6	6	16	8	8	16	13	18	16	12	6	22	16	21	0	26	27	27	29	29	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	2	2	2	1	2	4	5	2	5	2	1	2	3	3	4	4
3500	-285.839535418551918	-284.189371483866466	-1.650163934685449	0.000009967875624	0.000014698446907	1.474581692404401	0.645190756418923	4	7	6	5	6	6	10	8	8	8	11	10	11	11	9	11	14	14	16	16	20	18	22	23	25	31	33	40	42	45	47	0	4	4	1	1	1	2	4	6	6	10	6	6	8	8	8	16	12	18	17	13	12	22	17	21	0	26	27	28	29	30	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	4	3	2	5	1	1	1	3	1	1	1
4000	-284.329963306276511	-282.634219842773916	-1.695743463502614	0.000010435383944	0.000016539245741	1.584919714570577	0.529149069252136	3	8	7	6	6	6	10	8	5	8	11	11	11	12	11	11	15	15	17	18	20	18	22	21	25	31	34	39	43	45	47	0	4	4	9	1	9	2	4	1	6	10	6	1	8	8	8	16	13	18	17	12	12	22	17	22	0	26	27	28	29	30	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2	3	2	1	2	4	4	2	3	3	1	2	2	2	1	1
4500	-275.295920098272006	-273.603533470928369	-1.692386627343661	0.000011955777764	0.000018851802529	1.576794324913336	0.491885825223104	3	7	7	5	6	6	10	7	8	8	10	11	11	12	11	10	13	14	16	16	19	17	21	23	25	30	34	41	42	44	46	0	4	4	1	1	1	2	4	6	6	10	6	6	8	8	8	16	13	18	17	12	13	22	17	21	0	26	27	28	29	30	1	1	1	1	2	1	2	1	1	1	1	2	2	2	2	1	2	2	1	2	5	3	2	5	3	1	2	3	1	1	1
