step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
1	-1555.614259672712251	-1554.152177588193354	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.446286825968444	5	9	9	9	10	11	13	14	15	17	17	19	18	21	20	20	22	22	23	24	24	25	31	35	34	43	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	4	5	5	6	6	7	7	8	8	8	9	9	9	10	10	10	13	15	15	19
500	-283.652199338426612	-280.959166770356887	-2.693032568069750	0.000010015442828	0.000043903862275	4.383616683863759	0.528068541298574	5	8	10	10	9	11	14	13	15	18	17	19	18	19	18	20	23	23	23	24	24	25	31	32	35	43	0	1	2	2	2	4	4	6	2	9	6	11	6	9	9	5	9	10	10	15	9	18	20	0	0	0	1	2	2	1	1	1	1	1	5	2	2	1	2	2	1	5	3	3	3	3	4	2	2	1	1	1
1000	-255.857839561910254	-252.717579823650851	-3.140259738259391	0.000010030868077	0.000060417767170	6.023184305587289	0.592051741802389	5	8	9	10	10	11	12	14	15	18	17	19	18	19	20	19	21	22	22	23	25	24	30	35	33	41	0	1	2	2	1	4	4	6	2	9	8	11	8	9	9	5	9	10	17	15	20	18	21	0	0	0	1	2	1	1	2	1	1	2	3	1	2	1	3	2	2	4	2	1	1	1	2	1	2	1	1	1
1500	-269.631221169368246	-267.365266808190086	-2.265954361178154	0.000010050440387	0.000030782091146	3.062760432544094	0.539966803223621	6	8	10	10	10	11	14	13	16	18	17	19	18	21	19	18	22	21	23	25	23	26	29	34	34	43	0	1	2	2	2	4	4	6	5	9	8	11	11	9	9	5	10	10	17	21	15	18	20	0	0	0	1	1	1	1	1	1	2	1	3	1	2	1	1	3	1	3	2	2	1	1	2	3	3	1	1	1
2000	-260.229133630318529	-257.465498273916353	-2.763635356402179	0.000010115375824	0.000046772701824	4.623921309272700	0.402389345740303	5	7	9	10	11	11	13	14	15	18	16	20	17	21	19	20	20	23	21	23	25	24	32	35	33	43	0	1	2	2	1	4	4	6	3	9	8	8	8	9	9	5	10	10	17	15	20	18	20	0	0	0	1	1	1	2	3	1	1	2	4	1	1	3	1	4	2	6	1	2	1	2	1	1	4	1	1	1
2500	-251.853997643400646	-249.334340972199641	-2.519656671201014	0.000010072552202	0.000038485922761	3.820871015556379	0.599793970864199	5	8	10	9	8	11	11	14	15	18	16	19	16	21	19	20	21	22	23	23	24	26	31	35	34	44	0	1	2	2	1	4	4	6	2	9	6	11	8	9	9	5	10	10	17	15	20	18	20	0	0	0	1	2	1	1	2	1	2	1	3	1	2	1	1	2	2	5	2	2	1	2	1	2	3	1	1	1
3000	-249.623773163367758	-247.368838213805503	-2.254934949562259	0.000010295350364	0.000031210044887	3.031469914524080	0.545033603945411	6	8	9	10	11	11	14	15	15	17	17	18	19	22	20	20	21	23	22	22	23	25	31	34	35	43	0	1	2	2	1	4	4	6	2	9	8	11	8	9	9	5	9	10	17	15	20	18	20	0	0	0	1	1	1	1	2	1	2	2	4	1	1	1	3	3	2	4	3	3	1	1	1	1	4	1	1	1
3500	-251.807790361696306	-249.219759453709088	-2.588030907987224	0.000010560178261	0.000042644777785	4.038263060586177	0.639383533874719	6	8	9	10	10	12	13	14	15	17	15	18	17	21	21	17	23	22	24	22	24	25	31	35	34	43	0	1	2	2	1	4	4	6	2	9	6	8	8	9	9	5	18	10	17	15	20	18	20	0	0	0	1	1	1	2	2	1	1	2	3	1	2	2	2	3	2	3	1	3	1	1	1	2	4	1	1	1
4000	-248.720101735379075	-246.004333388464175	-2.715768346914893	0.000010773840217	0.000048054332602	4.460278938223112	0.680650613984746	6	8	9	9	10	11	13	14	16	18	17	19	19	19	20	18	22	21	24	23	25	24	31	34	34	43	0	1	2	2	1	4	4	6	2	9	8	11	11	9	9	5	10	10	17	15	20	18	15	0	0	0	1	1	1	1	2	1	2	2	3	1	1	1	1	1	2	3	2	1	1	1	1	1	5	1	1	1
4500	-242.532229301711993	-240.174203985394257	-2.358025316317746	0.000012831176259	0.000042719786992	3.329374184295502	0.605598496830039	6	9	10	10	10	11	13	14	15	17	17	19	18	21	20	20	21	22	23	23	25	25	30	36	34	41	0	1	2	2	1	4	4	6	2	9	8	11	11	9	9	5	9	10	17	15	20	18	20	0	0	0	1	1	1	1	2	1	2	1	2	1	3	1	1	3	3	5	3	3	1	1	1	2	3	1	1	1
