step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72
1	-5136.978892140091375	-5143.834380091050662	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.139072681855226	-1	13	4	3	6	4	13	19	10	16	17	18	18	16	23	28	29	30	25	25	29	30	31	31	35	33	34	32	36	33	39	36	38	38	37	39	38	40	44	42	43	40	42	40	47	42	48	44	50	47	44	47	48	50	55	54	50	51	55	50	54	59	54	57	61	71	70	77	76	80	81	82	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	4	2	3	3	3	3	3	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	6	7	7	7	7	7	7	8	7	8	7	7	7	8	7	8	8	9	8	8	8	8	9	10	9	9	9	10	9	9	10	9	10	11	12	12	13	13	14	14	14
500	-766.910931710226237	-773.766419661185637	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.146669582718096	-3	11	2	4	5	6	8	16	10	15	15	10	20	15	22	16	17	31	9	21	19	30	25	21	19	30	32	24	35	28	39	34	37	35	37	34	34	31	43	28	42	41	41	41	45	41	49	45	48	45	44	49	48	50	56	54	52	53	55	52	51	61	55	58	61	70	71	79	74	82	74	82	0	7	0	1	1	1	1	6	3	4	9	4	8	3	12	19	10	10	7	16	19	0	19	0	0	21	23	24	28	17	20	26	20	20	23	25	28	19	24	25	34	23	28	21	27	37	25	38	44	20	23	40	16	42	25	16	12	25	57	51	38	36	40	0	40	36	40	36	62	40	40	40	1	1	1	1	1	1	2	2	2	2	1	1	1	3	2	1	1	2	1	1	2	1	3	1	1	2	2	1	4	2	4	1	4	2	2	3	1	3	5	2	2	3	2	2	2	2	6	2	2	6	4	3	7	3	6	10	7	6	1	1	3	4	6	1	9	8	14	10	2	13	10	13
1000	-652.989883592110459	-659.845371543069859	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.379866760251744	-3	9	-2	2	7	0	8	20	5	13	18	8	18	16	25	22	27	30	18	26	22	29	31	22	24	30	33	28	38	33	35	35	37	38	39	38	37	36	43	29	43	40	33	41	48	40	42	43	51	44	38	44	42	44	51	55	45	48	48	52	49	59	48	57	60	73	72	71	71	75	79	81	0	1	0	1	1	1	6	6	3	12	3	4	12	9	12	19	15	12	10	16	19	0	19	0	0	19	23	24	24	17	21	21	19	16	27	25	28	27	28	25	32	51	28	33	42	28	40	51	33	34	23	40	21	27	25	38	20	40	41	54	51	58	25	0	52	58	40	63	52	52	52	36	1	2	1	1	2	1	1	2	2	1	3	2	2	2	3	1	1	3	1	1	1	1	2	1	1	2	1	2	3	2	2	2	4	2	1	2	2	1	2	1	3	1	1	1	2	2	4	1	3	1	2	2	3	2	4	4	2	3	1	1	2	3	5	1	2	4	10	4	2	6	6	9
1500	-574.505684646957889	-581.361172597917289	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.634417496436957	-1	9	-4	3	5	5	14	20	10	16	16	12	19	17	12	18	26	26	26	27	29	29	28	22	31	34	33	30	36	34	37	36	40	32	38	39	35	37	41	42	44	39	44	41	41	37	40	44	49	45	43	45	46	47	55	51	39	53	54	51	53	60	55	55	60	62	61	76	73	78	74	80	0	1	0	1	1	1	5	6	3	12	9	5	10	9	4	15	4	13	16	16	16	0	19	0	0	20	23	24	28	17	19	19	26	16	19	25	28	27	24	36	26	27	39	31	27	37	25	38	31	57	38	36	33	51	40	48	34	52	44	54	56	55	52	0	63	58	55	66	66	66	66	55	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	4	1	2	2	4	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	1	1	5	1	2	1	2	1	2	1	2	2	3	1	1	1	2	1	3	1	1	2	2	1	1	1	2	1	1	2	1	3	2	2	2	4
2000	-538.196118399955822	-545.051606350915222	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.644979410995015	-2	8	6	1	1	5	13	16	8	7	18	12	18	18	23	19	27	27	22	22	29	22	30	30	31	29	34	32	34	30	40	34	35	34	38	36	37	37	44	41	39	41	42	39	46	44	45	40	45	42	46	45	47	47	54	47	49	52	50	50	54	58	52	58	60	65	70	75	72	80	68	84	0	1	0	1	1	1	2	6	3	4	9	10	12	9	10	10	4	13	16	16	19	0	16	0	0	19	23	24	24	17	34	26	26	20	34	25	28	27	29	36	26	27	28	33	42	37	25	38	31	33	38	40	41	48	47	48	34	52	44	54	56	63	52	0	62	58	65	66	58	71	63	71	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	1	2	2	2	1	4	2	2	1	1	1	2	1	1	2	2	2	3	2	2	2
2500	-562.535039912275124	-569.390527863234524	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.628572943699696	-2	12	0	2	3	2	14	12	6	14	14	19	20	12	25	23	29	26	25	27	27	31	27	29	32	31	31	33	37	32	36	34	37	34	33	39	38	35	43	41	41	37	41	40	46	45	46	40	48	39	41	48	44	48	53	54	50	45	51	51	51	55	53	56	60	65	68	78	77	79	71	83	0	5	0	1	1	1	4	6	3	8	9	10	10	9	7	12	12	13	16	16	19	0	19	0	0	21	23	24	24	17	21	21	26	16	23	25	28	27	28	25	26	23	28	21	27	37	25	38	53	16	38	58	26	48	58	48	44	36	44	54	42	52	58	0	63	63	65	66	66	69	55	71	1	1	1	1	1	1	3	2	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	2	2	2	1	2	2	2	1	1	3	2	1	2	1	1	3	1	2	2	1	2	1	1	1	1	3	1	2	2	1	4	1
3000	-552.398000761489016	-559.253488712448416	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.723264128949888	-3	6	4	4	6	5	11	18	11	13	15	19	21	9	21	27	31	30	24	22	30	31	30	28	31	35	34	34	34	34	34	35	33	38	32	36	38	39	39	38	42	41	37	38	46	45	44	44	47	45	42	46	49	48	52	49	48	53	49	50	52	58	54	54	63	68	70	78	75	72	67	82	0	1	0	1	1	1	1	10	14	4	9	10	12	3	7	15	15	12	20	10	19	0	19	0	0	33	23	24	24	17	21	21	16	33	23	25	28	27	24	25	33	27	28	31	38	37	36	51	31	34	38	36	26	38	52	38	50	52	44	38	56	63	52	0	62	58	65	70	66	58	52	69	1	1	1	1	1	2	3	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	2	1	2	2	1	1	2	1	1	2	1	2	2	4	1	1	2	1	2	2	2	1	1	3	3	1
3500	-562.906504090922908	-569.761992041882309	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.606374626281422	-1	5	2	3	4	4	12	16	10	11	19	15	19	15	19	27	28	28	23	19	21	30	30	28	28	34	32	31	37	33	37	32	40	32	31	37	34	38	45	40	43	41	42	41	43	38	40	43	51	45	44	43	44	53	55	55	37	51	51	50	52	50	52	52	58	70	66	75	73	74	81	81	0	1	0	1	1	1	1	6	3	4	14	4	12	3	12	20	12	13	21	12	20	0	16	0	0	34	23	24	24	17	21	21	26	20	16	25	28	27	29	25	26	27	46	31	27	37	25	38	31	34	38	40	26	60	62	51	16	52	44	48	51	36	52	0	62	63	65	69	63	66	63	69	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	1	2	1	1	2	2	2	2	1	1	2	2	3	2	2	1	2	1	2	1	1	2	2	2	2	2	2	3	3	1	1	3	2	1	3	1	5	1
4000	-561.471937467896169	-568.327425418855569	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.739899410505593	-2	12	1	1	7	5	15	12	7	15	17	10	19	14	18	25	23	32	21	22	26	26	31	30	32	33	27	34	33	31	39	36	38	35	36	40	37	43	44	40	44	40	40	38	43	41	46	36	52	46	43	48	43	47	55	50	41	50	52	51	53	58	51	56	61	63	71	74	71	70	74	83	0	6	0	1	1	4	5	6	3	12	14	4	12	9	12	20	10	13	15	15	19	0	27	0	0	21	19	24	24	17	32	21	26	20	23	25	28	48	29	25	26	27	28	21	42	37	25	27	44	57	42	40	33	48	58	38	34	40	44	54	51	52	58	0	62	52	65	66	63	66	66	70	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	1	2	1	2	2	1	1	2	1	2	1	1	2	2	1	2	2	1	1	1	2	2	3	4	1	2	2
4500	-551.979868140621647	-558.835356091581048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664493056569569	-2	10	0	1	5	6	13	13	8	11	16	16	17	15	25	27	28	29	25	23	27	27	28	28	34	34	33	32	32	33	35	35	39	37	38	40	37	39	45	43	44	36	43	39	43	43	42	43	49	44	45	46	49	48	51	52	47	49	54	50	54	61	54	59	60	70	69	76	75	80	82	75	0	1	0	1	1	4	5	6	3	4	9	10	10	9	12	20	15	13	20	10	19	0	20	0	0	21	23	24	24	17	21	21	21	16	23	25	28	27	29	25	20	27	28	26	42	37	25	38	34	33	38	47	33	48	40	48	50	40	44	54	38	58	58	0	58	52	65	47	65	63	69	65	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	2	1	2	1	1	1	2	2	1	2	1	1	3	1	2	2	2	1	3	4	1	3	1	3	2	2
