step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53
1	-1736.904975686331682	-1735.442893601812784	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.517057365711413	-1	3	3	6	8	9	9	9	8	10	11	10	11	11	11	11	13	14	13	14	14	16	16	17	15	17	17	18	17	16	18	18	20	19	21	22	21	23	23	23	23	24	24	25	24	25	28	24	25	27	26	27	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	5	5	5	5	5	6	6	6	6	6	6	6	7	8	7	8	8	9	9	9	8	9	9	10	9	9	10	10	11	10	11	12	11	12	12	12	12	13	13	13	13	13	15	13	13	14	14	14	14
500	-546.447115487433052	-544.755436535156036	-1.691678952277041	0.000010010432126	0.000015767246076	1.575081462810233	0.360441449067702	0	2	3	5	6	9	9	8	7	9	10	10	12	8	11	11	12	13	13	12	14	15	15	18	12	18	18	18	17	17	16	19	20	18	21	23	20	21	23	23	23	24	25	26	25	26	29	25	25	28	27	26	27	0	1	2	2	4	5	5	5	0	3	10	8	7	5	10	5	8	5	14	10	17	18	10	18	10	20	17	17	11	23	25	29	28	25	20	37	25	5	31	25	0	25	4	38	25	25	40	42	4	18	37	31	46	1	1	1	2	1	2	1	1	1	2	1	2	2	1	1	2	2	4	3	1	1	1	3	2	1	3	3	5	4	1	3	1	1	3	4	2	5	8	4	6	1	7	9	4	7	8	4	1	13	10	4	8	1
1000	-420.018348669114744	-418.486335073536225	-1.532013595578493	0.000009935032309	0.000011763065410	1.183998707312300	0.428182692723171	0	3	2	5	7	8	7	9	7	11	10	10	11	11	11	12	11	13	14	14	15	16	17	17	13	18	16	19	17	17	19	19	18	19	21	22	18	23	23	24	22	25	24	25	24	25	27	24	26	28	26	26	25	0	3	1	2	4	5	4	5	0	5	5	8	5	8	5	11	12	11	14	13	17	18	20	18	16	10	17	33	18	20	25	29	10	25	30	37	25	25	36	37	0	39	36	38	25	34	39	36	37	45	42	43	38	1	1	1	1	1	1	1	2	1	2	1	1	3	1	2	1	1	2	2	2	2	1	1	2	1	2	3	1	2	1	3	1	3	2	2	2	3	8	1	4	1	1	1	1	7	3	2	1	5	2	1	1	2
1500	-352.037759178485032	-350.532804053850896	-1.504955124634158	0.000009968985381	0.000011112668161	1.114724090366909	0.673029339285843	0	3	2	5	7	10	9	9	9	9	11	10	12	11	11	12	13	14	13	14	15	17	16	17	15	18	16	18	16	17	18	18	17	18	21	22	21	23	24	22	23	25	25	26	25	25	27	23	25	27	26	27	28	0	1	1	2	2	5	5	5	0	5	10	8	7	10	5	7	12	8	14	11	17	20	20	29	18	20	17	33	10	20	25	29	18	25	30	37	34	25	36	34	0	36	38	38	39	36	42	36	34	42	38	43	50	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	2	2	1	2	2	1	1	1	1	2	1	1	3	1	2	1	2	2	2	1	2	3	1	2	1	2	1	1	1	2	1	1	5	1	2	1	1
2000	-320.050434398980997	-318.139370862069939	-1.911063536911030	0.000009912418329	0.000020959148434	2.114433404371438	0.832223057030198	0	4	2	6	7	9	9	9	9	10	12	11	12	11	10	11	12	14	12	14	14	16	17	18	15	18	17	18	16	16	19	18	20	19	20	22	20	23	23	23	23	24	25	26	24	25	28	25	24	26	27	27	27	0	3	1	2	3	5	5	5	0	5	5	8	16	10	7	5	12	16	14	11	17	20	20	16	18	20	17	29	18	20	25	29	28	25	30	37	31	36	36	36	0	36	49	38	39	36	39	39	38	39	38	49	50	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	1	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1
2500	-324.211110274923669	-322.233862449147011	-1.977247825776679	0.000009849656902	0.000022485000265	2.282820659417239	0.660021991727064	0	4	3	7	7	9	9	9	8	11	11	10	11	10	12	10	13	14	14	14	14	17	16	17	15	16	16	18	17	16	18	18	21	20	22	21	19	24	22	23	23	24	25	26	24	24	28	25	24	26	26	27	27	0	3	1	3	3	5	5	5	0	5	5	8	7	5	16	5	8	10	14	10	17	20	20	18	18	20	17	18	18	20	25	18	28	31	26	37	31	39	36	36	0	36	49	38	36	36	46	42	36	42	38	43	50	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1
3000	-324.850119749264934	-323.308188004043188	-1.541931745221742	0.000009745661211	0.000011782432529	1.208992624898289	0.795492582978608	-1	4	2	7	8	10	10	9	9	9	12	11	12	11	10	11	12	14	13	14	14	16	17	17	14	17	17	18	17	17	17	18	20	19	21	22	21	24	23	24	23	23	25	25	24	25	29	24	24	27	27	27	28	0	3	1	2	2	5	5	4	0	5	10	8	7	10	5	10	12	10	14	16	17	20	20	18	10	20	17	29	18	20	25	24	28	25	30	37	34	36	36	42	0	36	49	39	42	39	40	39	42	42	38	49	50	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	2	2	2	2	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1
3500	-321.303136313664993	-319.718442230068774	-1.584694083596213	0.000009914366753	0.000013038247539	1.315086264601644	0.840089758861380	0	3	4	6	8	10	10	9	8	10	10	10	12	11	11	11	11	14	13	15	14	16	17	17	15	17	17	18	16	16	18	18	21	19	21	21	22	24	23	23	22	24	23	24	24	25	27	25	25	26	26	28	28	0	1	2	3	4	5	5	5	0	5	5	8	7	11	5	5	8	16	14	18	17	16	20	29	11	20	17	18	18	20	25	18	28	25	30	34	36	37	36	36	0	39	36	36	39	36	42	39	43	39	38	49	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	3	2	1	1	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1
4000	-312.942791731106979	-311.154302618050338	-1.788489113056647	0.000009940552028	0.000017996232663	1.810385641776236	0.762456872773781	-1	2	4	7	8	9	10	9	7	11	11	11	12	12	10	10	13	14	14	14	14	17	17	18	16	17	17	18	17	16	18	18	20	20	19	20	21	23	24	22	23	23	24	25	24	23	29	25	25	26	26	28	27	0	1	2	2	4	5	5	5	0	5	5	8	7	5	5	5	12	16	14	11	17	20	20	18	18	30	17	29	18	11	25	29	28	31	30	31	36	36	36	36	0	36	38	38	42	36	39	42	43	42	46	49	50	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	2	2	2	2	1	2	1	1	2	2	1	1	1	2	1	1	2	2	1	1	2	1	1	1	2	2	1	1	2	1	2	1
4500	-327.841082822783221	-326.142488987001684	-1.698593835781534	0.000010849774461	0.000017270887020	1.591819911332117	0.620737799662124	-1	1	3	6	8	9	8	9	7	10	11	11	10	11	11	10	14	13	12	14	15	16	15	17	14	18	17	18	17	16	18	18	20	19	20	21	20	23	23	24	24	24	24	25	24	23	28	25	25	26	26	27	28	0	1	2	3	4	5	4	5	0	5	5	8	7	16	10	5	12	10	10	16	17	20	11	18	18	16	17	18	18	20	25	20	28	25	30	37	31	36	36	46	0	36	38	38	39	36	36	39	43	39	46	49	50	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	2	1	4	1	2	2	1	2	2	1	3	2	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	3	1	1
5000	-307.338995623217102	-305.671644138868601	-1.667351484348529	0.000011442686313	0.000017349448247	1.516204130172381	0.648570490097030	-2	1	4	5	7	9	9	9	9	10	11	11	11	11	12	11	13	14	13	13	14	16	16	17	15	17	15	18	17	16	19	18	20	19	21	21	22	23	24	23	23	24	24	25	24	25	27	23	25	26	27	28	28	0	1	2	3	3	5	5	5	0	5	5	8	7	5	10	5	12	10	14	11	17	20	16	18	16	20	17	24	18	20	25	24	28	25	30	34	36	36	36	36	0	36	38	39	36	36	46	36	43	46	38	49	50	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	2	1	2	1	1	1	2	2	2	2	2	1	1	2	2	2	1	2	2	2	1	1	1	2	1	1	2	1	1	2	2	2	1	1	1	2	2	1
5500	-314.577052518916048	-312.773760577821974	-1.803291941094047	0.000012111896791	0.000022366522661	1.846657302916564	0.683268750991292	-1	3	2	6	7	9	10	9	7	8	12	11	12	10	11	12	12	14	13	14	14	17	15	17	16	17	16	19	17	16	18	18	20	19	21	21	22	22	24	23	23	24	25	25	25	25	28	24	25	25	27	28	27	0	3	1	2	4	10	10	5	0	5	5	8	7	10	5	10	8	11	14	16	17	11	20	18	11	20	17	29	16	20	25	29	28	31	20	31	36	36	36	36	0	36	38	39	42	36	39	36	38	39	46	49	50	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	3	1	2	2	2	2	1	2	1	1	1	1	1	3	1	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	2	1
6000	-280.643256254719631	-279.282038714587031	-1.361217540132614	0.000025234986592	0.000013887994727	0.550346824100832	0.738155645459766	-1	4	3	6	7	9	9	9	8	9	11	10	11	11	11	11	12	13	13	13	15	16	16	17	15	18	17	18	17	15	17	17	20	18	21	20	22	23	23	24	23	24	24	25	24	25	28	25	25	27	26	27	28	0	3	1	2	3	5	5	5	0	5	10	8	7	10	10	10	12	11	14	16	17	20	20	18	16	20	17	32	18	20	25	20	28	31	30	25	36	36	36	38	0	39	38	38	36	39	39	42	43	39	38	49	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	1	1	1	2	1	1	3	2	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1
6500	-281.136851243642298	-279.461333868050644	-1.675517375591625	0.000068620544253	0.000014504094240	0.211366645344370	0.595102368335256	-1	3	3	5	7	10	9	9	8	9	12	10	10	11	12	11	13	14	13	13	15	15	15	17	16	17	17	18	17	17	18	19	20	19	22	20	22	23	23	24	23	23	24	25	25	24	28	24	25	26	26	28	28	0	1	1	3	3	10	5	5	0	5	13	8	7	7	5	10	8	11	14	15	5	12	15	17	12	20	21	24	18	20	25	29	28	25	30	31	36	34	36	42	0	36	39	38	39	36	51	39	43	42	42	49	50	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	3	3	2	3	2	1	1	1	2	2	2	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1
7000	-294.229784965464773	-292.707558478746307	-1.522226486718473	0.000095511017188	0.000026750690453	0.280079631028344	0.675458718079083	-2	2	3	6	8	10	10	9	7	10	12	11	11	11	11	11	11	14	13	13	14	16	16	17	16	16	17	18	15	17	18	18	21	19	20	22	21	23	22	23	24	24	24	25	25	25	27	25	25	27	27	28	28	0	1	2	3	4	4	5	5	0	5	10	8	7	10	4	10	4	10	14	16	8	20	16	6	18	20	21	29	16	20	25	24	29	25	26	25	31	36	31	37	0	38	39	39	36	40	38	39	36	37	38	49	50	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	3	1	2	1	1	2	1	1	1	3	1	2	2	2	1	2	1	1	1	1	3	2	1	2	2	1	2	3	1	1
7500	-304.909404970033734	-303.184615953997593	-1.724789016036162	0.000113796401660	0.000022318982490	0.196130828080364	0.660507954701156	-1	2	3	6	7	9	9	8	8	10	11	10	11	12	11	10	13	14	12	14	14	15	15	17	16	17	16	19	17	17	19	18	20	19	21	23	22	22	22	22	23	25	24	25	24	25	28	25	26	27	26	28	28	0	1	2	3	4	4	8	4	0	5	5	8	7	16	10	8	8	11	4	5	17	20	5	18	18	17	17	24	18	11	25	20	29	25	30	39	31	34	34	31	0	39	39	34	31	39	36	34	43	46	36	49	46	1	2	1	3	1	1	1	1	1	2	2	1	2	1	1	1	2	1	3	3	1	1	4	1	1	2	1	1	2	2	1	2	2	2	2	1	2	2	1	1	1	1	1	3	4	2	2	3	1	1	1	1	1
8000	-281.854595235377360	-280.140380190226097	-1.714215045151271	0.000101346579203	0.000020189829291	0.199215695776713	0.726694770934170	0	2	4	6	7	9	10	8	8	10	12	10	11	12	12	12	13	14	12	14	14	16	16	17	14	18	17	18	17	15	18	19	20	18	20	22	21	24	23	22	23	25	24	25	24	25	28	24	25	27	24	26	28	0	1	2	3	3	5	5	5	0	4	7	8	10	12	10	5	2	11	7	16	16	30	20	18	17	7	16	24	18	20	25	29	28	25	30	24	31	40	37	34	0	39	40	40	39	39	43	40	43	46	36	46	50	1	2	1	1	1	1	2	1	1	3	1	1	1	1	1	2	6	1	1	1	1	1	1	2	1	4	1	1	1	1	2	1	1	2	2	3	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1
8500	-333.136343478433957	-331.291451938598868	-1.844891539835092	0.000114546980432	0.000019078692290	0.166557793300675	0.560204742936733	-1	3	4	6	9	8	10	9	8	9	11	10	9	10	12	10	12	15	13	14	13	17	16	18	14	17	18	18	17	16	19	18	19	18	21	23	21	23	23	23	21	25	24	25	24	26	29	25	25	27	27	28	25	0	1	1	3	1	3	13	3	0	6	16	2	6	8	6	10	5	7	14	16	11	8	18	25	5	20	21	18	25	15	18	18	28	29	24	29	31	34	31	18	0	38	36	40	39	42	51	38	36	53	36	40	36	1	2	2	1	4	2	1	3	1	1	1	4	1	1	1	1	2	3	3	1	1	4	1	2	1	1	1	2	2	2	2	1	1	1	2	3	1	2	2	5	1	1	1	1	1	1	2	1	1	1	2	3	1
9000	-300.532414148283692	-298.885458431404345	-1.646955716879323	0.000133344909566	0.000029513602028	0.221332798710985	0.563797497635023	-1	3	4	6	9	9	9	9	9	8	12	10	11	11	11	12	12	14	14	14	14	17	16	16	15	17	16	18	17	16	19	17	20	19	22	21	21	24	23	24	23	23	24	24	24	26	27	22	26	28	27	27	28	0	1	1	3	3	4	10	4	0	3	7	8	7	10	10	12	5	15	11	6	17	16	16	18	18	20	20	18	15	20	25	12	28	18	26	31	31	39	36	31	0	36	36	34	37	42	39	36	38	38	46	49	46	1	2	2	1	2	2	1	1	1	2	2	1	1	2	2	1	1	1	1	2	1	2	2	2	1	2	1	2	4	1	2	4	1	3	2	1	1	1	1	2	1	1	2	2	1	2	2	1	1	2	1	1	1
9500	-306.107206891133444	-304.498868906607754	-1.608337984525670	0.000119497328188	0.000028256699377	0.236463022276558	0.677760331746044	-1	2	4	5	7	10	10	8	8	10	10	10	11	11	12	11	13	15	13	14	12	17	16	16	14	16	17	19	18	17	19	17	18	20	21	21	21	23	23	23	23	24	25	26	24	26	29	24	25	28	26	27	27	0	1	2	3	4	8	5	5	0	5	5	8	5	6	10	11	12	6	7	16	13	20	13	18	6	20	7	11	24	26	25	14	24	25	30	32	31	36	36	36	0	37	38	39	39	39	51	39	42	51	48	49	51	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	1	3	4	1	1	3	3	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1
10000	-307.406091041642412	-305.727388535666478	-1.678702505975956	0.000160147387637	0.000033680787972	0.210311191887841	0.662102480574568	0	3	2	6	8	10	9	7	8	9	11	10	10	12	12	11	13	14	12	14	15	16	16	18	16	17	17	19	18	14	18	17	20	19	20	22	21	22	23	24	24	24	23	26	24	26	28	24	25	27	27	28	28	0	1	1	1	8	7	8	4	0	2	5	8	7	10	12	5	11	15	7	15	10	21	14	25	10	20	17	24	13	13	18	17	24	30	29	34	31	37	36	36	0	39	38	45	25	42	42	39	43	45	46	49	50	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	3	1	3	2	2	2	1	3	1	1	1	1	1	1	1	1	1	2	4	1	2	1	1	2	1	2	1
10500	-309.386586884232997	-307.609401970074316	-1.777184914158656	0.000092329309460	0.000016813847372	0.182107366235714	0.507991775401054	-1	4	2	7	9	9	8	9	8	10	11	10	10	12	11	10	12	15	13	14	15	15	15	17	15	17	17	18	17	16	18	18	20	19	21	22	21	23	23	24	22	25	24	25	25	24	28	24	25	27	26	28	27	0	3	1	3	4	4	3	7	0	5	5	8	8	4	5	2	12	11	16	5	16	4	4	18	12	22	17	18	18	20	21	18	28	25	32	25	31	34	37	34	0	39	34	38	36	39	42	39	46	38	38	49	36	1	1	2	3	1	1	3	1	1	1	1	1	1	3	1	3	1	2	1	2	2	2	3	1	3	2	3	1	1	1	2	2	1	2	2	5	2	2	1	3	1	1	2	1	1	1	2	1	1	2	2	2	3
11000	-305.799789381443190	-304.264568506803641	-1.535220874639562	0.000102788064674	0.000027992925489	0.272336341560490	0.672795831320413	0	2	3	6	8	10	9	9	7	10	12	10	11	9	11	10	13	14	13	14	12	17	16	17	15	18	16	18	17	16	19	19	18	19	20	21	21	24	23	22	23	23	25	25	24	24	29	24	23	27	26	26	28	0	1	2	3	4	8	5	3	0	4	5	5	7	5	8	5	12	11	14	8	12	20	10	20	19	11	18	18	18	7	18	29	18	24	26	29	28	42	34	34	0	37	38	37	36	42	52	36	36	36	37	49	50	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	3	2	1	1	4	2	1	2	1	3	2	3	3	1	2	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	1	3	2	2	1
11500	-306.717113186967651	-304.876006089908344	-1.841107097059299	0.000103013478611	0.000017240549951	0.167362079056085	0.571592766964138	-2	3	2	6	9	10	10	10	8	8	12	11	11	11	11	11	13	15	13	15	14	16	15	17	16	15	16	19	18	16	19	19	20	19	21	22	20	23	22	24	24	24	24	25	25	25	28	25	25	27	27	26	28	0	3	1	1	10	10	5	10	0	4	13	8	7	5	10	10	4	15	14	17	8	26	16	13	18	15	26	29	24	16	25	29	34	25	26	37	25	36	34	36	0	39	38	37	37	36	36	42	43	45	38	49	39	1	1	3	4	1	1	1	1	1	1	1	1	1	1	2	2	4	2	1	1	2	1	1	3	1	2	1	1	1	2	2	1	1	2	3	1	2	1	1	1	1	1	1	2	4	2	2	1	1	2	2	1	4
