step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84
1	-3342.172346061347980	-3340.710263976829083	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.743074971094808	-1	0	2	2	4	2	4	4	5	5	5	5	5	6	7	7	7	8	8	6	7	7	6	8	7	9	9	9	9	8	9	9	8	11	10	11	10	11	11	12	11	14	15	15	17	16	16	17	19	20	19	19	20	18	19	19	20	20	21	21	21	20	21	21	22	23	23	23	23	22	23	24	25	27	26	27	26	26	26	28	30	31	32	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	3	3	3	3	3	3	4	4	4	4	5	5	4	4	4	4	5	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	7	6	8	8	8	9	9	9	9	10	11	10	10	11	10	10	10	11	11	11	11	11	11	11	11	12	12	12	12	12	12	12	13	13	14	14	14	14	14	14	15	16	16	17	19
500	-1285.925684450776771	-1284.161503009883972	-1.764181440892836	0.000009976833089	0.000017469749984	1.751031597790857	0.247169373816086	-1	1	3	3	3	3	5	2	5	6	5	6	2	6	7	7	6	8	8	4	5	7	7	8	7	10	9	10	9	9	10	10	9	10	10	12	10	11	11	12	9	11	14	14	18	16	17	15	16	20	18	20	21	19	19	20	20	20	22	21	22	18	21	21	22	22	23	23	23	23	24	25	26	27	27	26	27	27	27	29	31	32	33	37	0	1	8	8	2	8	8	1	8	6	3	4	1	5	13	1	7	23	7	13	4	9	14	14	9	9	15	19	5	25	19	19	21	9	16	16	16	24	32	14	21	41	37	37	42	0	0	37	13	41	42	37	42	41	42	33	41	41	37	33	41	41	41	41	47	41	41	41	41	41	41	42	48	33	58	41	41	62	45	41	41	49	49	49	1	1	1	1	2	1	2	1	2	2	1	2	2	2	3	5	1	1	1	1	1	1	1	1	1	4	2	1	4	2	1	1	2	2	2	4	2	2	1	4	2	1	3	2	5	1	1	3	8	8	4	7	6	7	4	8	6	5	7	5	5	5	9	7	3	6	7	8	9	9	9	10	8	9	7	10	12	6	6	10	13	12	14	16
1000	-999.409669485714176	-997.720958582327171	-1.688710903386950	0.000009910419036	0.000015538525072	1.567897887619234	0.366444286590777	-2	0	1	2	4	3	4	3	5	5	5	5	5	6	8	7	8	8	8	5	6	7	7	9	7	9	9	9	10	9	9	10	8	11	11	12	11	11	11	13	9	14	16	15	14	15	13	14	17	20	19	20	21	15	16	19	17	17	20	20	21	19	20	22	19	24	22	24	22	23	23	23	26	27	27	27	26	25	27	28	31	32	31	36	0	1	1	3	2	3	1	1	3	3	3	7	8	5	11	13	8	23	16	6	8	12	14	23	9	9	15	11	18	25	3	19	21	16	19	25	26	24	16	38	21	41	37	37	41	0	0	37	47	33	58	48	41	41	42	41	54	42	48	51	51	54	55	57	47	56	58	62	63	45	55	45	48	56	58	45	63	72	57	54	45	65	49	65	1	1	2	1	3	1	2	2	2	2	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	3	1	2	5	1	2	2	2	3	1	2	2	1	2	3	2	2	3	1	1	1	2	6	1	3	7	5	1	7	2	3	4	1	2	2	2	4	4	3	2	5	2	8	6	6	7	6	7	7	4	2	6	6	9	9	11	13
1500	-918.135887424150496	-916.460967671541539	-1.674919752608967	0.000009965168169	0.000015291769487	1.534521969619469	0.437000054287514	-1	0	3	2	3	0	4	5	5	6	4	4	5	4	6	5	7	7	7	6	8	8	6	6	7	7	10	9	9	8	8	9	7	12	10	10	10	10	11	13	11	15	15	15	17	16	15	17	18	21	19	19	20	17	16	19	19	18	21	21	22	21	21	22	19	23	23	24	22	22	24	22	25	28	27	27	27	26	27	28	30	32	33	37	0	1	1	1	2	1	1	6	6	8	1	4	1	5	9	6	16	14	11	11	33	12	14	14	3	8	15	1	18	3	19	8	12	9	1	30	26	24	32	38	33	33	37	37	42	0	0	44	47	45	58	48	41	42	42	33	45	41	48	51	51	53	55	57	47	56	58	72	63	57	55	53	48	66	58	68	69	72	57	72	62	65	49	65	1	1	3	2	2	1	2	2	3	1	3	2	2	1	1	3	1	2	2	1	1	3	1	1	2	1	3	6	2	2	1	2	2	3	4	1	1	2	1	2	2	3	2	2	2	1	1	1	2	2	1	2	5	1	1	6	1	2	1	1	2	1	3	3	3	3	2	1	1	1	6	2	4	3	6	2	2	2	5	3	6	9	11	12
2000	-886.533189640849855	-884.661968665821064	-1.871220975028740	0.000010035291378	0.000020217071419	2.014597350352107	0.431897903848328	-1	0	1	3	4	3	4	2	4	5	6	5	5	5	7	8	4	9	8	6	7	7	6	8	6	9	9	10	10	7	9	9	8	11	10	10	10	8	12	13	11	14	15	15	16	16	16	17	19	20	18	19	20	18	17	18	18	20	22	21	20	21	21	21	22	23	24	23	23	20	24	24	26	26	27	25	27	27	26	28	30	31	33	37	0	1	1	8	2	1	1	1	8	9	3	4	1	5	7	13	8	14	6	13	12	12	14	14	7	6	15	8	18	25	6	11	21	13	11	30	26	14	32	24	33	41	37	37	42	0	0	44	47	45	45	48	54	45	41	41	42	42	52	61	51	53	55	57	49	56	58	62	63	57	55	68	59	66	58	68	69	72	70	68	68	65	46	65	1	1	1	1	2	2	2	2	1	1	2	1	3	1	1	1	1	2	2	1	1	1	1	2	1	3	1	4	1	1	2	2	1	2	1	1	1	2	2	3	2	2	2	3	1	1	1	1	2	1	1	1	2	1	2	5	1	2	2	1	2	1	2	2	2	2	2	1	1	1	5	1	2	2	4	2	2	2	3	2	6	5	12	11
2500	-818.348280926454322	-816.695473828304785	-1.652807098149503	0.000010191102054	0.000015092875022	1.480985563828520	0.503425556888004	-1	1	2	3	4	2	4	4	5	5	6	5	5	6	7	8	7	8	6	7	7	7	7	8	7	9	10	9	10	8	10	9	9	9	10	11	10	12	12	12	11	14	16	15	18	16	14	18	19	21	18	19	20	18	19	19	20	20	21	22	21	21	21	22	23	23	23	24	22	23	23	24	24	26	27	26	24	27	26	27	31	32	33	36	0	1	1	1	2	1	1	6	1	3	7	8	7	5	7	13	9	14	3	11	12	12	14	23	11	11	15	11	18	25	19	7	21	8	19	25	26	24	32	24	33	41	37	37	41	0	0	43	47	56	42	48	45	42	54	41	56	51	52	51	51	45	55	57	49	56	58	62	55	64	55	62	52	66	67	68	69	72	64	76	80	49	49	49	1	1	1	1	2	2	3	2	2	2	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	2	2	1	1	2	3	1	3	2	2	1	2	2	2	1	1	3	3	4	1	1	1	2	1	3	1	2	2	1	4	1	1	2	2	2	2	2	1	2	2	2	2	2	1	3	2	3	2	3	1	1	2	2	1	3	4	10	9
3000	-820.657783815970902	-818.886472528906552	-1.771311287064401	0.000010092264673	0.000017847326016	1.768416365698881	0.454262264702153	-2	-1	2	3	3	3	3	5	3	5	5	4	6	4	7	8	7	8	6	7	6	8	6	8	7	9	8	10	10	9	9	9	8	12	10	12	11	12	11	11	11	14	15	15	17	16	16	17	19	21	18	19	21	19	19	17	19	20	22	21	21	19	22	20	22	23	23	23	23	22	24	25	24	27	26	28	27	27	25	26	31	32	33	36	0	1	1	1	2	3	1	9	1	9	7	9	8	5	13	11	7	23	8	11	12	4	14	23	9	9	15	9	18	25	19	19	21	17	17	8	26	24	32	24	21	41	37	37	41	0	0	43	47	56	45	48	62	42	56	33	56	51	52	51	51	45	55	57	49	56	58	62	55	64	55	68	52	66	67	68	69	72	64	68	80	49	49	49	1	1	2	3	2	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	3	1	4	2	1	1	1	1	3	1	4	1	2	1	2	2	2	2	2	4	1	1	1	2	2	1	1	1	2	1	5	1	1	2	1	2	1	1	1	2	2	2	2	3	1	3	2	2	2	3	2	2	1	2	2	3	6	6	8
3500	-798.917914561426301	-797.128075983140434	-1.789838578285810	0.000010483236544	0.000019013321074	1.813688071739595	0.546294493457517	-2	0	2	2	4	3	4	1	4	4	5	5	6	5	8	7	5	7	7	7	7	7	7	8	7	9	9	9	9	8	10	9	8	10	11	9	10	11	11	13	11	15	15	16	17	16	16	17	20	19	17	19	21	19	20	17	20	19	21	21	22	19	22	22	22	23	24	23	23	23	23	25	24	28	25	26	26	26	26	29	31	31	32	36	0	1	1	8	2	1	6	1	1	8	7	4	3	5	20	17	7	5	9	11	12	12	14	14	3	11	15	9	18	3	16	13	21	13	32	25	26	23	32	24	33	41	37	37	41	0	0	43	47	56	42	48	62	45	50	41	50	51	52	51	51	45	55	57	49	56	58	62	63	64	55	68	52	66	58	68	69	68	70	76	80	49	49	49	1	1	2	1	2	2	1	2	3	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	2	1	1	1	2	1	2	2	3	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	3	2	2	1	1	2	2	2	3	3	2	1	2	2	2	1	6	5	8
4000	-778.465983704625501	-776.492451890677899	-1.973531813947611	0.000011508997417	0.000026163129349	2.273276150959907	0.619950120890297	-2	0	1	2	4	3	5	2	5	5	4	4	5	7	8	7	6	8	7	6	7	6	6	8	7	9	10	10	10	9	9	9	9	12	9	10	11	11	11	12	11	15	15	15	15	16	15	16	19	17	18	18	20	18	19	19	18	20	22	22	21	21	21	19	22	24	23	22	22	23	23	24	26	28	26	26	26	25	26	29	31	31	33	34	0	1	1	3	2	1	3	3	8	8	8	4	6	23	17	7	6	23	11	13	11	13	5	23	7	6	15	9	18	25	19	19	21	12	19	25	26	24	32	24	21	33	37	37	41	0	0	44	47	42	42	48	54	41	50	54	50	51	52	51	51	53	55	57	49	56	58	62	63	64	55	68	59	66	58	68	69	68	70	76	80	49	49	49	1	1	1	1	2	1	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	3	1	2	1	1	1	3	1	1	1	2	2	2	2	2	2	2	2	1	1	1	3	1	3	1	1	3	1	1	1	1	2	3	2	1	1	1	2	3	2	1	1	2	2	2	2	1	2	2	2	2	2	2	1	5	6	8
4500	-748.879853143225773	-747.245145682948078	-1.634707460277737	0.000013090760138	0.000018812733672	1.437100173971339	0.584158298649635	-1	1	2	2	4	1	4	4	6	6	5	4	6	7	7	7	8	8	8	7	8	7	6	8	7	9	9	10	10	9	10	9	6	11	10	11	11	12	12	13	11	14	13	16	17	16	16	17	20	18	18	19	18	18	18	20	20	20	21	20	21	20	21	21	23	22	23	23	23	23	23	24	25	27	25	27	26	27	25	28	29	31	32	37	0	1	6	1	2	1	3	3	8	1	3	4	8	23	7	11	9	14	16	8	33	12	5	14	1	7	15	17	18	13	19	19	12	10	19	25	26	24	32	38	33	41	37	37	42	0	0	43	47	42	42	48	42	45	41	50	50	51	52	51	51	53	55	57	49	56	58	53	63	64	55	68	59	66	58	68	69	72	70	76	80	49	49	49	1	1	1	2	2	1	1	1	1	5	1	1	1	1	1	1	1	1	1	2	1	2	1	1	5	3	1	1	1	2	1	1	1	2	1	3	1	2	2	1	4	2	1	2	2	1	1	2	2	3	2	1	2	1	2	1	1	1	2	1	2	1	2	1	3	1	2	2	1	2	2	1	3	2	2	3	1	2	1	1	1	5	6	8
