step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
1	-54.087853572326736	-60.943341523286108	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.514483530007384	0	4	5	6	7	7	7	8	8	9	10	8	10	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	4	4	4	5	5	4	5
500	-37.068656136953557	-43.924144087912929	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515063988812470	1	5	3	5	7	7	7	8	9	9	11	8	10	0	1	1	3	4	1	4	1	6	5	9	7	6	1	2	1	1	1	3	1	4	2	1	1	1	2
1000	-32.898829879900141	-39.754317830859513	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.661134286390951	0	5	5	7	7	8	7	8	9	9	10	9	10	0	1	1	3	2	2	3	3	5	3	3	3	9	1	3	2	1	1	1	1	1	1	2	2	2	1
1500	-85.116383472129343	-91.971871423088714	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497079997994993	1	3	6	6	7	6	5	8	8	8	10	8	10	0	1	2	1	6	7	2	5	4	6	12	6	8	1	1	1	3	1	1	1	1	1	1	1	1	1
2000	-40.253656575868000	-47.109144526827372	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.696000927797446	1	3	6	5	7	7	7	9	8	10	7	8	11	0	1	1	1	1	3	4	11	11	8	4	3	12	1	1	2	2	3	1	1	1	1	1	1	1	2
2500	-41.928246981669261	-48.783734932628633	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779351658915951	1	4	5	3	7	6	7	8	8	10	9	6	11	0	1	4	1	12	2	3	4	4	12	8	2	8	1	1	1	1	1	1	1	3	2	2	1	1	2
3000	-39.731310199560916	-46.586798150520288	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.828667665708582	1	3	6	5	8	7	8	8	7	9	11	8	8	0	1	4	1	3	1	9	4	1	6	9	3	3	1	1	1	1	1	2	1	1	3	1	2	1	1
3500	-49.548898474072338	-56.404386425031710	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.982181639070037	1	3	5	6	6	8	7	8	7	9	11	9	10	0	1	2	1	2	9	3	4	3	9	13	7	6	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-34.524228596468802	-41.379716547428174	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.691850280826796	0	4	6	6	7	8	8	8	8	9	10	8	11	0	1	2	1	2	3	4	1	5	4	12	4	10	1	1	1	3	1	1	1	4	1	1	1	1	1
4500	-58.692219890397439	-65.547707841356811	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.866052892536482	0	4	5	7	7	6	7	8	8	9	9	7	10	0	1	2	1	3	3	3	6	12	6	8	2	10	1	2	1	3	1	1	1	1	1	1	1	2	1
5000	-25.985725916268173	-32.841213867227545	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.898251519461076	1	4	5	6	8	7	7	8	8	9	10	8	9	0	1	1	3	6	3	2	3	7	9	5	3	5	1	1	1	1	1	1	1	1	1	1	1	1	1
