step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
1	-1162.492256376924388	-1171.543099757375785	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.709968000076089	1	1	4	6	9	12	22	20	20	26	27	26	29	33	34	36	37	30	31	43	48	36	34	37	32	33	33	34	37	33	34	38	33	35	42	37	42	35	54	44	39	38	36	46	37	36	39	46	45	39	38	36	43	51	48	42	44	45	44	41	53	45	64	47	55	47	52	45	46	48	48	54	57	50	58	53	69	71	78	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-410.691818817184526	-419.742662197635866	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996214705933962	3	0	4	4	7	14	21	19	13	28	22	22	23	30	33	39	36	26	28	41	44	34	37	34	31	28	36	36	37	33	36	35	22	34	44	34	41	34	51	38	40	32	36	44	38	39	39	46	41	39	37	31	47	44	48	25	42	46	46	39	53	46	60	47	54	38	55	40	43	51	42	54	50	51	50	55	64	69	72	2	0	2	2	1	5	5	6	4	11	8	9	7	13	12	42	56	13	13	45	22	42	24	7	11	8	10	11	25	7	15	42	9	12	23	10	34	14	45	22	31	19	42	25	36	17	17	49	32	36	15	56	43	23	53	6	27	20	57	32	59	66	72	66	23	14	64	26	43	68	28	75	71	32	32	21	76	77	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-400.094243516408426	-409.145086896859766	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978914762649156	2	-1	6	8	10	15	24	23	15	21	24	19	26	35	28	35	38	31	29	45	46	39	33	39	25	34	26	33	32	36	35	41	35	32	34	36	42	38	55	42	38	38	36	46	40	33	38	48	43	40	34	27	44	47	40	39	46	45	41	44	48	42	59	47	54	46	47	41	45	41	50	52	44	45	52	50	59	68	72	2	0	1	1	1	5	9	6	4	6	6	3	9	27	11	15	35	8	10	38	50	29	8	28	12	11	10	52	11	15	7	33	7	27	11	13	23	14	53	38	18	15	18	70	16	25	33	50	70	16	25	7	42	30	23	34	34	38	28	29	32	35	44	59	60	22	70	43	45	36	20	31	70	28	69	60	53	63	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-412.878057252358985	-421.928900632810326	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999865857737172	0	-2	6	7	11	2	23	20	19	18	17	28	28	28	36	35	36	32	25	42	45	32	31	40	30	36	32	33	32	37	37	37	32	36	44	40	37	39	51	47	33	35	40	48	32	39	38	45	41	38	39	36	45	53	46	44	44	44	47	37	53	37	45	48	49	47	54	49	44	41	47	46	54	45	55	55	67	55	72	2	0	1	1	1	2	9	11	5	5	4	11	7	7	25	13	18	14	10	29	43	7	8	41	11	41	14	12	13	25	18	14	19	23	34	13	22	22	56	26	13	28	42	55	10	18	12	38	14	42	25	33	36	53	58	15	46	16	23	41	53	27	52	26	58	16	44	58	24	15	35	27	71	62	15	56	78	40	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-405.375563388512433	-414.426406768963773	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983779268040368	-2	-4	4	7	9	12	23	20	16	23	29	26	30	33	30	37	34	23	24	40	43	38	33	31	29	35	31	25	36	26	30	36	33	38	45	33	37	29	56	40	42	39	31	40	39	37	39	45	48	41	28	38	33	50	41	37	43	48	45	43	52	42	65	48	47	49	36	38	48	49	44	55	53	50	59	53	73	67	78	2	0	2	2	3	3	8	6	6	9	19	8	12	43	12	25	12	9	9	56	29	15	51	8	18	51	7	8	51	10	7	36	12	17	40	10	11	9	70	23	52	23	28	36	24	15	31	62	44	46	10	23	11	59	46	17	34	52	16	36	59	34	70	52	22	60	27	28	42	23	37	67	44	62	35	70	78	61	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-406.255122328831476	-415.305965709282816	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987226797470364	2	-1	5	6	10	8	22	20	17	26	29	28	25	35	33	34	41	26	32	36	46	28	35	36	25	35	36	35	39	34	31	38	22	34	44	35	44	36	52	38	39	41	35	45	32	36	29	45	44	26	38	34	37	42	49	38	42	39	40	38	48	31	66	45	54	45	41	45	45	49	47	50	55	49	50	54	71	58	74	2	0	1	1	2	2	9	1	3	8	33	18	3	45	11	25	36	9	33	18	24	7	62	31	33	62	45	13	38	13	10	11	9	18	34	22	41	50	44	19	26	14	11	27	13	22	8	34	29	7	34	50	43	40	57	24	16	47	14	31	68	7	78	17	21	41	26	32	36	21	17	17	64	51	20	69	63	39	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-438.593040679196577	-447.643884059647917	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.977252435690054	3	-2	5	8	10	15	19	18	12	18	21	25	26	24	31	28	41	27	29	38	49	38	31	39	32	30	36	36	38	23	36	42	33	36	41	32	41	34	58	40	23	38	35	44	34	31	35	45	37	25	34	39	41	53	51	22	35	41	38	36	55	48	65	49	49	51	45	42	42	50	47	49	59	52	56	44	63	69	72	2	0	2	2	4	5	6	9	1	3	8	11	11	10	13	50	15	10	14	14	37	25	16	46	26	56	23	16	7	8	19	38	26	46	41	13	15	23	57	45	5	36	12	24	14	56	38	52	45	41	14	46	57	69	71	4	56	43	28	56	38	47	39	76	35	76	37	52	22	32	69	68	64	65	70	49	55	63	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-425.301835748489395	-434.352679128940736	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994960324481794	1	-4	7	6	6	11	23	20	17	27	28	23	31	33	28	39	35	32	34	38	42	37	26	22	33	32	35	30	38	21	31	43	34	36	38	42	42	29	47	38	40	35	30	49	36	24	36	45	43	39	39	35	31	52	50	34	44	46	44	37	45	48	55	50	50	49	45	41	48	48	39	58	55	50	58	42	64	73	76	2	0	1	2	1	5	30	6	5	8	24	8	9	28	8	42	11	30	11	10	26	25	12	3	7	23	18	8	31	9	7	42	24	46	26	11	29	8	76	33	17	23	15	21	43	8	13	29	71	53	10	15	7	74	53	18	47	36	33	52	34	40	45	59	36	41	53	45	41	32	42	74	64	71	70	47	72	77	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-430.957320422555824	-440.008163803007164	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992028556784411	2	-4	5	3	9	5	22	15	17	24	26	23	31	36	38	29	40	32	31	44	38	36	36	34	28	34	37	35	37	34	32	28	32	36	35	38	36	27	47	33	39	36	36	44	39	31	35	42	44	37	37	34	46	39	51	44	43	42	45	34	48	45	57	39	52	46	54	40	44	48	48	47	59	47	57	41	69	67	73	2	0	1	2	4	1	5	1	6	8	3	2	10	16	33	7	11	7	11	32	47	11	11	16	9	19	60	8	16	9	10	7	12	32	32	31	18	7	54	7	47	30	25	60	25	11	13	26	25	16	46	38	27	24	57	50	14	51	7	12	64	36	62	52	62	38	70	22	42	20	34	22	66	15	58	50	63	63	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-417.055713657161050	-426.106557037612390	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995853083200344	3	-2	2	7	8	12	19	19	19	23	30	27	25	32	32	20	37	24	25	44	52	35	34	34	26	36	37	34	38	34	24	26	32	32	46	35	35	32	55	46	42	32	38	48	32	33	40	39	42	29	33	38	37	45	49	37	35	41	40	36	42	47	60	47	55	45	54	42	42	42	42	46	52	48	51	57	61	68	75	2	0	2	3	2	1	5	5	6	6	31	7	9	12	18	4	46	16	6	57	62	45	13	13	16	46	12	12	10	50	7	7	13	50	17	12	32	25	54	71	27	25	12	14	13	25	33	34	37	7	31	51	36	56	71	14	11	15	60	33	36	28	67	49	73	17	69	43	51	45	37	27	54	56	61	74	76	75	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
