step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113
1	-6124.748154183931547	-6123.286072099413104	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.837598001896947	0	2	3	4	4	7	7	7	8	8	8	7	8	9	8	8	8	9	9	9	9	10	9	10	11	10	10	11	11	11	13	13	11	11	11	11	14	14	13	12	15	14	12	12	12	12	12	12	15	15	13	13	14	13	13	13	14	13	13	14	14	14	14	14	14	15	14	14	15	15	15	15	16	16	15	15	15	16	16	16	16	16	17	17	17	17	19	18	20	18	19	19	18	20	20	19	19	19	19	19	20	20	20	20	20	22	24	23	27	24	25	26	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	6	6	6	6	6	6	6	6	7	6	6	6	7	7	7	7	8	7	8	8	8	8	8	8	8	10	10	8	8	8	8	11	11	10	9	11	11	9	9	9	9	9	9	11	11	10	10	11	10	10	10	11	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	12	12	11	11	11	12	12	12	12	12	13	13	13	13	14	13	15	13	14	14	13	15	15	14	14	14	14	14	15	15	15	15	15	16	18	17	20	18	18	19	20
500	-1271.805267638671012	-1269.704909645032785	-2.100357993638322	0.000010016441009	0.000026099894522	2.605705409516757	0.176377793594315	-2	-1	0	2	2	7	4	4	6	5	5	5	7	8	5	8	7	8	9	8	6	9	7	10	10	10	9	11	11	10	13	12	11	10	11	11	14	14	12	12	15	13	12	11	10	12	12	10	15	15	13	13	14	13	12	12	13	13	13	14	14	14	14	14	14	15	14	13	15	15	15	15	16	16	15	15	15	16	16	16	16	16	17	17	17	14	19	18	20	18	19	18	18	20	20	19	19	19	19	19	20	20	20	20	20	22	24	23	27	24	23	26	26	0	1	2	3	3	10	5	4	4	5	5	5	21	9	7	11	11	11	23	8	8	13	5	21	11	9	21	13	17	13	32	23	18	18	13	22	16	18	17	15	10	23	18	11	8	45	4	0	23	11	16	18	18	5	10	7	5	25	18	4	13	21	3	11	10	7	16	18	15	17	19	13	13	21	21	16	11	18	13	21	15	12	8	11	33	10	10	16	10	16	10	15	15	16	11	37	11	16	51	11	16	11	67	76	16	10	10	5	42	7	0	54	0	1	1	1	2	1	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	1	4	3	4	3	3	2	3	3	1	3	3	1	4	2	6	6	2	4	10	5	4	6	6	2	6	1	4	8	5	4	5	9	6	5	10	3	2	12	7	7	11	6	5	10	6	5	10	8	5	5	6	10	8	6	9	7	9	6	10	9	12	9	6	9	12	9	13	9	13	11	10	8	14	4	11	11	6	13	10	15	6	4	9	13	15	17	12	18	1	9	1
1000	-1069.463299442304333	-1067.844151213270834	-1.619148229033541	0.000009968248091	0.000013948459455	1.399288955010934	0.180233320566078	-2	-1	0	2	2	7	5	5	5	8	5	7	8	9	5	6	8	8	9	7	6	9	6	10	11	10	9	11	10	11	11	10	11	10	11	10	13	14	13	11	15	13	12	12	12	12	12	12	15	15	11	13	14	12	12	13	14	13	13	14	14	13	14	11	12	15	11	14	15	15	15	15	16	16	15	15	15	16	16	15	16	16	17	17	17	16	19	16	20	18	19	17	18	20	19	19	18	19	18	19	20	19	20	20	20	20	24	23	26	23	24	25	27	0	1	2	3	3	3	5	4	4	5	5	7	8	9	3	11	11	11	7	9	8	13	9	13	18	8	21	22	17	21	15	5	18	18	13	22	16	33	29	32	5	12	18	18	20	26	20	0	54	16	11	54	18	5	15	40	32	25	44	4	8	13	5	16	32	15	16	25	55	11	42	30	22	21	13	16	18	18	22	21	7	23	8	16	76	7	32	76	7	51	64	81	32	76	16	97	16	64	84	16	37	11	76	95	67	15	15	40	87	7	0	82	0	1	1	1	2	2	6	3	2	3	4	2	2	3	4	2	1	3	3	3	2	1	1	1	1	2	5	3	2	2	4	3	6	2	1	3	1	7	1	2	1	10	5	2	4	4	1	5	1	3	6	5	1	4	8	5	2	3	2	1	11	6	5	11	4	2	8	3	2	2	9	1	4	7	7	7	9	7	6	7	8	4	10	11	7	1	7	8	1	13	6	8	1	7	4	12	1	10	8	1	11	7	13	3	1	6	12	16	10	6	12	1	8	1
1500	-895.167256292927391	-893.732896406341865	-1.434359886585558	0.000010044934578	0.000009243460757	0.920211145794939	0.333353277329631	-1	1	2	3	3	7	7	4	8	8	5	7	8	9	8	7	7	8	9	9	6	9	7	10	9	10	10	11	11	11	11	10	10	10	11	11	14	14	13	12	15	14	12	12	11	12	11	11	15	15	12	12	14	12	13	13	14	13	13	14	14	14	14	14	14	15	14	14	14	15	15	14	16	15	15	12	14	14	16	16	16	16	17	17	17	17	19	16	20	18	19	19	18	20	20	19	19	18	19	19	19	20	20	20	19	22	24	22	27	23	25	26	27	0	1	2	3	3	3	5	4	4	5	5	5	21	13	5	11	11	11	12	9	8	13	5	13	18	9	21	22	17	27	10	10	18	11	26	22	16	25	29	32	10	19	25	34	8	26	26	0	15	16	16	18	25	7	10	54	10	43	44	8	22	30	5	51	55	10	51	25	55	11	54	28	22	21	60	16	10	11	28	13	41	54	60	51	78	81	54	76	10	67	76	86	10	90	16	84	16	37	84	16	37	16	97	98	37	82	71	63	54	71	0	54	0	1	1	1	1	1	3	3	1	5	5	2	3	2	1	4	2	1	2	2	1	2	1	4	2	1	2	3	2	4	1	1	2	1	4	1	2	7	2	2	2	7	3	3	2	5	2	1	1	4	4	4	3	2	5	4	1	3	1	1	10	5	2	11	2	1	5	2	4	1	8	3	3	6	6	1	3	6	8	5	6	1	3	3	5	3	1	6	3	11	3	5	2	7	2	12	2	9	3	2	12	5	11	1	1	5	5	9	5	12	4	1	11	1
2000	-782.946574676804971	-781.319485350430796	-1.627089326374153	0.000010108064236	0.000014339291396	1.418599156190548	0.366298394766457	0	2	3	4	4	7	6	7	8	8	5	6	7	9	8	6	8	8	8	9	8	9	9	9	11	10	10	11	11	11	12	10	10	11	11	11	13	14	13	12	15	13	12	12	12	12	12	12	15	14	12	13	14	12	13	13	14	13	13	14	14	12	14	14	13	14	13	13	15	15	15	14	15	16	15	14	15	16	14	16	16	16	16	17	17	17	18	18	20	18	18	19	18	20	20	19	19	16	19	19	20	20	20	20	20	21	24	22	27	24	24	26	27	0	1	2	3	3	7	5	4	4	12	5	5	4	9	7	11	11	11	12	8	13	8	7	13	18	20	21	22	17	21	7	7	18	18	26	22	16	18	29	23	65	32	18	34	26	35	26	0	31	67	16	25	25	7	54	40	23	43	44	26	28	24	5	51	54	31	51	25	55	17	42	28	61	13	30	67	25	18	28	27	41	31	73	76	53	81	71	76	42	67	84	86	54	88	16	91	51	76	84	16	84	67	97	98	98	71	71	89	54	106	0	42	0	1	2	1	1	1	1	2	1	3	2	1	2	2	1	1	1	3	3	2	2	1	2	3	2	2	1	2	2	2	3	4	2	2	1	1	2	6	4	1	3	2	3	4	1	2	1	2	1	3	1	5	2	3	4	1	1	5	1	1	3	2	2	9	2	1	2	1	2	2	7	2	3	1	9	3	1	3	6	3	6	1	3	1	3	2	1	2	2	6	3	1	2	5	2	11	1	7	1	2	12	2	5	1	2	4	5	5	2	13	3	1	12	1
2500	-703.529356062223769	-701.982597786578140	-1.546758275645651	0.000010095477875	0.000012327516030	1.221092867836727	0.439218122125658	0	2	3	4	4	6	5	7	8	8	5	7	8	8	8	7	8	9	9	9	9	10	9	10	10	10	10	11	11	11	13	10	11	11	11	11	13	12	13	12	15	13	12	12	12	12	12	12	14	14	12	13	13	12	13	13	14	13	13	14	14	14	14	14	14	15	14	14	15	15	15	14	15	16	15	15	15	16	16	16	16	14	17	17	17	17	17	15	19	18	19	19	18	19	18	19	19	16	19	19	20	20	20	19	20	21	24	22	27	24	23	26	24	0	1	2	3	3	3	5	4	4	7	5	5	8	4	5	11	11	11	12	14	13	13	10	21	18	8	21	22	17	21	15	10	18	18	26	22	16	25	29	32	65	32	18	34	26	26	26	0	15	37	16	25	38	32	32	32	7	43	44	35	22	27	7	37	55	49	37	53	55	17	82	28	61	27	62	67	68	53	28	27	41	42	72	88	78	81	71	67	42	88	84	86	71	76	16	90	98	67	95	16	95	95	100	98	95	89	106	106	82	108	0	71	0	1	1	1	1	1	2	1	2	3	3	1	2	1	3	3	2	1	2	2	1	1	2	1	1	1	3	1	1	3	2	3	2	2	2	1	1	3	2	1	2	1	3	3	1	2	2	1	1	4	1	2	1	1	2	2	3	5	1	1	3	3	3	8	1	1	1	1	1	2	7	1	1	1	4	1	1	1	3	3	2	1	1	2	2	1	1	2	1	5	2	1	2	3	3	11	1	2	2	1	12	1	2	1	2	1	2	2	1	11	2	1	11	1
3000	-640.294615665027322	-638.869004936055148	-1.425610728972140	0.000010199269494	0.000009113364314	0.893531082786205	0.564126738025001	0	1	2	4	4	7	6	7	8	8	6	7	8	9	8	8	8	8	9	9	9	10	7	10	9	10	10	11	10	11	13	10	11	9	11	11	14	14	13	12	15	12	12	11	12	12	12	12	14	15	11	11	13	13	13	13	14	13	12	13	14	14	14	14	14	15	14	14	15	15	15	15	15	16	15	15	15	16	16	16	16	16	17	17	17	17	18	16	19	16	19	19	17	19	18	19	17	19	19	19	20	19	20	20	20	21	24	22	27	24	24	25	26	0	1	2	3	3	3	5	4	4	23	5	7	8	9	7	11	11	11	12	9	13	8	7	13	18	20	21	22	17	27	40	10	25	18	26	22	51	25	29	15	65	32	33	34	26	26	20	0	15	51	16	25	18	23	32	40	54	33	44	45	28	24	31	51	55	49	51	53	55	17	40	22	61	30	62	67	68	53	28	21	41	42	72	76	78	81	93	76	82	76	97	86	71	84	11	97	50	84	95	16	94	95	100	98	100	89	108	106	71	108	0	89	0	1	1	1	2	2	4	1	3	3	1	2	1	1	1	2	2	2	2	2	1	1	3	1	2	1	1	1	1	2	1	1	2	2	1	1	1	2	2	2	4	1	2	1	2	1	2	2	1	4	3	3	2	2	5	3	1	1	1	1	1	2	3	1	1	1	1	2	1	2	5	2	3	1	3	1	1	1	3	5	4	1	2	2	2	1	1	1	1	2	1	2	2	1	2	9	1	2	2	1	10	1	1	1	1	1	2	1	1	8	2	1	4	1
3500	-613.370469617299932	-611.705663145490121	-1.664806471809848	0.000010964084239	0.000016556242743	1.510043372777759	0.506198290420360	-1	2	3	4	4	6	6	7	7	6	7	7	8	9	8	8	8	9	8	9	9	9	9	10	10	10	10	11	11	11	13	13	10	10	11	11	14	11	13	12	15	14	11	12	12	12	12	12	14	14	12	13	13	10	13	13	14	13	13	14	14	14	14	14	14	15	14	14	15	15	14	15	16	16	15	15	15	16	15	16	16	16	17	17	17	17	19	18	19	18	19	19	18	20	19	19	17	18	19	19	20	20	20	20	20	20	24	22	27	24	24	25	27	0	1	2	3	3	3	5	4	4	5	7	7	8	4	7	11	11	11	12	8	13	8	10	13	18	8	21	22	17	21	12	54	18	18	26	22	51	25	29	54	65	40	25	34	35	35	35	0	7	51	16	38	18	15	23	54	56	43	44	46	22	30	31	51	55	49	51	53	55	39	32	28	61	62	62	50	68	53	28	30	55	71	72	76	78	81	93	76	71	76	76	86	31	90	16	97	76	97	84	67	100	95	100	84	100	89	108	106	89	106	0	110	0	1	2	1	1	1	2	2	2	2	1	1	1	1	5	2	1	1	2	1	2	1	2	2	2	1	3	1	2	2	2	3	3	1	1	1	2	2	1	1	2	1	2	1	2	1	1	1	1	4	2	3	2	1	1	3	3	1	2	1	1	4	2	1	2	1	1	2	1	2	2	1	4	2	2	1	1	1	2	3	4	3	2	1	2	1	1	1	2	3	3	2	2	3	1	10	2	2	1	2	5	1	1	1	2	1	1	2	2	6	2	1	1	1
4000	-612.128685187227006	-610.675757073933823	-1.452928113293224	0.000012219424230	0.000011905456955	0.974305886346566	0.513862806428157	0	2	3	4	4	7	5	7	7	8	7	7	8	9	8	8	8	9	9	9	9	9	8	10	11	10	10	11	11	11	10	12	11	11	11	10	14	13	13	12	15	13	12	12	12	12	12	12	14	15	12	12	14	11	12	13	14	13	13	13	14	14	14	14	14	15	14	13	15	15	14	15	15	16	15	15	15	16	15	16	16	16	17	17	17	17	19	17	20	18	17	19	18	19	19	19	19	18	19	19	20	19	20	20	20	21	24	23	27	24	25	23	27	0	1	2	3	3	3	5	4	4	3	5	5	8	9	7	11	11	11	12	8	13	13	5	13	18	20	21	22	17	21	7	10	18	18	26	22	51	25	29	54	65	54	33	34	26	26	35	0	7	67	16	18	38	31	10	32	40	43	44	26	28	27	10	51	32	49	16	25	55	29	32	28	61	62	62	67	68	53	28	27	41	71	72	76	53	81	93	76	42	76	67	86	82	84	16	90	84	84	91	67	95	84	98	98	100	89	108	106	89	106	0	89	0	1	2	1	1	1	2	1	2	2	4	1	1	1	1	2	1	1	1	2	2	1	1	3	2	2	1	1	2	2	1	2	3	2	2	1	1	2	2	2	1	1	2	1	1	2	2	1	1	8	1	3	3	1	1	4	1	2	1	1	2	3	3	5	2	2	1	3	2	2	3	2	3	1	2	1	1	2	2	2	4	1	2	2	2	3	1	1	2	4	3	3	2	2	1	10	1	2	1	1	5	1	2	1	2	1	1	1	2	4	3	1	2	1
4500	-614.317121450251989	-612.617889923446796	-1.699231526805242	0.000012632367568	0.000020127956460	1.593363742102402	0.524949312911928	-1	2	3	4	4	7	7	7	6	6	7	5	8	8	8	8	8	9	7	9	9	9	9	9	11	10	10	11	11	11	11	13	11	11	11	11	14	13	13	12	15	14	12	12	12	11	12	12	13	12	11	13	14	11	13	13	13	13	13	14	14	13	14	14	14	14	14	13	14	15	15	14	16	16	15	15	15	16	16	15	16	16	17	17	16	17	19	18	18	18	17	19	18	19	19	19	19	18	19	19	20	19	20	19	20	21	24	23	26	24	23	26	27	0	1	2	3	3	3	10	4	4	5	5	5	8	9	7	11	11	17	12	8	13	13	7	8	18	20	21	22	17	21	23	40	18	18	26	22	51	18	29	54	65	40	33	18	35	26	46	0	31	51	16	18	38	23	54	54	54	43	44	45	28	27	31	51	55	49	51	18	55	39	32	28	61	80	62	67	68	53	61	21	41	71	72	76	38	81	93	76	82	76	76	86	71	90	51	88	91	91	90	67	88	67	104	98	88	89	108	106	108	106	0	89	0	1	3	1	1	1	3	1	3	2	2	3	1	1	2	1	1	1	1	1	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	2	3	1	2	1	1	2	1	3	1	1	1	1	2	1	2	2	1	2	2	2	2	1	1	2	3	1	2	3	1	1	3	1	1	2	2	3	2	1	2	1	2	2	2	3	1	1	2	2	2	1	1	2	2	2	1	2	2	1	7	1	2	1	1	3	2	3	1	1	1	2	1	2	2	3	1	2	1
