step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107
1	-859.262111579865632	-857.800029495346735	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.003223217116813	1	1	3	3	3	4	3	5	8	5	7	6	8	8	7	8	7	9	8	9	9	10	9	9	10	9	11	10	10	10	11	11	12	12	13	13	11	13	12	11	12	14	13	13	13	13	13	14	15	13	15	15	16	14	15	15	16	17	17	17	18	16	16	17	17	16	17	19	19	18	22	20	22	22	21	21	25	23	23	24	23	24	23	25	25	26	25	25	25	25	25	27	27	26	26	27	27	26	27	26	28	27	28	29	29	31	30	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	4	2	3	3	4	4	3	4	3	4	4	4	4	5	4	4	5	4	5	5	5	5	5	5	6	6	6	6	5	6	6	5	6	7	6	6	6	6	6	7	7	6	7	7	8	7	7	7	8	8	8	8	9	8	8	8	8	8	8	9	9	9	11	10	11	11	10	10	12	11	11	12	11	12	11	12	12	13	12	12	12	12	12	13	13	13	13	13	13	13	13	13	14	13	14	14	14	15	15
500	-902.190286029522213	-899.530225634587737	-2.660060394934513	0.000009998547843	0.000042730202471	4.273640847015474	0.014499783781682	1	2	3	3	4	4	2	5	9	6	8	7	9	9	8	9	7	7	7	9	10	9	10	9	10	8	11	10	9	9	10	12	12	12	12	13	11	12	13	11	12	14	14	13	13	13	13	13	15	12	15	16	16	15	15	15	16	17	18	17	17	15	15	17	17	17	17	18	19	18	20	21	23	22	21	18	25	24	22	23	22	25	23	25	26	26	24	25	25	26	25	28	27	25	26	26	27	25	27	27	28	27	28	29	30	32	30	0	1	1	1	2	2	1	6	8	7	2	8	15	7	6	4	3	10	8	19	17	7	4	18	22	10	1	15	18	6	3	17	12	19	23	2	12	4	11	15	31	47	25	15	4	34	16	28	35	6	37	19	31	5	17	2	41	25	43	7	26	32	15	22	21	47	5	9	50	31	59	53	79	59	49	31	58	71	69	42	54	22	72	41	0	74	53	47	54	41	36	74	31	17	40	27	17	79	56	67	42	73	1	49	5	75	71	1	1	1	1	1	1	1	1	1	2	3	1	1	3	2	4	2	1	1	1	2	3	5	1	1	1	4	1	1	3	4	2	3	3	1	5	2	4	4	2	1	1	2	3	6	1	2	1	1	4	3	4	3	5	6	7	2	5	2	9	4	2	5	4	3	2	4	6	3	3	1	3	1	3	2	5	4	3	1	5	3	10	1	7	1	2	2	8	6	6	6	5	9	8	9	8	8	2	7	6	6	2	14	7	14	6	5
1000	-691.303530313712599	-688.887246978381540	-2.416283335331063	0.000010038796723	0.000035165849092	3.502994438641740	0.155291996485961	1	2	3	4	3	4	3	5	7	5	7	6	9	9	5	7	7	9	6	9	10	11	9	9	11	9	12	10	10	9	11	11	12	11	13	13	11	13	12	11	11	15	13	13	13	13	13	14	14	11	15	15	17	14	15	14	15	17	16	18	19	16	16	18	18	14	14	19	20	18	21	19	23	23	21	20	25	23	21	24	22	25	23	25	26	27	25	26	25	24	25	28	27	26	27	25	26	27	27	25	27	27	28	29	30	31	31	0	1	1	1	2	7	1	2	15	4	4	6	12	10	3	19	7	17	4	5	1	29	17	11	23	19	18	17	13	4	16	15	23	14	29	34	9	29	19	9	26	28	19	31	2	24	4	1	7	17	24	67	66	7	29	36	50	45	18	58	35	39	33	59	50	37	18	32	59	67	38	49	36	70	49	21	58	72	72	59	56	70	64	35	0	62	55	26	55	21	61	17	68	6	39	73	65	70	69	31	33	60	7	12	4	57	79	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	1	2	1	1	2	4	1	1	1	1	1	3	2	1	2	1	4	1	1	1	1	2	1	3	1	1	2	3	1	6	2	3	4	6	2	3	1	1	5	3	1	2	2	3	1	2	2	2	1	4	2	4	4	3	2	4	3	5	4	2	5	3	2	1	4	4	3	2	4	1	6	7	8	5	8	3	12	3	12	7	1	4	5	3	7	7	3	13	13	12	9	4
1500	-750.862670291505196	-748.443813402050409	-2.418856889454800	0.000010103302828	0.000035470215801	3.510754493232267	0.450258072347186	1	2	4	4	3	4	3	6	8	5	8	6	6	9	8	7	8	10	7	10	9	10	7	9	10	10	11	10	10	10	11	11	12	13	11	13	11	14	13	12	12	15	13	12	13	14	13	14	15	12	16	14	15	15	14	15	17	17	15	18	18	16	16	18	16	14	17	20	19	18	21	20	23	23	22	21	25	24	24	24	23	21	22	26	26	26	25	25	26	25	26	26	27	26	26	28	27	26	27	27	29	28	27	28	30	32	30	0	1	2	7	1	2	1	10	13	2	8	2	3	16	6	1	4	23	5	11	15	11	2	13	6	8	11	8	16	17	23	12	27	22	13	37	9	39	32	11	26	39	50	37	15	36	30	21	66	29	39	20	37	47	35	29	62	16	47	52	54	25	66	49	45	25	31	67	67	63	52	27	61	57	57	58	11	72	76	1	75	18	5	46	0	68	13	56	80	73	73	76	78	60	15	103	74	73	87	92	82	94	58	94	104	105	86	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	3	1	1	2	1	1	1	1	1	3	2	1	2	2	1	2	2	1	1	3	1	1	1	1	2	1	1	1	1	2	1	1	3	1	1	1	1	2	1	1	3	1	6	1	1	1	3	1	1	1	2	4	1	1	1	3	6	1	3	3	2	9	2	2	7	1	3	4	7	1	2	10	4	1	1	1	2	2	6	8	1	2	2	1	1	4	1	7	1	2	1	2
2000	-564.802450067181894	-562.752837849275807	-2.049612217906052	0.000010069073432	0.000024880580681	2.470990091475478	0.565967208154377	1	2	3	4	3	3	3	4	8	5	7	6	8	8	7	8	7	10	8	10	10	11	9	9	10	9	12	10	11	10	11	11	12	11	14	13	11	13	13	11	12	14	14	12	13	13	13	14	15	13	12	15	15	13	14	14	15	17	17	17	17	14	16	18	17	16	17	18	19	17	22	20	23	21	20	20	23	22	24	25	23	22	24	25	25	26	25	26	26	24	22	27	28	26	25	27	27	26	27	27	28	26	28	30	28	29	29	0	1	1	1	2	1	1	1	15	6	4	3	12	4	10	8	6	3	1	12	23	23	11	12	16	17	28	9	15	13	20	12	28	13	21	31	30	32	25	14	31	44	27	20	22	21	19	44	46	37	25	40	24	24	19	31	40	50	16	38	48	22	56	61	52	36	20	63	36	57	55	27	59	67	67	33	38	45	78	10	63	37	18	20	0	58	10	77	79	77	75	79	87	71	82	85	79	73	77	94	70	77	55	103	94	74	71	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	3	3	1	1	2	1	1	1	1	1	1	3	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	1	1	3	2	1	1	1	1	2	2	3	2	2	1	4	3	1	1	1	1	1	2	4	1	3	1	4	2	3	1	2	4	5	4	1	7	3	4	4	5	1	6	5	2	2	1	1	1	1	2	1	1	1	1	2	1	8	1	5	1	1	4	3
2500	-580.054329519770249	-577.668695861675587	-2.385633658094670	0.000010058470813	0.000034311121280	3.411166758675537	0.496296673179976	1	2	4	4	4	4	3	5	8	5	7	6	8	8	7	8	7	7	8	7	8	11	9	8	9	8	12	10	9	11	11	12	12	12	13	14	11	13	12	12	11	14	10	13	13	14	11	13	16	13	15	15	17	15	15	15	16	16	17	17	17	16	16	17	17	17	17	19	19	15	22	21	23	23	21	21	25	24	24	24	23	23	24	24	24	26	22	23	25	25	25	26	28	24	27	26	27	25	27	26	28	27	29	29	29	31	30	0	1	7	1	2	1	1	2	11	3	8	3	5	6	2	17	10	8	17	12	4	11	4	11	26	18	37	23	12	25	23	16	31	15	11	33	29	28	21	23	16	39	24	33	41	44	19	28	42	41	33	41	38	31	45	9	12	14	49	58	24	70	56	70	51	20	1	9	53	14	57	6	87	72	69	53	85	65	60	33	75	76	45	55	0	64	64	61	74	85	79	81	79	75	87	88	89	82	78	87	74	84	84	72	100	71	102	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	2	3	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	4	5	1	1	5	1	1	1	1	7	6	5	1	4	3	4	1	1	1	2	1	3	3	8	1	2	8	5	1	4	1	3	1	1	1	2	2	1	2	2	1	1	2	2	4	2	4	3	1	5	1
3000	-457.672513074340372	-456.108966092479648	-1.563546981860747	0.000010207043816	0.000012890558798	1.262908147604063	0.519621428779166	1	2	4	3	4	4	3	5	5	5	7	6	9	8	7	8	8	10	8	10	10	10	10	7	10	8	11	11	11	10	11	12	12	10	13	12	11	12	13	10	13	14	11	13	12	12	13	14	15	13	15	16	16	14	15	15	15	17	17	17	19	16	16	17	17	17	17	20	19	18	21	18	23	23	21	21	25	22	23	23	23	22	24	25	25	24	25	25	25	25	25	26	25	25	26	28	27	27	27	26	29	27	27	29	29	31	31	0	1	4	1	1	1	1	4	1	6	5	9	2	6	6	5	11	26	10	5	3	17	10	8	13	12	20	8	20	17	20	19	30	12	27	40	16	30	46	7	18	46	34	17	40	16	43	40	22	37	46	46	46	46	50	31	43	14	62	39	39	25	38	51	43	43	40	41	52	46	69	18	61	71	62	69	86	72	60	6	76	16	47	41	0	74	76	80	75	71	79	36	45	74	74	64	84	95	68	89	58	93	88	93	99	77	90	1	1	1	1	2	1	1	1	3	1	1	1	2	2	2	2	1	1	2	3	3	1	3	1	1	1	1	2	1	1	1	2	1	2	2	1	2	1	1	3	1	1	1	2	1	2	1	2	2	1	2	2	2	1	1	2	2	5	1	2	2	3	2	1	3	2	5	4	1	2	1	3	2	1	3	1	1	2	3	10	1	6	7	6	1	1	2	1	2	3	1	8	4	1	2	6	1	1	4	1	8	2	1	2	1	2	3
3500	-726.543601946696185	-724.120982028510070	-2.422619918186081	0.000010780933394	0.000037971688199	3.522115090655369	0.419139563927478	0	1	4	2	4	2	3	5	8	5	6	6	9	7	6	8	8	10	8	9	8	10	9	9	11	8	10	11	9	10	12	12	11	11	14	13	11	14	10	12	12	15	13	14	14	13	13	13	16	13	16	13	15	13	16	16	17	18	17	18	18	16	16	18	18	15	17	19	19	18	21	21	21	21	19	21	25	23	23	25	22	22	24	25	25	27	25	24	25	25	25	28	28	26	26	26	27	27	26	27	27	28	29	29	29	31	30	0	1	1	1	4	1	2	7	2	6	3	2	11	10	5	8	15	14	11	7	11	19	14	9	26	7	1	21	9	26	17	10	27	27	40	39	14	48	13	15	23	37	18	47	23	27	17	26	39	37	6	33	54	33	50	52	66	33	66	66	48	46	50	46	42	24	27	9	32	52	66	23	61	75	59	33	38	16	61	30	59	9	13	88	0	95	8	39	46	64	57	58	91	57	69	85	77	90	59	90	5	99	1	101	100	88	67	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	4	2	1	1	1	1	2	4	1	1	1	2	4	1	1	1	2	2	1	1	3	3	2	2	1	2	1	4	1	3	2	7	1	1	1	2	1	1	3	1	2	3	1	2	3	2	3	3	5	3	2	2	5	2	1	1	4	4	8	3	7	2	4	8	1	1	1	12	6	5	4	4	5	1	5	3	1	1	1	3	2	12	1	13	1	1	3	8
4000	-504.062601666949320	-501.701660580511032	-2.360941086438304	0.000011266493747	0.000037607235341	3.337971527304896	0.411430788902560	1	2	4	2	4	5	2	6	8	6	6	6	9	9	7	8	8	9	7	9	10	11	7	9	10	10	12	10	8	11	11	11	12	12	13	13	12	13	12	11	10	14	12	14	13	14	13	15	15	13	15	14	16	14	15	16	16	16	16	16	17	16	16	18	16	15	18	19	17	17	22	19	21	22	20	20	25	24	20	25	23	22	23	26	25	26	25	25	25	26	25	28	27	26	26	27	27	25	27	26	26	27	29	29	27	31	29	0	1	1	1	2	2	1	3	3	5	7	7	11	9	12	11	5	19	1	15	16	16	4	6	7	12	41	9	7	41	14	26	41	29	21	17	21	25	26	3	15	28	28	34	26	14	30	10	30	25	7	39	34	50	44	45	39	47	30	44	65	43	49	55	3	24	42	38	40	50	69	30	61	79	25	27	66	38	49	33	34	56	73	49	0	73	15	32	63	82	66	16	88	63	74	98	90	83	95	78	40	86	39	98	89	105	98	1	1	1	1	1	2	1	1	3	1	2	2	2	1	1	1	2	1	2	1	1	1	3	2	3	2	1	1	4	1	1	1	1	2	1	3	1	1	1	4	1	2	2	1	2	3	1	5	2	1	4	1	1	1	1	2	2	1	2	1	1	2	1	2	5	3	3	3	3	3	3	4	1	1	5	4	4	6	4	6	7	2	1	6	1	4	10	5	3	2	4	8	1	5	2	1	1	1	1	2	6	1	11	3	1	2	2
4500	-716.555367485931924	-714.571987924777318	-1.983379561154584	0.000012673118542	0.000029130358745	2.298594355295057	0.477707134599738	0	1	3	2	3	4	3	5	9	5	7	6	8	8	6	8	8	9	7	9	7	9	8	10	11	9	10	8	10	11	12	11	12	12	14	13	10	13	13	11	13	15	12	13	13	13	13	14	16	13	16	16	17	14	14	15	15	18	18	17	18	16	17	18	17	16	17	19	18	17	22	20	22	20	21	21	25	22	22	22	23	23	20	24	24	27	25	25	26	24	24	25	28	26	26	26	27	27	28	27	28	27	28	29	28	31	30	0	1	4	1	2	3	1	5	11	5	10	10	15	15	8	15	21	11	1	28	10	16	19	16	15	15	10	2	16	20	30	24	22	29	7	34	16	27	43	16	40	14	12	40	20	30	40	19	45	14	35	22	49	29	31	54	36	62	56	47	54	54	50	49	44	46	47	33	51	25	59	53	59	60	42	58	49	64	46	35	72	49	35	7	0	73	47	78	88	73	80	30	102	90	73	81	94	78	91	87	57	83	41	75	89	96	101	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	3	1	1	3	1	1	1	1	1	1	5	1	1	1	1	2	1	4	3	1	2	1	1	4	2	2	1	4	1	2	1	1	2	2	1	2	2	1	2	1	1	2	1	3	1	3	2	2	1	1	2	1	5	2	3	2	1	2	2	10	1	3	7	1	1	1	1	8	1	1	2	1	1	2	2	1	3	5	8	3	1	2	1
