step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103
1	-2527.711215398717741	-2533.650412617802886	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.424282932665180	0	2	1	1	2	5	4	3	3	4	4	3	4	4	4	5	6	8	5	5	5	5	4	8	7	6	6	6	6	8	7	6	8	5	8	7	6	7	7	7	7	10	7	7	8	10	7	9	8	9	7	8	8	10	9	9	9	9	9	9	8	9	9	10	11	10	10	10	11	10	11	9	10	10	9	11	11	13	12	12	13	13	13	13	12	14	15	16	15	14	16	16	15	16	16	16	17	18	16	18	20	19	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2	2	2	2	2	2	3	3	4	3	3	3	3	2	4	4	3	3	3	3	4	4	3	4	3	4	4	3	4	4	4	4	5	4	4	4	5	4	5	4	5	4	4	4	5	5	5	5	5	5	5	4	5	5	5	6	5	5	5	6	5	6	5	5	5	5	6	6	7	6	6	7	7	7	7	6	7	8	8	8	7	8	8	8	8	8	8	9	9	8	9	10	10	11
500	-862.128405785480481	-868.067603004565740	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.415737286355465	-2	0	0	1	2	4	3	2	3	3	4	3	4	4	5	4	6	7	6	4	5	6	4	6	4	6	6	6	7	8	7	6	8	5	9	7	5	7	7	6	5	10	6	8	7	11	8	7	8	10	6	8	8	8	8	9	9	8	10	8	8	9	9	7	12	11	10	10	12	10	11	10	10	10	9	11	10	13	12	12	13	11	13	14	13	14	16	16	15	13	16	15	14	17	13	17	18	16	15	19	21	20	21	0	1	1	1	2	10	2	2	3	1	4	4	10	5	8	8	10	10	8	3	2	13	10	5	3	10	11	12	28	22	23	16	51	0	5	10	9	10	13	1	9	51	16	41	11	15	31	37	21	58	23	51	31	21	36	20	48	40	33	51	51	61	43	25	42	7	9	45	15	20	52	53	35	54	55	61	54	63	68	47	55	64	40	47	55	45	74	35	74	82	25	80	35	40	68	63	82	69	95	25	78	20	83	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	2	2	2	3	1	1	3	2	2	1	2	1	2	2	1	2	1	3	2	1	2	2	3	1	1	1	2	2	2	1	2	2	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	3	2	5	4	2	1	1	2	1	2	2	3	1	2	2	2	4	3	4	5	2	4	3	2	7	2	3	5	2	4	5	3	1	11	5	10	4
1000	-767.333798084876435	-773.272995303961693	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.553951616865248	-1	0	1	1	3	3	4	4	4	3	5	3	4	4	5	6	6	9	6	5	6	6	4	8	5	5	7	5	6	9	7	5	7	6	8	7	6	7	7	7	8	9	7	8	8	9	8	9	8	7	6	8	9	9	10	10	10	10	10	9	9	7	8	9	11	9	10	9	12	9	11	10	10	11	10	11	11	12	12	13	12	13	11	13	12	13	15	15	16	14	14	15	16	17	16	16	17	17	15	19	20	19	20	0	1	1	1	2	2	2	6	3	2	4	4	5	5	23	7	7	17	8	9	7	13	6	5	3	7	4	12	12	22	15	2	51	0	10	14	25	10	22	9	9	33	2	40	11	31	31	20	38	25	32	33	23	21	36	20	40	50	51	51	52	51	10	9	52	7	9	27	47	40	61	23	54	35	36	61	63	54	45	69	55	83	41	47	55	68	54	63	63	41	64	84	88	90	68	74	64	92	86	64	89	83	91	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	2	1	4	1	1	2	2	1	2	1	2	2	1	3	1	1	1	1	2	1	1	1	1	2	1	2	3	2	2	2	2	1	1	2	2	2	3	3	1	2	1	1	2	1	2	2	2	2	1	2	1	1	1	2	3	2	2	3	4	3	4	3	1	1	2	4	3	6	1	1	5	2	5	4
1500	-664.833722093941333	-670.772919313026591	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.727334096152739	-1	2	1	2	3	5	4	3	3	4	4	4	4	4	4	5	4	8	5	4	6	5	5	9	7	6	6	6	7	7	5	5	7	6	8	8	6	7	6	6	6	10	6	8	8	11	8	9	9	8	6	9	8	11	10	9	9	10	7	9	8	10	8	10	11	10	9	10	11	10	11	9	10	10	9	10	12	13	11	10	13	14	13	13	11	15	16	16	14	13	13	16	15	17	13	16	17	18	17	19	19	19	21	0	1	1	1	2	2	2	1	3	2	4	4	2	5	2	2	8	6	2	9	10	13	15	7	9	10	11	12	12	13	15	2	51	0	10	14	20	10	22	9	9	61	2	40	27	47	31	37	38	25	6	61	23	63	75	37	37	50	51	51	33	52	10	40	42	7	25	27	80	37	52	53	63	63	36	61	73	54	45	47	55	90	9	69	75	68	78	89	78	41	64	84	78	83	68	89	91	84	95	91	96	83	102	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	1	3	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	1	1	1	2	1	1	1	2	1	2	2	2	2	4	2	3	1
2000	-678.869932713787989	-684.809129932873248	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.765554507010464	-1	1	0	1	3	3	4	3	3	4	5	3	4	4	4	5	6	9	5	5	3	6	5	7	8	6	7	6	6	8	8	6	8	5	8	8	6	6	8	6	6	10	7	8	9	10	7	10	8	10	6	9	8	11	9	8	6	9	9	9	8	10	9	11	10	9	10	10	10	9	10	9	10	10	9	11	12	14	12	12	12	13	13	13	12	14	15	17	16	13	16	17	15	16	13	17	18	18	16	18	21	19	22	0	1	1	1	2	2	2	2	3	2	4	4	5	5	6	7	6	17	8	9	2	13	15	7	40	10	11	12	12	13	15	16	51	0	10	14	9	21	22	9	9	33	7	40	27	31	15	56	38	58	10	61	23	35	36	37	9	41	51	51	51	52	10	67	33	6	44	11	31	25	52	53	35	35	36	52	73	63	68	69	75	67	64	80	75	95	73	93	78	64	83	84	78	82	79	35	91	92	95	91	96	91	102	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	2	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	2	1	1	3	2	3	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	3	1	1	1	2	1	1	1	1	4	1	1	1	2	2	1	2
2500	-652.898346031067604	-658.837543250152862	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.673812176598500	0	2	2	1	3	3	4	3	3	5	4	3	4	5	5	5	6	6	5	4	6	5	4	6	7	7	6	7	6	9	6	6	8	6	6	7	6	7	7	7	8	8	7	7	8	9	7	9	8	9	5	8	7	11	9	9	10	10	9	10	7	10	9	10	11	11	10	10	11	10	11	9	9	10	8	10	10	13	12	13	13	13	13	12	11	15	15	17	15	14	15	16	16	16	13	14	17	18	17	18	19	19	21	0	1	1	1	2	2	2	1	3	2	4	4	8	5	23	8	6	6	2	9	10	13	6	7	9	10	11	12	12	7	15	16	51	0	10	14	20	21	22	9	44	18	7	9	27	31	31	20	38	44	6	51	23	73	75	37	37	44	51	61	51	52	8	41	42	43	25	45	47	56	76	53	35	73	36	51	73	35	68	69	85	64	64	47	75	95	54	93	54	82	83	84	78	82	68	63	91	92	95	91	96	100	102	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	3	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	3	1	2	1	2	2	1	1	2	2	1	2	2	2	2	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	3	1	1	2	1	1	2	2	1	2	1	2	1	1	2	1	2	2	2	1	1	2	1	2	1	1
3000	-666.331003110937445	-672.270200330022703	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.759443765798483	-1	1	1	1	3	3	3	4	3	4	5	3	4	5	4	5	6	7	6	5	5	5	5	8	7	5	6	6	6	9	7	6	8	5	9	8	6	7	7	7	8	10	7	6	8	11	8	8	9	10	6	9	8	10	9	10	9	9	8	10	8	8	8	8	11	9	9	11	12	11	11	9	9	11	10	12	11	13	13	10	13	13	12	13	12	14	15	17	15	15	16	15	16	15	13	16	17	18	15	18	20	19	21	0	1	1	1	2	2	2	7	3	2	4	4	5	5	6	7	8	6	8	3	10	13	15	7	9	10	11	12	12	18	15	7	18	0	10	14	9	21	22	20	25	61	16	3	27	18	31	37	10	25	6	51	6	73	36	37	37	44	51	51	51	51	10	40	52	24	40	45	80	48	51	53	63	54	36	52	8	63	68	47	85	25	64	80	75	95	77	89	63	82	83	69	78	82	68	78	91	92	95	91	78	100	102	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	3	1	2	1	1	1	2	2	1	1	2	2	1	1	2	1	1	3	2	1	1	1	2	1	1	1	2	1	2	1	1	3	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	3	3	1	1	1	2	2	1	1	1	2	1	2	1	2	2	1	1	1	1	1	2	1	1	3	1	1
3500	-635.904553751225876	-641.843750970311135	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.805700428221342	0	2	2	1	3	3	4	3	4	4	2	4	4	5	4	4	6	9	5	5	5	6	5	8	7	6	7	7	6	8	6	6	7	4	9	7	7	6	8	8	7	10	6	7	8	11	8	10	9	9	8	8	7	10	9	9	9	9	9	10	9	10	8	10	11	10	11	11	11	11	11	9	10	11	9	11	11	13	13	10	12	11	13	13	12	15	14	16	14	14	16	16	15	16	14	16	18	18	16	18	20	19	21	0	1	1	1	2	2	2	1	3	2	4	4	5	2	6	2	6	33	8	9	10	13	15	7	9	10	11	12	12	36	15	16	6	0	10	5	20	21	22	44	20	52	16	9	27	31	31	37	38	25	17	33	23	63	24	37	37	25	33	51	52	52	10	41	33	43	25	45	80	37	61	53	63	73	36	33	54	35	68	47	75	40	44	69	75	95	77	93	35	82	83	84	78	83	68	89	91	92	95	91	89	100	102	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	1	2	1	3	3	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	3	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1
4000	-661.276095578222794	-667.215292797308052	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.795383984363053	-1	1	1	0	3	3	4	3	3	3	4	2	4	4	4	4	5	7	4	5	5	6	5	7	8	5	7	6	6	8	6	5	8	5	8	7	6	7	8	5	8	10	8	8	9	9	7	9	9	9	8	8	7	10	9	9	8	10	10	9	9	9	8	10	11	10	9	10	12	10	12	9	9	9	10	11	12	13	12	10	14	12	13	14	12	13	15	17	15	13	16	16	15	15	16	17	18	19	16	18	21	19	21	0	1	1	1	2	2	2	2	3	2	4	4	5	6	6	6	6	17	5	9	10	13	15	7	40	10	11	12	12	13	15	16	18	0	10	14	20	19	22	9	40	52	7	40	27	31	31	37	38	20	18	6	23	73	36	37	37	50	51	18	52	52	6	25	18	24	41	45	80	57	61	53	63	63	55	61	73	35	68	47	55	64	64	69	75	68	77	93	77	82	64	84	78	82	68	89	91	92	86	91	78	100	102	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	2	1	2	2	1	1	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	3	1	1	3	1	2	1	1	1	1	1	1	1	3	1	2	1	2	1	1	2	1	1	2	1	1
4500	-670.097002484567156	-676.036199703652414	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.697324718737511	-1	1	1	0	2	3	2	3	3	3	3	3	3	4	5	5	7	9	5	4	5	6	4	6	7	5	6	6	5	8	7	6	7	3	8	7	7	7	7	7	7	10	7	6	8	10	8	8	8	9	8	9	5	11	10	9	9	10	9	9	8	9	8	11	11	11	10	10	12	10	12	8	7	10	9	11	11	13	12	12	14	13	13	14	13	14	15	17	16	14	15	16	15	17	16	15	17	18	16	18	20	20	21	0	1	1	1	2	2	2	2	3	2	4	4	5	5	23	7	6	6	8	9	10	13	6	7	9	8	11	12	12	13	15	7	6	0	73	5	9	21	13	9	3	51	7	3	27	15	31	41	38	44	33	61	23	73	75	48	48	50	33	51	33	33	21	41	18	43	40	27	47	48	52	53	21	73	36	61	73	54	68	47	55	64	64	80	75	79	74	93	78	82	41	80	78	64	86	78	91	92	86	91	89	100	102	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	3	1	1	2	2	1	2	2	1	2	2	1	3	1	2	2	1	1	3	2	1	2	2	3	1	2	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	2	2	2	2	1	2	2	1	2	1	3	3	1	1	2	4	1	1	1	1	1	2	1	1	1	3	2	2	2	1	1	2	1	1	2	3	1	1
