step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91
1	-4833.297742365063641	-4831.835660280545198	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.983192972182072	0	0	2	1	4	4	3	4	4	4	6	5	6	6	4	5	6	5	7	6	7	7	6	7	6	8	8	7	7	9	8	10	9	8	10	9	10	10	10	10	10	11	10	11	12	12	11	12	13	13	14	14	14	13	14	15	14	15	15	15	18	16	17	18	17	18	20	20	19	19	18	19	20	20	20	20	21	22	20	20	20	21	21	22	22	23	25	24	25	25	25	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	2	3	3	3	4	3	4	4	3	4	3	4	4	4	4	5	4	5	5	4	5	5	5	5	5	5	5	6	5	6	6	6	6	6	7	7	7	7	7	7	7	8	7	8	8	8	9	8	9	9	9	9	10	10	10	10	9	10	10	10	10	10	11	11	10	10	10	11	11	11	11	12	13	12	13	13	13
500	-875.642206855146583	-873.447166658313449	-2.195040196833174	0.000010057795174	0.000028801797919	2.863629395924217	0.298304875006103	-1	1	1	1	3	4	3	5	4	5	6	6	6	6	3	4	5	6	8	7	7	6	6	7	7	9	9	7	7	8	9	11	9	8	9	7	10	10	10	10	10	9	11	10	11	13	11	12	14	13	14	13	15	14	15	15	12	15	12	14	19	16	14	19	16	18	21	20	20	19	18	19	19	19	20	20	22	23	19	20	20	20	21	22	23	24	26	24	26	26	25	0	0	1	1	2	2	2	16	3	5	3	4	6	2	3	15	9	7	15	11	14	15	15	8	7	15	16	17	17	11	21	15	21	8	11	23	16	16	34	28	30	29	34	36	36	37	41	15	35	8	36	23	52	34	48	35	38	38	42	36	23	44	57	29	51	52	42	60	38	52	45	59	36	60	52	59	69	59	44	57	45	59	57	59	63	59	80	29	63	59	57	1	1	1	1	2	2	2	1	2	1	2	3	1	3	2	1	1	2	2	1	1	1	1	1	2	3	2	1	1	2	2	4	1	2	2	1	3	5	1	1	1	1	2	3	3	2	1	6	2	4	5	4	1	3	3	4	1	2	2	4	7	4	2	8	1	2	6	3	8	3	5	5	7	4	4	5	2	6	6	4	4	4	5	6	6	9	5	9	7	8	9
1000	-733.295987506419010	-731.560871397186361	-1.735116109232602	0.000010062760064	0.000016908886751	1.680342832698937	0.319550870852557	0	0	1	2	3	4	3	5	4	5	5	5	7	6	3	4	6	5	6	7	6	7	7	6	6	8	6	7	7	10	8	8	10	8	9	9	11	8	10	10	8	11	10	11	12	12	12	13	14	13	14	15	13	14	14	15	11	15	14	15	17	16	17	18	16	19	21	20	16	20	16	20	20	20	21	21	20	23	20	19	20	21	21	22	22	24	24	23	24	24	26	0	0	1	1	2	2	2	16	3	5	3	4	5	7	3	15	9	7	15	11	7	15	15	8	7	15	16	17	17	20	21	15	21	27	11	23	32	27	34	28	11	29	34	36	36	34	41	43	35	34	36	45	45	46	43	49	27	50	42	45	36	51	57	29	36	71	59	71	57	65	52	59	65	65	51	59	69	59	60	63	45	59	69	59	69	59	63	42	80	59	69	1	1	1	2	2	2	2	1	2	1	2	2	2	2	1	1	2	1	2	1	2	2	2	1	2	2	1	1	1	2	1	2	2	1	2	1	1	2	1	1	2	2	1	1	2	2	2	2	2	3	4	2	1	1	2	1	3	1	2	2	7	1	3	7	3	2	4	2	5	3	1	3	3	2	4	4	2	6	1	1	4	5	3	4	5	6	3	5	3	5	9
1500	-648.343340940608073	-646.491908056650800	-1.851432883957316	0.000010117687256	0.000019885292024	1.965398961450247	0.526724624282724	-1	0	2	1	2	5	4	5	4	4	6	6	7	7	3	4	6	5	6	6	7	5	7	7	7	8	7	8	8	9	9	10	9	9	10	9	11	10	10	10	10	11	10	11	11	12	11	13	13	13	14	15	14	14	15	15	13	16	15	15	19	17	15	17	17	18	20	19	18	19	19	18	19	20	21	20	21	23	21	19	20	22	20	22	23	22	26	25	25	26	26	0	0	1	1	2	2	2	16	3	5	3	4	6	18	3	15	9	7	15	3	7	15	15	8	18	15	8	17	17	11	21	16	21	27	20	23	27	27	27	28	3	29	34	36	36	32	41	43	35	38	36	45	36	46	43	35	34	50	42	45	51	51	57	29	45	45	59	66	63	52	52	59	65	65	70	59	69	72	60	69	66	64	69	67	69	59	63	64	80	86	63	1	1	2	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	4	1	2	2	1	2	2	2	1	4	2	1	1	1	1	1	1	2	1	4	2	2	2	2	2	2	2	2	2	3	1	2	4	3	3	3	1	2	2	2	1	2	2	1	2	2	3	3	1	1	3	1	1	3	3	5	5	3	2	7
2000	-606.378921262007339	-604.658866476499043	-1.720054785508335	0.000010286213937	0.000016908543546	1.643806326496938	0.615701112206634	0	0	1	1	5	4	3	5	3	4	7	5	6	5	3	4	6	5	7	5	7	7	7	8	6	8	6	8	7	9	8	10	9	8	10	9	11	11	9	10	10	11	9	12	11	12	12	12	13	12	13	14	15	14	14	15	15	16	16	15	17	15	17	18	17	17	20	20	20	20	19	19	19	20	21	20	19	22	20	21	20	21	21	22	23	23	26	25	23	25	26	0	0	1	1	10	2	2	16	3	2	20	4	6	7	3	15	9	7	15	3	25	15	15	8	18	15	16	17	17	11	21	15	21	27	20	23	34	34	27	28	30	29	34	36	36	39	41	43	35	37	36	45	52	46	48	49	50	50	42	36	51	51	57	42	52	45	64	60	63	65	52	64	52	66	70	64	63	67	60	69	71	67	69	64	77	82	89	84	80	84	69	1	1	1	1	1	3	2	1	1	3	1	2	1	1	1	1	2	1	3	2	1	2	2	2	1	3	1	1	1	2	1	2	1	1	4	1	2	2	2	2	1	1	1	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	2	3	2	1	1	4	2	2	1	3	2	2	2	1	2	1	1	1	1	1	3	1	1	1	1	2	2	2	2	2	1	2	4
2500	-594.085382665625161	-592.574455488080275	-1.510927177544841	0.000010338681313	0.000011684492205	1.130172393429054	0.711478073898678	-1	-1	2	0	3	4	3	5	4	5	7	5	7	6	3	4	6	4	6	6	7	8	6	6	6	8	7	7	8	9	8	10	10	8	10	10	11	9	11	11	10	11	11	12	12	9	11	13	14	12	15	14	13	13	14	15	15	14	14	13	19	17	17	19	17	18	21	18	19	18	19	19	20	20	21	20	21	21	21	20	20	20	21	21	23	23	25	23	23	25	26	0	0	1	1	2	7	2	16	3	5	20	4	6	18	3	15	9	7	15	3	14	19	15	16	18	19	8	17	17	11	21	15	21	27	20	23	34	27	27	28	11	29	34	36	23	27	41	43	35	39	36	45	36	46	43	49	50	50	42	45	51	51	57	59	60	45	59	60	63	52	66	59	70	70	70	72	69	72	68	69	66	64	80	64	77	84	89	84	80	88	80	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	2	1	1	2	1	2	1	1	1	2	1	2	1	2	2	2	1	2	1	2	1	2	1	1	4	2	2	2	4	2	2	1	2	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	2	1	1	3
3000	-575.617505276833526	-573.894961319334470	-1.722543957499067	0.000010379444418	0.000017124434472	1.649841145800450	0.705523464910590	0	0	2	1	2	5	2	5	4	5	6	5	7	6	4	3	6	4	7	6	5	8	6	7	5	8	7	7	8	9	8	10	9	8	10	10	11	10	11	10	10	12	11	12	12	11	12	13	13	13	14	14	15	14	13	16	15	14	15	15	18	16	17	17	16	18	21	21	19	19	17	18	19	20	21	19	21	22	20	20	18	20	21	21	23	23	26	25	22	26	25	0	0	1	1	2	2	2	16	3	5	3	4	6	7	16	3	9	7	15	3	18	15	15	8	7	19	8	17	17	20	21	19	21	27	11	23	34	27	27	28	11	29	38	36	36	27	41	43	35	37	45	45	36	46	43	49	50	37	42	36	51	51	57	59	52	52	72	60	63	65	45	64	71	65	70	64	69	64	71	69	71	72	80	82	77	82	89	84	80	88	89	1	1	1	1	1	2	1	1	1	2	3	2	1	2	1	1	1	2	2	2	1	2	1	1	2	1	1	1	1	2	2	2	2	1	2	3	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	2	2	2	1	1	2	1	2	2	4	2	1	2	1	1	1	1	2	1	3	1	1	1	1	1	1	1	2	2	2	1	1	2
3500	-604.733477244240248	-602.957987981901397	-1.775489262338829	0.000010404545980	0.000018505658571	1.778612791635175	0.610414521170395	0	1	1	1	2	5	3	4	2	4	7	5	6	7	5	3	5	5	7	6	7	7	6	8	6	8	7	7	7	6	8	11	9	9	10	9	11	10	9	9	9	12	10	10	11	11	11	12	13	12	14	13	13	13	14	16	14	16	14	14	19	16	17	18	18	18	21	21	19	19	17	19	20	21	20	20	21	22	21	21	20	20	21	21	23	22	26	24	23	26	26	0	0	1	1	2	2	2	16	1	5	20	4	6	18	16	3	9	7	15	3	7	15	16	19	7	19	8	17	17	3	21	15	21	19	30	23	38	34	27	28	30	29	27	36	44	34	30	43	35	34	36	45	45	46	48	49	50	38	42	52	66	51	57	59	71	45	59	60	63	45	52	59	65	70	71	72	69	72	70	69	66	72	69	82	77	84	89	84	80	88	89	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	2	1	2	2	2	1	1	1	2	1	2	1	1	3	1	3	1	1	2	2	1	1	1	2	1	2	1	1	1	1	3	1	2	1	2	2	1	1	1	2	2	3	1	1	1	1	1	2	1	3	2	2	2	5	2	3	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	2
4000	-603.770229411835771	-602.109094507112900	-1.661134904722891	0.000010904119854	0.000016368767091	1.501154362744461	0.698723614269232	-2	-2	2	1	3	5	3	5	4	5	5	5	6	7	5	4	6	5	7	4	7	8	7	7	6	9	7	7	7	9	8	11	10	8	11	9	10	9	11	10	10	11	9	11	12	11	12	12	12	12	14	14	14	13	12	16	14	16	15	15	18	17	16	17	17	19	19	19	19	19	18	19	20	20	20	20	22	23	19	20	20	21	21	22	23	24	25	24	22	26	24	0	0	1	1	2	7	2	16	3	5	20	4	6	7	16	3	9	7	15	3	25	15	15	8	7	22	8	17	17	20	21	15	21	27	30	23	38	34	27	28	30	29	27	36	23	38	41	43	35	34	36	45	45	46	43	49	50	39	42	45	51	51	50	59	52	52	59	52	63	52	45	59	52	65	70	67	63	59	60	69	66	72	80	82	77	76	89	84	80	84	89	1	1	2	1	2	2	3	1	1	1	1	2	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	1	2	3	2	1	1	1	3	2	2	1	2	2	1	2	1	2	2	2	3	2	3	2	3	3	2	1	1	2	3	2	1	1	1	1	1	1	2	2	2	1	2	2
4500	-609.343052720493688	-607.745495613848561	-1.597557106645102	0.000011728557349	0.000015793887457	1.346618086684457	0.633589490278879	-1	0	2	1	2	2	3	4	4	4	5	5	7	5	4	3	6	6	6	7	8	8	7	7	6	8	7	8	7	8	9	10	9	8	10	10	11	10	10	11	9	11	10	12	12	12	12	12	12	12	15	14	14	14	15	15	14	15	15	13	19	17	17	18	18	16	17	19	19	20	19	19	21	20	20	20	20	22	20	21	21	21	21	22	23	23	26	24	24	26	26	0	0	1	1	2	2	5	16	3	5	3	4	6	7	16	3	9	7	15	11	18	19	15	16	7	19	16	17	17	11	21	15	21	27	30	23	34	34	34	28	20	29	34	36	36	34	41	43	35	34	52	45	36	46	43	49	50	50	42	45	51	36	57	59	45	45	59	66	63	45	52	67	65	71	65	67	69	59	60	63	66	67	69	76	77	82	80	84	80	84	89	1	1	2	1	2	2	1	1	1	1	2	2	2	1	1	1	1	2	1	2	1	1	2	3	2	1	2	1	1	2	1	3	1	1	1	2	2	2	1	2	1	2	2	1	1	2	2	1	1	2	1	1	2	1	1	2	1	3	3	1	2	2	2	2	3	2	1	2	1	3	2	1	3	1	1	2	1	2	3	2	2	1	1	1	2	1	3	2	1	2	2
