step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12
1	-57.419739993748877	-64.275227944708249	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594134730866190	-1	3	6	5	5	7	8	7	9	9	8	12	0	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	3	4	5	4	5	5	5	7
500	-34.770749898459762	-41.626237849419134	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.841151484490150	0	2	6	5	4	7	6	7	9	9	8	12	0	1	4	2	2	4	4	4	3	2	7	6	1	1	1	1	1	2	1	1	1	4	1	2
1000	-39.588728761968540	-46.444216712927911	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.792778652151924	0	4	6	6	4	7	9	6	9	9	8	12	0	1	5	2	1	5	3	5	2	8	8	7	1	3	1	1	3	1	1	1	2	2	1	2
1500	-32.987553479820775	-39.843041430780147	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710252805519458	0	2	5	5	5	7	8	7	9	9	8	12	0	1	2	1	1	5	3	3	6	6	4	9	1	1	1	2	3	1	1	1	1	1	1	1
2000	-32.190837470493044	-39.046325421452416	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.883188150034667	-1	3	6	5	4	8	9	7	7	10	9	11	0	1	2	2	2	2	6	5	4	7	9	9	1	2	1	1	1	2	1	1	1	1	1	1
2500	-28.642647301589676	-35.498135252549048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667296713180740	-1	3	6	6	5	8	8	7	9	8	8	11	0	1	5	2	2	8	4	3	3	3	4	10	1	2	1	1	1	1	1	1	1	1	1	1
3000	-24.271326235011639	-31.126814185971011	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.848162595020400	0	3	6	5	6	7	8	7	10	9	8	13	0	1	4	2	4	4	5	4	7	11	3	7	1	1	1	1	1	1	1	1	1	1	1	1
3500	-37.445927212125085	-44.301415163084457	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710843773635891	-1	3	6	5	5	7	8	7	8	10	8	12	0	1	4	1	1	2	5	5	6	2	3	6	1	3	1	3	2	1	1	1	1	3	1	2
4000	-40.313573341908118	-47.169061292867489	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.491016146587825	0	3	7	5	5	8	8	7	10	6	9	13	0	1	5	1	1	3	5	5	3	4	7	9	1	1	1	2	3	1	2	1	1	1	1	2
4500	-24.985660944398386	-31.841148895357758	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.826551469871277	0	3	6	5	5	8	7	7	8	10	8	12	0	1	5	2	2	3	5	5	3	7	7	10	1	2	1	1	1	1	1	1	1	1	1	1
