step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
1	-1678.461553424168869	-1676.999471339649972	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.574091652445266	0	1	4	5	6	8	8	11	14	16	18	17	20	19	21	23	24	24	25	27	25	26	27	28	31	31	31	34	33	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	6	7	8	9	9	10	10	11	12	12	12	13	14	13	13	14	14	16	16	16	17	17	18
500	-271.661441335991356	-269.883748235309270	-1.777693100682077	0.000010017801381	0.000017871699049	1.783994149014258	0.359997858747445	0	1	3	6	4	7	8	11	13	16	18	18	17	16	22	23	24	21	25	27	26	26	27	28	31	29	31	35	34	37	0	1	2	5	3	5	5	7	8	9	14	9	14	9	14	18	18	13	18	16	13	17	13	13	13	24	18	24	19	25	1	1	2	1	1	2	2	1	2	2	1	2	1	2	3	1	2	1	4	2	5	1	5	7	10	1	9	3	6	4
1000	-176.999011967558033	-174.788455567589864	-2.210556399968180	0.000010064716909	0.000029255635206	2.906751920787435	0.813284906914724	0	1	4	6	7	9	9	12	14	16	18	17	21	17	21	24	24	23	26	26	25	26	28	28	30	32	31	35	33	36	0	1	2	3	4	5	5	7	8	9	14	9	11	10	11	18	18	13	21	17	17	18	19	21	22	24	21	25	27	28	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	2	1	3	3	2	1	1
1500	-176.994986155928785	-175.478526323126573	-1.516459832802204	0.000010213563551	0.000011688378466	1.144397683271186	0.656625327543295	-1	2	3	5	7	9	9	11	13	15	16	18	20	19	22	23	25	22	24	27	26	25	28	28	29	30	32	34	33	36	0	1	2	3	4	5	5	7	8	9	10	10	14	11	11	18	18	13	16	21	19	16	19	19	22	24	26	25	27	28	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	2	2	1	1	2	1	1
2000	-163.671771446117077	-162.131679973195673	-1.540091472921401	0.000010153209469	0.000012228206950	1.204368627188160	0.890593511817051	0	2	5	6	7	9	8	11	15	16	18	18	20	20	22	24	24	22	24	26	26	26	25	28	31	31	32	35	33	36	0	1	2	3	4	5	5	7	8	9	9	10	11	11	14	18	18	13	18	16	19	16	19	21	22	23	26	25	27	28	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	2	1	1
2500	-164.624044604008333	-162.990143411380103	-1.633901192628230	0.000010072351826	0.000014455266149	1.435143092526651	0.714775382820197	0	1	3	4	6	9	8	11	14	16	17	18	20	19	21	23	25	22	24	26	25	25	28	29	32	31	32	34	34	36	0	1	1	3	4	5	5	7	8	9	10	9	11	11	11	18	16	13	18	18	19	18	19	19	22	24	26	25	27	28	1	1	2	1	1	2	1	2	1	1	1	2	2	1	2	1	1	2	1	2	1	2	2	2	3	1	1	1	1	1
3000	-173.592460613836749	-171.768385086985518	-1.824075526851225	0.000010094839294	0.000019157641909	1.897765912924060	0.731967847476400	0	2	4	5	7	9	8	10	13	16	18	15	20	19	20	23	25	21	24	27	25	27	27	28	32	30	32	35	34	37	0	1	2	3	3	5	5	7	8	9	10	9	11	11	14	18	16	13	18	17	19	16	21	21	22	24	26	25	27	28	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	3	2	1
3500	-159.120444912736161	-157.192306578236099	-1.928138334500068	0.000010491958200	0.000022637016501	2.157558776895995	0.809983983633433	0	2	4	6	7	9	8	10	14	16	17	18	20	19	21	22	24	25	25	27	26	27	27	28	29	30	31	34	33	36	0	1	2	3	4	5	5	7	8	9	9	9	14	11	11	13	16	17	17	18	19	18	19	21	22	23	26	25	27	28	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	3	1	1
4000	-172.533265900157090	-170.885565263833598	-1.647700636323504	0.000010735259215	0.000015765933813	1.468612308047838	0.713508951691756	-1	1	4	5	7	8	8	11	14	17	17	18	21	19	21	23	25	24	25	27	26	26	27	28	30	31	31	34	34	37	0	1	2	3	4	5	5	6	8	9	9	9	11	11	14	13	18	16	16	16	19	16	21	23	22	21	24	25	27	28	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	3	1	2	1	1	2	2	2	2	1	1
4500	-174.149906154488747	-172.619401815729248	-1.530504338759499	0.000010930455336	0.000012899892904	1.180178913642966	0.664211749218865	-1	2	3	5	6	9	8	12	15	16	18	17	21	19	20	23	25	24	24	26	26	26	28	28	31	32	31	33	33	35	0	1	1	3	4	5	5	7	8	9	10	9	11	11	14	13	18	16	16	18	19	17	19	21	22	23	23	25	27	28	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	4	3	2	1	2	1
