step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
1	-696.954477275122599	-695.492395190603702	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.100378008488277	-1	1	2	5	9	9	8	9	10	11	10	10	12	11	14	14	13	15	13	14	15	15	15	19	24	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	5	5	5	5	6	6	6	6	7	6	8	8	7	8	7	8	8	8	8	10	13	12
500	-286.815324121139270	-284.758231147791889	-2.057092973347394	0.000010020899094	0.000024959070945	2.490701753455682	0.116836783710609	0	1	2	4	10	10	8	7	11	12	10	10	11	11	14	13	13	15	13	14	16	15	16	19	25	23	0	1	2	1	7	7	1	4	11	7	1	8	8	8	14	8	13	8	7	7	11	20	15	23	20	16	1	1	1	2	1	1	5	2	1	2	6	3	3	2	2	3	1	4	2	3	3	1	2	2	5	7
1000	-284.636096153668348	-282.533756408549777	-2.102339745118577	0.000010109223970	0.000026395333349	2.611014794887017	0.227130417065839	0	1	3	5	9	10	7	8	11	12	9	10	12	10	14	14	13	16	14	14	14	15	16	19	24	23	0	1	2	1	1	7	4	4	11	7	4	8	8	8	12	13	14	12	10	1	11	20	13	23	20	16	1	1	1	3	4	2	1	2	1	3	2	1	3	1	2	2	2	3	1	6	3	1	2	2	5	5
1500	-278.129975280351005	-276.014682774099299	-2.115292506251726	0.000010203197906	0.000026995709095	2.645808632132917	0.647794647501444	0	1	3	6	9	9	8	9	10	11	8	10	12	11	15	15	13	15	13	13	13	15	16	20	24	22	0	1	2	1	4	7	4	4	11	7	4	8	8	8	14	14	8	12	10	5	10	20	13	23	20	16	1	1	1	3	2	1	1	2	1	1	1	1	2	1	2	2	2	3	1	2	1	1	2	1	5	3
2000	-269.896880491525394	-267.911542669089670	-1.985337822435745	0.000010200233124	0.000023497648449	2.303638374110951	0.496783766830860	-1	1	3	5	9	7	8	9	10	12	9	10	11	11	14	14	12	15	12	14	15	16	12	20	24	23	0	1	2	1	1	4	6	4	11	7	4	8	8	8	14	14	8	12	7	5	11	20	8	23	20	16	1	1	1	4	5	1	1	2	1	2	2	1	2	1	2	2	1	3	2	2	3	1	2	3	5	5
2500	-272.523563718417847	-270.782104064367672	-1.741459654050153	0.000010425202444	0.000017678520840	1.695748445600269	0.503633023498119	-1	1	2	5	9	7	9	9	11	12	10	11	12	12	14	15	13	16	13	14	15	15	16	20	24	22	0	1	2	1	1	3	6	4	11	7	6	8	8	8	14	8	8	12	7	5	11	20	8	23	20	16	1	1	1	3	5	3	1	2	1	2	1	1	2	2	1	3	2	2	2	2	3	1	3	2	5	4
3000	-285.388435821917142	-283.161286579835519	-2.227149242081618	0.000010381542804	0.000030658167341	2.953141736355758	0.470657447866554	-1	1	3	5	8	8	9	9	11	12	10	11	12	10	14	14	13	15	12	14	14	16	13	18	24	23	0	1	2	1	1	1	6	4	11	7	6	14	14	8	14	14	8	12	6	5	11	20	8	23	22	8	1	1	1	2	5	5	1	3	1	2	1	1	1	1	2	1	2	2	2	4	2	1	1	3	4	5
3500	-308.975322489914561	-306.116938884951196	-2.858383604963341	0.000010319975077	0.000051155862255	4.956975367874158	0.595229739794728	-1	1	3	6	10	7	8	9	11	11	9	11	12	12	15	14	13	13	13	14	15	16	15	19	23	23	0	1	2	1	4	1	6	4	6	7	4	8	8	8	8	14	8	12	6	6	6	20	14	23	20	14	1	1	2	4	3	3	1	1	2	2	1	1	1	1	2	1	2	1	2	3	3	1	2	2	3	5
4000	-289.011382619183223	-286.515732080288501	-2.495650538894700	0.000010809973455	0.000040493175212	3.745908847971359	0.467563257531360	-2	1	2	5	9	10	9	9	11	12	9	10	12	12	13	15	14	15	14	13	14	15	15	19	22	23	0	1	2	2	4	7	4	4	11	6	2	8	8	8	14	13	14	12	7	5	11	20	14	23	20	16	1	1	1	2	2	1	2	2	1	1	4	1	2	1	1	1	1	2	3	3	4	1	2	2	4	3
4500	-288.073393825231449	-286.167469769720128	-1.905924055511346	0.000011777436199	0.000024750209129	2.101493798058461	0.596368728698045	0	1	2	6	10	9	8	8	8	10	11	10	12	12	14	14	14	14	14	14	15	16	15	19	24	24	0	1	2	1	4	7	1	4	4	7	9	8	8	8	14	13	8	12	10	5	9	20	14	23	20	16	1	1	1	2	2	1	3	2	1	1	2	1	2	3	1	1	3	2	2	2	3	1	2	2	4	4
