step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12
1	-67.739219517683921	-66.277137433165038	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.922182296136928	0	0	1	2	2	5	4	4	5	6	7	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	6
500	-35.252679511250328	-33.790597426731445	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.847330985285895	1	0	2	3	3	5	4	5	4	6	8	10	2	0	2	3	3	5	2	9	3	8	8	11	1	1	1	1	1	1	2	1	1	1	1	1
1000	-30.908034576635060	-29.445952492116177	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.983319564198835	1	0	2	2	3	5	4	4	5	6	7	10	2	0	2	1	4	7	4	4	5	7	6	9	1	1	1	1	1	1	1	1	1	1	1	1
1500	-36.111148317744217	-34.649066233225334	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.794767055712299	0	-1	2	2	3	5	5	4	6	7	8	10	2	0	2	1	3	5	5	5	6	7	8	10	1	1	1	1	1	1	1	1	1	1	2	1
2000	-36.363214202867049	-34.901132118348166	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.885791732065619	0	-1	1	2	1	4	4	4	5	6	7	10	2	0	2	1	1	1	4	3	4	6	7	10	1	1	1	1	1	1	1	1	1	1	1	1
2500	-38.017607527923829	-36.555525443404946	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.769718163921730	0	-1	1	2	3	4	4	5	6	6	8	12	2	0	1	1	1	5	4	5	6	4	6	11	1	1	1	1	1	1	1	1	1	3	2	2
3000	-41.123554574578243	-39.661472490059360	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.964281946589520	0	-2	0	3	2	3	5	4	5	7	6	11	2	0	2	2	3	1	6	6	8	7	8	11	1	1	1	2	1	1	1	1	1	1	1	2
3500	-40.105667266035368	-38.643585181516485	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.969380142972881	0	-1	1	2	0	2	4	4	6	6	6	11	2	0	2	3	2	3	1	4	7	8	7	10	1	1	1	1	1	1	1	1	1	1	1	1
4000	-37.158809985841998	-35.696727901323115	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.798294432911175	1	-1	1	3	2	5	4	4	5	5	7	12	2	0	2	1	2	4	5	5	4	8	7	6	1	1	2	1	1	1	1	1	1	1	1	4
4500	-35.692592142835977	-34.230510058317094	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.907567337931297	0	-1	1	2	2	5	3	5	5	6	7	10	2	0	1	1	1	7	5	5	7	6	6	6	1	1	1	1	1	1	1	2	1	1	1	1
