step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101
1	-5089.225837983872225	-5087.763755899353782	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.267334780560469	1	3	2	3	5	4	6	8	6	8	8	10	8	10	11	11	10	12	13	13	11	12	14	14	12	13	13	14	14	15	16	16	15	15	16	15	15	16	18	17	17	17	17	17	18	17	20	18	19	20	18	19	20	20	19	19	22	21	22	20	21	22	21	22	22	21	23	22	23	25	23	23	24	24	25	26	25	25	26	26	27	26	26	26	27	28	27	31	31	29	30	29	30	29	31	30	31	32	33	38	38	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	4	3	4	4	5	4	5	5	5	5	6	6	6	5	6	7	7	6	6	6	7	7	7	8	8	7	7	8	7	7	8	9	8	8	8	8	8	9	8	10	9	9	10	9	9	10	10	9	9	11	10	11	10	10	11	10	11	11	10	11	11	11	12	11	11	12	12	12	13	12	12	13	13	13	13	13	13	13	14	13	15	15	14	15	14	15	14	15	15	15	16	16	19	19
500	-1255.599529558989616	-1253.368291586317355	-2.231237972672161	0.000010004359050	0.000029659092269	2.964616935635971	0.193111536288242	0	4	2	2	6	5	7	7	6	7	8	10	8	11	10	8	9	13	11	14	10	12	14	12	10	13	13	14	14	16	15	16	15	15	14	15	12	13	19	17	17	18	15	16	15	15	20	18	19	20	18	19	17	18	19	18	22	21	23	17	22	21	21	23	23	22	21	22	23	24	22	22	25	24	25	27	26	26	26	27	28	27	27	26	28	28	28	32	32	28	31	30	31	29	31	30	32	33	33	38	38	0	4	1	1	3	4	9	6	6	6	8	6	10	17	17	9	10	17	11	15	10	13	13	16	16	10	16	11	21	36	38	20	21	29	24	16	25	22	35	38	29	16	27	24	37	16	8	31	38	37	35	16	45	46	28	15	46	16	43	24	46	49	37	53	24	24	24	37	60	66	44	27	49	38	37	46	45	25	24	31	45	37	24	51	45	58	45	53	60	24	68	37	37	63	53	16	27	35	67	60	67	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	2	2	2	2	2	2	2	4	2	3	3	2	2	1	2	1	5	1	1	4	2	1	3	3	2	6	1	2	2	3	8	2	4	7	2	7	2	2	3	4	5	9	4	3	6	1	6	5	6	6	6	10	3	1	4	4	4	6	11	7	10	9	9	9	7	11	10	5	9	7	9	9	10	7	8	12	13	4	10	11	13	13	10	16	11
1000	-875.514517854995461	-873.857943103235584	-1.656574751759883	0.000009980997519	0.000014872800633	1.490111645135199	0.255641255084934	1	4	2	3	4	4	6	9	7	7	9	10	9	10	12	10	9	13	13	12	11	13	14	12	12	13	13	14	14	16	17	17	16	15	15	14	13	14	19	17	17	17	18	16	16	16	20	19	19	20	18	18	17	20	19	20	22	20	22	21	22	22	20	20	22	21	20	19	23	26	23	22	25	25	25	26	26	26	25	27	27	26	27	27	28	28	28	32	31	29	31	29	30	28	32	30	32	33	32	38	38	0	4	1	1	3	4	6	9	6	7	9	6	10	17	10	6	10	17	11	13	13	17	14	9	16	14	16	11	21	36	38	20	21	21	24	16	16	20	35	38	34	36	37	35	37	24	11	40	40	27	44	35	45	35	28	48	52	45	43	44	52	49	53	53	54	52	44	25	51	66	16	58	62	62	53	66	68	35	67	62	72	64	35	67	64	68	68	64	67	79	68	68	53	82	64	58	79	67	67	71	71	1	1	1	1	1	1	1	1	2	1	1	4	2	1	2	4	1	2	3	1	2	3	2	3	1	2	3	2	2	1	2	2	4	2	2	2	1	1	2	2	2	2	4	1	2	2	6	1	1	4	1	2	1	2	2	1	3	2	2	2	3	1	2	2	1	2	2	4	3	2	7	2	3	2	6	2	4	8	3	4	3	4	6	5	7	6	6	6	5	1	7	7	8	2	7	7	3	10	6	11	8
1500	-744.995518958033813	-743.442010069562116	-1.553508888471731	0.000009987559832	0.000012364148126	1.237954849202988	0.454671551061311	-1	4	2	2	6	4	6	8	7	8	9	10	9	11	10	11	11	12	13	14	12	13	15	15	12	13	14	14	15	15	17	17	16	15	14	13	15	15	18	17	17	17	17	18	17	17	19	18	19	18	17	19	19	21	19	19	23	22	23	20	21	22	20	21	23	21	20	20	24	26	22	21	25	24	24	27	25	25	27	27	27	25	26	27	27	29	26	32	31	29	30	30	30	29	31	31	31	32	31	38	38	0	4	1	1	3	4	6	9	6	7	8	6	10	10	13	9	10	10	11	15	15	13	13	16	16	13	25	11	21	36	38	20	29	21	16	16	16	20	35	38	21	36	37	24	37	35	19	40	40	43	24	46	45	46	19	31	52	72	43	44	52	49	53	53	54	52	39	45	51	66	51	45	62	62	64	70	68	67	67	62	72	64	67	67	64	68	72	64	84	83	72	87	64	75	64	87	78	71	84	67	98	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	2	2	2	2	2	4	3	1	2	1	2	2	1	2	1	1	2	1	1	2	1	2	1	3	2	2	2	1	2	3	1	1	1	1	2	1	2	2	1	2	1	2	1	1	2	1	1	1	1	1	2	3	2	3	1	2	1	3	1	3	3	3	4	2	2	5	3	4	6	4	6	1	1	6	3	5	3	4	3	3	9	2	12	3
2000	-704.156484769583926	-702.628085252115852	-1.528399517468043	0.000009935381631	0.000011672524103	1.174844061014933	0.483295627662262	1	4	2	3	5	5	6	9	7	7	8	10	9	11	11	11	10	13	12	13	12	12	15	15	12	13	14	15	15	16	16	15	16	15	14	15	15	14	19	16	17	18	17	18	18	17	19	18	18	19	17	20	19	21	19	20	23	22	21	20	22	22	21	22	22	22	23	21	23	26	22	23	24	23	26	25	25	26	26	26	28	27	27	26	27	29	27	31	30	29	29	30	30	28	32	31	31	31	33	37	39	0	4	1	1	3	4	6	9	6	7	6	9	10	10	13	6	10	14	11	15	15	17	26	35	16	13	16	11	21	36	38	15	21	21	16	16	16	20	16	38	34	30	37	51	27	24	28	31	31	43	35	46	37	46	19	48	52	68	43	51	52	49	53	53	54	52	60	37	51	66	60	68	62	62	64	66	68	71	71	73	72	64	84	71	64	68	72	64	90	79	68	87	82	75	64	87	79	90	67	67	99	1	1	1	1	2	1	1	1	2	1	1	2	1	3	1	2	2	1	2	1	1	2	2	1	1	2	2	4	2	1	2	2	1	2	1	2	2	1	3	1	1	1	2	1	2	1	2	1	2	1	2	2	2	2	4	2	3	1	2	2	1	2	1	3	1	1	2	3	3	2	1	1	1	1	2	1	2	2	2	2	2	2	1	2	4	5	3	6	1	2	5	1	2	1	5	3	2	1	4	10	4
2500	-642.680420066831175	-640.879335781046620	-1.801084285784569	0.000010007425438	0.000018426084792	1.841241276794293	0.578483930271687	1	4	2	3	5	4	6	7	6	7	8	10	8	11	11	9	10	12	14	13	12	12	12	14	13	14	13	13	14	16	17	16	15	15	16	14	16	14	18	17	17	18	17	18	18	18	19	18	19	20	17	19	19	21	18	20	22	22	22	21	21	22	22	20	22	20	24	21	23	26	22	23	24	24	25	26	23	25	27	27	28	26	27	25	27	29	27	31	32	29	31	29	30	30	31	31	30	33	32	39	39	0	4	1	1	3	4	6	6	6	7	9	6	10	10	13	8	10	10	28	15	15	10	10	27	16	22	16	11	21	36	38	20	21	21	24	25	16	20	24	38	34	36	37	51	37	35	28	40	40	43	24	46	37	46	28	48	66	68	50	44	52	49	53	53	54	52	71	45	51	66	60	58	62	62	64	66	68	71	71	73	87	64	84	71	75	68	72	82	97	71	87	87	82	82	75	87	67	90	67	99	98	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	2	3	1	2	1	3	3	1	2	1	2	2	1	1	2	1	2	1	1	1	3	1	2	3	1	2	1	1	1	2	3	1	1	2	2	1	2	2	2	1	1	1	1	2	2	2	2	1	1	1	2	2	2	2	1	1	1	1	3	3	1	2	2	2	1	3	2	3	1	5	2	3	1	3	3	1	2	3	3	2	3	2	5	4	5
3000	-606.627790228326148	-604.899854562595010	-1.727935665731113	0.000010038865179	0.000016693805026	1.662917543809853	0.668810299181426	0	3	1	2	5	5	6	7	7	7	9	10	8	10	10	9	10	12	13	12	11	12	14	14	13	12	12	13	14	16	16	16	16	16	16	15	15	15	18	18	17	17	18	17	18	17	21	19	19	21	18	19	20	20	19	20	22	22	21	20	21	22	22	22	21	21	24	21	24	26	23	24	24	24	26	26	25	25	25	27	26	26	27	26	27	26	27	32	31	28	30	30	31	29	30	30	28	31	33	37	38	0	4	1	1	3	4	6	6	6	7	8	9	10	10	13	6	13	17	11	15	13	14	13	27	16	14	16	11	21	36	38	20	21	29	24	25	27	15	24	31	34	36	37	35	37	24	19	38	40	43	44	39	45	46	19	48	52	68	43	51	52	49	53	53	54	52	71	45	60	66	60	58	62	62	64	66	68	71	71	73	72	64	78	71	75	68	81	75	97	71	87	87	64	82	85	87	84	84	98	99	98	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	3	1	2	1	1	2	2	1	1	2	2	1	1	2	1	3	2	2	1	1	2	1	2	2	4	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	1	1	1	2	2	2	1	1	2	1	2	2	2	1	3	1	3	2	2	2	1	2	2	2	2	1	2	1	2	4
3500	-607.727905004281183	-606.233967486489746	-1.493937517791463	0.000010126292802	0.000010996539355	1.085939303756939	0.631916743944148	1	3	2	4	5	5	6	6	7	8	8	11	9	11	11	11	10	11	13	13	12	11	14	14	12	13	13	14	14	15	15	15	15	15	16	16	15	14	18	17	17	17	18	17	17	17	20	18	19	20	18	19	19	20	20	20	21	22	23	20	22	21	21	22	22	22	23	20	22	23	22	24	23	25	26	26	25	24	27	27	26	26	26	27	28	29	27	32	32	28	29	29	29	28	32	31	30	30	34	39	38	0	1	1	2	3	4	6	6	6	7	8	9	10	10	13	6	13	13	11	15	15	13	13	16	16	17	25	11	21	16	38	20	29	21	24	30	27	20	35	38	34	36	37	27	37	24	19	40	38	43	44	46	45	46	28	48	52	68	50	44	52	49	53	63	54	57	71	45	51	66	60	58	62	62	64	66	68	67	67	73	72	64	78	67	82	68	81	94	97	67	87	87	94	64	93	92	90	84	98	99	99	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	3	1	2	1	2	1	2	1	1	1	1	2	2	1	1	3	2	1	1	3	1	2	1	1	2	1	1	3	1	1	1	2	2	1	2	2	1	1	1	1	3	2	1	2	1	1	2	2	2	2	1	2	2	1	3	1	3	1	4	1	2	2	2	1	1	1	2	3	2	1	1	2	2	2
4000	-602.810864259167033	-601.064020557407162	-1.746843701759831	0.000009950407720	0.000017003584696	1.708832961890087	0.703350536377838	0	2	2	3	5	4	6	9	6	7	8	9	9	10	11	11	10	12	13	13	12	12	14	14	12	13	14	14	14	13	16	17	15	15	15	15	15	14	18	18	17	17	16	17	18	18	18	18	19	20	19	19	19	20	20	20	20	21	23	20	22	22	22	23	23	22	24	20	23	24	23	23	24	24	26	26	23	25	27	27	25	26	27	26	27	26	28	30	32	29	30	30	30	29	32	31	29	32	34	38	38	0	1	1	2	3	4	6	11	6	7	6	6	10	10	10	12	10	17	8	17	13	14	22	25	16	22	25	8	21	16	38	20	21	21	24	30	16	20	24	31	34	36	37	37	37	24	11	38	38	43	44	46	45	46	28	48	52	68	50	44	52	49	53	63	54	57	71	45	60	66	39	58	62	62	64	66	68	71	67	73	72	64	78	67	64	77	81	64	97	67	87	87	94	82	94	92	79	90	98	99	99	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	2	1	3	1	1	1	1	1	1	1	1	3	2	1	1	3	2	1	1	1	2	1	3	2	2	1	1	1	2	2	4	2	3	2	1	1	1	1	3	1	1	1	2	2	1	2	2	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	2	2	2	1	1	1	1	2	1	4	2	2	1	1	1	2	2	1	1	1	1	2	2
4500	-587.128544127214013	-585.450476866943973	-1.678067260270089	0.000011585427421	0.000017866342611	1.542139272135646	0.652842723306499	1	2	2	4	5	5	6	8	6	7	9	10	9	10	10	10	9	12	12	12	12	10	14	13	11	13	13	14	14	13	16	16	15	15	15	15	15	15	18	18	17	16	17	17	17	18	19	18	19	19	19	19	18	20	19	20	20	21	22	19	21	22	21	22	22	22	23	20	22	25	22	24	23	24	26	25	24	24	27	26	27	26	27	26	28	29	28	31	31	29	30	30	30	29	30	31	31	31	33	37	39	0	1	1	2	3	4	6	6	6	7	8	9	10	17	10	9	10	13	11	15	15	10	14	25	16	13	16	11	21	25	38	20	21	21	24	30	27	20	35	31	34	36	37	35	37	35	28	38	40	43	44	46	45	46	28	48	52	68	50	44	52	49	53	63	54	57	71	45	44	66	60	58	62	62	64	66	68	67	67	73	72	64	78	67	75	77	81	94	79	67	87	87	82	82	75	92	90	84	98	98	100	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	2	1	2	2	1	1	2	2	1	1	2	2	2	2	1	1	3	2	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	2	2	1	1	1	2	2	1	1	2	1	1	2	2	1	1	1	1	2	3	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	1	3	1	1	3	3	1	2	2	2	3	1	1	2	2	3	1
