step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21
1	-1305.043561537052483	-1311.899049488011769	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.841353896549938	0	6	5	7	7	7	9	10	11	11	13	13	12	12	13	13	12	12	15	16	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	4	4	5	5	6	6	7	7	6	6	7	7	6	6	8	8	10
500	-146.423664870544741	-153.279152821504113	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635776433185291	1	6	4	7	7	8	10	11	10	10	13	11	12	13	14	13	12	13	15	17	19	0	1	0	2	2	3	5	4	2	3	5	7	8	10	7	6	8	7	13	15	14	1	2	1	1	1	2	2	2	2	2	3	1	1	1	2	3	1	2	3	1	3
1000	-139.060558411180352	-145.916046362139724	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694308645359618	0	6	5	7	8	8	10	10	11	10	12	13	11	12	12	13	12	11	15	16	19	0	1	0	2	2	3	5	4	2	6	2	7	8	10	7	6	8	7	13	15	14	1	2	1	1	1	2	2	2	2	1	3	1	1	1	1	3	1	1	2	2	4
1500	-130.486947269050603	-137.342435220009975	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615773951652896	-1	5	5	7	7	7	9	10	11	11	12	13	12	13	13	13	12	11	14	15	20	0	1	0	2	2	3	5	4	2	3	2	7	8	10	7	10	8	7	13	15	14	1	3	1	1	1	1	1	2	2	3	2	2	1	1	1	1	1	1	1	1	4
2000	-138.630859954377797	-145.486347905337169	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.454874623196186	-1	6	5	7	7	6	9	11	10	11	13	13	11	12	13	11	12	12	15	16	19	0	1	0	2	2	3	5	4	2	3	13	7	2	3	7	6	8	7	13	15	14	1	3	1	1	1	1	1	2	2	4	1	2	2	4	2	3	1	2	2	2	3
2500	-155.423447468235139	-162.278935419194511	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.506927815241064	0	5	5	7	7	7	10	10	11	11	12	12	12	13	13	12	12	13	15	16	21	0	1	0	2	2	3	2	4	2	3	2	2	5	10	7	6	8	12	13	7	14	1	2	1	1	1	1	2	1	2	3	3	4	3	1	2	2	1	1	2	4	4
3000	-139.982405182514043	-146.837893133473415	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667704286404176	1	6	5	8	7	7	9	10	9	10	12	12	11	12	13	13	13	12	15	16	20	0	1	0	2	2	3	5	4	2	3	2	7	2	10	7	6	8	7	13	15	14	1	2	1	1	1	1	1	1	2	3	2	2	3	1	2	3	2	1	2	1	3
3500	-135.156420186973747	-142.011908137933119	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608628807099225	-1	6	5	8	7	7	9	10	10	11	13	13	12	13	12	14	13	12	15	16	18	0	1	0	2	2	3	5	4	2	6	13	15	2	10	7	6	8	7	13	15	10	1	4	1	1	1	1	1	1	2	2	1	1	3	1	2	3	1	2	2	2	3
4000	-153.309263767356413	-160.164751718315785	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.619989126902023	-1	6	5	7	7	7	8	9	10	11	12	13	12	13	13	13	13	11	14	16	20	0	1	0	2	2	3	5	4	2	3	2	18	4	10	18	6	8	7	13	7	14	1	2	1	1	1	1	1	2	2	2	4	1	2	2	1	3	2	1	1	4	3
4500	-137.361261529800942	-144.216749480760313	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.612961082363887	0	6	5	8	8	7	10	9	10	11	13	13	12	13	13	14	11	12	13	17	19	0	1	0	2	2	3	5	4	2	3	5	7	4	10	7	10	8	7	13	7	14	1	3	1	1	1	1	1	1	2	3	2	1	2	1	1	1	1	1	1	3	3
5000	-139.124968545338930	-145.980456496298302	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.541632698596986	0	6	5	7	8	7	10	10	11	10	11	12	12	12	14	14	12	12	15	15	21	0	1	0	2	2	3	5	2	2	3	2	2	8	3	7	6	8	7	13	15	14	1	3	1	1	1	1	1	2	3	3	2	2	1	2	2	3	1	1	2	1	4
5500	-141.521390896525219	-148.376878847484591	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.501852232926523	1	6	6	8	6	8	9	10	11	10	11	13	13	11	11	14	12	11	15	16	20	0	1	0	2	1	3	5	4	1	3	5	5	9	10	7	6	8	7	13	12	14	1	2	1	1	3	1	1	1	5	2	3	4	1	1	1	2	1	1	1	2	5
6000	-145.609908310214252	-152.465396261173623	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.531299699672947	0	4	5	7	7	7	9	11	10	11	13	13	12	12	13	13	12	11	15	16	20	0	1	0	1	2	3	5	4	1	6	13	7	4	10	18	6	4	7	13	15	14	1	2	1	3	2	1	1	2	3	2	1	2	2	1	1	2	2	1	1	1	4
6500	-149.613066107548832	-156.468554058508204	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.606632429498911	-1	3	5	7	7	8	9	10	11	11	14	13	13	12	14	14	12	12	15	17	20	0	1	0	2	2	3	5	4	2	3	2	7	8	10	7	10	8	7	13	15	14	1	2	1	2	2	1	1	2	2	3	4	2	2	1	2	1	2	1	1	2	3
