step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18
1	-622.940861575714166	-629.796349526673566	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.715428387036272	0	5	9	15	15	17	19	19	18	19	21	21	22	23	24	26	38	41	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	5	8	8	9	10	10	9	10	11	11	11	12	12	13	19	21
500	-143.619342920395809	-150.474830871355181	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.351144725100374	0	5	8	14	15	18	20	18	18	20	22	21	22	23	24	27	39	42	0	1	1	2	0	4	8	5	4	8	4	6	12	6	9	11	0	4	1	2	5	4	1	2	1	1	2	1	5	2	1	2	4	3	1	13
1000	-129.180032325023802	-136.035520275983174	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497805276140389	-1	5	9	15	15	17	20	18	18	19	20	21	19	23	25	26	38	41	0	1	2	2	0	4	8	5	4	8	9	4	6	13	12	11	0	4	1	3	2	5	1	1	2	1	2	1	1	3	1	2	2	3	1	13
1500	-128.135027016849278	-134.990514967808650	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.455121726349291	-1	5	9	15	14	18	20	18	18	20	21	21	21	21	24	26	38	40	0	1	2	2	0	4	8	5	4	8	2	6	6	6	12	11	0	11	1	3	2	4	1	2	1	2	2	1	7	2	2	2	3	3	1	8
2000	-134.323481540819756	-141.178969491779128	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.308953611512410	1	5	10	15	14	17	20	19	18	20	21	21	22	23	23	25	38	39	0	1	1	2	0	4	8	5	4	8	4	6	12	6	12	11	0	4	1	2	5	4	1	1	1	2	2	1	2	2	1	2	1	2	1	9
2500	-134.563923433014509	-141.419411383973880	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.354968540649818	0	5	9	15	13	16	19	17	19	19	21	21	22	22	23	24	39	41	0	1	2	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	3	2	4	1	1	1	2	2	1	1	2	3	4	2	2	1	14
3000	-130.691481569078888	-137.546969520038260	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.286656433521144	1	4	10	15	15	17	20	18	17	19	20	22	22	24	24	26	38	41	0	1	2	2	0	4	8	5	4	8	2	6	6	6	12	4	0	11	1	2	3	5	1	1	1	1	2	1	7	4	2	3	1	5	1	11
3500	-129.515293196664146	-136.370781147623518	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.375657576276202	0	6	9	15	16	18	20	18	18	19	21	22	20	22	25	26	37	40	0	1	2	2	0	4	8	5	4	8	4	6	6	13	12	11	0	4	1	3	2	4	1	2	1	1	2	1	4	2	1	2	2	2	1	12
4000	-132.636617699194574	-139.492105650153945	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.393788660365342	-1	5	10	15	14	18	20	18	19	20	21	20	22	22	24	25	38	41	0	1	2	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	3	3	4	1	2	1	1	3	1	1	1	3	1	2	2	1	12
4500	-126.425200634261984	-133.280688585221355	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.410296555016138	0	5	10	15	15	18	20	19	18	20	21	20	21	23	24	26	37	42	0	1	2	2	0	4	8	5	4	8	2	6	6	13	12	11	0	11	1	3	3	5	1	2	1	2	3	1	6	1	2	1	2	2	1	11
5000	-134.065467838592753	-140.920955789552124	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.410493335239458	1	6	9	15	16	17	20	19	18	20	22	20	22	23	24	26	37	41	0	1	2	2	0	4	8	5	4	8	9	6	6	4	12	11	0	4	1	3	1	4	1	1	1	1	1	1	2	1	3	4	3	3	1	13
5500	-130.423185886837729	-137.278673837797101	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.393665993917285	1	6	9	16	14	18	19	18	18	19	21	21	23	23	24	25	38	42	0	1	2	2	0	4	8	5	4	8	4	4	6	6	13	11	0	4	1	2	2	5	1	1	1	2	1	1	3	3	2	4	1	2	1	12
6000	-129.800632803022523	-136.656120753981895	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.495123142584132	0	5	9	15	15	18	20	18	17	20	21	21	23	23	24	26	38	41	0	1	2	2	0	4	8	5	4	8	4	6	6	6	6	4	0	16	1	2	2	4	1	2	1	1	1	1	3	1	3	2	3	5	1	7
6500	-131.161576314255683	-138.017064265215055	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.441052796893979	0	5	9	15	14	18	19	18	19	19	21	21	19	22	24	27	39	40	0	1	2	2	0	4	8	5	4	8	4	6	6	13	12	11	0	4	1	2	2	5	1	2	1	3	2	1	3	2	1	2	1	2	1	11
