step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-845.844341224212826	-854.895184604664223	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.377751046841609	2	0	1	2	2	9	5	7	16	7	17	8	10	9	8	11	9	12	8	10	9	11	9	10	9	9	10	10	11	9	10	12	13	10	10	13	11	11	17	10	11	10	16	11	12	17	15	17	14	11	12	12	12	12	12	12	11	12	13	14	12	13	14	12	12	13	14	16	13	14	15	13	16	14	16	14	17	15	18	16	21	18	20	20	21	21	23	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-249.780478082742434	-258.831321463193774	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997898345116441	3	0	2	1	2	10	4	8	17	7	18	6	10	5	9	12	9	11	9	7	10	9	9	11	9	7	11	5	11	9	9	12	14	10	9	14	11	11	11	10	12	10	17	11	11	16	15	18	14	12	13	12	12	9	11	12	11	8	14	15	12	13	15	13	11	13	13	15	13	14	16	12	17	14	14	12	18	16	18	16	22	19	21	20	19	20	19	2	0	2	2	2	58	3	26	64	28	43	1	23	4	12	26	10	42	10	5	28	12	7	25	7	12	25	7	42	10	26	18	72	58	8	29	30	31	23	20	45	10	47	40	6	75	66	47	51	19	41	21	38	8	34	13	31	12	69	70	58	61	36	52	31	41	55	33	72	76	57	44	47	56	53	37	47	49	9	75	82	71	82	48	77	79	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-272.464024469473543	-281.514867849924883	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985654233695828	2	0	1	2	3	8	4	7	17	7	18	8	10	10	5	12	8	10	9	11	7	12	8	10	9	9	10	9	9	10	11	10	10	9	9	12	10	11	18	10	11	9	16	11	13	15	11	16	11	9	10	12	13	12	12	12	9	13	13	15	12	14	13	12	10	13	14	17	11	14	13	12	14	14	16	15	15	14	8	15	21	15	18	17	15	19	23	2	0	2	2	3	8	3	5	77	15	77	8	23	25	1	69	8	34	8	35	15	51	7	29	17	8	8	79	21	10	19	6	26	10	17	32	17	24	68	25	24	79	36	12	55	40	29	85	17	6	19	19	17	24	37	30	7	55	19	45	19	26	31	79	17	47	65	71	35	54	31	13	71	56	79	54	67	45	5	41	39	72	43	46	59	83	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-254.941380870897206	-263.992224251348546	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.966851218037076	3	-1	2	2	3	9	6	7	16	8	18	8	11	10	9	11	9	12	7	7	9	11	10	11	10	10	11	9	11	9	11	9	12	11	10	13	12	12	16	8	11	10	14	11	10	12	15	17	13	11	12	9	13	12	12	12	12	13	13	13	13	13	13	12	12	14	15	17	13	14	15	13	15	10	17	14	17	13	18	14	19	15	19	20	20	14	23	4	0	2	2	4	8	1	4	62	20	48	8	28	20	10	28	12	30	5	2	7	7	40	45	15	15	23	8	28	19	25	19	13	30	30	31	74	21	76	7	10	40	16	15	12	23	14	70	26	15	31	40	34	30	12	27	74	16	50	30	41	22	54	32	6	18	76	73	64	25	33	50	51	15	55	65	73	24	72	51	75	72	68	77	79	37	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-273.247053031515861	-282.297896411967201	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979833304392709	1	0	2	2	2	10	6	8	12	7	17	8	9	10	5	12	9	13	8	10	9	8	8	11	9	9	10	11	6	9	11	12	14	8	11	13	10	11	17	10	12	9	14	11	9	15	13	17	14	11	12	11	13	11	8	12	11	13	13	10	12	14	11	12	13	14	15	15	13	14	15	13	13	14	15	15	18	14	18	16	20	17	20	19	21	22	22	2	0	2	1	1	45	1	29	24	15	28	7	29	21	4	63	10	42	15	34	7	7	29	10	23	12	7	37	3	19	55	6	58	3	37	45	25	30	36	12	42	19	41	55	29	69	55	71	51	37	28	30	23	42	29	17	60	16	50	34	35	14	12	13	32	60	64	47	30	9	44	37	31	50	66	51	57	72	68	26	48	62	77	68	77	80	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-250.011966443553490	-259.062809824004830	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997174477513601	3	0	1	2	3	9	6	7	17	6	18	8	9	8	9	9	9	10	7	10	10	12	8	8	9	9	8	10	12	10	8	12	13	10	11	12	11	11	17	9	10	11	17	11	11	16	14	18	14	11	11	11	13	12	12	12	11	11	14	14	13	14	14	11	10	13	15	16	13	11	13	13	14	15	15	12	14	15	17	17	17	15	20	18	19	21	22	3	0	2	2	4	14	5	4	63	5	77	1	19	8	23	12	27	6	7	13	24	37	7	19	31	23	10	27	41	7	19	38	27	6	6	37	16	25	71	14	14	8	82	34	28	62	56	59	22	16	26	6	26	30	23	31	17	6	35	36	52	61	55	13	15	42	72	61	44	23	42	52	38	35	76	21	13	63	78	82	82	77	9	67	39	11	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-279.253558020855962	-288.304401401307302	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970451418835476	1	0	2	2	3	8	5	5	15	7	17	6	10	8	6	8	10	11	8	10	10	12	6	4	9	6	8	10	12	8	10	13	14	6	11	11	10	10	15	10	11	10	15	11	13	17	15	17	13	11	9	10	13	13	11	13	9	11	14	14	12	9	13	13	12	13	14	16	7	15	16	14	16	13	15	15	17	15	19	15	19	17	20	15	21	21	23	2	0	1	1	3	23	5	1	13	3	27	8	14	5	5	12	15	52	24	16	27	42	24	1	19	7	10	14	28	12	14	42	41	7	25	17	27	14	53	51	20	10	19	27	36	9	66	75	50	14	12	30	29	55	42	31	69	62	61	13	51	16	38	55	35	50	18	39	15	53	76	61	22	10	66	50	33	53	74	33	77	76	81	66	43	63	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-267.045626155047955	-276.096469535499295	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986059760775464	3	0	1	1	2	7	4	6	17	7	16	6	11	9	9	12	9	11	6	11	10	10	9	9	9	10	11	11	9	4	11	11	13	10	10	12	12	11	18	9	12	8	11	12	13	16	14	15	15	12	12	11	9	12	8	12	10	12	14	12	13	13	15	12	10	10	14	13	14	13	14	11	17	15	16	15	15	16	19	16	17	18	19	16	21	15	22	4	0	2	2	2	19	5	30	11	12	74	7	57	10	10	53	6	42	7	55	53	42	42	6	42	53	15	65	19	5	14	22	38	42	25	22	42	53	9	30	40	8	26	35	43	74	41	20	71	31	15	57	10	35	7	28	55	28	61	2	32	52	67	21	5	15	41	66	58	13	36	23	74	41	67	62	67	63	82	50	86	46	48	61	79	59	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-263.081704856785677	-272.132548237237017	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993890622842861	3	-1	1	3	2	7	5	7	11	6	17	9	11	10	8	10	9	12	9	10	8	11	8	11	9	10	11	10	11	10	6	11	11	6	8	13	9	11	17	11	7	8	15	9	13	17	16	16	15	8	12	11	12	7	13	13	8	12	14	15	12	14	10	12	12	12	11	16	13	14	15	6	17	13	14	14	17	15	15	12	20	19	19	20	21	19	23	2	0	2	3	2	34	4	7	14	7	78	8	14	50	34	57	6	25	8	12	10	31	6	63	8	42	17	54	23	41	4	23	30	1	10	51	35	26	62	63	7	8	70	54	52	43	79	65	56	31	14	54	13	10	67	52	7	22	56	45	17	53	50	63	20	26	42	78	22	66	58	4	55	51	58	66	66	74	56	52	46	71	74	82	82	47	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-257.066280120041313	-266.117123500492653	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995853401380702	1	0	2	2	3	10	5	7	14	6	16	7	10	8	9	11	6	9	8	10	8	11	9	9	10	8	10	9	12	10	8	9	13	7	10	13	11	10	18	10	11	10	16	12	12	17	12	17	14	12	7	10	13	12	9	12	12	12	12	14	12	13	15	13	9	12	13	17	14	15	15	10	17	13	14	12	16	14	18	16	21	18	19	19	21	19	21	2	0	1	1	3	24	1	7	66	1	16	17	31	51	31	23	5	26	34	26	12	65	17	26	18	10	34	21	15	31	51	12	72	7	14	65	20	51	11	23	52	34	53	23	6	45	30	71	25	18	7	51	38	35	31	40	72	35	27	44	40	22	9	54	21	16	58	62	44	76	78	31	80	41	62	14	60	61	73	54	49	53	82	48	84	60	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5000	-260.848337115582126	-269.899180496033466	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998784992038610	2	0	1	3	3	10	5	8	16	8	16	8	10	9	8	11	9	12	6	9	8	9	6	11	9	8	10	11	10	9	11	11	11	9	9	13	11	11	16	10	12	8	16	10	13	16	16	14	12	11	12	13	9	12	11	13	12	13	14	14	10	13	12	11	13	11	12	14	14	13	14	13	15	14	15	15	18	12	16	17	22	19	17	20	18	20	20	2	0	2	3	1	26	4	7	52	23	73	23	12	10	7	13	10	17	1	23	23	21	3	26	8	7	12	61	34	10	61	40	20	12	26	66	40	20	75	10	37	4	71	30	21	52	74	49	16	30	25	33	15	61	20	50	6	55	40	70	4	51	30	26	51	12	66	29	45	6	36	64	70	64	60	56	11	31	62	40	82	76	45	69	46	77	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-256.820748093477789	-265.871591473929129	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992194246151675	1	0	1	3	3	9	2	7	17	8	15	5	9	7	9	11	8	12	9	11	8	12	8	6	8	10	10	9	6	10	9	10	9	11	10	13	12	12	14	8	12	10	17	11	13	17	15	18	12	11	12	12	11	11	11	12	12	11	12	14	13	14	13	12	13	13	14	15	10	14	15	12	16	14	10	14	17	14	18	17	22	19	18	20	21	16	24	2	0	2	7	1	21	3	24	63	24	67	4	25	24	29	32	14	16	24	42	8	44	29	5	5	25	12	25	12	25	17	24	10	30	6	13	58	19	49	8	55	31	39	42	16	74	45	43	75	32	58	20	30	23	42	75	30	40	15	38	30	64	69	33	37	22	59	60	25	63	53	19	60	72	17	58	47	38	73	60	82	83	86	79	48	59	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
