step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46
5000	-284.400629212185208	-282.874426019128862	-1.526203193056325	0.000012869701927	0.000015048122907	1.169267399679590	0.674676655812806	0	2	3	3	6	5	7	8	7	9	11	9	11	12	12	12	15	13	15	14	13	15	15	16	19	19	19	18	20	17	17	22	20	20	21	22	21	22	22	24	24	24	24	26	28	27	0	1	2	2	2	4	4	7	0	8	9	8	12	12	13	0	14	15	16	16	0	15	18	21	22	22	31	24	28	15	22	25	24	22	29	27	33	29	29	29	35	29	38	38	40	41	1	1	1	1	2	1	2	1	1	1	3	1	1	2	1	1	1	1	2	1	1	2	2	2	3	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2	1	3	1	2	2	2
5500	-259.796231516865930	-258.353460293843398	-1.442771223022544	0.000016008710072	0.000015129651269	0.945088717418176	0.810291455152013	-1	1	2	3	5	5	5	7	7	9	9	11	11	13	12	12	15	13	16	15	15	18	15	16	20	17	18	18	20	19	19	21	19	22	22	22	22	22	22	24	23	25	24	28	27	28	0	1	2	2	2	4	4	6	0	8	9	10	10	12	13	0	14	15	20	16	0	26	18	21	22	15	26	24	28	15	22	27	28	30	29	27	33	29	29	29	35	35	38	40	40	40	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	3	1	1	1	1	1	2	2	2	1	2	1	1	2	2	1	2
6000	-259.704568152708362	-258.335103249729343	-1.369464902979035	0.000025025158207	0.000016804221094	0.671493101241301	0.646702182077358	0	2	3	3	5	5	5	7	7	9	11	11	10	12	12	13	14	13	15	15	15	18	15	16	17	16	20	19	20	20	18	23	21	20	21	22	23	23	23	24	24	26	25	26	27	27	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	15	16	16	0	25	15	21	26	15	31	24	24	15	26	31	24	26	28	30	33	35	35	39	29	35	39	35	40	29	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	1	3	1	2	2	4	1	2	3	3	1	1	2	2	2	1	2	2	1	2	2	3
6500	-237.262969154446068	-235.859495967864945	-1.403473186581115	0.000071288297269	0.000028196369204	0.395525917784804	0.609873969006935	0	2	3	3	5	4	6	7	8	9	11	10	12	12	13	13	14	14	16	15	15	18	15	17	19	17	19	18	20	18	17	23	20	22	22	22	22	22	23	25	24	24	25	28	27	28	0	1	1	2	1	4	4	6	0	8	9	10	12	12	13	0	14	13	20	16	0	15	18	21	31	15	31	24	28	18	13	27	24	27	29	30	33	29	29	39	29	39	42	41	39	41	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	3	2	2	2	2	2	1	1	1	2	1	2	1	1	3	3	2
7000	-241.428952945247943	-239.711753017402657	-1.717199927845282	0.000096856036151	0.000019209976965	0.198335361722511	0.664891593728721	-1	1	3	3	3	4	7	7	8	9	10	12	10	13	13	11	14	12	15	15	15	17	16	16	19	18	19	18	21	18	17	22	20	21	22	22	22	23	23	24	24	25	25	27	28	28	0	1	2	2	2	4	4	6	0	8	9	13	8	13	18	0	14	13	16	16	0	15	13	21	15	13	31	24	28	15	23	25	24	26	24	31	28	29	35	35	39	38	39	42	29	44	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	2	2	1	2	3	1	2	3	1	1	2	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	3	1
7500	-267.073559651109974	-265.094837165512502	-1.978722485597465	0.000107295614709	0.000015233802405	0.141979729982910	0.613160439417754	1	2	3	4	5	5	6	8	7	10	11	10	11	13	12	13	14	13	15	14	14	18	15	16	19	16	18	18	19	19	19	22	19	21	22	21	22	22	22	24	24	24	26	26	27	28	0	1	2	2	2	4	4	7	0	7	9	8	12	10	10	0	14	10	16	16	0	18	18	21	27	12	13	21	24	27	18	31	24	31	28	27	33	29	28	38	28	38	35	38	44	42	1	1	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	1	1	1	3	4	2	1	1	3	2	2	1	3	2	2	2	3	1	4	2	1	3	1	2
8000	-251.843172760836836	-250.366677215654761	-1.476495545182064	0.000094868188365	0.000029629862467	0.312326639496864	0.703336313420954	-1	1	3	3	4	5	5	7	8	8	10	11	11	12	13	12	14	13	15	15	15	19	16	16	20	19	20	17	20	17	16	23	20	21	21	22	22	22	23	25	25	26	26	27	27	28	0	1	2	2	2	4	4	6	0	6	9	10	10	8	13	0	13	12	16	16	0	30	13	21	22	30	23	21	24	23	15	34	24	27	24	26	33	29	29	29	39	38	39	38	40	42	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	2	1	2	2	2	1	1
8500	-221.540012807281443	-219.783013680037271	-1.756999127244180	0.000094563916504	0.000017709683799	0.187277393472439	0.881115570756454	0	1	3	3	5	5	6	6	7	9	10	12	11	13	12	13	15	14	15	14	16	18	16	17	19	17	19	18	20	18	18	21	20	20	22	22	21	22	24	25	24	23	25	26	28	27	0	1	2	2	4	4	6	5	0	7	9	13	10	12	13	0	14	15	16	16	0	23	15	21	30	13	31	24	28	13	23	31	28	30	29	27	33	29	29	42	42	29	42	42	40	43	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1
9000	-242.747226046191372	-241.090964895326181	-1.656261150865188	0.000103564060505	0.000022575136652	0.217982343895189	0.725270749481774	0	2	3	3	5	4	6	7	7	9	10	11	11	12	12	13	14	13	15	14	14	17	15	16	20	17	18	18	21	19	18	22	20	20	21	22	22	23	23	24	25	24	25	27	25	27	0	1	2	2	2	4	4	6	0	8	9	10	10	7	13	0	14	12	16	16	0	15	15	21	27	15	22	24	24	23	13	26	24	27	28	22	28	35	35	38	38	35	29	39	38	41	1	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	2	3	2	3	2	2	1	1	2	2	1	2	1	1	2	2	2	1	1
9500	-231.401646379161548	-229.880586243364377	-1.521060135797165	0.000093634833996	0.000026292716027	0.280800583556007	0.719869571684783	0	1	4	3	5	5	6	7	7	9	10	11	10	12	12	13	14	14	15	15	15	18	15	16	19	19	18	19	21	19	17	22	20	20	20	23	22	23	24	24	24	24	23	27	27	28	0	1	2	2	3	4	4	6	0	8	9	10	10	10	13	0	14	15	16	16	0	23	15	21	31	23	31	24	28	12	18	27	28	27	28	32	33	35	38	28	29	35	29	38	38	39	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	4	2	2	1	1	1	1	1	1	1	3	2	2	2	1	2	2
10000	-249.335498129362435	-247.722365380522632	-1.613132748839810	0.000102831620758	0.000024110602943	0.234466818332121	0.716429500440777	0	2	3	4	5	5	7	7	6	8	11	9	10	12	11	12	15	14	16	13	15	19	15	16	20	18	18	17	20	20	17	22	19	22	22	21	21	22	24	24	24	25	24	25	27	28	0	1	2	2	2	2	6	4	0	8	9	10	12	13	13	0	14	15	16	16	0	18	15	21	26	31	31	21	24	27	23	25	28	27	29	26	33	29	38	35	38	38	35	29	39	40	1	1	1	2	2	1	1	2	1	1	3	1	1	1	1	1	2	2	1	1	1	3	2	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	2	1	2	1	2	1	2
10500	-242.348808085011598	-240.870527743928875	-1.478280341082725	0.000078539913271	0.000024417019279	0.310886761423352	0.667460319036710	1	2	3	3	5	4	6	7	8	9	10	9	11	12	11	13	14	14	15	15	14	17	15	16	20	19	20	18	21	19	17	22	20	19	22	23	21	23	23	25	25	24	25	27	27	28	0	1	2	2	2	4	4	3	0	8	9	6	10	10	12	0	10	13	16	16	0	23	18	21	22	22	31	24	28	18	23	31	28	31	29	32	33	28	35	29	29	39	42	39	40	41	1	1	1	1	1	1	1	3	1	2	1	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	3	1	3	1	1	1	1	1	2	1	2	1	1	1	2	1	1
11000	-239.652785796503565	-237.980926003523990	-1.671859792979569	0.000083031060224	0.000017651727152	0.212591855438643	0.592823858193063	0	2	3	3	5	5	7	7	8	9	10	11	10	11	12	13	14	14	15	15	15	16	16	16	19	17	20	18	20	20	19	22	21	19	22	22	23	22	23	24	23	26	26	27	27	28	0	1	2	2	2	4	4	6	0	8	9	13	10	13	13	0	14	15	16	16	0	15	18	21	22	22	31	24	28	26	22	30	24	15	29	30	33	24	29	29	35	24	35	39	38	44	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	3	1	2	1	4	2	2	1	4	1	3	2	1
11500	-249.842403465112028	-248.362424872242684	-1.479978592869345	0.000089684504739	0.000027760306796	0.309532921841068	0.651764269642094	-1	1	3	2	6	4	4	7	7	9	9	11	12	11	13	13	15	14	15	15	15	17	16	17	20	19	19	18	20	17	18	19	20	21	20	22	21	22	22	25	24	25	25	28	28	27	0	1	2	2	3	4	4	5	0	8	9	10	12	10	12	0	14	15	16	16	0	15	18	21	22	15	31	21	24	23	30	31	24	31	28	32	28	35	35	41	38	35	35	42	40	39	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	2	2	1	1	1	2	2	1	2	1	1	1	1	2	2	2	2	1	2
12000	-230.086874924402395	-228.624471339486036	-1.462403584916346	0.000072244852725	0.000023433549457	0.324362893322384	0.694455951777987	0	2	4	3	5	5	4	7	6	9	10	10	11	12	13	11	14	13	15	14	14	18	16	16	20	18	20	19	20	20	18	21	19	21	21	23	21	23	22	23	23	25	24	27	26	28	0	1	2	2	4	7	4	6	0	8	9	10	12	12	13	0	14	13	16	16	0	15	18	21	22	23	26	24	28	22	15	30	24	31	29	31	28	35	35	35	39	29	39	42	42	38	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	2	2	1	2	2	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	2
12500	-242.022202297720838	-240.340399943448062	-1.681802354272786	0.000076460245615	0.000016002677333	0.209294087463005	0.669746483173922	1	2	3	3	4	4	5	7	7	10	10	12	11	13	12	13	15	13	16	15	14	17	16	16	20	19	19	18	20	18	19	22	21	22	21	21	22	23	23	24	23	25	26	25	25	27	0	1	2	2	2	4	4	1	0	8	9	10	10	12	13	0	14	15	16	16	0	15	18	21	31	18	22	24	28	13	22	30	28	30	28	26	33	29	29	29	35	29	39	29	39	39	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	2	2	2	2	2	1	1	2	2	2	1	2	1	2	1	1
13000	-262.578859585093994	-261.111460070366320	-1.467399514727697	0.000077457099821	0.000024782619782	0.319952849245157	0.659127358664731	0	2	4	3	5	5	7	7	7	9	11	12	11	12	13	13	14	13	15	14	13	17	15	17	19	16	18	19	20	19	19	23	19	21	21	21	23	23	22	23	23	25	26	26	28	27	0	1	2	2	2	4	6	2	0	2	9	13	10	10	13	0	14	10	16	16	0	15	15	21	22	15	23	24	24	13	27	22	24	26	24	27	35	29	24	35	29	41	38	35	46	38	1	1	1	1	2	1	1	2	1	3	1	1	1	2	1	1	1	2	1	1	1	2	1	2	1	2	1	2	2	3	1	2	1	3	3	1	2	2	2	1	2	1	2	2	1	2
13500	-244.524689007927549	-242.448002179384275	-2.076686828543265	0.000101957884644	0.000013018664262	0.127686684628988	0.740516829737746	0	2	3	4	5	4	6	7	6	9	10	12	10	13	12	13	14	13	15	15	14	16	15	16	18	18	20	19	20	19	19	20	20	22	20	22	23	22	24	24	22	24	24	27	26	29	0	1	2	2	2	2	6	6	0	6	9	13	10	10	13	0	14	15	16	16	0	12	18	21	22	23	26	24	24	26	18	26	28	32	24	26	33	35	28	38	29	38	35	42	39	44	1	1	1	2	2	1	1	2	1	3	2	1	1	2	1	1	1	1	1	1	1	3	1	1	1	2	2	2	2	1	2	1	1	1	2	2	2	2	2	1	1	1	2	2	1	1
