step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46
14000	-237.709639593299272	-235.777111168818095	-1.932528424481168	0.000077873118003	0.000011657637491	0.149700407409744	0.700221355015105	0	2	3	4	6	5	6	7	7	8	10	12	10	12	12	12	14	14	15	14	15	17	15	17	20	18	20	18	19	20	18	22	21	21	21	22	22	23	23	24	23	25	26	27	27	28	0	1	2	2	2	4	4	7	0	8	9	13	10	13	13	0	14	15	16	16	0	15	15	21	26	23	26	24	24	26	23	31	24	27	29	27	33	29	29	28	24	24	40	35	40	41	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	2	1	1	2	2	2	3	3	1	2	2	2
14500	-237.391292213475140	-235.999449619013518	-1.391842594461616	0.000068628817259	0.000028643091409	0.417362451415923	0.704584202526283	0	2	3	3	5	5	6	7	7	9	10	11	11	11	13	12	13	14	15	14	15	17	15	17	19	18	19	19	20	19	18	22	20	21	21	22	23	21	24	25	25	25	25	26	27	28	0	1	2	2	2	4	4	6	0	5	9	10	10	10	13	0	14	15	16	16	0	15	12	21	22	15	22	24	28	15	22	27	24	31	29	31	33	29	38	29	29	35	29	35	40	41	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	2	4	1	1	3	1	1	1	2	1	2	1	1	1	2	2	1	2	2	2	2	2	2	1	1
15000	-229.118339991412768	-227.409998210160097	-1.708341781252669	0.000089598764798	0.000018006697012	0.200970371106688	0.747518660278425	1	2	3	3	5	4	6	6	7	9	9	12	11	13	12	12	14	13	16	14	15	18	16	17	19	16	19	18	21	19	19	22	20	21	22	22	22	20	23	23	24	26	25	27	28	28	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	13	16	16	0	26	18	21	23	15	26	24	24	22	15	27	28	31	24	31	33	28	29	29	39	39	35	35	40	42	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	2	1	2	1	3	1	1	1	2	1	1	1	1	1	1	3	1	2	3	1
15500	-233.699178009253131	-232.015191033879745	-1.683986975373378	0.000109366324408	0.000022811974499	0.208583168744358	0.660235127426242	0	2	4	3	5	4	5	7	7	9	11	11	12	12	13	13	15	14	15	15	15	17	16	16	20	19	18	19	20	17	18	22	20	20	21	22	21	22	24	24	25	24	23	27	27	28	0	1	2	2	2	4	4	5	0	8	9	10	12	12	13	0	14	15	16	16	0	15	18	21	31	15	30	24	24	15	15	31	28	27	28	27	28	35	38	35	39	28	29	35	42	35	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	2	2	2	2	2	1	1	1	2	1	1	1	2	1	2	2	2	2	3
16000	-235.425456278156446	-233.382113133678786	-2.043343144477655	0.000075472955065	0.000009982637833	0.132267748418054	0.581163730860213	1	2	4	3	4	4	6	6	7	8	11	10	12	13	13	13	14	14	15	14	15	18	16	16	19	18	19	19	20	18	19	23	21	20	21	22	23	21	23	24	24	25	24	28	28	29	0	1	2	2	2	4	4	6	0	8	9	10	12	10	13	0	14	15	16	16	0	13	18	21	30	15	18	24	28	15	30	31	28	22	29	27	28	29	29	29	29	38	29	43	40	41	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	3	1	1	1	3	3	2	1	2	1	1	1	2	1	2	2	1	2	2	2	2	2	2	2	2
16500	-232.425906995733300	-230.874308156652319	-1.551598839080976	0.000076936340213	0.000020254426137	0.263262147391929	0.653004132123200	0	2	3	3	5	4	6	7	6	9	10	11	12	13	13	13	14	14	16	15	14	17	16	16	20	18	19	18	21	19	18	20	21	21	20	22	23	22	23	25	25	26	24	27	27	28	0	1	2	2	3	4	4	6	0	8	9	10	12	12	13	0	14	15	16	16	0	15	18	21	26	15	31	24	24	26	22	27	28	26	28	26	33	35	35	39	38	39	28	39	40	42	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	4	1	1	1	1	1	1	2	1	1	2	2	2	2	2	1	2	1
17000	-227.358580850782630	-225.890257468805373	-1.468323381977254	0.000093480276885	0.000029834718826	0.319155225251582	0.767264203594570	1	2	3	4	5	5	7	6	8	9	10	11	10	12	12	13	14	14	15	14	15	17	16	16	19	18	19	17	21	19	16	20	20	21	20	22	22	22	24	24	24	25	25	26	27	28	0	1	2	2	4	4	4	6	0	7	9	13	10	13	13	0	14	15	16	16	0	23	18	21	22	23	31	24	35	26	15	31	28	31	24	27	33	35	38	35	38	29	39	29	40	39	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	1	2	2	1	1	2	1	3	1	2
17500	-261.784433771030592	-259.809371636403853	-1.975062134626758	0.000103399216258	0.000014741230909	0.142566176444148	0.686861217005290	0	2	4	3	6	4	5	7	7	10	10	11	12	11	12	12	15	13	15	13	14	18	15	16	20	17	20	18	18	19	18	22	20	22	21	22	23	22	24	24	24	25	26	27	27	29	0	1	2	2	3	4	2	7	0	5	9	8	12	8	10	0	14	15	16	16	0	23	18	21	15	13	13	24	24	15	15	30	24	31	29	30	33	29	35	35	28	29	38	40	39	44	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	2	1	1	2	1	1	3	3	5	2	1	2	2	1	2	2	2	1	2	2	2	1	2	3	1	1	2	1
18000	-240.927970532350628	-239.377573603709578	-1.550396928641047	0.000064658532310	0.000017063662866	0.263904271514331	0.779127316295041	0	2	4	3	4	5	5	7	7	9	10	9	11	12	13	13	14	13	15	15	13	17	15	16	19	17	20	19	20	18	19	22	21	21	22	22	20	22	24	24	23	25	26	28	27	29	0	1	2	2	2	4	4	4	0	8	9	8	10	12	13	0	13	13	16	16	0	15	18	21	30	15	31	24	24	15	30	27	29	31	28	31	28	29	38	38	38	38	39	38	40	44	1	1	1	1	1	1	1	3	1	2	1	1	2	2	1	1	2	1	1	1	1	2	1	2	1	2	1	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1
18500	-246.325320852415103	-244.612228143341156	-1.713092709073941	0.000092264940220	0.000018411347242	0.199548682282211	0.708144723238285	0	1	3	2	4	4	5	7	7	8	10	10	12	12	13	12	15	12	15	14	15	17	15	17	20	18	20	19	20	19	19	22	21	21	21	22	21	23	24	23	24	26	25	26	25	28	0	1	2	2	2	4	4	6	0	6	9	8	10	10	18	0	14	12	16	16	0	15	18	21	31	15	30	24	24	18	23	22	29	26	28	31	28	35	35	35	38	38	39	41	40	39	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	2	2	1	1	3	1	2	2	3	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2
19000	-220.104504573021529	-218.482489590999364	-1.622014982022167	0.000074417303560	0.000017180113413	0.230861810236074	0.788010309394431	0	2	3	3	5	4	5	7	6	9	10	11	11	12	12	13	14	14	16	14	15	18	16	17	20	16	19	19	19	20	17	21	20	22	21	21	22	23	24	25	25	24	25	26	26	28	0	1	2	2	4	4	4	6	0	8	9	10	10	13	12	0	14	15	16	16	0	18	18	21	22	15	31	24	24	22	15	31	28	31	29	27	33	29	35	38	42	35	38	42	39	42	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	1	1	1	2	1	1	1	2	1	1	1	1
19500	-224.794779576158902	-222.707746547969577	-2.087033028189335	0.000109513081912	0.000013833574101	0.126318918797882	0.843836391479736	0	1	3	3	5	5	5	7	7	9	10	11	10	12	12	13	14	14	14	15	14	18	16	17	19	17	19	18	20	18	18	23	18	21	22	21	21	23	23	24	24	25	25	26	27	27	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	15	16	16	0	15	18	21	26	15	31	24	28	18	26	34	24	30	29	30	33	29	35	35	38	35	40	39	42	41	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	3	1	1
20000	-211.317616423615107	-209.891592872140251	-1.426023551474842	0.000073600248015	0.000026703407579	0.362816815145087	0.830401761335305	0	1	3	3	5	4	6	7	8	9	10	11	10	13	13	13	15	14	15	15	15	16	16	16	19	17	20	19	20	20	18	21	20	22	22	23	22	22	23	24	24	25	26	27	27	28	0	1	2	2	4	4	4	7	0	8	9	13	10	12	13	0	14	15	16	16	0	15	18	21	22	15	31	24	28	22	22	26	28	26	29	32	33	29	29	38	35	35	41	35	42	41	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	1	1	2	1	1	1	1	2	1	2
20500	-227.306861528912236	-225.663814589510224	-1.643046939402017	0.000109442611077	0.000024380742953	0.222771941504819	0.708625862358093	0	2	3	3	4	5	6	6	6	10	11	12	11	12	13	13	14	13	15	15	12	17	15	16	20	19	20	19	20	20	17	23	20	21	22	22	22	23	23	24	24	25	25	26	26	28	0	1	2	2	2	4	4	6	0	8	9	10	10	10	13	0	14	13	16	16	0	23	18	21	26	22	31	24	24	23	23	34	28	27	29	30	33	35	35	35	29	35	39	41	39	44	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	3	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1
21000	-230.428122121187357	-228.681955149328303	-1.746166971859045	0.000084725964865	0.000016112165559	0.190167979617745	0.681996373367899	0	1	3	3	5	5	6	7	6	9	10	11	12	13	13	13	15	14	15	14	15	18	16	16	19	16	19	19	20	19	19	23	19	21	21	22	22	23	23	24	25	25	24	26	28	28	0	1	2	2	3	4	1	6	0	8	9	10	12	12	13	0	14	15	16	16	0	26	15	21	22	15	26	24	24	26	15	30	24	30	28	30	33	35	28	39	35	35	38	35	39	41	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	3	2	2	1	1	2	1	1	3	1	2	2	1	2	3	1
21500	-234.841326779881513	-233.179189262504309	-1.662137517377192	0.000102206472611	0.000022068358169	0.215919379717753	0.732566816587024	0	2	3	3	5	5	6	7	7	9	11	12	11	11	13	13	15	13	14	15	15	16	16	17	19	18	20	19	20	19	17	22	20	20	21	23	22	22	24	24	24	24	26	25	26	28	0	1	2	2	2	4	4	6	0	8	9	13	10	10	13	0	14	12	16	16	0	15	15	21	26	18	31	24	28	26	18	27	24	22	28	31	28	29	24	35	38	29	42	38	40	42	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	2	1	2
22000	-258.998466666247793	-256.948186607487401	-2.050280058760402	0.000099731349603	0.000013093947012	0.131292187102668	0.598862827872911	0	1	3	3	5	4	6	6	5	9	10	12	11	11	12	12	15	14	14	14	15	17	16	17	20	18	18	18	20	20	18	22	20	22	21	20	22	22	24	25	24	24	25	28	27	29	0	1	2	2	3	4	4	6	0	8	9	8	8	8	13	0	14	15	16	16	0	15	18	21	26	12	15	24	24	23	14	30	24	27	24	26	33	33	38	42	35	38	42	38	40	42	1	1	1	1	1	1	2	2	1	1	3	4	3	2	1	1	2	1	1	1	1	3	1	1	1	4	2	1	2	3	4	1	2	1	2	1	1	1	1	1	2	2	1	2	1	2
22500	-252.192347670055142	-250.675179887354972	-1.517167782700158	0.000079547739637	0.000022531053120	0.283239388354963	0.705378917832271	0	2	4	3	4	5	7	7	7	9	11	11	10	12	12	13	13	12	15	15	15	16	16	17	19	17	19	18	20	20	18	22	19	21	20	21	23	23	23	25	22	25	23	25	27	26	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	12	16	16	0	18	18	21	26	15	23	24	24	26	15	31	24	23	24	31	33	29	35	35	29	43	35	35	40	41	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	2	2	3	2	1	2	2	2	1	2	2	3	1	2	1	2	1	1
23000	-234.755830788024696	-233.063348356140779	-1.692482431883923	0.000090986513723	0.000018730821292	0.205863710187830	0.766658002135628	0	1	3	3	5	5	6	7	6	8	9	10	11	12	13	13	14	13	15	15	16	18	15	17	20	17	20	18	19	17	19	22	20	21	22	21	23	22	23	24	24	25	26	27	27	29	0	1	2	2	2	4	4	6	0	8	9	10	12	12	13	0	14	14	16	16	0	13	18	21	26	15	22	24	24	15	30	31	29	26	28	26	33	29	38	38	35	39	41	35	29	44	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	3	1	1	1	2	1	1	2	2	1	2	1	2	2	2	1	1	1	1	1	1	1	2	2	1
23500	-256.900924509421145	-255.110984564941475	-1.789939944479651	0.000070102564615	0.000012546731772	0.178976786953452	0.670552381103827	-1	2	4	3	4	5	7	7	7	8	10	10	11	12	12	13	15	13	14	14	15	17	16	16	19	18	20	18	20	17	19	21	20	21	18	21	22	23	23	22	25	25	25	27	28	29	0	1	2	2	2	2	4	4	0	8	9	8	12	8	13	0	14	15	16	16	0	13	18	21	22	30	23	24	35	23	22	22	24	22	24	31	33	29	29	29	39	29	39	39	44	41	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	4	2	1	1	1	2	2	2	1	1	3	2	3	1	2	1	2	2	1	1	2	1	3	1	1
24000	-223.569222054208694	-221.850971930535877	-1.718250123672822	0.000066636864065	0.000013195926707	0.198027426594830	0.723705453893208	-1	2	4	3	6	5	6	7	8	8	11	10	11	12	12	13	14	14	15	15	15	17	15	16	20	19	20	19	20	19	17	22	20	21	21	22	23	22	24	25	24	25	25	27	27	28	0	1	2	2	2	4	4	6	0	8	9	10	12	12	13	0	14	15	16	16	0	15	18	21	30	31	31	24	28	15	23	30	28	31	29	31	33	24	35	35	29	35	41	39	40	42	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	1	3	1	1	1	2	1	2	2	3	2	2	2	2	1	1	1	1
24500	-242.636767593319945	-240.533502737902438	-2.103264855417501	0.000095790946952	0.000011899304379	0.124221596688040	0.616554318561180	0	2	3	4	5	4	6	8	5	9	9	10	12	13	13	13	15	14	15	15	15	18	16	17	20	18	17	18	19	19	19	22	21	21	20	22	22	23	23	24	25	24	26	27	28	28	0	1	2	2	2	2	4	2	0	8	9	8	12	12	12	0	14	15	16	16	0	15	18	21	22	23	23	24	24	23	27	27	28	27	24	26	33	35	35	35	35	35	40	35	38	29	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	2	1	3	1	2	2	2	2	2	2	3	2	4
25000	-249.239053832891159	-247.522539322198327	-1.716514510692828	0.000072078014300	0.000014310141264	0.198536840985125	0.732240347210678	-1	1	3	2	6	4	6	7	7	9	10	12	10	13	12	13	15	13	15	15	14	17	15	17	19	18	19	18	21	16	18	21	20	21	18	22	22	23	23	24	24	26	25	28	27	28	0	1	2	2	6	4	4	6	0	8	9	13	6	13	13	0	14	15	16	16	0	30	18	21	22	30	30	24	35	15	12	30	24	31	24	27	33	35	35	39	28	39	38	39	41	42	1	1	1	1	1	1	2	2	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	4	1	2	1	1	3	1	2	2	1	3	2	1	2	1	1
25500	-240.445720994793106	-238.708594130932909	-1.737126863860192	0.000096999097435	0.000018686525008	0.192646380249459	0.643984084380857	0	3	4	4	5	5	6	7	7	9	11	11	10	13	12	11	15	13	15	14	14	18	16	17	19	17	19	18	19	19	17	22	19	20	22	22	21	22	22	24	23	25	25	27	27	27	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	13	16	16	0	18	18	21	31	15	23	24	24	18	18	31	24	26	28	27	33	29	28	39	38	29	41	40	40	38	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	3	2	2	1	3	2	1	1	3	2	3	1	1	2	2	1	2	2	1	1	2	1	2	2	2
26000	-234.320798684922977	-232.862414457617490	-1.458384227305497	0.000070300224789	0.000023060988071	0.328035765751886	0.612061722115573	0	2	4	4	5	4	6	7	8	8	11	10	11	12	13	12	15	13	14	15	15	18	15	16	19	18	20	18	20	18	19	23	21	22	21	22	23	22	24	24	23	24	25	25	27	27	0	1	2	2	2	2	4	6	0	8	9	10	10	13	12	0	14	13	16	16	0	15	18	21	23	18	31	24	24	23	23	27	24	26	29	31	33	35	35	38	35	38	42	29	39	44	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	2	2	1	1	1	2	2	2	2	1	1	2	1	1	2	1	1	1	1	2	1	1
26500	-223.124475532525651	-221.229471875123778	-1.895003657401873	0.000107617023752	0.000016845276156	0.156529846009577	0.768465243454899	0	2	4	3	5	4	5	7	8	8	11	12	10	13	12	13	15	13	15	15	14	19	15	16	18	17	18	18	20	19	19	22	19	21	22	21	21	22	23	24	24	25	25	27	28	28	0	1	2	2	4	4	4	6	0	8	9	13	8	13	13	0	14	13	16	16	0	23	18	21	26	15	26	24	28	26	27	31	24	31	29	31	33	29	29	35	29	29	35	38	42	42	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	2	2	2	1	1
27000	-259.484067364328780	-257.856446179767090	-1.627621184561665	0.000075357989329	0.000017230300362	0.228645967277219	0.756954091875263	0	1	3	3	5	4	6	6	7	9	11	10	11	11	13	13	13	14	15	15	13	18	15	15	20	18	19	18	20	17	18	20	21	21	22	22	22	21	24	24	24	24	25	28	28	25	0	1	2	2	4	4	5	6	0	8	9	8	10	10	12	0	14	15	16	16	0	15	15	21	31	12	31	24	24	23	23	31	28	22	29	25	33	24	35	28	38	38	29	35	40	29	1	1	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	3	1	2	2	1	1	1	1	1	1	1	1	2	2	3	2	2	2	2	2	3
27500	-224.757033141390451	-222.474054109836061	-2.282979031554402	0.000108168166759	0.000011286725886	0.104344246782805	0.886174337818171	0	2	4	3	5	5	7	7	7	9	10	12	11	12	12	12	14	14	16	14	15	18	16	17	18	16	19	19	20	19	18	21	21	21	21	23	22	22	24	24	24	25	25	27	28	28	0	1	2	2	2	4	6	6	0	8	9	13	10	13	13	0	14	15	16	16	0	26	18	21	18	15	31	24	24	22	26	27	29	27	24	27	29	24	28	35	38	39	40	42	39	44	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	1
28000	-219.300155071582225	-217.326965120324218	-1.973189951257997	0.000099271772988	0.000014182734249	0.142867743993446	0.851208195284654	0	1	2	3	6	5	5	8	7	9	10	10	11	12	13	13	14	14	15	15	14	17	15	16	18	18	19	18	20	19	17	20	18	21	21	22	21	22	23	24	24	26	25	26	27	28	0	1	2	2	6	4	4	6	0	8	9	10	12	12	13	0	14	15	16	16	0	15	18	21	22	23	31	24	28	22	23	26	24	23	29	26	33	35	29	39	38	38	41	38	39	39	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	3	1	2	1	1	2	1	1	2	1	2	2	2
28500	-231.782741670875140	-229.670716004308304	-2.112025666566850	0.000084397682882	0.000010390491901	0.123113473572175	0.640424445806007	0	2	3	3	5	5	6	7	5	9	10	12	11	13	12	13	14	13	16	15	14	18	15	15	20	17	20	18	21	19	18	22	20	21	19	22	22	23	23	23	24	25	26	25	27	26	0	1	2	2	2	4	4	7	0	8	9	13	10	12	13	0	14	15	16	16	0	12	18	21	26	23	30	24	35	26	23	25	28	22	28	27	33	35	35	29	35	39	41	29	41	39	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	3	2	1	2	1	1	2	1	1	2	1	2	1	1	1	1	2	2	1	3	2	1	2	1	1
29000	-229.911768073741541	-227.788436665735048	-2.123331408006503	0.000098603949053	0.000012000830640	0.121707403767406	0.718805862302583	-1	2	4	3	5	5	6	7	8	10	10	11	12	13	13	13	15	14	15	14	15	19	15	16	20	17	20	18	20	19	16	22	20	21	21	23	23	22	23	24	25	24	26	25	28	26	0	1	2	2	2	4	4	6	0	8	9	8	12	13	13	0	14	15	16	16	0	23	18	21	22	15	31	24	28	31	15	30	24	30	29	27	33	35	29	29	38	29	40	29	39	42	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	1	2	2	1
29500	-252.086991193905305	-250.304199542979148	-1.782791650926170	0.000098778274285	0.000017851085045	0.180718737739408	0.676526200077876	0	1	2	3	4	4	6	7	8	9	10	11	11	12	13	12	13	14	15	14	16	17	15	17	20	18	19	18	19	19	19	23	20	20	22	22	22	22	23	24	25	26	26	27	27	28	0	1	2	2	2	4	4	6	0	8	9	8	8	10	12	0	12	12	20	16	0	15	12	21	22	12	23	24	28	15	23	27	28	26	29	23	33	29	29	29	35	35	40	35	42	39	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	2	2	1	2	3	2	1	1	3	3	2	1	1	2	3	1	2	2	2	1	2	1	3	1	3
30000	-230.703783131814674	-229.089673753059799	-1.614109378754867	0.000090075365888	0.000021083455076	0.234064606543858	0.777259747813714	1	2	4	3	5	5	7	7	8	8	9	10	12	13	13	13	15	14	15	14	14	18	15	15	20	16	18	18	20	18	19	22	19	21	22	22	21	23	21	24	24	25	24	26	27	28	0	1	1	2	3	4	4	6	0	8	9	10	12	12	13	0	14	15	16	16	0	23	18	21	30	15	15	24	24	15	15	30	28	27	29	22	33	35	28	35	39	38	35	41	40	44	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	3	2	2	2	2	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1
30500	-267.615400668954521	-265.817513618931514	-1.797887050023000	0.000101223999250	0.000017924397897	0.177076563162832	0.553935073951704	1	2	4	3	5	5	5	7	8	9	10	10	11	12	13	10	14	14	15	14	13	16	15	16	19	18	18	18	19	18	18	21	20	22	21	23	22	22	23	25	24	25	26	28	28	28	0	1	2	2	2	4	2	6	0	8	9	7	7	13	12	0	14	12	16	16	0	18	15	21	27	12	15	21	24	13	22	31	29	27	28	26	33	28	28	38	35	38	29	39	42	38	1	1	1	1	1	1	2	1	1	1	2	2	4	1	2	1	1	2	2	2	1	1	1	2	1	4	2	2	2	3	1	2	1	1	2	3	1	2	3	2	1	2	3	2	2	3
31000	-221.713302622321834	-219.852682144680102	-1.860620477641719	0.000101776764397	0.000016618995811	0.163288702577310	0.780233584731615	1	2	4	3	5	5	6	7	7	8	11	12	10	13	12	12	15	14	14	15	15	18	16	17	19	16	20	18	21	19	17	23	20	20	21	23	23	22	23	24	23	25	25	28	27	27	0	1	2	2	3	4	3	6	0	8	9	13	10	12	13	0	14	15	16	16	0	26	18	21	23	15	30	24	24	31	26	27	24	26	28	30	33	35	38	39	38	35	39	41	42	42	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1	3	2	1	1	1	1	2	1	2	1	1
31500	-246.439901744068777	-244.474799302332912	-1.965102441735876	0.000097265227963	0.000014024011191	0.144183193575172	0.688274005432040	-1	2	4	3	5	5	6	7	7	9	9	11	11	13	11	13	15	14	15	15	15	17	16	16	19	16	20	18	19	19	18	22	19	21	21	22	23	22	23	23	25	24	26	27	24	28	0	1	2	2	2	4	4	4	0	2	9	8	10	10	10	0	14	10	16	16	0	12	15	21	23	18	31	24	28	22	26	27	24	31	29	27	33	29	29	35	39	29	39	29	39	43	1	1	1	1	2	1	2	2	1	3	1	2	1	2	1	1	1	2	1	1	1	4	2	1	1	2	2	1	1	1	1	1	2	2	1	1	2	1	2	1	1	2	2	4	1	1
32000	-241.170663729723344	-239.740205052385875	-1.430458677337473	0.000075365689984	0.000026934125593	0.357379141607058	0.763378903916038	0	1	3	4	4	4	6	8	8	9	11	10	11	12	13	13	14	14	14	14	15	18	13	16	19	18	20	18	19	18	19	21	20	21	21	21	22	22	23	24	24	23	26	28	28	27	0	1	2	2	2	2	4	7	0	7	9	10	12	12	13	0	14	23	16	16	0	15	13	21	30	15	15	24	24	15	22	31	28	27	29	31	33	29	35	35	35	29	41	46	46	42	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1
32500	-230.039160990690362	-228.404297194715070	-1.634863795975295	0.000076326316947	0.000017238176208	0.225848395379565	0.768614302993197	0	2	3	4	6	5	7	7	6	9	9	12	11	13	12	14	14	14	15	15	14	16	13	16	18	18	19	17	21	20	18	22	20	22	20	23	22	21	23	24	24	25	26	27	26	28	0	1	2	2	4	4	4	6	0	8	9	13	10	13	13	0	14	23	16	16	0	23	15	21	22	12	31	24	28	18	22	30	28	31	28	31	33	35	35	38	35	38	41	43	40	42	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	3	1	1	2	2	2	2	1	1	2	1	2	2	1	1	1	2
