step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27
1	-1229.222574039044730	-1227.760491954525833	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.308167929401161	1	3	6	8	9	14	15	14	15	17	17	18	16	19	20	20	24	26	28	28	30	30	30	35	40	40	46	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	4	7	7	7	7	8	8	9	8	9	10	10	12	13	14	14	15	15	15	17	20	20	23
500	-557.590769749318270	-555.355514941158958	-2.235254808159326	0.000010016442293	0.000029808004850	2.975907410815275	0.198758941253970	1	3	6	8	10	12	15	14	16	18	15	17	16	16	20	20	24	26	28	29	30	31	31	35	40	41	46	0	1	1	2	3	3	5	5	5	8	3	11	0	3	11	11	9	14	14	14	14	14	14	14	14	14	3	1	2	2	2	2	3	3	3	2	2	5	1	1	6	3	3	5	7	7	11	6	7	11	10	13	16	26
1000	-463.424377825063289	-461.560285384464976	-1.864092440598289	0.000009999727798	0.000019967914201	1.996845774724849	0.298669735634626	2	4	7	9	10	13	15	12	16	14	18	18	16	17	21	21	23	25	28	28	29	29	30	35	39	41	47	0	1	1	3	2	2	5	5	5	8	14	14	0	2	11	12	9	14	14	14	14	19	14	19	21	14	14	1	1	2	1	3	4	3	1	3	1	1	1	1	7	3	2	3	5	6	5	5	1	8	3	5	12	21
1500	-437.115702056784187	-434.916716068206370	-2.198985988577839	0.000009983640841	0.000028698695403	2.874572098612603	0.273927886450810	1	3	6	8	9	15	15	13	16	17	17	18	17	19	20	19	24	26	28	27	30	30	30	35	40	41	47	0	1	2	3	3	3	5	5	5	8	6	11	0	3	11	12	9	14	14	14	20	19	14	19	19	19	14	1	1	2	1	2	4	3	3	3	4	2	1	1	6	2	1	4	5	6	4	1	1	4	4	6	7	17
2000	-432.503872669360021	-430.171967335461886	-2.331905333898139	0.000009953509154	0.000032376622072	3.252784678245883	0.285752819722249	1	3	6	9	8	13	14	14	14	18	16	18	13	20	20	20	24	26	29	28	30	31	31	36	39	39	47	0	1	2	1	3	3	5	3	5	8	6	11	0	3	11	12	9	14	14	14	19	19	19	19	19	19	14	1	1	2	4	1	4	3	4	3	2	2	1	1	7	2	1	7	3	4	4	1	1	1	5	6	6	15
2500	-509.031747750972897	-506.097044731185633	-2.934703019787248	0.000010038844505	0.000052546400575	5.234307648415720	0.326443187497436	1	3	6	8	9	15	15	13	14	17	17	19	16	18	21	21	23	26	28	27	30	30	30	35	40	38	46	0	1	2	3	3	3	5	3	5	8	3	11	0	4	11	12	9	14	20	18	19	20	19	19	22	22	14	1	1	1	1	2	7	4	3	3	2	4	1	1	3	2	1	5	4	1	1	2	2	1	3	5	5	13
3000	-467.396321398306668	-464.689807209935225	-2.706514188371447	0.000010275262747	0.000045509065894	4.428992914031732	0.296670054935445	1	4	6	8	10	14	16	15	15	17	16	18	17	18	20	20	24	26	28	27	30	30	30	35	41	37	47	0	1	2	2	2	3	5	5	5	8	2	11	0	4	11	12	9	14	20	18	19	19	19	19	18	24	18	1	2	1	2	4	3	3	2	3	1	4	1	1	3	3	1	4	5	1	1	2	1	1	3	7	1	15
3500	-408.059426248915429	-406.155889055793125	-1.903537193122329	0.000010448850043	0.000021895468762	2.095490764223682	0.320280104534915	2	4	6	8	9	15	14	14	15	17	17	19	17	20	21	20	24	25	28	27	31	31	30	36	40	41	46	0	1	2	2	2	2	5	5	5	8	6	11	0	1	11	12	9	14	20	14	20	19	19	19	14	21	14	1	2	1	2	3	5	2	3	2	2	1	1	1	10	2	1	4	2	1	3	3	2	1	4	10	4	11
4000	-420.110854478433851	-418.222096714777138	-1.888757763656741	0.000011156022939	0.000022963646451	2.058407962855484	0.323566267441829	0	3	7	8	9	15	15	14	14	17	16	18	16	20	21	20	25	25	28	27	30	30	30	35	40	40	46	0	1	1	2	2	2	5	5	5	8	3	11	0	3	11	12	9	14	20	14	19	19	19	19	14	20	14	1	3	5	3	4	6	2	3	2	2	5	1	1	6	3	1	4	3	1	3	1	1	1	2	10	5	11
4500	-411.454425253253191	-409.440209442506557	-2.014215810746644	0.000013144275883	0.000031262224731	2.378390792299848	0.454008435592346	1	3	6	8	9	14	13	14	16	17	16	18	14	19	20	20	24	26	29	28	30	30	31	35	39	39	44	0	1	1	3	3	3	5	5	7	8	6	11	0	3	11	12	9	14	20	14	19	20	19	19	20	20	14	1	1	3	1	2	3	2	2	2	2	1	1	1	5	2	1	4	3	1	5	1	1	1	2	6	5	13
