step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
1	-3330.716051678212352	-3329.253969593693455	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.214024237618516	3	9	20	19	21	20	22	21	22	23	23	24	24	26	29	28	28	32	32	33	34	37	38	41	44	44	43	47	48	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	9	8	9	9	10	9	10	10	10	11	11	12	13	13	13	15	15	15	16	17	18	19	21	21	20	22	23	24
500	-369.323041029928390	-367.696763326272105	-1.626277703656313	0.000009999592867	0.000014165691149	1.416626790476164	0.215369936266964	2	9	20	19	22	17	22	21	22	24	23	24	24	26	30	28	28	32	32	32	34	36	38	40	44	44	44	47	49	49	0	0	2	2	2	2	8	4	4	6	9	7	6	8	7	14	9	11	16	13	17	6	0	6	6	6	10	6	6	6	1	1	6	5	7	4	1	1	1	4	1	1	3	2	4	1	3	5	2	4	3	10	1	13	14	17	11	15	17	18
1000	-355.958599998201862	-354.307275483224373	-1.651324514977463	0.000010031068871	0.000014819838171	1.477393721643516	0.250212696836627	3	9	19	17	22	20	22	22	21	23	24	24	25	27	29	28	29	33	31	34	34	36	38	40	45	43	43	47	48	51	0	0	2	2	3	2	6	6	4	6	9	6	6	8	14	14	11	11	16	13	17	6	0	6	22	6	6	6	6	6	1	1	4	4	1	4	1	1	2	1	2	2	4	3	1	1	2	6	2	5	3	8	1	8	8	11	12	15	17	17
1500	-295.954104873968106	-294.438574224995989	-1.515530648972127	0.000010073643714	0.000011504243336	1.142014117487024	0.205575222098007	4	10	19	20	21	20	22	21	22	23	24	24	24	26	30	28	28	33	32	32	33	34	38	41	45	45	44	47	49	51	0	0	2	2	3	2	6	6	4	6	9	7	4	8	6	14	9	17	16	13	17	6	0	6	24	22	22	22	22	22	1	1	4	6	1	5	1	1	1	2	1	1	2	3	5	1	2	3	2	4	2	7	1	9	3	6	10	10	13	13
2000	-258.055021390734908	-256.132405769855325	-1.922615620879611	0.000009979490916	0.000021391906805	2.143586980992651	0.318844077093611	4	8	19	19	21	20	22	21	22	23	24	24	24	26	28	29	29	33	33	34	34	34	38	41	43	45	43	47	49	51	0	0	2	2	3	3	3	6	4	6	9	7	6	6	7	8	9	17	16	13	4	16	0	22	24	22	22	22	22	22	1	1	6	6	1	1	2	1	2	1	1	1	2	3	3	4	4	2	2	6	5	2	1	4	1	5	5	7	11	12
2500	-239.295825066258345	-237.058343924251716	-2.237481142006617	0.000009846748139	0.000029364701136	2.982172461377113	0.359508423385831	4	10	19	19	21	20	23	22	22	22	23	25	24	25	28	28	27	33	32	32	34	36	39	41	44	44	43	48	49	50	0	0	2	2	3	4	8	6	4	6	9	7	6	6	14	14	9	17	16	13	17	16	0	22	24	24	24	24	22	24	1	1	4	4	1	1	1	2	1	1	1	1	2	2	1	2	2	2	2	3	5	3	1	2	2	2	1	3	8	5
3000	-227.202695848673585	-225.084804395101088	-2.117891453572489	0.000009968154049	0.000026443610739	2.652809196923173	0.447533319188022	3	10	19	18	22	20	22	21	22	23	24	24	24	26	29	28	28	32	32	32	33	37	39	41	44	45	43	47	48	50	0	0	2	2	3	4	6	6	4	4	9	7	8	6	7	14	9	17	16	13	17	16	0	22	24	24	22	26	24	28	1	1	6	4	2	1	1	1	3	2	1	1	1	4	3	1	4	2	2	3	3	5	1	2	2	2	3	1	4	1
3500	-224.073094593767109	-222.366789874898473	-1.706304718868630	0.000010233464396	0.000016480900152	1.610490789208295	0.509618224019701	2	10	18	20	21	20	22	22	23	23	24	24	25	26	28	29	28	32	32	34	35	38	38	42	44	45	43	46	48	49	0	0	2	3	3	3	6	6	4	8	9	7	8	8	7	14	11	17	16	13	17	16	0	22	24	24	22	24	26	24	1	1	4	1	2	1	1	1	2	1	1	2	2	2	3	2	2	3	1	4	3	5	1	2	1	2	2	2	2	3
4000	-224.045028299652785	-222.149886844121937	-1.895141455530853	0.000010343822241	0.000021457294786	2.074406760569095	0.508742050718326	4	10	19	20	21	20	23	21	21	23	24	24	25	25	29	28	28	33	32	34	33	38	39	42	44	44	44	47	48	51	0	0	2	3	3	3	6	6	3	8	9	7	6	6	7	14	9	17	16	13	17	16	0	22	24	24	24	26	26	24	1	1	5	1	1	1	1	1	1	1	2	1	2	2	3	2	4	3	2	5	2	4	1	2	1	2	2	1	2	5
4500	-222.343494817457497	-220.491715350468098	-1.851779466989386	0.000011229197514	0.000022079505990	1.966258582784490	0.450530845391280	3	9	18	19	21	20	21	22	21	23	24	25	24	27	29	29	28	33	32	33	34	38	38	41	44	44	43	46	47	50	0	0	2	3	3	3	6	6	4	6	9	7	6	8	7	8	11	17	16	14	17	16	0	22	24	24	24	24	24	29	1	1	4	1	1	1	1	1	1	2	2	2	2	2	5	2	2	3	1	3	3	3	1	2	2	2	1	3	3	2
5000	-218.752696331322767	-216.870823452366068	-1.881872878956688	0.000012045372692	0.000024586820480	2.041183872784050	0.517436513156735	3	10	18	19	22	20	22	22	22	24	24	24	22	25	29	29	29	32	32	32	35	37	37	42	43	44	43	48	49	50	0	0	2	3	3	3	6	6	4	8	9	7	6	8	7	8	9	17	16	13	17	16	0	22	24	24	24	22	28	29	1	1	4	1	2	1	1	1	2	1	1	1	1	2	5	2	4	2	1	4	3	3	1	4	1	1	1	5	1	1
5500	-206.609601652849307	-205.213391253077390	-1.396210399771918	0.000017485980861	0.000013893219949	0.794534779565165	0.497937611631091	3	9	17	19	22	19	22	22	22	23	24	24	24	26	29	28	29	32	32	33	33	37	38	41	45	45	43	47	48	49	0	0	2	3	3	3	6	6	4	8	9	7	8	6	7	14	9	17	16	13	17	14	0	22	22	24	24	26	22	29	1	1	2	1	3	1	2	2	2	1	1	1	1	3	3	1	3	1	2	3	2	5	1	2	3	2	1	1	6	1
