step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109
1	-2439.988477077345578	-2446.843965028304865	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.259675313725267	-1	1	3	5	4	6	5	7	7	8	8	8	8	9	10	10	10	10	11	10	12	13	11	10	13	12	12	12	13	12	15	15	14	13	13	13	13	14	14	13	14	14	15	15	16	15	16	15	14	14	15	14	15	15	16	15	16	17	16	16	18	17	17	16	17	17	17	18	19	18	19	17	19	18	18	18	19	19	18	19	19	22	21	20	21	20	19	20	21	20	20	21	21	21	23	23	22	23	22	23	22	24	24	24	25	25	25	26	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	3	4	4	5	5	5	5	5	6	6	6	6	6	6	7	7	6	6	7	7	7	7	7	7	8	8	8	7	7	7	7	8	8	7	8	8	8	8	9	8	9	8	8	8	8	8	8	8	9	8	9	9	9	9	10	9	9	9	9	9	9	10	10	10	10	9	10	10	10	10	10	10	10	10	10	12	11	11	11	11	10	11	11	11	11	11	11	11	12	12	12	12	12	12	12	13	13	13	13	13	13	14	15
500	-977.133251485783489	-983.988739436742890	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.279247177928100	0	2	3	5	4	6	6	6	7	7	8	9	8	10	10	10	8	10	11	10	12	11	10	11	13	11	12	12	13	12	15	15	13	13	13	14	11	14	14	14	15	15	14	15	16	13	17	15	14	15	15	15	14	15	15	12	16	17	16	16	18	17	17	17	17	17	17	18	19	17	19	17	20	19	19	18	18	20	19	20	19	22	22	18	21	19	20	21	22	20	21	22	21	21	23	24	23	23	23	22	22	23	24	25	25	23	25	26	29	0	1	2	3	3	3	3	2	6	4	5	6	4	3	4	5	8	11	10	7	14	10	12	6	26	2	14	8	15	12	26	22	17	17	13	7	12	27	8	17	10	22	14	22	7	15	32	49	14	37	38	49	22	12	6	10	17	16	53	40	22	46	56	53	40	4	39	21	47	59	53	48	72	32	56	52	55	32	32	56	70	57	15	26	56	56	19	10	66	56	90	33	5	16	19	45	56	56	29	2	55	55	91	15	49	56	45	90	26	1	1	1	1	1	2	3	2	1	1	2	2	2	4	3	3	1	2	3	3	1	2	1	2	1	5	1	3	2	2	2	2	2	2	3	5	1	1	2	5	3	2	2	2	6	2	1	1	2	2	1	1	2	3	5	4	4	5	1	1	6	2	2	2	2	8	2	3	1	1	2	1	2	2	4	2	2	4	3	5	1	3	4	5	5	3	4	13	2	7	1	7	7	10	7	5	6	6	6	10	6	5	2	9	7	5	5	3	10
1000	-745.728309363464518	-752.583797314423919	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.359590454520824	-1	1	3	5	3	7	5	8	7	9	7	9	7	8	11	9	10	10	11	11	11	12	10	10	12	10	13	10	12	12	14	14	14	14	12	13	13	14	14	13	14	15	16	15	16	15	15	14	12	15	16	15	14	14	16	15	17	17	15	17	18	17	18	17	17	16	18	18	19	18	18	16	19	17	19	19	18	19	18	19	18	23	21	20	22	21	19	21	22	20	20	20	22	21	24	24	23	23	23	20	21	24	24	25	26	24	25	25	27	0	1	2	3	2	5	2	4	3	5	4	6	7	2	9	6	10	11	6	13	8	17	12	7	17	11	18	8	9	28	17	49	22	22	13	20	6	19	28	49	17	34	20	25	29	41	32	49	16	23	27	40	49	28	14	40	33	42	49	52	66	48	40	53	53	53	55	45	64	59	53	40	53	56	60	60	19	32	48	49	59	92	29	14	75	75	39	32	61	31	80	57	7	77	37	29	80	90	29	45	16	45	80	45	88	90	29	103	90	1	1	1	1	1	2	2	2	2	3	1	1	1	3	2	2	1	2	2	2	2	1	1	3	1	2	2	1	2	1	2	1	1	1	2	1	3	1	2	1	2	1	2	2	2	1	1	1	2	2	2	2	1	2	4	2	2	1	2	1	1	2	2	2	2	1	1	1	1	2	2	1	3	1	1	1	5	3	2	3	1	1	4	5	1	1	2	5	2	4	1	1	11	2	6	5	3	2	6	3	8	5	3	4	5	2	6	1	3
1500	-719.791819793769378	-726.647307744728778	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.490391258994303	0	1	3	4	4	5	5	8	7	8	9	8	7	9	11	9	10	10	10	9	11	11	11	9	13	11	12	12	13	12	13	15	14	12	13	12	13	15	14	12	14	14	15	15	15	16	16	15	13	14	16	14	13	15	16	15	17	18	15	16	17	18	17	17	17	18	17	16	18	18	19	17	20	18	19	18	20	19	19	16	17	21	21	17	22	20	18	19	21	19	20	20	22	20	23	24	23	24	23	23	22	24	24	24	25	25	24	27	29	0	1	2	2	2	3	3	6	5	5	7	3	2	4	14	6	10	14	4	9	18	10	16	13	19	14	16	18	21	19	22	53	17	22	20	24	16	18	14	22	31	34	36	25	29	31	32	49	22	37	27	40	22	12	50	40	33	42	49	52	48	48	40	53	53	53	55	29	47	81	53	40	40	31	60	60	39	61	48	56	49	57	5	27	75	75	28	72	78	80	90	57	45	54	94	45	80	90	29	68	87	68	91	84	80	91	21	98	108	1	1	1	1	2	1	1	2	2	2	2	3	3	4	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	3	2	1	2	2	1	1	1	2	1	2	2	1	1	1	1	2	1	1	3	1	2	2	2	1	1	1	2	2	2	2	3	1	2	1	1	3	2	4	1	2	2	3	1	2	1	2	2	8	3	1	1	3	1	1	2	1	2	4	3	3	4	3	2	6	4	2	5	2	3	6	2	7	2	2
2000	-676.703355648973570	-683.558843599932970	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542247315246981	-2	1	2	6	4	6	5	7	7	8	9	8	8	10	10	11	10	11	11	11	12	12	12	10	13	10	12	12	13	12	16	15	14	13	12	13	14	14	15	12	15	14	14	15	15	15	17	16	15	14	14	14	14	16	16	15	17	18	17	17	18	17	18	16	17	17	18	18	19	18	18	16	19	18	19	19	19	19	18	17	19	22	22	19	19	21	20	20	21	19	21	21	22	22	24	24	22	23	23	22	23	25	24	25	25	25	25	26	28	0	1	2	3	3	2	2	5	7	4	9	8	4	8	9	8	10	11	8	13	15	17	3	13	10	11	18	14	27	12	22	53	22	22	24	20	23	26	28	10	33	25	24	25	28	22	56	56	53	16	27	40	40	23	23	40	41	42	49	52	47	48	72	53	64	32	55	29	47	64	64	52	56	40	72	60	54	70	48	72	70	57	4	68	60	75	54	56	78	80	80	57	84	87	77	93	80	91	29	84	87	68	91	68	80	103	26	103	108	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	5	1	2	1	1	1	1	2	2	1	1	1	2	1	2	3	1	2	1	1	2	1	2	2	1	1	1	2	1	2	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	2	2	1	2	2	2	2	1	1	2	1	2	1	1	2	7	1	1	1	2	3	1	1	2	2	2	1	3	1	2	1	4	2	2	4	2	5	4	1	8	1	1
2500	-587.884339991281422	-594.739827942240822	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.634267415823433	-1	1	3	6	5	7	5	8	7	8	7	8	7	10	10	11	10	11	12	10	13	12	10	10	14	13	11	12	14	12	15	15	14	13	12	13	12	14	15	12	15	14	16	16	17	16	14	16	15	12	14	13	13	14	15	15	17	17	16	16	18	18	18	16	18	18	17	17	19	17	18	16	19	18	18	18	17	19	18	17	19	22	20	20	22	20	19	20	22	20	19	20	21	22	23	23	22	23	23	23	22	23	24	25	26	25	26	26	29	0	1	2	3	3	5	3	6	7	3	5	6	7	8	13	6	10	11	8	13	14	17	12	13	17	18	14	16	15	8	22	47	22	22	24	24	6	27	54	10	33	34	35	25	29	31	40	47	53	18	14	40	40	19	54	40	33	42	49	52	64	72	56	53	64	64	55	15	72	49	53	52	56	59	60	60	54	61	48	56	70	92	29	45	76	76	39	73	78	91	80	57	83	87	77	93	90	91	29	93	87	93	90	68	97	103	99	103	103	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	1	1	1	1	2	1	1	1	3	2	2	1	1	1	1	2	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	2	2	2	1	2	1	1	1	2	1	1	1	4	1	1	2	2	2	1	1	1	2	1	1	1	1	1	3	2	2	1	3	1	1	1	1	2	1	1	3	1	1	2	4	1	2	1	2	4	2	1	2	1	2
3000	-627.786097247907605	-634.641585198867006	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648172621815228	-1	2	4	6	4	7	6	6	7	9	9	7	9	8	11	9	11	10	9	10	10	13	11	11	12	12	12	12	11	12	15	16	15	12	13	13	13	14	14	13	15	14	14	14	16	16	15	16	14	14	15	15	15	15	16	15	16	17	16	16	18	18	18	16	17	17	17	16	18	18	19	17	17	19	19	18	18	20	19	18	19	22	21	20	21	21	18	19	22	20	20	21	22	21	23	24	22	23	22	23	22	24	25	23	25	26	26	26	27	0	1	2	5	2	4	5	2	7	2	5	8	9	3	9	6	10	11	6	9	9	10	11	20	10	11	11	16	21	18	22	47	22	17	24	24	28	26	26	17	4	34	21	25	21	31	22	49	40	37	27	40	49	39	39	40	33	42	49	56	47	48	52	53	64	64	55	5	32	72	64	40	40	59	76	60	54	61	48	33	61	57	45	45	75	75	54	56	78	80	80	41	45	87	101	84	80	91	84	83	87	100	91	83	97	98	93	98	103	1	1	1	1	1	1	1	2	1	4	2	1	1	2	2	1	1	1	2	2	1	2	1	1	1	2	2	1	1	1	2	1	2	1	2	1	1	1	1	1	4	1	2	1	3	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	5	1	1	2	2	2	2	1	1	2	1	2	1	1	4	2	2	1	1	2	2	1	1	1	3	3	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	1
3500	-610.005494147962054	-616.860982098921454	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.675127656102543	-1	1	3	4	5	7	4	7	7	8	8	8	8	8	10	10	9	9	10	10	11	13	10	11	13	11	13	13	13	12	12	16	15	13	14	13	13	15	14	12	14	15	15	15	15	16	17	15	14	15	15	15	15	16	16	14	17	17	16	16	17	17	17	16	17	17	17	18	18	17	19	16	19	19	18	17	18	19	18	19	19	23	20	19	22	20	19	20	22	20	21	21	21	21	22	24	22	23	21	24	21	24	24	23	25	25	26	26	29	0	1	2	2	2	4	3	3	7	4	9	6	7	4	11	9	10	11	12	14	9	17	12	13	17	6	18	12	15	23	17	56	41	17	24	24	16	18	19	17	31	22	24	25	29	31	49	22	40	37	27	40	49	39	19	40	41	42	49	52	52	48	52	53	53	22	55	45	32	49	53	40	72	49	60	52	54	61	62	70	53	92	45	68	75	75	54	56	78	80	80	33	84	77	87	68	80	91	84	84	54	83	91	93	97	91	102	103	108	1	1	1	2	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	2	2	3	2	1	1	1	1	2	2	2	1	4	2	2	1	1	2	1	1	2	1	1	2	2	1	2	1	1	3	1	2	2	1	1	1	1	2	1	2	2	1	2	1	2	2	2	1	3	1	1	1	1	1	1	2	2	3	1	1	1	2	2	1	1	1	3	2	2	1	2	2	1	1	3	3	2	2	1	1	2	1	2	2
4000	-598.114565316965013	-604.970053267924413	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622824922495333	-1	1	4	5	4	6	6	7	8	8	8	9	9	8	9	10	10	9	10	10	13	11	12	11	13	12	11	11	13	13	12	16	14	13	14	13	14	13	15	13	15	13	15	14	15	14	15	16	14	14	15	14	15	14	16	16	17	17	16	17	18	17	17	16	17	17	18	18	20	16	19	16	19	17	18	18	18	19	18	18	19	23	21	20	22	20	19	20	21	20	20	21	21	21	24	23	22	22	22	23	22	22	24	24	26	24	25	26	28	0	1	2	3	2	2	3	4	7	5	3	8	7	4	9	8	10	4	12	11	9	18	12	20	10	19	18	12	18	12	22	47	17	22	24	20	12	27	23	22	33	22	24	25	29	22	49	47	40	28	38	40	22	28	54	40	41	42	49	72	72	48	52	53	53	53	55	29	59	49	64	40	72	32	56	60	54	61	48	70	49	92	68	68	75	75	37	73	78	80	80	57	84	77	77	93	90	91	84	93	77	93	91	99	97	91	96	106	108	1	1	1	1	1	3	1	1	1	2	2	1	1	2	1	2	1	3	1	1	3	1	1	1	3	1	1	1	2	2	1	1	2	1	2	1	3	1	1	2	1	2	2	1	2	1	1	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	1	1	1	1	2	2	1	2	2	1	1	1	1	2	1	2	1	2	1	1	2	2	1	3	1	2	1	1	2	1	2	3	1	2	1	1	2	2	1	2	2	1	3	1	1	1
4500	-582.256603011685797	-589.112090962645198	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.698524342195063	-1	0	3	5	4	7	6	8	8	9	8	9	8	9	10	10	11	10	11	10	12	12	10	11	14	12	12	12	14	12	14	16	14	14	14	14	13	14	14	13	14	13	15	14	16	16	17	15	15	14	16	14	15	16	16	16	17	16	14	16	18	17	18	17	17	17	18	18	19	18	20	18	19	18	18	18	19	20	18	19	19	23	22	20	19	21	18	21	21	20	20	20	21	22	23	23	23	21	21	24	21	25	23	23	26	25	25	27	29	0	1	2	2	3	4	5	6	7	3	4	6	7	5	14	8	10	11	6	13	16	5	8	20	26	7	18	10	15	8	17	53	22	22	24	24	19	19	28	22	22	22	24	22	29	41	32	40	59	28	38	40	40	28	39	49	33	42	22	52	64	48	56	53	53	53	55	45	40	49	70	40	72	59	60	60	37	61	48	70	70	92	68	68	75	75	54	73	78	80	80	33	84	87	101	99	90	80	68	99	77	93	91	99	90	103	93	103	108	1	1	1	2	1	1	1	1	1	3	1	2	1	2	1	1	1	1	2	1	1	3	1	1	2	3	1	1	2	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	1	1	2	2	3	2	1	2	1	2	1	1	3	2	2	1	1	1	2	1	1	2	2	1	1	1	1	3	1	1	1	1	2	1	2	2	2	2	2	1	2	1	2	2	1
