step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8
1	-158.992288252635717	-157.530206168116848	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.639958995465661	5	5	7	8	7	9	8	10	0	0	1	1	1	1	1	1	1	1	1	2	1	2	2	3
500	-39.457723712921194	-37.610780248864295	-1.846943464056901	0.000009994403456	0.000019531767522	1.954270468245423	0.724104996194709	5	6	7	7	8	8	7	10	0	1	1	0	7	1	1	7	1	1	1	1	1	1	1	1
1000	-41.870477702293222	-39.912223635577689	-1.958254066715531	0.000010036972474	0.000022424116351	2.234151424481541	0.929957420842120	4	5	7	9	8	9	6	10	0	1	1	0	7	2	1	5	1	1	1	1	1	1	1	1
1500	-41.773941956107556	-39.542740787827526	-2.231201168280028	0.000010113207279	0.000029980740158	2.964513564483340	0.893657477551923	5	6	8	9	8	8	7	10	0	1	2	0	7	1	2	7	1	1	1	1	1	1	1	2
2000	-30.743833441758365	-29.369401323529434	-1.374432118228932	0.000010040921690	0.000007030968399	0.700231374731508	0.821254904827995	5	6	7	7	7	9	8	9	0	1	1	0	1	3	5	7	1	1	1	1	1	1	1	1
2500	-34.180480072119593	-32.474092611190187	-1.706387460929407	0.000009868833838	0.000015895643602	1.610691178164952	0.939082750417576	4	5	7	7	6	10	9	10	0	1	2	0	1	3	5	7	1	1	1	1	1	1	1	1
3000	-28.290488787292229	-26.925256543020982	-1.365232244271247	0.000010038879146	0.000005087074681	0.506737316695926	0.837277304635975	5	6	7	9	7	9	8	10	0	1	1	0	1	3	5	7	1	1	1	1	1	1	1	1
3500	-35.049507974406211	-33.445223167609797	-1.604284806796411	0.000010322320966	0.000002458560477	0.238179037939195	0.841445633215750	3	5	7	9	7	9	8	10	0	1	2	0	1	3	5	7	1	1	1	1	2	1	1	2
4000	-28.985159068096628	-27.534373974672416	-1.450785093424214	0.000010838674604	0.000010494091017	0.968207959071915	0.991219263272977	4	5	7	9	6	9	8	10	0	1	2	0	2	3	5	7	1	1	1	1	1	1	1	1
4500	-30.963477262316772	-29.107407884360327	-1.856069377956445	0.000010138897398	0.000020043634583	1.976904765407181	0.836455340257874	5	6	8	9	7	9	8	10	0	1	2	0	1	3	5	7	1	1	1	1	1	1	1	1
5000	-34.732789385866212	-32.604209439826739	-2.128579946039476	0.000008887627395	0.000023833666563	2.681668065504789	0.843585906124041	4	5	7	9	8	9	9	11	0	1	1	0	3	3	5	7	1	1	1	1	1	1	1	1
5500	-30.325662348184579	-28.793541593964953	-1.532120754219624	0.000009693391225	0.000011479589937	1.184269743179459	0.964205190202104	4	5	7	8	7	8	9	11	0	1	2	0	2	3	5	7	1	1	1	1	1	1	1	1
6000	-30.155574365193285	-28.505028656907484	-1.650545708285800	0.000009156670826	0.000002014721921	0.220027776426745	0.818431198249331	5	6	7	8	8	9	9	11	0	1	1	0	2	3	5	7	1	1	1	1	1	1	1	1
