step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
5500	-461.974236194488242	-460.358769710657498	-1.615466483830743	0.000048896443689	0.000067982006676	1.390326198553828	0.554712158501332	-1	1	6	8	11	13	14	17	16	19	19	20	21	23	22	22	23	21	24	23	24	26	25	30	31	33	34	35	0	1	2	3	3	5	6	7	7	9	7	8	8	18	11	11	18	11	14	11	3	18	14	21	21	25	25	21	1	1	3	2	3	1	1	2	1	2	2	1	3	1	2	1	1	1	1	2	8	3	1	3	5	1	1	3
6000	-382.135533269909899	-380.636297109682175	-1.499236160227712	0.000178615588779	0.000052724431427	0.295183817868455	0.438283996462757	-1	3	6	8	11	13	13	19	17	18	21	20	22	22	22	22	23	23	24	24	24	26	25	29	29	34	33	38	0	1	2	2	3	3	4	5	7	9	12	6	12	8	6	12	12	14	14	16	7	18	15	21	12	27	25	21	1	2	2	3	2	5	2	2	2	1	1	3	1	1	4	1	2	1	1	1	7	2	2	2	4	1	2	7
6500	-305.957925720571382	-304.431212573674372	-1.526713146896994	0.000245935944763	0.000068209658199	0.277347250987366	0.376260473482303	-1	2	6	8	10	12	14	18	16	18	19	20	20	22	23	22	22	22	24	22	24	25	24	29	30	34	34	38	0	1	2	1	3	5	3	6	7	9	8	8	7	7	20	11	8	8	8	11	3	23	18	21	21	25	25	21	1	1	2	5	2	1	5	3	1	1	1	1	5	3	1	2	2	2	4	2	9	1	1	2	3	2	2	5
7000	-282.606753209867918	-281.069759040568499	-1.536994169299424	0.000355448720531	0.000096439872415	0.271318665238935	0.313733916308588	0	3	6	8	12	13	14	18	17	17	20	20	20	22	23	22	22	21	25	23	24	24	25	28	31	33	35	38	0	1	1	2	2	2	5	3	6	6	10	9	10	18	4	4	18	13	20	10	16	17	7	21	16	25	26	15	1	2	2	2	4	4	1	4	2	2	2	2	2	1	7	5	1	1	1	3	1	1	4	3	4	1	1	7
7500	-301.540435820458754	-299.886206957900072	-1.654228862558692	0.000509298330474	0.000111386185673	0.218705185170424	0.312325929468758	0	3	6	9	12	12	13	20	17	18	20	21	20	23	22	23	22	21	25	23	23	25	26	28	31	33	34	38	0	1	1	1	1	2	2	10	4	6	10	8	4	18	3	11	10	10	10	11	9	20	20	15	6	15	26	5	1	1	3	3	6	4	4	1	4	3	1	1	5	1	10	2	2	1	5	2	2	2	2	3	8	4	1	11
8000	-304.273029772925668	-302.511195931468194	-1.761833841457497	0.000584155113748	0.000108661054113	0.186014042428349	0.279020558815851	0	3	4	9	11	10	15	20	18	18	21	20	21	22	21	23	23	22	24	22	24	26	25	30	31	34	33	38	0	1	1	1	1	1	2	10	4	4	8	10	8	11	4	10	8	12	8	8	4	11	12	9	15	9	25	26	1	1	3	3	6	5	6	1	6	4	1	2	1	1	7	3	2	2	2	1	7	3	2	4	4	7	1	4
8500	-245.411281668198825	-243.856889356389729	-1.554392311809108	0.000449393950328	0.000117643908721	0.261783472239963	0.382549142602791	-1	1	6	8	12	12	14	19	17	17	20	20	21	21	22	22	22	21	22	24	24	25	24	29	32	33	34	38	0	1	2	2	1	1	3	9	7	7	8	9	8	7	9	13	12	9	12	16	5	17	9	6	21	24	24	24	1	1	2	3	7	5	3	1	2	2	1	2	1	4	2	1	1	2	1	1	8	1	2	8	4	2	3	4
9000	-262.165550722138903	-260.616963126228541	-1.548587595910357	0.000413094341287	0.000109419494482	0.264877737469545	0.428849448101125	-1	2	6	7	11	11	14	19	18	18	20	20	20	23	22	22	22	21	24	24	25	24	25	30	31	34	35	38	0	1	1	2	3	2	1	10	2	3	8	8	8	8	8	12	8	10	18	16	7	18	17	7	21	25	26	24	1	2	3	3	3	4	7	1	7	6	1	1	1	2	1	1	1	1	1	1	7	2	1	6	2	1	1	4
9500	-259.476142896708609	-257.884588100253836	-1.591554796454775	0.000471567972594	0.000114943542746	0.243747560110159	0.281840315835907	0	3	6	8	11	13	14	19	16	18	20	20	20	21	23	21	21	22	23	23	25	26	24	27	31	35	34	38	0	1	2	1	1	1	2	9	4	3	9	9	9	8	13	12	13	12	14	16	6	14	11	5	21	24	24	21	1	1	2	3	5	6	6	2	3	5	2	2	2	1	2	1	1	2	1	1	7	2	2	7	3	4	4	5
10000	-274.250740238556091	-272.732567579105819	-1.518172659450271	0.000425484568360	0.000120244007974	0.282604862586754	0.434917606816269	0	2	5	9	11	11	14	19	17	17	20	21	21	21	22	22	23	20	24	23	24	25	24	28	31	34	35	37	0	1	2	3	1	1	3	9	4	5	8	9	10	7	11	10	10	9	11	18	5	9	13	6	24	25	25	24	1	1	2	2	6	5	3	1	4	3	1	2	2	3	1	3	2	1	3	1	4	3	1	9	2	2	2	4
