step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115
1	-6973.253831564216853	-6980.109319515176139	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.024774923732408	1	10	14	21	16	18	24	24	24	20	23	20	26	30	32	35	31	35	31	31	30	29	31	33	30	36	30	34	32	33	35	32	36	34	33	34	34	37	37	41	38	39	38	41	44	39	38	42	43	46	45	47	44	42	44	42	46	52	45	43	45	52	52	48	52	49	50	51	53	61	55	51	55	58	56	54	57	59	53	55	61	64	66	64	61	63	61	60	75	66	61	62	69	75	67	67	68	69	73	76	74	74	74	72	75	77	77	80	81	85	88	92	89	85	99	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	3	3	4	4	4	3	4	3	4	5	5	6	5	6	5	5	5	5	5	6	5	6	5	6	5	6	6	5	6	6	6	6	6	6	6	7	6	7	6	7	7	7	6	7	7	8	8	8	7	7	7	7	8	9	8	7	8	9	9	8	9	8	8	9	9	10	9	9	9	10	9	9	10	10	9	9	10	11	11	11	10	11	10	10	13	11	10	10	12	13	11	11	11	12	12	13	12	12	12	12	13	13	13	13	14	14	15	15	15	14	17
500	-1406.076486664619551	-1412.931974615578838	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.095124581014018	-2	1	12	14	16	11	22	10	12	18	18	13	16	27	20	35	29	35	32	23	25	28	31	32	22	23	26	34	25	31	36	32	35	21	34	18	30	31	33	39	37	34	40	42	45	40	24	40	36	44	44	48	42	39	47	40	45	51	37	43	45	52	51	50	52	45	48	42	51	61	52	47	55	51	49	52	57	56	54	53	59	62	67	64	59	62	57	59	77	62	57	58	70	72	69	66	65	69	74	73	72	76	74	72	73	76	79	72	77	85	83	90	90	87	97	0	0	2	2	9	0	4	2	8	13	0	0	6	11	9	26	29	34	11	12	11	9	13	9	12	6	36	29	0	11	47	4	6	6	15	12	13	13	10	26	18	15	0	25	56	34	6	20	13	47	38	10	36	35	15	19	33	16	15	46	46	15	57	51	26	34	30	42	27	49	40	12	9	38	46	37	47	47	65	33	57	30	2	47	26	79	37	38	26	67	35	47	74	47	33	74	47	16	84	0	78	18	47	92	87	47	87	81	38	74	98	47	58	37	78	1	1	3	2	1	1	2	2	1	1	1	1	1	2	1	2	1	3	4	2	2	5	1	3	1	2	2	2	1	3	3	3	4	2	2	1	2	3	3	2	1	2	1	2	1	4	2	3	3	3	3	5	5	1	5	2	2	3	4	1	1	5	1	2	7	3	4	1	5	6	3	9	11	6	2	2	7	5	1	3	5	6	14	9	8	2	8	5	8	4	2	7	4	11	9	2	6	8	4	1	3	6	12	1	3	12	6	2	12	9	2	11	10	15	8
1000	-1097.728732740379655	-1104.584220691338942	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.413033658987321	0	8	12	21	16	14	25	20	18	21	20	21	22	29	24	36	30	27	30	24	31	29	24	31	28	34	31	32	22	34	34	32	38	29	28	25	35	30	40	41	38	30	39	41	40	40	37	32	44	42	46	49	43	39	45	33	41	50	47	44	45	43	53	46	50	45	49	52	50	57	53	51	52	59	52	52	55	60	55	54	62	63	69	66	58	60	60	55	76	66	63	60	67	73	64	64	69	70	68	75	72	74	70	73	62	74	75	77	78	86	81	92	86	87	98	0	0	2	2	2	0	3	2	2	6	0	0	6	11	9	10	29	13	11	12	14	15	6	9	20	13	36	29	0	11	34	42	23	6	15	12	10	13	31	37	37	15	0	25	56	31	37	36	18	26	46	50	36	35	42	14	38	38	42	23	34	24	16	26	33	10	56	55	48	75	37	48	9	75	37	66	80	63	37	50	88	30	35	78	79	50	63	57	77	67	68	57	87	80	85	77	88	105	78	0	92	96	63	87	49	33	26	96	92	102	92	79	96	98	107	1	1	1	2	2	1	2	2	2	2	1	1	2	1	1	3	1	2	3	1	1	1	2	2	1	3	2	2	1	3	1	1	3	2	1	1	2	2	1	1	1	2	1	3	1	1	1	1	4	2	1	2	3	2	3	1	1	4	2	3	2	2	2	3	2	3	3	1	4	1	3	4	6	2	2	1	1	1	5	3	2	2	10	1	1	4	1	2	3	4	3	2	1	2	1	1	2	2	2	1	2	2	3	3	3	7	7	3	4	3	3	6	5	3	6
1500	-988.126298258086990	-994.981786209046390	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.521264368446742	0	10	15	23	18	17	23	16	24	19	17	20	26	23	33	32	30	37	33	25	28	26	25	34	29	35	28	31	23	25	35	31	34	35	29	25	33	35	39	37	38	40	38	43	44	38	38	38	44	34	47	45	40	38	30	40	42	53	43	36	41	47	51	47	49	45	50	45	53	52	53	51	53	59	55	53	56	54	53	50	60	61	62	60	63	59	61	55	72	65	51	55	70	72	65	66	67	71	72	72	67	70	75	68	69	77	79	78	78	80	89	93	85	85	98	0	0	2	2	2	0	3	2	8	6	0	0	10	11	22	6	29	13	30	12	11	9	6	35	20	10	36	29	0	11	16	22	16	13	22	12	10	10	31	6	34	54	0	12	21	31	34	27	34	6	46	33	27	35	22	21	47	37	55	16	34	59	57	46	37	50	56	35	27	38	49	48	24	80	37	47	57	63	70	57	80	67	91	78	88	52	84	80	77	82	62	70	87	88	57	77	95	92	105	0	87	96	99	84	92	97	99	96	92	106	103	106	108	98	109	1	1	1	2	2	1	2	1	2	1	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	3	2	1	1	3	1	1	1	2	1	1	2	4	1	3	1	1	1	3	3	1	1	2	2	2	2	3	2	1	1	2	1	2	3	1	1	1	2	2	2	2	2	2	4	3	2	4	3	2	5	3	3	1	1	1	2	1	2	2	2	3	1	1	4	1	1	1	2	3	4	2	1	3	1	1	1	2	1	1	3	2	3	2	4	1	4	2	1	2	3
2000	-946.211596905180727	-953.067084856140127	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591399534703402	-2	10	16	23	17	13	21	19	24	16	19	9	19	25	34	34	30	34	26	24	27	31	29	32	30	34	30	34	26	33	34	34	31	31	35	33	26	22	36	41	37	38	24	35	46	38	40	43	39	45	44	43	38	39	45	41	44	53	44	43	44	46	49	49	45	47	52	47	48	60	54	50	52	54	57	47	57	57	48	56	61	60	66	59	57	63	61	59	75	66	56	59	64	72	65	64	67	65	66	77	72	71	74	73	76	74	75	81	75	81	86	87	86	82	94	0	0	2	5	2	0	3	2	2	6	0	0	6	11	4	38	29	38	11	12	14	9	13	9	20	33	12	29	0	14	13	24	10	13	24	20	13	6	37	34	16	9	0	12	56	31	26	44	18	34	46	26	36	22	42	21	33	65	42	46	49	24	51	51	40	33	56	54	48	34	65	48	55	63	65	47	57	63	34	57	85	67	68	78	79	79	78	85	102	82	68	80	87	81	77	77	96	92	92	0	87	97	99	93	98	97	99	89	98	106	103	106	108	98	114	1	1	1	1	1	1	1	2	3	2	1	1	2	1	2	3	1	1	2	2	1	2	1	2	1	1	3	2	1	1	2	1	2	2	1	2	2	2	1	2	1	2	1	3	1	1	1	1	1	2	2	2	1	1	2	2	2	1	2	1	1	1	2	2	1	1	2	2	1	4	2	2	1	1	2	1	2	1	2	2	1	1	2	1	1	3	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	2	2	2	1	2	1	2	2	2	2	1	3	2
2500	-960.054541015838481	-966.910028966797881	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.576195193102346	3	7	12	19	8	14	21	22	24	21	23	20	24	28	32	33	33	33	26	25	30	27	29	34	27	36	31	32	26	31	36	34	35	33	32	29	35	28	39	39	36	36	36	34	40	31	37	38	43	44	43	48	40	38	46	44	43	52	46	42	45	49	54	48	47	47	47	49	51	54	52	49	55	51	53	50	55	56	52	54	61	62	62	64	60	60	58	56	72	66	58	59	70	75	64	60	66	68	62	77	68	75	74	73	75	75	73	79	81	84	90	87	84	87	99	0	0	5	3	2	0	3	2	4	6	0	0	6	11	22	38	29	10	11	12	14	8	13	35	20	13	12	29	0	14	46	4	6	10	8	12	38	10	46	10	16	35	0	20	30	38	38	36	46	26	46	34	36	24	42	45	33	40	42	18	13	59	57	51	18	33	56	42	48	57	40	48	68	33	37	16	57	57	57	58	80	67	55	87	80	79	78	38	77	82	22	63	87	81	96	77	77	92	78	0	87	77	99	101	98	89	99	77	98	106	99	108	102	105	114	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	3	1	1	1	1	1	1	1	2	2	2	1	1	2	2	3	3	1	2	1	2	2	2	1	1	1	1	2	1	2	1	2	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	3	2	1	2	2	2	2	2	1	1	2	3	2	2	1	1	1	2	3	1	2	1	1	6	3	1	2	1	2	1	1	1	3	1	1	1	2	2	2	2	2	1	2	4	2	2	3	3	1	2	2
3000	-908.321478383227259	-915.176966334186659	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650077065835086	-5	12	16	21	15	14	24	26	18	21	19	18	27	31	31	30	33	37	28	26	31	26	29	30	29	33	32	33	25	36	36	32	36	34	26	24	35	32	38	40	37	39	36	41	38	33	37	36	39	37	42	48	42	37	43	44	45	51	42	37	41	48	53	44	46	44	48	47	48	61	49	44	55	55	54	54	59	57	48	49	60	61	63	61	60	58	60	60	70	65	60	64	66	76	69	62	66	69	71	77	67	73	74	70	76	74	77	78	81	83	87	91	87	83	99	0	0	2	2	2	0	3	4	2	6	0	0	6	11	35	10	29	10	11	12	19	9	6	35	20	13	36	29	0	21	46	35	26	38	9	12	23	23	31	38	13	54	0	20	14	23	23	27	16	23	31	18	27	24	24	45	33	37	42	46	18	55	23	31	37	33	56	42	72	71	18	48	68	80	33	66	57	63	18	57	80	67	62	78	80	79	78	57	97	82	62	63	87	74	97	88	96	92	92	0	87	97	99	93	98	89	99	89	98	106	99	106	108	98	92	1	1	1	3	1	1	2	1	1	2	1	1	2	2	1	2	1	2	2	1	1	2	3	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	1	1	1	3	2	2	1	1	2	1	3	2	2	2	1	4	2	2	1	1	1	2	2	2	1	2	2	1	3	2	1	3	3	1	4	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	1	2	2	1	2	8
3500	-924.274654568629217	-931.130142519588617	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616299695425608	1	8	11	18	18	16	21	21	25	20	21	20	24	28	31	34	31	36	31	28	31	30	27	34	31	34	27	34	26	30	36	34	28	32	30	31	35	33	38	34	39	38	35	36	38	30	38	38	42	40	42	48	35	37	46	43	44	49	43	41	44	50	50	49	46	49	48	43	52	62	50	49	56	49	54	53	57	55	51	48	55	58	66	64	60	64	58	61	68	63	60	63	70	73	67	68	61	67	71	75	73	68	74	75	73	72	78	79	80	86	83	88	88	78	89	0	0	2	2	2	0	3	2	5	6	0	0	6	11	9	10	29	6	11	12	14	4	10	35	20	33	12	17	0	11	46	35	13	6	9	27	34	6	31	23	34	24	0	20	30	13	38	27	38	26	46	37	36	35	42	45	10	65	42	46	38	35	57	18	37	49	56	54	72	57	65	48	55	34	52	66	38	57	16	34	80	67	62	78	74	79	78	80	77	82	42	63	87	81	97	97	77	84	78	0	87	97	99	93	98	89	99	89	98	106	99	106	96	98	98	1	1	1	3	2	1	2	2	1	2	1	1	1	1	2	3	1	4	1	2	1	3	2	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	1	2	2	1	2	2	2	3	1	1	1	2	3	2	3	2	1	1	1	1	3	1	2	2	2	2	1	2	2	3	2	2	2	2	1	3	1	1	2	3	1	4	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	3	2	2	3	2	3
4000	-903.408877542335858	-910.264365493295259	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578235496777295	-1	11	15	20	16	15	24	20	25	18	15	19	25	31	31	32	30	33	29	32	30	24	24	32	28	37	27	32	27	23	36	35	37	33	30	33	35	36	39	40	37	41	37	30	41	34	39	37	40	43	46	47	37	44	43	44	46	54	45	42	45	49	51	47	48	47	50	52	48	60	55	48	48	54	57	52	51	52	54	51	60	58	65	56	60	63	61	58	74	65	63	62	71	74	65	65	61	68	72	77	75	66	75	67	76	77	74	79	80	85	90	95	90	84	96	0	0	2	5	2	0	3	5	5	6	0	0	10	30	22	13	29	13	30	12	11	4	6	35	12	16	12	29	0	11	46	9	13	10	9	27	13	13	46	18	18	24	0	12	21	16	6	36	18	33	46	37	27	24	35	45	26	50	42	47	34	55	57	31	33	26	56	54	48	74	65	48	55	57	26	47	47	57	57	57	88	67	54	78	57	33	84	80	97	82	68	78	104	85	97	97	77	92	92	0	104	77	99	87	98	89	92	102	98	106	99	110	108	98	98	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	1	2	4	1	2	1	2	1	2	1	1	2	1	2	2	2	1	1	1	2	1	1	1	2	1	2	2	1	5	1	1	1	2	3	2	2	2	1	3	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	1	1	3	2	2	1	1	2	1	1	2	1	3	4	1	1	2	2	2	2	1	2	1	1	1	1	1	1	3	3	1	1	2	1	3	2	2	2	2	2	2	2	5
4500	-955.860581275103755	-962.716069226063155	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609909912548967	-1	6	14	20	11	15	22	19	23	21	14	18	24	24	34	37	28	24	27	29	31	29	28	32	33	24	27	31	25	28	31	32	33	33	30	35	36	36	34	42	39	35	35	42	41	38	38	38	44	46	41	44	40	40	44	42	39	51	39	40	41	53	51	46	48	45	46	50	51	58	47	49	53	57	55	54	54	59	52	54	60	53	55	56	57	60	62	56	67	68	58	63	70	62	67	65	63	69	68	76	72	73	72	65	71	76	78	76	81	86	88	89	83	85	92	0	0	2	5	2	0	3	2	5	6	0	0	10	11	22	10	29	10	14	12	11	7	6	4	20	10	12	29	0	14	10	9	26	10	9	27	23	23	31	34	26	24	0	20	14	31	23	36	40	49	31	57	27	22	42	21	33	65	9	31	23	54	57	31	37	34	56	59	48	63	37	48	54	75	50	47	38	84	57	63	80	67	54	63	80	79	84	57	96	82	68	63	104	74	96	77	77	92	92	0	87	89	99	87	63	102	99	89	98	97	99	106	108	98	98	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	2	4	1	2	2	1	1	2	2	1	1	2	2	2	1	2	2	1	2	1	2	1	1	1	2	2	2	1	1	1	1	2	1	3	2	2	2	2	1	2	2	4	3	2	2	2	2	1	1	1	2	1	2	2	1	2	2	3	1	1	1	2	1	2	1	1	1	1	4	1	3	2	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	2	2	2	3	2	2	2	2	5
