step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29
1	-795.561020632811164	-802.416508583770565	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.206409760743083	2	1	4	5	10	11	12	10	11	12	12	15	14	14	15	13	15	14	18	17	20	20	21	19	21	24	29	34	37	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	5	5	6	5	5	6	6	7	7	7	7	6	7	7	9	8	10	10	10	9	10	12	14	17	18
500	-216.464476427906447	-223.319964378865819	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.266966509072419	3	1	4	5	9	11	12	10	8	11	12	16	14	13	15	13	16	14	17	18	21	19	21	19	21	24	29	34	38	2	0	1	1	4	3	8	9	3	9	2	4	8	7	14	3	16	3	18	11	11	17	24	16	24	22	15	0	0	1	1	1	1	2	3	1	1	2	2	5	7	1	1	1	4	1	5	2	2	5	2	1	3	1	3	7	1	1
1000	-208.744798756510619	-215.600286707469991	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557071762927113	3	1	5	5	10	11	12	11	10	13	11	15	15	15	16	14	15	15	18	17	21	20	21	19	21	24	28	32	37	2	0	1	1	4	9	9	9	3	8	1	5	8	7	7	11	16	7	15	17	16	16	24	17	24	22	14	0	0	1	1	1	1	3	1	1	1	3	2	3	3	2	2	3	2	1	2	1	1	4	2	2	1	1	2	6	1	1
1500	-212.027821787541342	-218.883309738500714	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586180505479670	3	0	4	5	10	10	12	11	9	12	10	14	14	14	15	12	15	13	18	18	18	20	22	19	21	24	29	34	36	2	0	1	1	4	1	9	9	1	9	1	4	10	7	7	11	16	9	9	11	17	11	24	20	20	22	15	0	0	2	1	1	1	2	5	1	1	2	1	4	4	1	1	1	1	1	2	3	4	2	4	2	1	1	2	7	1	1
2000	-214.720087628935744	-221.575575579895116	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.511243898656489	1	0	2	5	10	10	12	10	8	12	12	12	14	13	15	14	16	15	17	18	17	21	21	19	21	23	29	35	37	2	0	1	1	4	3	6	9	3	8	9	4	14	8	14	11	16	14	7	11	17	17	24	17	24	22	18	0	0	1	1	1	2	2	4	1	1	2	1	2	2	1	2	1	1	1	1	3	3	1	2	2	2	1	1	5	1	1
2500	-207.734019870584319	-214.589507821543691	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.360986232706699	2	1	5	4	10	10	12	10	9	12	11	16	14	15	15	13	14	15	19	16	20	19	21	19	20	24	29	35	38	2	0	1	1	4	9	8	9	3	8	2	4	8	3	13	11	16	7	18	11	11	17	24	11	11	22	15	0	0	1	1	1	1	3	1	1	1	2	1	4	6	3	6	1	1	1	2	2	2	4	2	1	3	3	2	7	1	1
3000	-224.641471191995265	-231.496959142954637	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.463475053248808	2	0	5	6	10	9	10	11	11	13	12	15	14	15	14	13	15	14	16	17	21	20	21	20	22	23	30	34	37	2	0	1	1	4	3	3	7	3	9	6	7	9	15	7	11	16	7	18	17	11	17	24	17	11	22	14	0	0	1	1	1	2	2	2	2	1	4	1	2	4	2	1	2	1	1	2	2	1	5	3	1	3	5	1	6	1	1
3500	-207.759849650189381	-214.615337601148752	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.442828698644119	2	-2	4	6	9	11	12	11	10	12	10	15	14	15	14	14	15	13	18	18	20	21	21	18	22	25	27	35	38	2	0	1	1	4	3	8	9	3	9	1	4	9	18	7	11	11	7	9	11	16	20	24	11	24	22	18	0	0	2	1	1	2	1	4	1	1	2	1	4	4	3	1	1	2	2	1	4	5	3	1	1	4	3	3	6	1	1
4000	-215.329790771053382	-222.185278722012754	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.416222389248520	3	-1	5	4	10	10	13	11	9	12	13	14	15	13	15	14	16	14	16	16	20	19	21	18	21	24	29	33	37	2	0	1	1	4	3	8	9	3	9	9	4	14	3	8	11	16	3	18	11	11	11	24	11	24	22	14	0	0	2	1	1	1	3	2	2	2	3	1	3	5	1	4	2	1	1	6	1	2	3	3	1	2	2	3	9	1	1
4500	-209.100486077774008	-215.955974028733380	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.384578987509980	3	1	5	5	11	11	12	10	8	13	12	13	15	15	14	13	15	13	16	18	21	21	21	19	21	24	29	33	36	2	0	1	1	4	3	8	9	3	8	2	4	8	7	3	11	16	7	15	11	11	11	24	11	24	22	15	0	0	1	1	1	1	3	2	1	1	2	1	5	4	3	1	4	1	1	1	1	2	4	6	2	4	1	3	8	1	1
5000	-204.154961949503303	-211.010449900462675	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.473148665553761	2	0	4	5	10	10	12	10	11	12	11	15	14	15	16	13	16	14	19	17	19	21	22	20	22	24	29	35	36	2	0	1	3	4	1	9	3	8	9	3	4	10	7	7	11	16	7	18	11	17	17	24	17	24	22	15	0	0	1	1	2	1	3	5	1	2	1	1	5	6	2	2	2	1	2	1	2	2	1	3	2	2	1	1	6	1	1
5500	-202.232779637972953	-209.088267588932325	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.477615848927359	3	1	5	5	10	10	13	11	12	13	11	15	13	14	16	13	16	15	18	16	21	20	21	19	20	23	30	34	38	2	0	1	1	4	3	9	6	6	8	3	4	8	9	9	11	16	9	7	11	22	17	24	17	17	22	14	0	0	1	1	1	1	2	2	1	1	1	1	3	4	1	1	2	1	2	2	3	2	1	2	1	1	2	1	7	1	1
6000	-219.823491850688782	-226.678979801648154	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.457745948267456	2	0	4	5	10	11	12	9	8	12	12	15	14	15	16	13	15	14	19	17	20	20	22	16	22	24	28	34	38	2	0	1	1	4	3	9	9	3	8	6	4	9	7	18	11	11	8	15	16	20	17	24	16	20	22	14	0	0	1	1	1	2	1	3	2	1	2	1	1	4	3	2	2	1	2	1	2	3	2	3	3	1	4	1	6	1	1
6500	-229.108659382085136	-235.964147333044508	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536463042377179	3	0	4	6	11	11	12	10	8	10	11	14	14	14	15	14	16	15	17	17	20	19	21	20	21	23	29	33	38	2	0	1	1	4	3	8	9	3	9	2	4	10	7	13	6	16	7	7	16	16	16	24	16	24	22	19	0	0	1	1	1	2	3	4	1	1	1	1	5	5	3	1	1	1	1	2	2	2	3	3	1	3	1	2	3	1	1
7000	-201.297665108922502	-208.153153059881873	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.507481386717086	2	0	5	5	11	11	12	11	10	11	12	14	15	14	15	14	16	14	18	16	19	20	21	19	21	23	29	34	38	2	0	1	1	4	9	9	9	3	3	3	4	8	7	7	11	16	7	18	11	16	17	24	11	11	22	15	0	0	1	1	2	2	3	1	1	1	2	2	3	5	2	2	1	1	1	1	1	2	2	2	1	3	4	2	7	1	1
7500	-191.811952487996308	-198.667440438955680	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.526073552001624	3	1	4	6	11	10	12	11	10	12	12	15	14	13	15	14	15	14	16	16	21	17	21	19	21	25	26	34	37	2	0	1	1	4	3	8	9	3	9	9	4	9	7	7	11	11	7	7	17	17	16	24	17	24	22	15	0	0	1	1	1	2	2	2	1	1	3	1	1	4	2	1	1	1	2	1	2	1	3	2	1	2	1	4	5	1	1
8000	-194.370624980738455	-201.226112931697827	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.473999865117159	3	1	5	5	10	9	12	11	10	12	12	15	15	14	16	14	16	14	18	17	21	20	21	18	22	24	29	34	37	2	0	1	1	4	3	9	9	6	8	2	4	8	7	7	11	16	9	15	11	22	11	24	11	24	22	15	0	0	1	1	1	1	4	2	2	1	1	1	6	5	2	1	2	1	1	2	1	2	1	4	1	3	1	1	5	1	1
8500	-204.980390754981670	-211.835878705941042	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.501674812415687	3	0	4	5	9	10	12	10	9	11	13	14	15	15	16	14	15	14	18	17	18	20	22	20	22	24	28	34	37	2	0	1	1	4	3	3	9	3	9	2	4	8	9	18	11	16	9	18	11	11	17	24	11	24	22	15	0	0	2	1	1	1	2	2	4	1	2	2	6	4	2	2	1	1	1	3	2	2	2	2	1	4	1	2	5	1	1
9000	-194.582252570906320	-201.437740521865692	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.481427453025496	3	2	5	6	10	10	13	11	10	13	12	15	12	15	16	14	15	14	18	17	18	21	20	18	21	24	29	34	38	2	0	1	1	4	3	8	9	3	9	2	4	9	7	7	11	16	7	15	11	11	17	24	11	24	22	15	0	0	1	1	1	2	1	2	1	1	3	1	4	4	1	1	3	1	1	1	1	2	4	3	2	3	2	2	5	1	1
